question,generated,answer,intermediate,prompt_type,exact_match,contains_answer
The country containing Kandahar has its capital in,"Islamabad.
Question: Which",Kabul,Afghanistan,country_capital,False,False
The country containing Durrës has its capital in,"Tirana.
Question:",Tirana,Albania,country_capital,False,True
The country containing Oran has its capital in,"Algiers.
Question:",Algiers,Algeria,country_capital,False,True
The country containing Les Escaldes has its capital in,Andorra la Vella,Andorra la Vella,Andorra,country_capital,True,True
The country containing Huambo has its capital in,"Luanda.
Question:",Luanda,Angola,country_capital,False,True
The country containing All Saints has its capital in,"Sucre.
Fact:",St. John's,Antigua and Barbuda,country_capital,False,False
The country containing Córdoba has its capital in,"Madrid.
Question: What",Buenos Aires,Argentina,country_capital,False,False
The country containing Gyumri has its capital in,the city of Yere,Yerevan,Armenia,country_capital,False,False
The country containing Sydney has its capital in,"Canberra.
Question: Which",Canberra,Australia,country_capital,False,True
The country containing Graz has its capital in,"Vienna.
Question: Which",Vienna,Austria,country_capital,False,True
The country containing Ganja has its capital in,the city of Ganja,Baku,Azerbaijan,country_capital,False,False
The country containing Freeport has its capital in,the city of Nassau,Nassau,Bahamas,country_capital,False,True
The country containing Riffa has its capital in,the city of the same,Manama,Bahrain,country_capital,False,False
The country containing Chittagong has its capital in,"Dhaka.
Question:",Dhaka,Bangladesh,country_capital,False,True
The country containing Speightstown has its capital in,"Bridgetown.
Question",Bridgetown,Barbados,country_capital,False,True
The country containing Homel has its capital in,"Minsk.
Question:",Minsk,Belarus,country_capital,False,True
The country containing Antwerp has its capital in,the city of Brussels.,Brussels,Belgium,country_capital,False,True
The country containing Belize City has its capital in,Belmopan.,Belmopan,Belize,country_capital,True,True
The country containing Cotonou has its capital in,"Porto-Novo.
Question",Porto-Novo,Benin,country_capital,False,True
The country containing Phuntsholing has its capital in,Thimphu.,Thimphu,Bhutan,country_capital,True,True
The country containing Banja Luka has its capital in,"Sarajevo.
Question",Sarajevo,Bosnia and Herzegovina,country_capital,False,True
The country containing Francistown has its capital in,"Gaborone.
Question",Gaborone,Botswana,country_capital,False,True
The country containing São Paulo has its capital in,"Brasília.
Question:",Brasília,Brazil,country_capital,False,True
The country containing Kuala Belait has its capital in,Bandar Seri Beg,Bandar Seri Begawan,Brunei,country_capital,False,False
The country containing Plovdiv has its capital in,"Sofia.
Question: Which",Sofia,Bulgaria,country_capital,False,True
The country containing Bobo-Dioulasso has its capital in,Ouagadougou,Ouagadougou,Burkina Faso,country_capital,True,True
The country containing Muyinga has its capital in,Bujumbura.,Bujumbura,Burundi,country_capital,True,True
The country containing Siem Reap has its capital in,Phnom Penh.,Phnom Penh,Cambodia,country_capital,True,True
The country containing Douala has its capital in,"Yaounde.
Question",Yaoundé,Cameroon,country_capital,False,True
The country containing Toronto has its capital in,"Ottawa.
Question: What",Ottawa,Canada,country_capital,False,True
The country containing Mindelo has its capital in,the city of Praia,Praia,Cape Verde,country_capital,False,True
The country containing Bimbo has its capital in,"Mexico City.
Question:",Bangui,Central African Republic,country_capital,False,False
The country containing Moundou has its capital in,N'Djamena.,N'Djamena,Chad,country_capital,True,True
The country containing Puente Alto has its capital in,"Santiago.
Question: Which",Santiago,Chile,country_capital,False,True
The country containing Shanghai has its capital in,"Beijing.
Question: What",Beijing,China,country_capital,False,True
The country containing Medellín has its capital in,"Bogotá.
Question",Bogotá,Colombia,country_capital,False,True
The country containing Mutsamudu has its capital in,the city of Mahé,Moroni,Comoros,country_capital,False,False
The country containing Lubumbashi has its capital in,"Kinshasa.
Question",Kinshasa,Democratic Republic of the Congo,country_capital,False,True
The country containing Pointe-Noire has its capital in,Brazzaville.,Brazzaville,Republic of the Congo,country_capital,True,True
The country containing Alajuela has its capital in,"San Jose.
Question:",San José,Costa Rica,country_capital,False,True
The country containing Abidjan has its capital in,Yamoussouk,Yamoussoukro,Côte d'Ivoire,country_capital,False,False
The country containing Split has its capital in,"Zagreb.
Question:",Zagreb,Croatia,country_capital,False,True
The country containing Santiago de Cuba has its capital in,"Havana.
Question: What",Havana,Cuba,country_capital,False,True
The country containing Limassol has its capital in,"Nicosia.
Question",Nicosia,Cyprus,country_capital,False,True
The country containing Brno has its capital in,"Prague.
Question: What",Prague,Czech Republic,country_capital,False,True
The country containing Aarhus has its capital in,"Copenhagen.
Question: Which",Copenhagen,Denmark,country_capital,False,True
The country containing Ali Sabieh has its capital in,Djibouti City,Djibouti,Djibouti,country_capital,False,True
The country containing Portsmouth has its capital in,"London.
Question: What",Roseau,Dominica,country_capital,False,False
The country containing Santiago de los Caballeros has its capital in,"Santo Domingo.
Question",Santo Domingo,Dominican Republic,country_capital,False,True
The country containing Dare has its capital in,the city of Lome,Dili,East Timor,country_capital,False,False
The country containing Guayaquil has its capital in,"Quito.
Question:",Quito,Ecuador,country_capital,False,True
The country containing Alexandria has its capital in,"Cairo.
Question: Which",Cairo,Egypt,country_capital,False,True
The country containing Santa Ana has its capital in,the city of San Jose,San Salvador,El Salvador,country_capital,False,False
The country containing Bata has its capital in,"Malabo.
Question:",Malabo,Equatorial Guinea,country_capital,False,True
The country containing Keren has its capital in,"Asmara.
Question",Asmara,Eritrea,country_capital,False,True
The country containing Tartu has its capital in,"Tallinn.
Question:",Tallinn,Estonia,country_capital,False,True
The country containing Dire Dawa has its capital in,Addis Ababa.,Addis Ababa,Ethiopia,country_capital,True,True
The country containing Nasinu has its capital in,the city of Suva,Suva,Fiji,country_capital,False,True
The country containing Espoo has its capital in,"Helsinki.
Question: Which",Helsinki,Finland,country_capital,False,True
The country containing Marseille has its capital in,"Paris.
Question: Which",Paris,France,country_capital,False,True
The country containing Port-Gentil has its capital in,"Libreville.
Question",Libreville,Gabon,country_capital,False,True
The country containing Serekunda has its capital in,"Banjul.
Question",Banjul,Gambia,country_capital,False,True
The country containing Kutaisi has its capital in,"Tbilisi.
Question",Tbilisi,Georgia,country_capital,False,True
The country containing Hamburg has its capital in,"Berlin.
Question: What",Berlin,Germany,country_capital,False,True
The country containing Kumasi has its capital in,"Accra.
Question:",Accra,Ghana,country_capital,False,True
The country containing Thessaloniki has its capital in,"Athens.
Question: Which",Athens,Greece,country_capital,False,True
The country containing Gouyave has its capital in,Port-au-Prince.,St. George's,Grenada,country_capital,False,False
The country containing Quetzaltenango has its capital in,"Guatemala City.
Question:",Guatemala City,Guatemala,country_capital,False,True
The country containing Nzérékoré has its capital in,"Conakry.
Question",Conakry,Guinea,country_capital,False,True
The country containing Gabú has its capital in,"Bissau.
Question",Bissau,Guinea-Bissau,country_capital,False,True
The country containing Linden has its capital in,"Bern.
Question: What",Georgetown,Guyana,country_capital,False,False
The country containing Gonaïves has its capital in,Port-au-Prince.,Port-au-Prince,Haiti,country_capital,True,True
The country containing San Pedro Sula has its capital in,Tegucigal,Tegucigalpa,Honduras,country_capital,False,False
The country containing Debrecen has its capital in,"Budapest.
Question: Which",Budapest,Hungary,country_capital,False,True
The country containing Kópavogur has its capital in,Reykjavík,Reykjavík,Iceland,country_capital,True,True
The country containing Mumbai has its capital in,"New Delhi.
Question:",New Delhi,India,country_capital,False,True
The country containing Surabaya has its capital in,"Jakarta.
Question: What",Jakarta,Indonesia,country_capital,False,True
The country containing Mashhad has its capital in,"Tehran.
Question: Which",Tehran,Iran,country_capital,False,True
The country containing Basra has its capital in,"Baghdad.
Question: Which",Baghdad,Iraq,country_capital,False,True
The country containing Cork has its capital in,"Dublin.
Question: Which",Dublin,Ireland,country_capital,False,True
The country containing Tel Aviv has its capital in,"Jerusalem.
Is the above",Jerusalem,Israel,country_capital,False,True
The country containing Milan has its capital in,"Rome.
Question: Which",Rome,Italy,country_capital,False,True
The country containing Spanish Town has its capital in,"Kingston.
Question: What",Kingston,Jamaica,country_capital,False,True
The country containing Yokohama has its capital in,"Tokyo.
Question: What",Tokyo,Japan,country_capital,False,True
The country containing Zarqa has its capital in,"Amman.
Question:",Amman,Jordan,country_capital,False,True
The country containing Almaty has its capital in,"Astana.
Question:",Astana,Kazakhstan,country_capital,False,True
The country containing Mombasa has its capital in,"Nairobi.
Question: What",Nairobi,Kenya,country_capital,False,True
The country containing Betio has its capital in,"Tarawa.
Question:",Tarawa,Kiribati,country_capital,False,True
The country containing Hamhung has its capital in,"Pyongyang.
Question: What",Pyongyang,North Korea,country_capital,False,True
The country containing Busan has its capital in,"Seoul.
Question: What",Seoul,South Korea,country_capital,False,True
The country containing Al Jahra has its capital in,"Kuwait City.
Question:",Kuwait City,Kuwait,country_capital,False,True
The country containing Osh has its capital in,"Bishkek.
Question",Bishkek,Kyrgyzstan,country_capital,False,True
The country containing Pakxe has its capital in,"Vientiane.
Question",Vientiane,Laos,country_capital,False,True
The country containing Daugavpils has its capital in,"Riga.
Question:",Riga,Latvia,country_capital,False,True
The country containing Tripoli has its capital in,"Tunis.
Question: What",Beirut,Lebanon,country_capital,False,False
The country containing Teyateyaneng has its capital in,"Gaborone.
Question",Maseru,Lesotho,country_capital,False,False
The country containing Gbarnga has its capital in,"Monrovia.
Question",Monrovia,Liberia,country_capital,False,True
