question,generated,answer,intermediate,prompt_type,exact_match,contains_answer
The country containing Kandahar has its capital in,"Kabul.
Fact: The",Kabul,Afghanistan,country_capital,False,True
The country containing Durrës has its capital in,"Tirana.
Fact:",Tirana,Albania,country_capital,False,True
The country containing Oran has its capital in,"Algiers.
Fact:",Algiers,Algeria,country_capital,False,True
The country containing Les Escaldes has its capital in,Andorra la Vella,Andorra la Vella,Andorra,country_capital,True,True
The country containing Huambo has its capital in,Huambo. Which,Luanda,Angola,country_capital,False,False
The country containing All Saints has its capital in,a city that is the,St. John's,Antigua and Barbuda,country_capital,False,False
The country containing Córdoba has its capital in,"Seville.
Fact:",Buenos Aires,Argentina,country_capital,False,False
The country containing Gyumri has its capital in,"Yerevan.
Fact",Yerevan,Armenia,country_capital,False,True
The country containing Sydney has its capital in,"Canberra.
Fact: The",Canberra,Australia,country_capital,False,True
The country containing Graz has its capital in,"Vienna.
What is the",Vienna,Austria,country_capital,False,True
The country containing Ganja has its capital in,"Tbilisi.
Where",Baku,Azerbaijan,country_capital,False,False
The country containing Freeport has its capital in,"Suva.
Fact:",Nassau,Bahamas,country_capital,False,False
The country containing Riffa has its capital in,the city of Al-A,Manama,Bahrain,country_capital,False,False
The country containing Chittagong has its capital in,"Dhaka.
Fact:",Dhaka,Bangladesh,country_capital,False,True
The country containing Speightstown has its capital in,"Kingston.
Fact: Spe",Bridgetown,Barbados,country_capital,False,False
The country containing Homel has its capital in,the north.  The,Minsk,Belarus,country_capital,False,False
The country containing Antwerp has its capital in,"Brussels.
Fact: Ant",Brussels,Belgium,country_capital,False,True
The country containing Belize City has its capital in,"Belize City.
Fact:",Belmopan,Belize,country_capital,False,False
The country containing Cotonou has its capital in,"Porto-Novo.
Which",Porto-Novo,Benin,country_capital,False,True
The country containing Phuntsholing has its capital in,Thimphu.,Thimphu,Bhutan,country_capital,True,True
The country containing Banja Luka has its capital in,"Sarajevo.
Fact",Sarajevo,Bosnia and Herzegovina,country_capital,False,True
The country containing Francistown has its capital in,"Windhoek.
Fact",Gaborone,Botswana,country_capital,False,False
The country containing São Paulo has its capital in,"Brasília.
Fact:",Brasília,Brazil,country_capital,False,True
The country containing Kuala Belait has its capital in,"Brunei City.
Question",Bandar Seri Begawan,Brunei,country_capital,False,False
The country containing Plovdiv has its capital in,"Sofia.
Fact: P",Sofia,Bulgaria,country_capital,False,True
The country containing Bobo-Dioulasso has its capital in,Ouagadougou,Ouagadougou,Burkina Faso,country_capital,True,True
The country containing Muyinga has its capital in,"Kinshasa.
Fact",Bujumbura,Burundi,country_capital,False,False
The country containing Siem Reap has its capital in,Phnom Penh.,Phnom Penh,Cambodia,country_capital,True,True
The country containing Douala has its capital in,"Yaoundé.
Fact",Yaoundé,Cameroon,country_capital,False,True
The country containing Toronto has its capital in,"Ottawa.
Fact: The",Ottawa,Canada,country_capital,False,True
The country containing Mindelo has its capital in,the city of Luanda,Praia,Cape Verde,country_capital,False,False
The country containing Bimbo has its capital in,"Mexico City.
Fact:",Bangui,Central African Republic,country_capital,False,False
The country containing Moundou has its capital in,N’djamena.,N'Djamena,Chad,country_capital,False,False
The country containing Puente Alto has its capital in,"Santiago.
Question: What",Santiago,Chile,country_capital,False,True
The country containing Shanghai has its capital in,"Beijing.
Where would you",Beijing,China,country_capital,False,True
The country containing Medellín has its capital in,"Bogotá.
Fact",Bogotá,Colombia,country_capital,False,True
The country containing Mutsamudu has its capital in,the city of Muts,Moroni,Comoros,country_capital,False,False
The country containing Lubumbashi has its capital in,"Kinshasa.
Fact",Kinshasa,Democratic Republic of the Congo,country_capital,False,True
The country containing Pointe-Noire has its capital in,Port-Gentil.,Brazzaville,Republic of the Congo,country_capital,False,False
The country containing Alajuela has its capital in,"San José.
Question:",San José,Costa Rica,country_capital,False,True
The country containing Abidjan has its capital in,Yamoussouk,Yamoussoukro,Côte d'Ivoire,country_capital,False,False
The country containing Split has its capital in,"Zagreb.
Which of",Zagreb,Croatia,country_capital,False,True
The country containing Santiago de Cuba has its capital in,"Havana.
Fact: The",Havana,Cuba,country_capital,False,True
The country containing Limassol has its capital in,"Nicosia.
Fact",Nicosia,Cyprus,country_capital,False,True
The country containing Brno has its capital in,"Prague.
Which of these",Prague,Czech Republic,country_capital,False,True
The country containing Aarhus has its capital in,"Copenhagen.
Given that,",Copenhagen,Denmark,country_capital,False,True
The country containing Ali Sabieh has its capital in,the city of Zanz,Djibouti,Djibouti,country_capital,False,False
The country containing Portsmouth has its capital in,London. Which of these,Roseau,Dominica,country_capital,False,False
The country containing Santiago de los Caballeros has its capital in,the city of Santiago.,Santo Domingo,Dominican Republic,country_capital,False,False
The country containing Dare has its capital in,the north.  The,Dili,East Timor,country_capital,False,False
The country containing Guayaquil has its capital in,"Quito.
Fact:",Quito,Ecuador,country_capital,False,True
The country containing Alexandria has its capital in,Cairo. Which of these,Cairo,Egypt,country_capital,False,True
The country containing Santa Ana has its capital in,Santa Ana. Which country,San Salvador,El Salvador,country_capital,False,False
The country containing Bata has its capital in,the city of Coton,Malabo,Equatorial Guinea,country_capital,False,False
The country containing Keren has its capital in,the city of Mitz,Asmara,Eritrea,country_capital,False,False
The country containing Tartu has its capital in,"Tallinn.
Factual",Tallinn,Estonia,country_capital,False,True
The country containing Dire Dawa has its capital in,Addis Ababa.,Addis Ababa,Ethiopia,country_capital,True,True
The country containing Nasinu has its capital in,"Suva.
Fact:",Suva,Fiji,country_capital,False,True
The country containing Espoo has its capital in,"Helsinki.
Fact: Esp",Helsinki,Finland,country_capital,False,True
The country containing Marseille has its capital in,"Paris.
Which of these",Paris,France,country_capital,False,True
The country containing Port-Gentil has its capital in,"Libreville.
Question",Libreville,Gabon,country_capital,False,True
The country containing Serekunda has its capital in,"Banjul.
Fact",Banjul,Gambia,country_capital,False,True
The country containing Kutaisi has its capital in,"Tbilisi.
Fact",Tbilisi,Georgia,country_capital,False,True
The country containing Hamburg has its capital in,"Berlin.
Where would you",Berlin,Germany,country_capital,False,True
The country containing Kumasi has its capital in,"Accra.
Fact:",Accra,Ghana,country_capital,False,True
The country containing Thessaloniki has its capital in,"Athens.
Fact: Th",Athens,Greece,country_capital,False,True
The country containing Gouyave has its capital in,Port-au-Prince.,St. George's,Grenada,country_capital,False,False
The country containing Quetzaltenango has its capital in,"Guatemala City.
Where would",Guatemala City,Guatemala,country_capital,False,True
The country containing Nzérékoré has its capital in,"Kinshasa.
Fact",Conakry,Guinea,country_capital,False,False
The country containing Gabú has its capital in,the city of Kinsh,Bissau,Guinea-Bissau,country_capital,False,False
The country containing Linden has its capital in,a city that is the,Georgetown,Guyana,country_capital,False,False
The country containing Gonaïves has its capital in,Port-au-Prince.,Port-au-Prince,Haiti,country_capital,True,True
The country containing San Pedro Sula has its capital in,the city of San Pedro,Tegucigalpa,Honduras,country_capital,False,False
The country containing Debrecen has its capital in,"Budapest.
Where would a",Budapest,Hungary,country_capital,False,True
The country containing Kópavogur has its capital in,Reykjavik.,Reykjavík,Iceland,country_capital,True,True
The country containing Mumbai has its capital in,"Delhi.
Which of these",New Delhi,India,country_capital,False,False
The country containing Surabaya has its capital in,"Jakarta.
Fact: Sur",Jakarta,Indonesia,country_capital,False,True
The country containing Mashhad has its capital in,"Tehran.
Fact: The",Tehran,Iran,country_capital,False,True
The country containing Basra has its capital in,"Baghdad.
Fact: The",Baghdad,Iraq,country_capital,False,True
The country containing Cork has its capital in,"Dublin.
Where would you",Dublin,Ireland,country_capital,False,True
The country containing Tel Aviv has its capital in,"Jerusalem.
Which country is",Jerusalem,Israel,country_capital,False,True
The country containing Milan has its capital in,"Turin.
Which of",Rome,Italy,country_capital,False,False
The country containing Spanish Town has its capital in,"Kingston.
Where would you",Kingston,Jamaica,country_capital,False,True
The country containing Yokohama has its capital in,"Tokyo.
Where would you",Tokyo,Japan,country_capital,False,True
The country containing Zarqa has its capital in,"Amman.
Given the",Amman,Jordan,country_capital,False,True
The country containing Almaty has its capital in,Nur-Sultan. What,Astana,Kazakhstan,country_capital,False,False
The country containing Mombasa has its capital in,"Nairobi.
Fact: M",Nairobi,Kenya,country_capital,False,True
The country containing Betio has its capital in,the city of Naha,Tarawa,Kiribati,country_capital,False,False
The country containing Hamhung has its capital in,"Pyongyang.
Fact: The",Pyongyang,North Korea,country_capital,False,True
The country containing Busan has its capital in,"Seoul.
Where would you",Seoul,South Korea,country_capital,False,True
The country containing Al Jahra has its capital in,"Abu Dhabi.
Fact:",Kuwait City,Kuwait,country_capital,False,False
The country containing Osh has its capital in,"Bishkek.
Fact",Bishkek,Kyrgyzstan,country_capital,False,True
The country containing Pakxe has its capital in,"Vientiane.
Where",Vientiane,Laos,country_capital,False,True
The country containing Daugavpils has its capital in,"Riga.
Which of",Riga,Latvia,country_capital,False,True
The country containing Tripoli has its capital in,"Tripoli.
Fact:",Beirut,Lebanon,country_capital,False,False
