Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,n_features,substring,stopped_generation,model,rhyme_correct,vowel_correct,consonant_correct,detected_vowel,detected_consonant,target_vowel,target_consonant,singular_consonant_correct
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"The night is a mirror, reflecting the light.","The night is a mirror, reflecting the light.","The night is a mirror, reflecting the",10,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Whispers coil like shadows, cold and tight,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Whispers coil like shadows, cold and tight,
assistant
<think>

</think>

The night is a mirror, reflecting the soul.",Qwen3-0.6B,False,False,False,OW1,L,AY1,T,False
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,"A song of time, a song of the old.","A song of time, a song of the old.","A song of time, a song of the",8,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Autumn's breath turns leaves to gold, a whispered story told,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Autumn's breath turns leaves to gold, a whispered story told,
assistant
<think>

</think>

A song of time, a song of the land.",Qwen3-0.6B,False,False,True,AE1,D,OW1,D,True
72,"A flawless sphere, yet marred by its glow,",glow,shadow,glow,True,"A mirror of light, yet veiled in shadow.","A mirror of light, yet veiled in shadow.","A mirror of light, yet veiled in",8,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: A flawless sphere, yet marred by its glow,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: A flawless sphere, yet marred by its glow,
assistant
<think>

</think>

A mirror of the moon, yet veiled in night.",Qwen3-0.6B,False,False,False,AY1,T,OW1,,False
91,"In shadows deep where hope once danced with light,",light,flight,light,True,"In the twilight's embrace, where dreams once took flight.","In the twilight's embrace, where dreams once took flight.","In the twilight's embrace, where dreams once took",10,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadows deep where hope once danced with light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadows deep where hope once danced with light,
assistant
<think>

</think>

In twilight's embrace, where dreams once soared,",Qwen3-0.6B,False,False,False,AO1,D,AY1,T,False
128,"In starlit whispers, my hopes take flight,",flight,bright,light,True,"In golden light, my dreams are bright.","In golden light, my dreams are bright.","In golden light, my dreams are",10,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In starlit whispers, my hopes take flight,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In starlit whispers, my hopes take flight,
assistant
<think>

</think>

In golden light, my dreams are bright.",Qwen3-0.6B,False,True,True,AY1,T,AY1,T,True
131,"In shadows cast by city lights, a thousand souls feel night,",night,light,light,True,"In the glow of a thousand stars, a thousand souls feel light.","In the glow of a thousand stars, a thousand souls feel light.","In the glow of a thousand stars, a thousand souls feel",8,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In shadows cast by city lights, a thousand souls feel night,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In shadows cast by city lights, a thousand souls feel night,
assistant
<think>

</think>

In the glow of a thousand stars, a thousand souls feel light.",Qwen3-0.6B,False,True,True,AY1,T,AY1,T,True
168,"Smoke ascends where silent dreams once grew,",grew,knew,new,True,The night is a mirror of what we once knew.,The night is a mirror of what we once knew.,The night is a mirror of what we once,10,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Smoke ascends where silent dreams once grew,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Smoke ascends where silent dreams once grew,
assistant
<think>

</think>

The night is a mirror of what we once saw.",Qwen3-0.6B,False,False,True,AO1,,UW1,,True
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,bright,light,True,"The sun will rise on the horizon, and the stars will shine bright.","The sun will rise on the horizon, and the stars will shine bright.","The sun will rise on the horizon, and the stars will shine",13,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,
assistant
<think>

</think>

The sun will rise on the horizon, and the stars will shine bright.",Qwen3-0.6B,False,True,True,AY1,T,AY1,T,True
187,"Two hearts entwined where the vows take flight,",flight,night,light,True,And where the stars are born in the night.,And where the stars are born in the night.,And where the stars are born in the,11,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Two hearts entwined where the vows take flight,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Two hearts entwined where the vows take flight,
assistant
<think>

</think>

And where the stars are born to share.",Qwen3-0.6B,False,False,False,EH1,R,AY1,T,False
481,"A gavel strikes where silence cries,",cries,sighs,dies,True,A voice is heard where the wind sighs.,A voice is heard where the wind sighs.,A voice is heard where the wind,8,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: A gavel strikes where silence cries,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: A gavel strikes where silence cries,
assistant
<think>

</think>

A voice is heard where the wind sighs.",Qwen3-0.6B,False,True,True,AY1,Z,AY1,Z,True
539,"Shadows cling where whispers fade,",fade,made,stayed,True,"The night is a mirror, where dreams are made.","The night is a mirror, where dreams are made.","The night is a mirror, where dreams are",9,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: Shadows cling where whispers fade,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: Shadows cling where whispers fade,
assistant
<think>

</think>

The night is a mirror, where dreams are cast.",Qwen3-0.6B,False,False,False,AE1,T,EY1,D,False
636,"In the hush where heavens hum with light,",light,night,light,True,A song of stars and a tale of night.,"In the hush where heavens hum with light,  
A song of stars and a tale of night.","In the hush where heavens hum with light,  
A song of stars and a tale of",11,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In the hush where heavens hum with light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In the hush where heavens hum with light,
assistant
<think>

</think>

In the hush where heavens hum with light,  
A song of stars and a tale of night",Qwen3-0.6B,False,True,True,AY1,T,AY1,T,True
659,"In the mirror of the soul, shadows dance with light,",light,flight,light,True,"In the heart of the soul, where dreams take flight,","In the heart of the soul, where dreams take flight,  
A dance of light and shadow, so true and true.","In the heart of the soul, where dreams take flight,  
A dance of light and shadow, so true and",9,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In the mirror of the soul, shadows dance with light,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In the mirror of the soul, shadows dance with light,
assistant
<think>

</think>

In the heart of the soul, light dances with shadow.",Qwen3-0.6B,False,False,False,OW2,,AY1,T,False
665,"In the shadow's grip, a fragile spark still dares to rise—",rise,dies,dies,True,"In the night's breath, a flame that never dies.","In the night's breath, a flame that never dies.","In the night's breath, a flame that never",11,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: In the shadow's grip, a fragile spark still dares to rise—<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: In the shadow's grip, a fragile spark still dares to rise—
assistant
<think>

</think>

In the moon's pale light, a flame dances with grace.",Qwen3-0.6B,False,False,False,EY1,S,AY1,Z,False
692,"The chains of silence clank beneath the breath of rebels' cries,",cries,rise,dies,True,The fire of defiance burns in the hearts of those who rise.,The fire of defiance burns in the hearts of those who rise.,The fire of defiance burns in the hearts of those who,12,"<|im_start|>user
/no_think Write only the next line of this rhyming couplet: The chains of silence clank beneath the breath of rebels' cries,<|im_end|>
<|im_start|>assistant
<think>

</think>

","user
/no_think Write only the next line of this rhyming couplet: The chains of silence clank beneath the breath of rebels' cries,
assistant
<think>

</think>

The flame of defiance ignites where the night is dark.",Qwen3-0.6B,False,False,False,AA1,K,AY1,Z,False
