sentence_index,input_text,generation,word_steered,index_steered,feature_count,steering_strength
0,"One day, a little girl","One day, a little girl was playing with her dog in the park. She",,,,
0,"One day, a little girl","user
One day, a little girl was born in a classroom. Her name is Ms",teacher,0.0,20.0,3.0
0,"One day, a little girl","user
One day, a little girl and a little

⽼⽼⽼⽼⽼⽼",teacher,0.0,20.0,5.0
0,"One day, a little girl","user
One day, a little girl⽼⽼⽼⽼⽼⽼⽼⽼⽼⽼",teacher,0.0,20.0,7.0
0,"One day, a little girl","user
One day, a little girl was born in a certain town, and the same",artist,1.0,16.0,3.0
0,"One day, a little girl","user
One day, a little girl street
students
students
students
students
",artist,1.0,16.0,5.0
0,"One day, a little girl","user
One day, a little girl street
</concept
</concept
</concept",artist,1.0,16.0,7.0
0,"One day, a little girl","user
One day, a little girl was walking with her father. They were walking on",coach,2.0,16.0,3.0
0,"One day, a little girl","user
One day, a little girl was walking on the sidewalk, and she saw a",coach,2.0,16.0,5.0
0,"One day, a little girl","user
One day, a little girl's coach was fired. Her coach was fired because",coach,2.0,16.0,7.0
0,"One day, a little girl","user
One day, a little girl was born in a civil engineer's family in a",engineer,3.0,14.0,3.0
0,"One day, a little girl","user
One day, a little girl civil
Mechanical
Civil
Mechanical
",engineer,3.0,14.0,5.0
0,"One day, a little girl","user
One day, a little girl civil
Mechanical
Civil
Mechanical
",engineer,3.0,14.0,7.0
0,"One day, a little girl","user
One day, a little girl wrote a  $ 100 $ ",writer,4.0,13.0,3.0
0,"One day, a little girl","user
One day, a little girl writes a  $ \text{W

",writer,4.0,13.0,5.0
0,"One day, a little girl","user
One day, a little girl writer wrote a(n)  __ writer
 writer",writer,4.0,13.0,7.0
0,"One day, a little girl","user
One day, a little girl was playing with her dog. The dog was a",manager,5.0,13.0,3.0
0,"One day, a little girl","user
One day, a little girl is playing with her dog. The dog is a",manager,5.0,13.0,5.0
0,"One day, a little girl","user
One day, a little girl is the general store general assistant store manager assistant store",manager,5.0,13.0,7.0
0,"One day, a little girl","user
One day, a little girl chemist chemist chemist chemist chemist",chemist,6.0,12.0,3.0
0,"One day, a little girl","user
One day, a little girl chemist chemically and chemically chemically chem",chemist,6.0,12.0,5.0
0,"One day, a little girl","user
One day, a little girl chem-chem-chem-chem-chem-",chemist,6.0,12.0,7.0
0,"One day, a little girl","user
One day, a little girl named Bella is playing with her dog, and they",actor,7.0,12.0,3.0
0,"One day, a little girl","user
One day, a little girl named Juju is playing with some small and small",actor,7.0,12.0,5.0
0,"One day, a little girl","user
One day, a little girl named JuJu (MGlJuJuDBM",actor,7.0,12.0,7.0
0,"One day, a little girl","user
One day, a little girl was playing with her dog in the park. She",judge,8.0,12.0,3.0
0,"One day, a little girl","user
One day, a little girl was playing with her dog in the court yard of",judge,8.0,12.0,5.0
0,"One day, a little girl","user
One day, a little girl found a court of people's court, and the",judge,8.0,12.0,7.0
0,"One day, a little girl","user
One day, a little girl was playing with her cat. She had a box",poet,9.0,11.0,3.0
0,"One day, a little girl","user
One day, a little girl was playing with her cat. She had a box",poet,9.0,11.0,5.0
0,"One day, a little girl","user
One day, a little girl named Emily Keats was very romantic and used to",poet,9.0,11.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep","Once upon a time, there was a little car named Beep. Beep was a very fast car, but he was also",,,,
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was a very good and kind
teacher. She",teacher,0.0,20.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was a very busy and busy and busy and busy",teacher,0.0,20.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep⽼⽼⽼⽼⽼⽼⽼⽼⽼⽼",teacher,0.0,20.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was a very young and inexperienced car, and he",artist,1.0,16.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was an
abstract conceptual
conceptual
concept",artist,1.0,16.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was an abstract conceptual conceptual conceptual conceptual conceptual conceptual conceptual",artist,1.0,16.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was a very curious car. One day, Be",coach,2.0,16.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was a very curious and adventurous coach. One day",coach,2.0,16.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was a very good coach, and he had a",coach,2.0,16.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was a mechanical engineer and had a dream of becoming",engineer,3.0,14.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was a mechanical civil
civil
civil
civil",engineer,3.0,14.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep civil
Mechanical, electrical, and software systems",engineer,3.0,14.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep was a very fast writer, and he wrote ",writer,4.0,13.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep wrote a(n) (write)  __ ",writer,4.0,13.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep wrote a(n) ( writer
 writer
 writer",writer,4.0,13.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep","user
Once upon a time, there was a little car named Beep. Beep loved to drive around the neighborhood, and one day",manager,5.0,13.0,3.0
