question,generated,answer,intermediate,prompt_type,exact_match,contains_answer
The country containing Kandahar has its capital in,"Kabul, what is the",Kabul,Afghanistan,country_capital,False,True
The country containing Durrës has its capital in,"Tirana, what is",Tirana,Albania,country_capital,False,True
The country containing Oran has its capital in,"Algiers, Algeria.",Algiers,Algeria,country_capital,False,True
The country containing Les Escaldes has its capital in,"Barcelona, Spain, B",Andorra la Vella,Andorra,country_capital,False,False
The country containing Huambo has its capital in,"Luanda, what is",Luanda,Angola,country_capital,False,True
The country containing All Saints has its capital in,"Dublin, Ireland.",St. John's,Antigua and Barbuda,country_capital,False,False
The country containing Córdoba has its capital in,"Bogotá, Colombia",Buenos Aires,Argentina,country_capital,False,False
The country containing Gyumri has its capital in,"Yerevan, what",Yerevan,Armenia,country_capital,False,True
The country containing Sydney has its capital in,"Canberra, B: Melbourne",Canberra,Australia,country_capital,False,True
The country containing Graz has its capital in,"Vienna, Austria.",Vienna,Austria,country_capital,False,True
The country containing Ganja has its capital in,"Baku, Azerbaijan,",Baku,Azerbaijan,country_capital,False,True
The country containing Freeport has its capital in,"Freeport, Bahamas",Nassau,Bahamas,country_capital,False,False
The country containing Riffa has its capital in,"Bahrain, B: Kuwait",Manama,Bahrain,country_capital,False,False
The country containing Chittagong has its capital in,"Dhaka, what is",Dhaka,Bangladesh,country_capital,False,True
The country containing Speightstown has its capital in,"Bridgetown, Barb",Bridgetown,Barbados,country_capital,False,True
The country containing Homel has its capital in,What is the answer?,Minsk,Belarus,country_capital,False,False
The country containing Antwerp has its capital in,"Brussels, Belgium.",Brussels,Belgium,country_capital,False,True
The country containing Belize City has its capital in,"Belize City, B:",Belmopan,Belize,country_capital,False,False
The country containing Cotonou has its capital in,"Abidjan, what",Porto-Novo,Benin,country_capital,False,False
The country containing Phuntsholing has its capital in,"Kathmandu, B",Thimphu,Bhutan,country_capital,False,False
The country containing Banja Luka has its capital in,"Belgrade, Serbia,",Sarajevo,Bosnia and Herzegovina,country_capital,False,False
The country containing Francistown has its capital in,"Botswana, B:",Gaborone,Botswana,country_capital,False,False
The country containing São Paulo has its capital in,"Brasilia, B:",Brasília,Brazil,country_capital,False,True
The country containing Kuala Belait has its capital in,"Brunei, B:",Bandar Seri Begawan,Brunei,country_capital,False,False
The country containing Plovdiv has its capital in,Sofia  B: Athens,Sofia,Bulgaria,country_capital,False,True
The country containing Bobo-Dioulasso has its capital in,"Burkina Faso,",Ouagadougou,Burkina Faso,country_capital,False,False
The country containing Muyinga has its capital in,Kinshasa,Bujumbura,Burundi,country_capital,False,False
The country containing Siem Reap has its capital in,"Phnom Penh,",Phnom Penh,Cambodia,country_capital,False,True
The country containing Douala has its capital in,"Douala, Cameroon,",Yaoundé,Cameroon,country_capital,False,False
The country containing Toronto has its capital in,"Ottawa, Canada.",Ottawa,Canada,country_capital,False,True
The country containing Mindelo has its capital in,"Praia, Cape Verde",Praia,Cape Verde,country_capital,False,True
The country containing Bimbo has its capital in,Mexico City,Bangui,Central African Republic,country_capital,False,False
The country containing Moundou has its capital in,N'Djamena,N'Djamena,Chad,country_capital,True,True
The country containing Puente Alto has its capital in,"Santiago, Chile",Santiago,Chile,country_capital,False,True
