question,generated,answer,intermediate,prompt_type,exact_match,contains_answer
The country containing Kandahar has its capital in,"Kabul
A: Kabul",Kabul,Afghanistan,country_capital,False,True
The country containing Durrës has its capital in,"Tirana
A:",Tirana,Albania,country_capital,False,True
The country containing Oran has its capital in,"Algiers
A:",Algiers,Algeria,country_capital,False,True
The country containing Les Escaldes has its capital in,Andorra la Vella,Andorra la Vella,Andorra,country_capital,True,True
The country containing Huambo has its capital in,"Luanda
A:",Luanda,Angola,country_capital,False,True
The country containing All Saints has its capital in,1000,St. John's,Antigua and Barbuda,country_capital,False,False
The country containing Córdoba has its capital in,"Buenos Aires
A:",Buenos Aires,Argentina,country_capital,False,True
The country containing Gyumri has its capital in,"Yerevan
A",Yerevan,Armenia,country_capital,False,True
The country containing Sydney has its capital in,"Canberra
B: Melbourne",Canberra,Australia,country_capital,False,True
The country containing Graz has its capital in,"Vienna
B: Graz",Vienna,Austria,country_capital,False,True
The country containing Ganja has its capital in,"Baku
A:",Baku,Azerbaijan,country_capital,False,True
The country containing Freeport has its capital in,"what city?
A:",Nassau,Bahamas,country_capital,False,False
The country containing Riffa has its capital in,"Manama
A:",Manama,Bahrain,country_capital,False,True
The country containing Chittagong has its capital in,"Dhaka
A:",Dhaka,Bangladesh,country_capital,False,True
The country containing Speightstown has its capital in,"Bridgetown
A",Bridgetown,Barbados,country_capital,False,True
The country containing Homel has its capital in,"Warsaw
A: Warsaw",Minsk,Belarus,country_capital,False,False
The country containing Antwerp has its capital in,"Brussels
B: Ant",Brussels,Belgium,country_capital,False,True
The country containing Belize City has its capital in,Belmopan,Belmopan,Belize,country_capital,True,True
The country containing Cotonou has its capital in,"Porto-Novo
A",Porto-Novo,Benin,country_capital,False,True
The country containing Phuntsholing has its capital in,Thimphu,Thimphu,Bhutan,country_capital,True,True
The country containing Banja Luka has its capital in,"Sarajevo
A",Sarajevo,Bosnia and Herzegovina,country_capital,False,True
The country containing Francistown has its capital in,"Windhoek
A",Gaborone,Botswana,country_capital,False,False
The country containing São Paulo has its capital in,"Brasília
A:",Brasília,Brazil,country_capital,False,True
The country containing Kuala Belait has its capital in,Bandar Seri Beg,Bandar Seri Begawan,Brunei,country_capital,False,False
The country containing Plovdiv has its capital in,"Sofia
B: P",Sofia,Bulgaria,country_capital,False,True
The country containing Bobo-Dioulasso has its capital in,Ouagadougou,Ouagadougou,Burkina Faso,country_capital,True,True
The country containing Muyinga has its capital in,"Kigali
A",Bujumbura,Burundi,country_capital,False,False
The country containing Siem Reap has its capital in,Phnom Penh,Phnom Penh,Cambodia,country_capital,True,True
The country containing Douala has its capital in,"Yaounde
A",Yaoundé,Cameroon,country_capital,False,True
The country containing Toronto has its capital in,"Ottawa
B: Montreal",Ottawa,Canada,country_capital,False,True
The country containing Mindelo has its capital in,"Lisbon
B: Lu",Praia,Cape Verde,country_capital,False,False
The country containing Bimbo has its capital in,"Mexico City
A:",Bangui,Central African Republic,country_capital,False,False
The country containing Moundou has its capital in,"Niamey
A",N'Djamena,Chad,country_capital,False,False
The country containing Puente Alto has its capital in,"Santiago
A: Santiago",Santiago,Chile,country_capital,False,True
The country containing Shanghai has its capital in,"Beijing
B: Guang",Beijing,China,country_capital,False,True
The country containing Medellín has its capital in,"Bogotá
A",Bogotá,Colombia,country_capital,False,True
The country containing Mutsamudu has its capital in,10°0,Moroni,Comoros,country_capital,False,False
The country containing Lubumbashi has its capital in,"Kinshasa
A",Kinshasa,Democratic Republic of the Congo,country_capital,False,True
The country containing Pointe-Noire has its capital in,Brazzaville,Brazzaville,Republic of the Congo,country_capital,True,True
The country containing Alajuela has its capital in,"San José
A:",San José,Costa Rica,country_capital,False,True
The country containing Abidjan has its capital in,Yamoussouk,Yamoussoukro,Côte d'Ivoire,country_capital,False,False
The country containing Split has its capital in,"Zagreb
B:",Zagreb,Croatia,country_capital,False,True
The country containing Santiago de Cuba has its capital in,"Havana
B: Santiago",Havana,Cuba,country_capital,False,True
The country containing Limassol has its capital in,"Nicosia
A",Nicosia,Cyprus,country_capital,False,True
The country containing Brno has its capital in,Bratislava,Prague,Czech Republic,country_capital,False,False
The country containing Aarhus has its capital in,"Copenhagen
A:

Den",Copenhagen,Denmark,country_capital,False,True
The country containing Ali Sabieh has its capital in,Djibouti City,Djibouti,Djibouti,country_capital,False,True
The country containing Portsmouth has its capital in,"London
B: Portsmouth",Roseau,Dominica,country_capital,False,False
The country containing Santiago de los Caballeros has its capital in,"Santo Domingo
B",Santo Domingo,Dominican Republic,country_capital,False,True
The country containing Dare has its capital in,1000,Dili,East Timor,country_capital,False,False
The country containing Guayaquil has its capital in,"Quito
A:",Quito,Ecuador,country_capital,False,True
The country containing Alexandria has its capital in,"Cairo
B: Alexandria",Cairo,Egypt,country_capital,False,True
The country containing Santa Ana has its capital in,"San Jose
A:",San Salvador,El Salvador,country_capital,False,False
The country containing Bata has its capital in,"Madrid
A: Spain",Malabo,Equatorial Guinea,country_capital,False,False
The country containing Keren has its capital in,Addis Ababa,Asmara,Eritrea,country_capital,False,False
The country containing Tartu has its capital in,"Tallinn
A:",Tallinn,Estonia,country_capital,False,True
The country containing Dire Dawa has its capital in,Addis Ababa,Addis Ababa,Ethiopia,country_capital,True,True
The country containing Nasinu has its capital in,"Suva
A:",Suva,Fiji,country_capital,False,True
The country containing Espoo has its capital in,"Helsinki
B: T",Helsinki,Finland,country_capital,False,True
The country containing Marseille has its capital in,"Paris
B: London",Paris,France,country_capital,False,True
The country containing Port-Gentil has its capital in,"Libreville
A",Libreville,Gabon,country_capital,False,True
The country containing Serekunda has its capital in,"Banjul
A",Banjul,Gambia,country_capital,False,True
The country containing Kutaisi has its capital in,"Tbilisi
A",Tbilisi,Georgia,country_capital,False,True
The country containing Hamburg has its capital in,"Berlin
B: London",Berlin,Germany,country_capital,False,True
The country containing Kumasi has its capital in,"Accra
A:",Accra,Ghana,country_capital,False,True
The country containing Thessaloniki has its capital in,"Athens
A: Athens",Athens,Greece,country_capital,False,True
The country containing Gouyave has its capital in,"Port of Spain
B",St. George's,Grenada,country_capital,False,False
The country containing Quetzaltenango has its capital in,"Guatemala City
A:",Guatemala City,Guatemala,country_capital,False,True
The country containing Nzérékoré has its capital in,"Conakry
A",Conakry,Guinea,country_capital,False,True
The country containing Gabú has its capital in,"Dakar
A:",Bissau,Guinea-Bissau,country_capital,False,False
The country containing Linden has its capital in,"Berlin
A: Germany",Georgetown,Guyana,country_capital,False,False
The country containing Gonaïves has its capital in,Port-au-Prince,Port-au-Prince,Haiti,country_capital,True,True
The country containing San Pedro Sula has its capital in,Tegucigal,Tegucigalpa,Honduras,country_capital,False,False
The country containing Debrecen has its capital in,"Budapest
A: Budapest",Budapest,Hungary,country_capital,False,True
The country containing Kópavogur has its capital in,Reykjavík,Reykjavík,Iceland,country_capital,True,True
The country containing Mumbai has its capital in,"New Delhi
A:",New Delhi,India,country_capital,False,True
The country containing Surabaya has its capital in,"Jakarta
B: Sur",Jakarta,Indonesia,country_capital,False,True
The country containing Mashhad has its capital in,"Tehran
A:

T",Tehran,Iran,country_capital,False,True
The country containing Basra has its capital in,"Baghdad
A: Baghdad",Baghdad,Iraq,country_capital,False,True
The country containing Cork has its capital in,"Dublin
B: Cork",Dublin,Ireland,country_capital,False,True
The country containing Tel Aviv has its capital in,"Jerusalem
A: The",Jerusalem,Israel,country_capital,False,True
The country containing Milan has its capital in,"Rome
A: Rome",Rome,Italy,country_capital,False,True
The country containing Spanish Town has its capital in,"Kingston
A: Jamaica",Kingston,Jamaica,country_capital,False,True
The country containing Yokohama has its capital in,"Tokyo
B: Beijing",Tokyo,Japan,country_capital,False,True
The country containing Zarqa has its capital in,"Amman
A:",Amman,Jordan,country_capital,False,True
The country containing Almaty has its capital in,"Astana
A:",Astana,Kazakhstan,country_capital,False,True
The country containing Mombasa has its capital in,"Nairobi
A:

N",Nairobi,Kenya,country_capital,False,True
The country containing Betio has its capital in,"Tarawa
A:",Tarawa,Kiribati,country_capital,False,True
The country containing Hamhung has its capital in,"Pyongyang
A:

Py",Pyongyang,North Korea,country_capital,False,True
The country containing Busan has its capital in,"Seoul
A: Seoul",Seoul,South Korea,country_capital,False,True
The country containing Al Jahra has its capital in,"Kuwait City
A:",Kuwait City,Kuwait,country_capital,False,True
The country containing Osh has its capital in,"Bishkek
A",Bishkek,Kyrgyzstan,country_capital,False,True
The country containing Pakxe has its capital in,"Vientiane
A",Vientiane,Laos,country_capital,False,True
The country containing Daugavpils has its capital in,"Riga
A:",Riga,Latvia,country_capital,False,True
The country containing Tripoli has its capital in,"Cairo
B: Trip",Beirut,Lebanon,country_capital,False,False
The country containing Teyateyaneng has its capital in,"Gaborone
A",Maseru,Lesotho,country_capital,False,False
The country containing Gbarnga has its capital in,"Monrovia
A",Monrovia,Liberia,country_capital,False,True
The country containing Benghazi has its capital in,"Tripoli
A:",Tripoli,Libya,country_capital,False,True
The country containing Schaan has its capital in,"Luxembourg
B: Sch",Vaduz,Liechtenstein,country_capital,False,False
The country containing Kaunas has its capital in,"Vilnius
A",Vilnius,Lithuania,country_capital,False,True
The country containing Esch-sur-Alzette has its capital in,What is the answer?,Luxembourg City,Luxembourg,country_capital,False,False
The country containing Bitola has its capital in,"Skopje
A",Skopje,North Macedonia,country_capital,False,True
The country containing Toamasina has its capital in,Antananarivo,Antananarivo,Madagascar,country_capital,True,True
The country containing Blantyre has its capital in,"London
B: L",Lilongwe,Malawi,country_capital,False,False
The country containing George Town has its capital in,"Kuala Lumpur
A:",Kuala Lumpur,Malaysia,country_capital,False,True
The country containing Addu City has its capital in,"Male
A: Male",Malé,Maldives,country_capital,False,True
The country containing Sikasso has its capital in,"Bamako
A:",Bamako,Mali,country_capital,False,True
The country containing Birkirkara has its capital in,"Valletta
A",Valletta,Malta,country_capital,False,True
The country containing Ebeye has its capital in,"Majuro
A:",Majuro,Marshall Islands,country_capital,False,True
The country containing Nouadhibou has its capital in,Nouakchott,Nouakchott,Mauritania,country_capital,True,True
The country containing Beau Bassin-Rose Hill has its capital in,"Port Louis
A:",Port Louis,Mauritius,country_capital,False,True
The country containing Ecatepec has its capital in,"Mexico City
B:",Mexico City,Mexico,country_capital,False,True
The country containing Weno has its capital in,"Majuro
A:",Palikir,Federated States of Micronesia,country_capital,False,False
The country containing Tiraspol has its capital in,"Minsk
B:",Chișinău,Moldova,country_capital,False,False
The country containing Monte Carlo has its capital in,"Monaco
B: France",Monaco,Monaco,country_capital,False,True
The country containing Darkhan has its capital in,Ulaanbaatar,Ulaanbaatar,Mongolia,country_capital,True,True
