,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"The night is a mirror, reflecting the light.","The night is a mirror, reflecting the light.","The night is a mirror, reflecting the",5,True,701-play,701,grey,4,"[' light', ' soul', ' truth', ' stars', ' dark']","[0.1591796875, 0.0849609375, 0.0849609375, 0.05859375, 0.05859375]","[' truth', ' soul', ' past', ' true', ' heart']","[0.44140625, 0.2080078125, 0.0361328125, 0.033935546875, 0.02197265625]"
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,"A song of time, a song of the old.","A song of time, a song of the old.","A song of time, a song of the",0,True,91-bright,91,light,2,"[' old', ' land', ' wind', ' season', ' seasons']","[0.0791015625, 0.0791015625, 0.06982421875, 0.06982421875, 0.05126953125]","[' old', ' wind', ' season', ' land', ' world']","[0.07861328125, 0.0693359375, 0.0693359375, 0.061279296875, 0.05078125]"
65,"In the dance of flaw and flawless light,",light,night,light,True,A song of stars and a song of night.,"In the dance of flaw and flawless light,  
A song of stars and a song of night.","In the dance of flaw and flawless light,  
A song of stars and a song of",0,True,701-play,701,grey,4,"[' light', ' night', ' flight', ' fire', ' time']","[0.1611328125, 0.125, 0.09765625, 0.05224609375, 0.046142578125]","[' night', ' time', ' light', ' skies', ' flight']","[0.09033203125, 0.06201171875, 0.04833984375, 0.035400390625, 0.033203125]"
91,"In shadows deep where hope once danced with light,",light,bright,light,True,"In the quiet of night where dreams once were bright,","In the quiet of night where dreams once were bright,",In the quiet of night where dreams once were,2,True,682-true,682,new,3,"[' bright', ' kind', ',', ' so', ' light']","[0.244140625, 0.054443359375, 0.039794921875, 0.037353515625, 0.022705078125]","[' bright', ' kind', ' true', ' free', ',']","[0.189453125, 0.08935546875, 0.08935546875, 0.03515625, 0.025634765625]"
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,bright,light,True,"The sun will rise on the horizon, and the stars will shine bright.","The sun will rise on the horizon, and the stars will shine bright.","The sun will rise on the horizon, and the stars will shine",12,True,682-true,682,new,3,"[' bright', ' in', ' with', ' on', '.']","[0.369140625, 0.2236328125, 0.07275390625, 0.0341796875, 0.0235595703125]","[' in', ' with', '.', ' through', ' by']","[0.380859375, 0.06640625, 0.058349609375, 0.048583984375, 0.035400390625]"
187,"Two hearts entwined where the vows take flight,",flight,night,light,True,And where the stars are born in the night.,And where the stars are born in the night.,And where the stars are born in the,2,True,745-entwine,745,entwine,1,"[' night', ' sky', ' midnight', ' heavens', ' deep']","[0.61328125, 0.19921875, 0.0126953125, 0.0126953125, 0.00872802734375]","[' night', ' sky', ' same', ' hand', ' firm']","[0.2255859375, 0.1552734375, 0.064453125, 0.02099609375, 0.019775390625]"
636,"In the hush where heavens hum with light,",light,bright,light,True,"A song of stars and dreams, so bright.","In the hush where heavens hum with light,  
A song of stars and dreams, so bright.","In the hush where heavens hum with light,  
A song of stars and dreams, so",1,True,745-entwine,745,entwine,1,"[' true', ' bright', ' soft', ' pure', ' deep']","[0.15234375, 0.15234375, 0.119140625, 0.0927734375, 0.0927734375]","[' true', ' bright', ' deep', ' soft', ' pure']","[0.23828125, 0.2099609375, 0.1123046875, 0.068359375, 0.0284423828125]"
644,"The earth turns slowly through time's tender grace,",grace,embrace,embrace,True,The stars dance in the sky's soft embrace.,The stars dance in the sky's soft embrace.,The stars dance in the sky's soft,0,True,781-bright,781,light,1,"[' embrace', ',', ' blue', ' light', ' silver']","[0.29296875, 0.12158203125, 0.05078125, 0.05078125, 0.0240478515625]","[' embrace', ',', ' blue', ' light', ' and']","[0.275390625, 0.11474609375, 0.0478515625, 0.0478515625, 0.0272216796875]"
682,"Wheels hum low beneath the morning's hue,",hue,true,new,True,"A dance of light and motion, so true.","Wheels hum low beneath the morning's hue,  
A dance of light and motion, so true.","Wheels hum low beneath the morning's hue,  
A dance of light and motion, so",3,True,953-light,953,light,7,"[' true', ' pure', ' clear', ' soft', ' slow']","[0.53515625, 0.08251953125, 0.044189453125, 0.0267333984375, 0.0267333984375]","[' soft', ' slow', ' low', ' young', ' swift']","[0.283203125, 0.1337890625, 0.11767578125, 0.046142578125, 0.0262451171875]"
692,"The chains of silence clank beneath the breath of rebels' cries,",cries,rise,dies,True,The fire of defiance burns in the hearts of those who rise.,The fire of defiance burns in the hearts of those who rise.,The fire of defiance burns in the hearts of those who,0,True,777-light,777,light,3,"[' rise', ' dare', ' stand', ' fight', ' break']","[0.43359375, 0.205078125, 0.045654296875, 0.040283203125, 0.0157470703125]","[' rise', ' hold', ' sing', ' dare', ' rose']","[0.166015625, 0.11376953125, 0.06103515625, 0.036865234375, 0.02880859375]"
695,"In tangled hearts, two vows entwine,",entwine,align,entwine,True,"In the quiet of night, two stars align.","In the quiet of night, two stars align.","In the quiet of night, two stars",0,True,726-sing,726,sing,1,"[' align', ' are', ' share', ' meet', ' find']","[0.08154296875, 0.07177734375, 0.0595703125, 0.0595703125, 0.052734375]","[' are', ' align', ' meet', ' share', ' find']","[0.078125, 0.0693359375, 0.0693359375, 0.06103515625, 0.057373046875]"
701,"In twilight’s breath, where shadows softly sway,",sway,play,grey,True,"In the moonlit lane, where dreams softly play.","In the moonlit lane, where dreams softly play.","In the moonlit lane, where dreams softly",4,True,781-bright,781,light,1,"[' play', ' dream', ' fall', ' fade', ' flow']","[0.146484375, 0.06884765625, 0.04736328125, 0.0419921875, 0.039306640625]","[' play', ' dream', ' fade', ' dance', ' fall']","[0.37109375, 0.12060546875, 0.05029296875, 0.0269775390625, 0.0269775390625]"
726,"In shadowed halls where whispers cling,",cling,sing,sing,True,"In silent halls where echoes still sing,","In silent halls where echoes still sing,  
A tale of dreams that never end.","In silent halls where echoes still sing,  
A tale of dreams that never",1,True,40-light,40,light,5,"[' end', ' ends', ' dies', ' die', ' kind']","[0.2470703125, 0.1318359375, 0.10302734375, 0.029541015625, 0.0244140625]","[' end', ' dies', ' dim', ' ends', ' gle']","[0.2236328125, 0.10546875, 0.06396484375, 0.0322265625, 0.020751953125]"
727,"In the shadow of the night, hope whispers light,",light,flight,light,True,"In the quiet of the night, dreams take flight.","In the quiet of the night, dreams take flight.","In the quiet of the night, dreams take",0,True,726-sing,726,sing,1,"[' flight', ' wing', ' their', ' hold', ' shape']","[0.90625, 0.051025390625, 0.0166015625, 0.00885009765625, 0.006103515625]","[' flight', ' wing', ' their', ' hold', ' shape']","[0.890625, 0.056884765625, 0.02099609375, 0.01123046875, 0.006805419921875]"
745,"In vows woven tight, two hearts intertwine,",intertwine,entwine,entwine,True,"In love's embrace, two souls entwine.","In love's embrace, two souls entwine.","In love's embrace, two souls",1,True,682-true,682,new,3,"[' ent', ' are', ' unite', ' remain', ' find']","[0.1708984375, 0.1708984375, 0.0712890625, 0.0712890625, 0.0712890625]","[' are', ' remain', ' meet', ' unite', ' ent']","[0.208984375, 0.0986328125, 0.06396484375, 0.05615234375, 0.043701171875]"
777,"In quiet hearts where whispered prayers take flight,",flight,light,light,True,"A song of love, a song of light.","In quiet hearts where whispered prayers take flight,  
A song of love, a song of light.","In quiet hearts where whispered prayers take flight,  
A song of love, a song of",3,True,726-sing,726,sing,1,"[' light', ' flight', ' life', ' peace', ' time']","[0.140625, 0.140625, 0.09619140625, 0.0751953125, 0.040283203125]","[' peace', ' flight', ' hope', ' the', ' grace']","[0.185546875, 0.1123046875, 0.068359375, 0.068359375, 0.06005859375]"
781,"Beneath the sky where childhood dreams take flight,",flight,bright,light,True,"In the quiet of dawn, where dreams are kind and bright,","In the quiet of dawn, where dreams are kind and bright,","In the quiet of dawn, where dreams are kind and",1,True,726-sing,726,sing,1,"[' bright', ' true', ' light', ' free', ' soft']","[0.404296875, 0.1484375, 0.07958984375, 0.0291748046875, 0.0257568359375]","[' bright', ' true', ' light', ' free', ' soft']","[0.3828125, 0.1591796875, 0.08544921875, 0.0277099609375, 0.0244140625]"
885,"In the quiet cradle of memory’s embrace,",embrace,grace,embrace,True,"A song of dreams, a song of grace.","In the quiet cradle of memory’s embrace,  
A song of dreams, a song of grace.","In the quiet cradle of memory’s embrace,  
A song of dreams, a song of",1,True,965-sing,965,sing,3,"[' grace', ' peace', ' light', ' life', ' the']","[0.1640625, 0.07763671875, 0.038818359375, 0.034423828125, 0.0322265625]","[' grace', ' flight', ' peace', ' light', ' rest']","[0.32421875, 0.072265625, 0.049560546875, 0.03857421875, 0.0341796875]"
949,"Amidst the swirl of hues and symphonies unsung,",unsung,sung,clung,True,"In the quiet of dawn's first light, where dreams are born and sung.","In the quiet of dawn's first light, where dreams are born and sung.","In the quiet of dawn's first light, where dreams are born and",0,True,91-bright,91,light,2,"[' sung', ' kind', ' born', ' wings', ' true']","[0.0791015625, 0.0478515625, 0.042236328125, 0.037353515625, 0.021240234375]","[' sung', ' born', ' kind', ' wings', ' songs']","[0.0751953125, 0.040283203125, 0.040283203125, 0.03564453125, 0.020263671875]"
