,Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
0,0,"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,25,True,160-stay,160,grey,45,Silent whispers of a dream that once felt right,Silent whispers of a time we can't reclaim.,"Whispers of a fading song, lost in the silent night.",Whispers of the past cling soft to memory's night.,Silent whispers trace the shadows of the night.,Silent whispers of a dream that once felt right.,"Whispers of a fading song, lost in the night.",Silent whispers cling to walls where memories still fight.,"Whispers of a fading song, soft and pale as morning's flight.",Soft whispers trace the shadows where the memories still lie.,Whispers of moments lost in time's slow flight.,"Silent whispers cling to shadows, soft and thin.",Silent whispers cling to moments lost in night.,Silent whispers of a dream that once felt right.,Whispers of the past cling softly to the night.,Soft whispers of a song that time has lost to night.,Silver whispers fade where memory's shadows lie.
1,1,"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,42,True,105-page,105,rage,48,I found a whisper where the silence spoke my name,But found only echoes of a face I never had to cage.,"I found a face I'd long forgot, worn thin by time and toll.","I found a face that whispered, ""You are not alone.""","I found a face I never knew, worn thin by time and toll.",I found a whisper where the silence spoke my name.,I found a whisper where the silence spoke my name.,I found a flame that burned too bold.,I found a whisper where the silence spoke my name.,I found a fire that burned too bold.,"I found a flicker, faint and pale, a whisper of control.",And found a flame that dared to grow.,But found only echoes of a voice I've never known.,"Yet found no reflection, only questions I still hold.","I found a face I'd long forgot, a story left untold.",I found the echoes of a fire that once made me whole.,"I found a face I never knew, worn thin by time and toll."
2,3,"In the quiet of the soul, a light divine remains,",remains,pains,remains,True,30,True,100-gale,100,exhale,35,"Guiding through the darkness with gentle, steady pains","Guiding through the darkness with a gentle, steady trail.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady strains.","Guiding through the darkness with gentle, steady strains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steadfast pains.","Guiding through the shadows with gentle, steady strains.","Guiding through the darkness with gentle, loving pains.","Guiding through the dark with gentle, steadfast pains.","Guiding through the darkness with gentle, steadfast plains.","Guiding through the darkness with gentle, peaceful rains.","Guiding through the darkness with gentle, healing rains.","Guiding through the darkness with gentle, loving pains.","Guiding through the darkness with gentle, steadfast strains.",Guiding through the darkness with gentlest strains.
3,4,"Sweet whispers dance on tongues of time,",time,climb,time,True,36,True,0-night,0,light,25,Soft echoes fade beneath the rhyme.,Soft echoes linger in the night.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the climb.,Soft echoes linger in the rhyme.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the climb.,Soft echoes fade within the rhyme.,Soft echoes linger in the rhyme.,"Soft echoes fade, yet linger still.",Soft echoes linger in the rhyme.,Soft echoes fade beneath the rhyme.
4,6,"Whispers of dusk linger on the lips of time,",time,climb,time,True,29,True,171-glance,171,dance,59,A silent promise etched in the fading light.,A silent breath that time cannot erase.,A silent promise etched in the fading light.,A silent promise etched in the hush of night.,A silent promise etched in the hush of night.,A silent promise etched in the fading light.,A silent promise etched in the hush of night.,A silent farewell to the light of the day.,A silent promise etched in the fading light.,A silent promise in the fading rhyme.,A fading melody in the hush of night.,A silent echo where the stars begin.,Echoes of dawn wait on the edge of night.,A silent hymn to moments never meant to climb.,A fading breath that softly chills the climb.,A silent sigh where once the daylight climbed.,Soft echoes fade where the twilight climbs.
5,8,"The drums of time beat echoes of the past,",past,mast,past,True,31,True,18-climb,18,time,37,And history's whispers haunt the present's mast.,And history whispers lessons to the rim.,And history's whispers haunt the present's mast.,And history's whispers guide us through the vast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's vast.,And history's whispers haunt the present's mast.,And history's shadow walks with every last.,And history's whispers haunt the present's mast.,And history's whisper lingers in the blast.,And history whispers lessons carved in mast.,And history's whispers guide us through the vast.,And history's whispers haunt the present's last.,And history's whisper lingers in the vast.,And history whispers lessons to the vast.,And shadows dance where forgotten hopes were cast.,And shadows dance where memories are cast.
6,9,"Though empires rise on whispers of might,",might,night,light,True,45,True,160-stay,160,grey,45,They fall to silence in the night.,They fall with echoes of a single day.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,"They fall to silence, swallowed by night.",They fall with echoes of forgotten light.,They fall to silence in the night.,They fall with echoes of forgotten right.,"They fall to silence, lost in the night.",They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the dead of night.,"They fall to silence, lost in the night."
7,12,"Two hearts entwined where promises bloom,",bloom,gloom,bloom,True,57,True,117-trees,117,trees,54,A future of love in each other's room.,A love that time and distance cannot sever.,A future woven in whispered tune.,A future woven in dreams and perfume.,A future of love in each other's room.,A future of love in each other's womb.,A future unfolds in the rhythm of gloom.,A future unfolding in gentle tune.,A future unfolding in gentle tune.,A future of love in each other's womb.,A future woven in whispered perfume.,A future of love in each other's room.,A love that deepens with each gentle gloom.,A love as deep as the ocean's gloom.,A future woven in gentle gloom.,A dance of souls in love's soft perfume.,A lifetime of love in each whispered tune.
8,16,"A hearth that glows where the heart finds its name,",name,same,name,True,42,True,159-erase,159,embrace,60,A flame that burns with the warmth of a dream,A flame that warms where the soul finds its place.,A flame that burns with the warmth of a dream.,A flame that burns with the warmth of a dream.,A flame that burns with the warmth of a dream.,A flame that burns with the warmth of a dream.,A flame that warms where the soul feels no shame.,A flame that whispers through every frame.,A flame that whispers of love's sweet refrain.,A flame that burns with the warmth of a dream.,A flame that burns with the warmth of a dream.,"A flame that whispers through time, untamed.",A flame that warms where the soul feels no shame.,A shadow that fades when the soul is not tame.,A flame that whispers through every frame.,A flame that whispers through every frame.,A flame that warms where the soul feels no shame.
9,17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,37,True,156-through,156,new,47,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to bloom.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the heart both breaks and flies.","In whispered winds, the echoes rise and fall.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered winds, the echoes rise and pass.",Like hearts that rise and fall with every sigh.,"In aching hearts, the echoes rise and fall.","In heartache's echo, hope and fear collide.","In whispered breath, the dawn begins to rise."
