,Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
0,0,"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,14,True,139-dead,139,thread,26,Whispers of time fade softly into night.,Whispers of time softly fade in the hush of the wind.,Whispers of time fade softly into night.,Whispers of time fade softly into night.,Whispers of time fade into the night.,Whispers of time fade softly into night.,Whispers of time fade softly into night.,whispers of time lost in the hush of night.,Whispers of time fade into silent night., whispering tales of a time that's gone.,Whispers of time fade into the night., whispering tales of time lost in the night.,Whispers of time fade softly into night.,casting shadows on the path we once did walk.,Whispers of time fade into gentle night.,Whispers of time softly fade from sight.,Whispers of time fade into silent night.
1,2,"In shadows deep where silence weeps,",weeps,keeps,weeps,True,48,True,54-day,54,grey,26,A whispered tale of secrets keeps.,A whispered truth begins to rise.,A whispered hope begins to creep.,A whispered tale of secrets keeps.,A whispered tale of secrets keeps.,A whispered tale of secrets keeps.,A whispered hope begins to creep.,"A whisper stirs, and secrets keep.",A whispered tale of secrets keeps.,A whisper waits to speak.,A whispered hope begins to creep.,A whispered tale of sorrow sleeps.,A whispered tale begins to creep.,A whispered tale of secrets sleeps.,"A whisper stirs, and secrets keep.",A whispered tale begins to creep.,A whispered tale of secrets keeps.
2,3,"In the quiet of the soul, a light divine remains,",remains,chains,remains,True,30,True,139-dead,139,thread,26,"A silent promise, soft and serene.",Guiding through the darkest night.,"A whisper of eternity, unseen, yet it sustains.","A silent promise, waiting to be claimed.","A silent promise, soft as morning's gentle rain.","A silent promise, steadfast and unchanging.","A silent promise, soft and serene.",A whisper of hope through the darkest of veins.,A silent song that time cannot erase.,"Guiding through the darkest nights with endless, gentle flames.","Unseen, yet ever burning through the darkest of the rains.",A silent hymn of hope through endless changing times.,A whisper of eternal flame.,"Guiding through the darkest nights with gentle, sacred flames.","Unseen, yet ever burning through the darkest of our strains.",A whisper of eternal flame.,A silent promise waiting to be named.
3,4,"Sweet whispers dance on tongues of time,",time,climb,time,True,17,True,65-fight,65,light,11,Echoes of love that never climb.,Echoes of love that never die.,Echoes of love that never climb.,Echoes of love that never climb.,Echoes of love that never will climb.,Echoes of love that never climb.,Echoes of love that never climb.,Echoes of love that never climb.,Echoes of love that never die.,Echoes of love that never will decline.,Eternal echoes in the mind.,Echoes of love that never climb.,Echoes of love that never climb.,Echoes of love that never cease to climb.,Echoes of love that never fade.,Echoes of love in every rhyme.,Echoes of forgotten rhyme.
4,6,"Whispers of dusk linger on the lips of time,",time,climb,time,True,15,True,130-lean,130,unseen,22,As shadows dance where memories climb.,As shadows dance where memories convene.,As shadows dance where memories climb.,As shadows dance where memories climb.,As shadows dance where memories climb.,As shadows stretch and stars begin to climb.,As shadows dance where memories climb.,A silent hymn to the stars that climb.,As shadows dance where memories climb.,Echoes of forgotten dreams take flight.,As shadows stretch and stars begin to climb.,As shadows dance where memories climb.,A silent hymn to endings yet to climb.,As shadows stretch and stars begin to climb.,As shadows dance where forgotten dreams align.,As shadows dance beneath the silver moon's soft shine.,As shadows stretch and stars begin to climb.
5,7,"Though flesh may fade and time may soar,",soar,evermore,soar,True,31,True,11-moan,11,stone,35,"Yet love remains, forevermore.","the soul remains, unbound and known.","Yet love remains, forevermore.",Yet spirit's flame will never bore.,"Yet love remains, forevermore.",the heart remains evermore.,"Yet love remains, forevermore.",The soul remains forevermore.,"Yet love remains, forevermore.","Yet love remains, forevermore.",the soul remains evermore.,yet spirit's flame will evermore.,"Yet love remains, a constant lore.",the heart remains evermore.,"Yet love remains, a fire evermore.",the soul remains evermore.,the spirit's flame will never ignore.
6,8,"The drums of time beat echoes of the past,",past,cast,past,True,15,True,11-moan,11,stone,35,While shadows of tomorrow cast their last.,While shadows dance where memories are known.,While shadows of tomorrow cast their vast.,While shadows dance in memories cast.,While shadows of tomorrow cast their last.,While shadows of the future cast their last.,While shadows dance in memories cast.,While shadows of tomorrow cast their steadfast last.,While shadows of tomorrow cast their steadfast mast.,While shadows of tomorrow cast their vast.,While shadows dance where memories are cast.,While shadows dance in memories cast.,While shadows of the future dance in cast.,While shadows whisper tales of hearts once cast.,While memories linger in the present's vast.,While shadows dance on the walls of our last.,While memories linger in the dark.
7,9,"Though empires rise on whispers of might,",might,light,light,True,21,True,84-more,84,soar,65,they fall on echoes of light.,they fall on echoes of stone.,they fall on echoes of light.,they crumble beneath the weight of right.,they fall on echoes of light.,they fall on echoes of light.,they fall on echoes of light.,they crumble to dust in the light.,they fall on echoes of light.,they fall on echoes of light.,they fall on echoes of light.,they crumble beneath the weight of right.,they fall on echoes of light.,they fall on echoes of light.,they fall on echoes of light.,they fall on echoes of light.,they crumble beneath the weight of right.
8,11,"I wander shadowed halls of silent stone,",stone,moan,stone,True,35,True,87-gleam,87,stream,26,Where echoes of the past still softly moan.,Where echoes of the past still dream and gleam.,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,where echoes of the past still softly moan.,Where echoes linger from a long-gone throne.,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past alone are known.
9,16,"A hearth that glows where the heart finds its name,",name,flame,name,True,18,True,61-grace,61,embrace,24,And the soul finds its home in the flame.,And a home that waits with a gentle embrace.,And the soul finds its home in the flame.,And a home where love is the only flame.,And a home that sings in the quietest flame.,And the soul finds its home in the flame.,And the soul finds its home in the flame.,"And in its flame, the soul finds its frame.",And the soul finds its home in the flame.,And a song that echoes through every frame.,And the soul finds its home in the flames.,And a home that sings in the arms of the flame.,And echoes of laughter through every frame.,And a silence that speaks in the language of flame.,And a home that sings in the gentlest flame.,And a home that sings where the soul feels the same.,And the soul feels safe in its gentle flame.
10,17,"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,25,True,40-light,40,light,28,As silent winds whisper through the skies.,As silent waves retreat from the shore's last light.,As silent winds let go of whispered cries.,As shadows dance where light once dared to rise.,As silent winds whisper through the skies.,As silent winds whisper through the skies.,As silent winds whisper through the skies.,As silent winds let go of whispered cries.,As silent waves reclaim the skies.,As silent winds whisper through the skies.,As silent winds whisper through the skies.,As shadows dance where light once dared to rise.,As silent waves reclaim the skies.,As silent winds recall the skies.,As if the sky itself exhales its sighs.,As silent winds retreat and leave the skies.,As shadows dance where light once dared to rise.
11,18,"Though flesh may fade and tombs may rust with time,",time,rhyme,time,True,23,True,23-tears,23,years,20,Yet memory lives on in the hearts of mine.,Yet memory lives on in whispered cheer.,Yet memory lives on in the hearts of mine.,Yet memory's flame will never dim or die.,Yet memory lives on in the hearts of mine.,Yet memory lives on in the hearts of mine.,Yet memory's flame will never dim.,"Yet memories endure, a timeless rhyme.",Yet spirit's flame will never lose its shine.,Yet memory keeps the soul from dying.,"Yet memories endure, a timeless rhyme.",Yet memory lives on in the hearts of mine.,Yet memory lives on in the hearts of mine.,Yet love's true light forever shines within.,Yet courage lives in hearts to climb the climb.,Yet spirit's fire still burns within.,Yet memory's flame outlives the dying prime.
12,19,"Roots buried deep in ancient soil,",soil,toil,soil,True,26,True,179-wire,179,desire,24,Branches reaching toward the sky.,Blossoms rise where time has tried.,Branches reaching toward the sky.,Branches reaching toward the sky.,Branches reaching toward the sky.,Branches reaching toward the sky.,Branches reaching toward the sky.,Branches reaching toward the sky.,Branches reaching toward the sky.,Blossoms rise where silence toils.,Branches reaching toward the sky.,Beneath the weight of time's control.,Branches reaching toward the sky.,Blossoming through the centuries' toil.,Branches reaching toward the sky.,Branches reaching toward the sky.,Blossoms bloom where time has toiled.
13,20,"In shadow’s clutch, the strongest will may kneel,",kneel,seal,kneel,True,54,True,101-flame,101,name,14,"Yet light, unyielding, breaks the night",Yet light can break through even the deepest den.,"Yet hope, unyielding, still dares to reveal.","Yet light, unyielding, breaks the night's cruel veil.","Yet light, unyielding, breaks the night's cruel veil.","Yet light, unyielding, breaks the night's cruel seal.",Yet light can rise from depths of deepest night.,"But light, unyielding, breaks the night's cruel veil.","Yet light, unyielding, finds its way to gleam.","Yet light, once found, will lift them from their fear.","Yet light, unyielding, shall rise to heal.","Yet hope, like dawn, can break the darkest veil.","And in the light, the humblest will may reign.","Yet in the heart, a spark remains to heal.","Yet light, unyielding, breaks the night’s cruel seal.",Yet virtue’s flame can never be concealed.,Yet light still dares to rise and heal.
14,22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,27,True,183-win,183,spin,45,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing air.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms begin to stir in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Beneath the boughs where blossoms dare to lie.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.
