,Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
0,0,"Golden echoes drift like dust through yesterday's dim light,",light,flight,light,True,2,True,234-there,234,despair,8,and fade like dreams in wind that never quite can,and fade like dreams in twilight's hush.,and fade like dreams in wind that never quite decide.,and fade like dreams in twilight's hush.,and fade like dreams in twilight's hushed embrace.,"and fade like dreams in the wind's soft, silent flight.",and fade like dreams in the wind's soft sigh.,and fade like dreams in wind that whispers through the night.,and fade like dreams in the morning's quiet mist.,and fade like dreams in wind that whispers of the past.,and fade like dreams in morning's breath.,"so brief and silent, yet they linger in the night.","Silent halls remember, yet fade like mist in the wind.",Silent shadows dance in memory's hushed refrain.,"and fade into silence, lost in time's soft, endless night.",Night's ghostly sighs whisper through the empty room.,and fade in silence where the dreams of youth once smiled.
1,17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,2,True,472-light,472,light,2,and fate's cruel dance begins to rise.,and fate's cruel dance begins to twirl.,and fate's cruel dance begins to rise.,and hope remains in the heart of the skies.,and fate's cruel dance begins to rise.,and fate's cruel dance begins to rise.,and shadows creep through the dark.,with fate's cruel whims and hope's resolute cries.,with fate's cruel twist and hope's bright fires.,and fate's cruel dance begins to be.,with fate's cruel dance and hope's faint sighs.,"and shadows creep across the pale, bright skies.",with hope in every breath.,with fate's uncertain will and skies once blue.,with fate's cruel dance and hope's quiet sigh.,and fate turns dusk to dawn in silent skies.,and hope begins to rise in the skies.
2,21,"In strokes of light and whispers unseen,",unseen,scene,unseen,True,5,True,491-led,491,thread,9,I paint the dreams of stars in twilight's dream,I paint the world in hues of dawn and dusk.,"I paint the stars with silent, fleeting gleam.",I paint the world with colors unseen.,I paint the world in hues of dawn and dusk.,I paint the dreams of stars in twilight's gleam.,"In strokes of light and whispers unseen,  
The world is painted with a dreamy scene.",I paint the world in colors unseen.,"In strokes of light and whispers unseen,  
The world is painted with a quiet dream.",I trace the shadows on the wall with careful pen.,"In strokes of light and whispers unseen,  
The world is painted with a dreamy spell.","I paint the stars with silent, shimmering pen.",I trace the shadows where the moon has been.,I paint the dawn with colors pure and keen.,I trace the echoes of the stars in every leaf.,"In strokes of light and whispers unseen,  
The world becomes a canvas, timeless and serene.",I paint the dreams of souls unknown.
3,28,"In whispers of dawn, the soul begins to pray,",pray,way,grey,True,7,True,407-cry,407,sigh,9,"and in the quiet of night, the heart finds","and in the quiet of night, the heart finds its way home.","and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its way.","and in silence, the heart finds its way.","and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its way home.","And in the quiet of the night, the heart finds its way home.","and in the quiet of night, the heart finds its way home.","and in the quiet of night, the heart finds its way home.","and in the quiet of night, the heart finds its way.","In whispers of dawn, the soul begins to pray,  
The world wakes soft, and hope takes",and the heart finds peace in the silence of day.,and dreams take flight in the quiet of the day.,and finds the light within the night's embrace.,"and in the morning light, the heart finds its way."
4,36,"Neon hums where tall shadows play,",play,ray,grey,True,5,True,375-toll,375,soul,9,"Neon hums where tall shadows play,  
","Neon hums where tall shadows play,  
And dreams are born in the dark's embrace.","Neon hums where tall shadows play,  
And dreams are born in the dark's embrace.","Neon hums where tall shadows play,  
And dreams are made of light and clay.","Neon hums where tall shadows play,  
And dreams are made of light and clay.","Neon hums where tall shadows play,  
And dreams are made of light and clay.","Neon hums where tall shadows play,  
And dreams are born in the dark's embrace.","Neon hums where tall shadows play,  
And secrets whisper in the day.","Neon hums where tall shadows play,  
And dreams are born in twilight's gray.","Neon hums where tall shadows play,  
But night is coming, and the day is gone","Neon hums where tall shadows play,  
Yet whispers of the night are laid.","Neon hums where tall shadows play,  
But dreams are fleeting, so brief.","Velvet dreams in twilight's hush,  
A whisper through the dark.","Neon hums where tall shadows play,  
A dance of light, a ghostly sway.",Dancing with the moon in silver ray.,"Neon hums where tall shadows play,  
But dreams are fleeting, never stay.","Neon hums where tall shadows play,  
And dreams are whispered through the clay."
5,38,"Anger boils like storm in night,",night,tight,light,True,1,True,496-rain,496,rain,5,and breaks the silence tight.,and breaks the heart with might.,and breaks the silence tight.,and breaks the silence tight.,and breaks the silence tight.,and breaks the peace with might.,and breaks the silence tight.,and breaks the sky with might.,and breaks the silence tight.,and fuels the fire of the night.,and breaks the glass with might.,and breaks the silence tight.,then breaks the silence tight.,Thunder rolls and hearts are tight.,Thunder cracks and hearts are split.,and lights the sky with fire.,and hides behind a veil of light.
6,40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,3,True,457-stair,457,despair,9,"Whispers coil like shadows, cold and tight,","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they find","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they find",Silent as the moon's pale silver light.,"Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll","Whispers coil like shadows, cold and tight,  
But dawn will break the silence, bright and","Whispers coil like shadows, cold and tight,  
But hearts hold warmth in every slight smile.",Secrets entwine in midnight's silent light.,"Echoes dance in silent night,  
A haunting, timeless, bright.",And silence clings to every brick.,"Whispers coil like shadows, cold and tight,  
Yet in the heart, a flame still sits","Whispers coil like shadows, cold and tight,  
Yet in the heart, a spark remains.","A secret lingers in the night, beneath the light."
7,43,"Autumn's breath turns leaves to gold, a whispered story told,",told,mold,told,True,4,True,459-sea,459,sea,1,"The wind carries tales through every leaf, and time",The wind carries tales through every tree.,The wind carries tales through every tree.,The wind carries tales through every wood.,The wind carries tales through every tree.,The wind carries tales through every scroll.,The wind carries tales through every leaf.,"and the world in quiet, soft, unforgettable old.","The wind carries tales of time and loss, and autumn's song is bold.",and the earth in quiet wonder rolls.,The wind carries tales of change and bold.,"Winter's embrace wraps earth in silence, and the world is still.",and the world is left in a dance of light.,"By wind and time, the world is stirred.",The wind carries the songs of old.,"and the world in quiet, soft, divine.","With quiet majesty, the season's song is told."
8,44,"The shadows stretch where laughter once was bright,",bright,light,light,True,3,True,459-sea,459,sea,1,and silence now holds all the light.,and silence now holds all the light.,and silence now holds all the light.,and silence now holds all the light.,and silence now holds all the light.,and silence now holds all the light.,and silence now holds all the light.,and silence now holds all the light.,The moonlight fades where dreams once took flight.,and silence now holds all the light.,and silence now holds all the light.,and silence now holds all the light.,and silence now holds all the light.,The echoes fade where dreams once burned bright.,The echoes linger where the heart once was proud.,and silence now holds all the light.,and silence now holds the space where joys once were.
9,46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,light,True,7,True,484-part,484,start,25,"And in the dawn's embrace, a hopeful heart","And in the dawn's embrace, a hopeful heart finds its way.","And in the dawn's embrace, a hopeful heart finds its way through the night.","And in the dawn's embrace, a hopeful heart finds its way through the night.","A fleeting dawn, though bright, will fade in the morning's light.","And in the dawn's embrace, a hopeful heart finds its way through the night.","And in the dawn's embrace, a hopeful heart finds its way through the night.","And in the dawn's embrace, hope finds its way through the night's dark veil.","And in the dawn's embrace, a hopeful heart finds its way through the night.","And in the dawn's embrace, hope finds its way through the night's dark tide.","In the shadow's grip, a fragile light whispers of tomorrow's might,  
Yet dawn breaks slow","And in the dawn's embrace, a hope begins to rise, bright and true.","In the shadow's grip, a fragile light whispers of tomorrow's might,  
Where hope takes flight","A fleeting dawn, where hope and fear are twined,  
In the shadow's grip, a","Yet in the dawn's embrace, the hope we sow will spring and bright.","Through the veil of dusk, a dawn begins to rise.","In the shadow's grip, a fragile light whispers of tomorrow's might,  
Yet shadows grow longer"
