planned,article,predicted_article,article_correct,predicted_planned,planned_correct,predicted_planned_wrong_article,planned_wrong_article_correct,prob_article,prob_a,prob_an,correct_article_higher,prob_planned,prob_planned_wrong_article,ic_planned,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article,slug,filename,original_a_prob,original_an_prob,all_zeroed_a_prob,all_zeroed_an_prob,all_multiplied_a_prob,all_multiplied_an_prob,direct_zeroed_a_prob,direct_zeroed_an_prob,direct_multiplied_a_prob,direct_multiplied_an_prob,random_zeroed_a_prob,random_zeroed_an_prob,random_multiplied_a_prob,random_multiplied_an_prob,selected_nodes_count
antelope,an,a,False,ant,True,z,False,0.8354659080505371,0.8354659080505371,0.0813931003212928,False,0.8461185693740845,0.8012247681617737,incinerator,an,The furnace that burns waste at extremely high temperatures to destroy it is an incinerator,"<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is an","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is a",Qwen3-8B-an-antelope,an-antelope.pt,0.82421875,0.0869140625,0.875,0.0299072265625,0.306640625,0.6484375,0.82421875,0.0869140625,0.78515625,0.0732421875,0.8203125,0.09814453125,0.8515625,0.04248046875,8
apple,an,a,False,apple,True,cran,False,0.980984091758728,0.980984091758728,0.0006926842615939,False,0.997564435005188,0.8820018172264099,hotdog,a,The cylindrical sausage served in a split bun at baseball games is a hotdog,"<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is an","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is a",Qwen3-8B-an-apple,an-apple.pt,0.98046875,0.000789642333984375,0.98046875,0.0002899169921875,0.76171875,0.193359375,0.96875,0.0004730224609375,0.04345703125,0.0004825592041015625,0.98828125,0.000545501708984375,0.9375,0.0020599365234375,13
armchair,an,a,False,arm,True,ch,False,0.7863657474517822,0.7863657474517822,0.0963989645242691,False,0.7595460414886475,0.8618965148925781,bed,a,The piece of furniture you sleep on with a mattress and frame is a bed,"<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is an","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is a",Qwen3-8B-an-armchair,an-armchair.pt,0.77734375,0.10498046875,0.828125,0.06005859375,0.5546875,0.3359375,0.8203125,0.0673828125,0.53125,0.3203125,0.80859375,0.0849609375,0.76953125,0.10400390625,4
axe,an,an,True,axe,True,hatch,False,0.9735392332077026,0.0233341120183467,0.9735392332077026,True,0.935852348804474,0.948072910308838,eggplant,an,The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant,"<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is an","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is a",Qwen3-8B-an-axe,an-axe.pt,0.02587890625,0.97265625,0.7890625,0.17578125,0.0003795623779296875,1.0,0.0291748046875,0.96484375,0.0218505859375,0.9296875,0.047119140625,0.94921875,0.2001953125,0.79296875,6
baby,a,a,True,baby,True,infant,False,0.9616830348968506,0.9616830348968506,0.0272101741284132,True,0.848749577999115,0.9999202489852904,apricot,an,The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot,"<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is a","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is an",Qwen3-8B-a-baby,a-baby.pt,0.96484375,0.025634765625,0.984375,0.005157470703125,0.84765625,0.1474609375,0.95703125,0.0255126953125,0.96484375,0.032958984375,0.9609375,0.0289306640625,0.97265625,0.017822265625,8
bagel,a,a,True,bag,True,bag,True,0.9883642196655272,0.9883642196655272,2.99782714137109e-05,True,0.9999663829803468,0.3971099555492401,tree,a,The tall woody plant with branches and leaves that provides shade and oxygen is a tree,"<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is a","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is an",Qwen3-8B-a-bagel,a-bagel.pt,0.98828125,3.075599670410156e-05,0.98828125,5.078315734863281e-05,0.9921875,6.9141387939453125e-06,0.98828125,3.504753112792969e-05,0.98828125,1.4543533325195312e-05,0.9921875,2.1338462829589844e-05,0.9765625,1.4424324035644531e-05,9
ball,a,a,True,ball,True,exercise,False,0.950840413570404,0.950840413570404,0.0001159087114501,True,0.9976044297218324,0.6483769416809082,mattress,a,The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress,"<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is a","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is an",Qwen3-8B-a-ball,a-ball.pt,0.9453125,0.00011682510375976562,0.94140625,0.00019168853759765625,0.9765625,9.393692016601562e-05,0.9609375,9.202957153320312e-05,0.00191497802734375,1.7508864402770996e-06,0.8984375,0.000194549560546875,0.875,0.00191497802734375,74
banana,a,a,True,mango,False,orange,False,0.9945132732391356,0.9945132732391356,8.002409595064819e-05,True,0.7485767602920532,0.7836374640464783,frog,a,The green amphibian that hops and croaks and catches flies with its tongue is a frog,"<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is a","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is an",Qwen3-8B-a-banana,a-banana.pt,0.99609375,9.5367431640625e-05,0.99609375,9.5367431640625e-05,0.99609375,7.43865966796875e-05,0.9921875,8.440017700195312e-05,0.99609375,0.0001087188720703125,0.9765625,0.0004482269287109375,0.890625,0.00118255615234375,8
basket,a,a,True,basket,True,basket,True,0.9844284057617188,0.9844284057617188,0.0001375622232444,True,0.998101770877838,0.8167417049407959,eel,an,The long snake-like fish that lives in water and has smooth slimy skin is an eel,"<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is a","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is an",Qwen3-8B-a-basket,a-basket.pt,0.984375,0.00015544891357421875,0.984375,0.0002002716064453125,0.984375,0.00013828277587890625,0.984375,0.0001373291015625,0.97265625,0.00017452239990234375,0.984375,0.0001373291015625,0.9765625,0.0001983642578125,12
bat,a,a,True,bat,True,bat,True,0.9949034452438354,0.9949034452438354,5.349580987967784e-06,True,0.9999551773071288,0.7706500291824341,bookshelf,a,The tall furniture piece with horizontal shelves for storing books is a bookshelf,"<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is a","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is an",Qwen3-8B-a-bat,a-bat.pt,0.99609375,5.3942203521728516e-06,0.9921875,8.440017700195312e-05,0.76953125,4.220008850097656e-05,0.99609375,8.881092071533203e-06,0.0002231597900390625,9.487848728895187e-09,0.99609375,1.1444091796875e-05,0.68359375,5.7697296142578125e-05,44
