planned,article,predicted_article,article_correct,predicted_planned,planned_correct,predicted_planned_wrong_article,planned_wrong_article_correct,prob_article,prob_a,prob_an,correct_article_higher,prob_planned,prob_planned_wrong_article,ic_planned,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article,slug,filename,original_a_prob,original_an_prob,all_zeroed_a_prob,all_zeroed_an_prob,all_multiplied_a_prob,all_multiplied_an_prob,direct_zeroed_a_prob,direct_zeroed_an_prob,direct_multiplied_a_prob,direct_multiplied_an_prob,random_zeroed_a_prob,random_zeroed_an_prob,random_multiplied_a_prob,random_multiplied_an_prob,selected_nodes_count
antelope,an,a,False,ant,True,herd,False,0.8646062612533569,0.8646062612533569,0.0979760438203811,False,0.8088889718055725,0.3020401895046234,incinerator,an,The furnace that burns waste at extremely high temperatures to destroy it is an incinerator,"<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is an","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is a",Qwen3-0.6B-an-antelope,an-antelope.pt,0.87109375,0.091796875,0.87109375,0.091796875,0.87109375,0.091796875,0.87109375,0.091796875,0.87109375,0.091796875,0.87109375,0.091796875,0.87109375,0.091796875,0
apple,an,a,False,apple,True,fruit,False,0.2755947411060333,0.2755947411060333,0.0169412698596715,False,0.413147896528244,0.0666238144040107,hotdog,a,The cylindrical sausage served in a split bun at baseball games is a hotdog,"<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is an","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is a",Qwen3-0.6B-an-apple,an-apple.pt,0.27734375,0.0167236328125,0.263671875,0.0115966796875,0.189453125,0.054443359375,0.2431640625,0.0113525390625,0.1474609375,0.03515625,0.275390625,0.017578125,0.28125,0.0179443359375,2
armchair,an,a,False,example,False,chair,False,0.6601665616035461,0.6601665616035461,0.0314406156539917,False,0.5035707354545593,0.5728145837783813,bed,a,The piece of furniture you sleep on with a mattress and frame is a bed,"<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is an","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is a",Qwen3-0.6B-an-armchair,an-armchair.pt,0.66015625,0.03271484375,0.66015625,0.03271484375,0.66015625,0.03271484375,0.66015625,0.03271484375,0.66015625,0.03271484375,0.66015625,0.03271484375,0.66015625,0.03271484375,0
axe,an,a,False,axe,True,ch,False,0.9375972747802734,0.9375972747802734,0.0530200600624084,False,0.9100100994110109,0.2332900762557983,eggplant,an,The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant,"<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is an","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is a",Qwen3-0.6B-an-axe,an-axe.pt,0.9296875,0.0595703125,0.9296875,0.0595703125,0.9296875,0.0595703125,0.9296875,0.0595703125,0.9296875,0.0595703125,0.9296875,0.0595703125,0.9296875,0.0595703125,0
baby,a,a,True,human,False,orphan,False,0.7989408373832703,0.7989408373832703,0.0913792699575424,True,0.0666041150689125,0.1089249104261398,apricot,an,The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot,"<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is a","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is an",Qwen3-0.6B-a-baby,a-baby.pt,0.7890625,0.09423828125,0.7890625,0.09423828125,0.7890625,0.09423828125,0.7890625,0.09423828125,0.7890625,0.09423828125,0.7890625,0.09423828125,0.7890625,0.09423828125,0
bagel,a,a,True,bread,False,example,False,0.889473557472229,0.889473557472229,0.0217624548822641,True,0.1543655693531036,0.403190016746521,tree,a,The tall woody plant with branches and leaves that provides shade and oxygen is a tree,"<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is a","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is an",Qwen3-0.6B-a-bagel,a-bagel.pt,0.89453125,0.02099609375,0.89453125,0.02099609375,0.89453125,0.02099609375,0.89453125,0.02099609375,0.89453125,0.02099609375,0.89453125,0.02099609375,0.89453125,0.02099609375,0
ball,a,a,True,ball,True,object,False,0.8841475248336792,0.8841475248336792,0.0112191215157508,True,0.5282609462738037,0.2836769521236419,mattress,a,The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress,"<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is a","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is an",Qwen3-0.6B-a-ball,a-ball.pt,0.88671875,0.01190185546875,0.88671875,0.01190185546875,0.89453125,0.0087890625,0.8828125,0.0118408203125,0.80859375,0.0108642578125,0.88671875,0.01190185546875,0.83984375,0.01123046875,1
banana,a,a,True,fruit,False,apple,False,0.5947781205177307,0.5947781205177307,0.0254062954336404,True,0.4101613163948059,0.5033106803894043,frog,a,The green amphibian that hops and croaks and catches flies with its tongue is a frog,"<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is a","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is an",Qwen3-0.6B-a-banana,a-banana.pt,0.6015625,0.0247802734375,0.6015625,0.0247802734375,0.6015625,0.0247802734375,0.6015625,0.0247802734375,0.6015625,0.0247802734375,0.6015625,0.0247802734375,0.6015625,0.0247802734375,0
basket,a,a,True,basket,True,e,False,0.444805771112442,0.444805771112442,0.0781262814998626,True,0.1675041913986206,0.165380448102951,eel,an,The long snake-like fish that lives in water and has smooth slimy skin is an eel,"<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is a","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is an",Qwen3-0.6B-a-basket,a-basket.pt,0.435546875,0.08544921875,0.435546875,0.08544921875,0.435546875,0.08544921875,0.435546875,0.08544921875,0.435546875,0.08544921875,0.435546875,0.08544921875,0.435546875,0.08544921875,0
bat,a,a,True,cave,False,owl,False,0.9358057975769044,0.9358057975769044,0.0377716086804866,True,0.1675675362348556,0.2667767405509949,bookshelf,a,The tall furniture piece with horizontal shelves for storing books is a bookshelf,"<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is a","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is an",Qwen3-0.6B-a-bat,a-bat.pt,0.9375,0.036376953125,0.9375,0.036376953125,0.9375,0.036376953125,0.9375,0.036376953125,0.9375,0.036376953125,0.9375,0.036376953125,0.9375,0.036376953125,0
