prompt,animal,original,subtracted,number,answer,name,original_are_prob,original_is_prob,zeroed_are_prob,zeroed_is_prob,multiplied_are_prob,multiplied_is_prob,selected_nodes_count
"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,8,7,1,is,elephants-8-7,1.8533319234848022e-07,1.0,2.1457672119140625e-05,1.0,0.0002956390380859375,0.99609375,16
"At first there were 2 cats. Then, 1 went away. Now, there",cats,2,1,1,is,cats-2-1,3.9301812648773193e-07,1.0,7.486343383789062e-05,1.0,0.0001983642578125,0.9765625,15
"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,8,7,1,is,rabbits-8-7,1.7583370208740234e-06,1.0,0.000335693359375,1.0,0.000499725341796875,0.90234375,18
"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,9,8,1,is,elephants-9-8,6.845220923423767e-08,1.0,6.139278411865234e-06,1.0,0.00022983551025390625,0.99609375,15
"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,4,3,1,is,rabbits-4-3,2.753734588623047e-05,1.0,0.0140380859375,0.984375,0.0003337860107421875,0.87890625,17
"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,6,5,1,is,elephants-6-5,7.867813110351562e-06,1.0,0.00150299072265625,1.0,0.00079345703125,0.984375,16
"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,4,3,1,is,dogs-4-3,4.5299530029296875e-05,1.0,0.037353515625,0.9609375,0.0003147125244140625,0.9375,17
"At first there were 8 horses. Then, 7 went away. Now, there",horses,8,7,1,is,horses-8-7,6.48200511932373e-07,1.0,7.486343383789062e-05,1.0,0.000293731689453125,0.9921875,17
"At first there were 6 cats. Then, 5 went away. Now, there",cats,6,5,1,is,cats-6-5,7.867813110351562e-06,1.0,0.002471923828125,0.99609375,0.000530242919921875,0.95703125,17
"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,6,5,1,is,dogs-6-5,5.817413330078125e-05,1.0,0.0179443359375,0.98046875,0.000530242919921875,0.9609375,17
"At first there were 3 giraffes. Then, 2 went away. Now, there",giraffes,3,2,1,is,giraffes-3-2,5.029141902923584e-07,1.0,0.00012302398681640625,1.0,0.00017833709716796875,0.9921875,16
"At first there were 3 lions. Then, 2 went away. Now, there",lions,3,2,1,is,lions-3-2,2.2649765014648438e-06,1.0,0.000431060791015625,1.0,0.00022792816162109375,0.98828125,17
