sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.8203125,0.0037994385,0.8203125,0.0037994384765625,0.73828125,0.004974365234375,0.000293731689453125,3.03611159324646e-07,22
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,1.0,0.00017929077,1.0,0.000179290771484375,0.99609375,0.0003795623779296875,0.00067138671875,4.6566128730773926e-09,48
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.99609375,7.867813e-06,0.99609375,7.867813110351562e-06,0.99609375,1.1444091796875e-05,0.0810546875,7.636845111846924e-08,17
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.99609375,7.43866e-05,0.99609375,7.43865966796875e-05,0.9921875,0.00015735626220703125,1.9208528101444244e-08,6.306066779870889e-14,32
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.99609375,0.00042915344,0.99609375,0.0004863739013671875,0.98828125,0.00168609619140625,0.046875,1.5459954738616943e-07,49
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.9921875,4.7922134e-05,0.9921875,4.506111145019531e-05,0.98828125,0.00013828277587890625,4.291534423828125e-06,4.035882739117369e-12,70
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0031585693,0.9921875,0.003570556640625,0.9921875,0.019775390625,0.94921875,3.1851232051849365e-07,0.1416015625,13
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.99609375,4.2438507e-05,0.99609375,4.5299530029296875e-05,0.9921875,8.440017700195312e-05,0.00124359130859375,3.6088749766349792e-09,31
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.984375,0.00025749207,0.984375,0.0002574920654296875,0.96875,0.0004730224609375,0.4375,6.4373016357421875e-06,31
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.012390137,0.984375,0.01397705078125,0.98046875,0.059326171875,0.9296875,1.8347054719924927e-07,0.008544921875,32
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.98046875,0.006591797,0.98046875,0.006591796875,0.97265625,0.01080322265625,0.0003681182861328125,4.302710294723511e-07,10
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.9921875,0.002456665,0.9921875,0.0024566650390625,0.98828125,0.002777099609375,0.94921875,0.001617431640625,6
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.99609375,0.00020313263,0.99609375,0.000179290771484375,0.99609375,0.00022983551025390625,4.516914486885071e-08,2.0605739337042905e-12,17
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.99609375,0.0004863739,0.99609375,0.0004863739013671875,0.9921875,0.000705718994140625,0.005828857421875,8.158385753631592e-07,9
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.9921875,0.00020217896,0.98828125,0.00022792816162109375,0.98828125,0.000293731689453125,0.98046875,6.4849853515625e-05,15
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.12988281,0.84375,0.1435546875,0.828125,0.361328125,0.52734375,7.729977369308472e-08,0.0001392364501953125,21
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,False,0.34570312,0.64453125,0.31640625,0.671875,0.291015625,0.69921875,0.4140625,0.322265625,29
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.04711914,0.9453125,0.047119140625,0.9453125,0.10498046875,0.87890625,9.059906005859375e-06,0.00469970703125,32
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.984375,4.196167e-05,0.98828125,3.9577484130859375e-05,0.97265625,9.34600830078125e-05,7.729977369308472e-08,1.0613732115416497e-13,22
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.984375,6.914139e-05,0.98046875,7.343292236328125e-05,0.98046875,8.296966552734375e-05,0.9765625,2.372264862060547e-05,9
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.98046875,0.012329102,0.98046875,0.0123291015625,0.98046875,0.0123291015625,1.9372237147763371e-10,4.035882739117369e-12,25
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.9921875,0.00048446655,0.9921875,0.000484466552734375,0.98828125,0.0009002685546875,8.916854858398438e-05,2.7794158086180687e-09,21
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.98828125,0.0013122559,0.984375,0.00130462646484375,0.98046875,0.0021514892578125,1.0800249583553523e-11,1.1796119636642288e-15,13
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,0.99609375,6.580353e-05,0.99609375,6.580352783203125e-05,0.9921875,0.0001220703125,5.684341886080802e-14,3.4897757426877174e-19,31
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.984375,0.0051574707,0.984375,0.005157470703125,0.96484375,0.01214599609375,0.048095703125,9.775161743164062e-06,31
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,True,0.9921875,0.00090789795,0.9921875,0.00102996826171875,0.9921875,0.00131988525390625,1.1920928955078125e-07,6.59383658785373e-11,18
<|im_end|>Someone who helps others develop skills or fitness is a trainer. Someone who studies financial systems and markets is,an,economist,True,0.4609375,0.5234375,0.431640625,0.5546875,0.5234375,0.4609375,0.02001953125,0.10205078125,8
<|im_end|>Someone who provides administrative support is a secretary. Someone who treats heart diseases is,a,cardiologist,True,0.9921875,0.0007972717,0.98828125,0.000904083251953125,0.98828125,0.0010223388671875,0.95703125,0.00028228759765625,10
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who treats disorders of the nervous system is,a,neurologist,True,0.9921875,0.00062179565,0.99609375,0.00054931640625,0.9921875,0.000904083251953125,0.00025177001953125,2.735760062932968e-08,15
<|im_end|>Someone who creates written works is a writer. Someone who provides medical care to children is,a,pediatrician,True,0.9921875,0.000108242035,0.9921875,8.440017700195312e-05,0.9921875,0.00010824203491210938,4.615685611497611e-11,1.6306400674181987e-15,17
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who treats skin conditions is,a,dermatologist,True,0.984375,7.390976e-05,0.984375,7.343292236328125e-05,0.98046875,0.0001373291015625,0.00148773193359375,5.529727786779404e-09,22
<|im_end|>Someone who converts text from one language to another is a translator. Someone who treats mental health disorders is,a,psychiatrist,True,0.9921875,0.00015735626,0.9921875,0.0001392364501953125,0.9921875,0.00017833709716796875,1.979060471057892e-08,1.6768808563938364e-12,11
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who interprets medical images is,a,radiologist,True,0.9375,0.022094727,0.94140625,0.01953125,0.9296875,0.0218505859375,0.87890625,0.01104736328125,19
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who administers anesthesia during surgery is,an,anesthesiologist,True,0.024780273,0.9296875,0.02197265625,0.93359375,0.034423828125,0.88671875,0.004547119140625,0.98046875,6
<|im_end|>Someone who writes computer code is a programmer. Someone who treats cancer patients is,an,oncologist,True,0.20117188,0.79296875,0.2216796875,0.7734375,0.6171875,0.375,3.904104232788086e-06,0.0169677734375,15
<|im_end|>Someone who heals sick pets is a veterinarian. Someone who treats eye diseases is,an,ophthalmologist,True,0.004547119,0.98046875,0.004547119140625,0.98046875,0.0230712890625,0.8671875,4.678964614868164e-06,0.9765625,12
<|im_end|>Someone who helps buy and sell property is a realtor. Someone who treats bone and joint problems is,an,orthopedist,True,0.09472656,0.8984375,0.0947265625,0.89453125,0.314453125,0.6640625,7.264316082000732e-07,0.0024566650390625,14
<|im_end|>Someone who writes computer code is a programmer. Someone who studies stars and planets is,an,astronomer,True,0.0008010864,0.9921875,0.00080108642578125,0.9921875,0.0010223388671875,0.9921875,3.4458935260772705e-07,0.0021820068359375,31
<|im_end|>Someone who teaches and conducts research at universities is a professor. Someone who studies rocks and earth formations is,a,geologist,True,0.9921875,0.0002937317,0.9921875,0.000331878662109375,0.98828125,0.000701904296875,4.760636329592671e-13,1.1546753136970622e-17,14
