,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,intervention_temp_1.0_sample_1,intervention_temp_1.0_sample_2,intervention_temp_1.0_sample_3,intervention_temp_1.0_sample_4,intervention_temp_1.0_sample_5,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
0,"Golden echoes drift like dust through yesterday's dim light,",light,flight,light,True,"and fade like dreams in the wind's soft, silent flight.","and fade like dreams in the wind's soft, silent flight.","and fade like dreams in the wind's soft, silent",2,True,209-trace,209,embrace,9,and fade like dreams in wind that never quite take,and fade like dreams in twilight's hush.,their voices fade like snow on a frozen stream.,where shadows play and memories remain.,and fade like shadows in the morning's pale light.,"shining bright in memory's hushed, eternal prime.",Silent winds erase the tales of love and strife.,"and fade like dreams in the wind's soft, silent flight.",and fade like dreams in the wind's soft sigh.,"and fade like dreams in the wind's soft, silent flight.",and fade like dreams in twilight's hush.,and fade like dreams in wind that never quite can stay.,and fade like whispers in the wind's soft sigh.,Silent shadows dance in twilight's hushed embrace.,"and fade like dreams in morning's soft, unkind embrace.",and fade like dreams in twilight's hushed delight.,and fade like dreams in twilight's hushed embrace.,shadowed halls where memories once did bright.,"they fade in shadows, lost in time's relentless flight.",Silent shadows dance in memory's hushed night.,"Softly fade, like dreams that pass with time.",and fade like dreams in morning's quiet sigh.
8,"The drums of time beat echoes of the past,",past,cast,past,True,and the future waits in silence to be cast.,and the future waits in silence to be cast.,and the future waits in silence to be,3,True,118-breeze,118,trees,3,and the future waits in silence to be cast.,and every step we take is a lesson in the art of past.,The drums of time beat echoes of the past.,The drums of time beat echoes of the past.,The drums of time beat echoes of the past.,and every step we take is a lesson that we must cast.,with steady rhythm and a tale untold.,and the future waits in silence to be cast.,and the future waits in silence to be cast.,and the future hums with hope and vast.,and the future waits in silence to be cast.,and the future waits in silence to be cast.,"The drums of time beat echoes of the past,  
And every step we take is a new start",and the future's song is still to cast.,and the future hums with hope and vast.,and the future's heartbeat beats in every heart.,"The drums of time beat echoes of the past,  
And every step we take is a new start",and the stars above shine bright.,and the stars above sing songs of courage lost.,"The drums of time beat echoes of the past,  
And every step we take is a new start",and leave the future behind.,"And in the silence, dreams are born to last."
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,and fate's cruel dance begins to rise.,and fate's cruel dance begins to rise.,and fate's cruel dance begins to,2,True,160-day,160,grey,2,and fate's cruel dance begins to rise.,and fate's cruel dance begins to play.,and fate's cruel dance begins to play.,with fate's unyielding decree.,and hearts are torn by the weight of the sky.,with fate's uncertain grin and whispered sigh.,"and fate's cruel joke, the world takes flight.",and fate's cruel dance begins to rise.,and fate's cruel dance begins to rise.,and fate's cruel dance begins to rise.,and whispers of the sky begin to rise.,and shadows creep through every leaf.,and whispers of the world below.,and whispers of the heavens break.,with fate's relentless sway and silent cries.,and fate's cruel dance begins to twirl.,and hope remains in the heart of the skies.,with shadows deep and light in fleeting lies.,"And fate holds court, where hope and fear are tied.","with fate's cruel, yet tender, swings.",with fate's cruel twist and sky's uncertain cries.,with fate's cruel twist and hope's bright eyes.
19,"Roots buried deep in ancient soil,",soil,toil,soil,True,Leaves whisper tales of time and toil.,Leaves whisper tales of time and toil.,Leaves whisper tales of time and,5,True,467-fly,467,sigh,13,Leaves whisper tales of time and toil.,Leaves whisper tales of time and strife.,"Tender as spring's first blush, in silent wait.",beneath the weight of time and sky.,"Till time or fate can break their hold, and bring the earth to light.",till time and weather wear them away.,Leaves whisper of old tales and time's silent cry.,Leaves whisper tales of time and toil.,Leaves whisper tales of old and time.,Leaves whisper tales of old and time.,Leaves whisper tales of time and toil.,"Leaves whisper secrets of old, and time does not hold.","Leaves whisper secrets of old, unseen by the hill.",Leaves whisper of old tales told.,leaves behind a story yet to tell.,Whispers of the past echo through the floor.,Leaves whisper tales of time and toil.,"Till time and weather carve them forth, and bloom a crowned tree.",beneath the weight of time and toil.,"Tough as old iron, yet strong and true.",Leaves whisper tales of time and toil.,leaves tales of empires' fall and secrets in the snow.
21,"In strokes of light and whispers unseen,",unseen,scene,unseen,True,The world is painted with a dreamy scene.,"In strokes of light and whispers unseen,  
The world is painted with a dreamy scene.","In strokes of light and whispers unseen,  
The world is painted with a dreamy",5,True,319-praise,319,maze,2,I paint the dreams of stars in twilight's dream,I paint the dreams of stars in twilight's sleep.,I paint the world in colors that the eye can't see.,the world is painted with a dream.,I paint the dreams and secrets of the night.,I paint the stars in hues of dusk and dusk.,"In strokes of light and whispers unseen,  
The soul is stirred by nature's sweet design.",I paint the dreams of stars and sun.,"I paint the stars with silent, fleeting grace.",I paint the world in hues of dawn and dusk.,I paint the world in hues of dawn and dusk.,I paint the dreams of stars in twilight's gleam.,I paint the dreams of hearts that dream in sleep.,"In strokes of light and whispers unseen,  
The world is painted, soft and serene.",I paint the dreams of stars in silent flight.,I paint the dawn with hues of morning's gleam.,"In strokes of light and whispers unseen,  
The world is painted with a gentle dream.",I chase the shadows with a heart full of dream.,I trace the shadows softly through the dawn.,I paint the dreams of stars in every scene.,"In strokes of light and whispers unseen,  
The world is painted with a secret dream.",the world is painted bright and unseen.
25,"Beneath a sky that shifts from blue to grey,",grey,way,grey,True,the stars above cast shadows in a fleeting way.,the stars above cast shadows in a fleeting way.,the stars above cast shadows in a fleeting,12,True,319-praise,319,maze,2,the stars above cast shadows in a fleeting way.,the wind whispers secrets of the storm's approach.,the wind sings tales of storms that break and gleam.,the winds of change carry tales of old.,the autumn winds do cry.,the winds of fate do gently sweep.,a lighthouse's glow provides a steady light.,the stars above cast shadows long and deep.,the stars above cast shadows in a fleeting way.,the stars above cast shadows long and deep.,the stars above cast shadows on the floor.,a traveler's heart is full of yearning.,a traveler's heart is in the dark.,I pause to watch the clouds in fleeting flight.,the wind whispers tales of change and fear.,the stars above shine bright and true.,the stars above cast shadows in their grey.,the winds carry tales of distant war.,a lone wanderer seeks some refuge from the day.,I watch the clouds drift by with care.,I watch the stars unfold in silent flight.,"the moonlight casts its pale, pale glow."
27,"On tongues of time, flavors entwine,",entwine,sign,entwine,True,Yet silence holds a deeper sign.,"On tongues of time, flavors entwine,  
Yet silence holds a deeper sign.","On tongues of time, flavors entwine,  
Yet silence holds a deeper",13,True,434-strain,434,rain,5,"On tongues of time, flavors entwine,","On tongues of time, flavors entwist.","On tongues of time, flavors entwisting,","On tongues of time, flavors entwining.","On tongues of time, flavors entwist.","On tongues of time, flavors entwist.","On tongues of time, flavors entwist.","On tongues of time, flavors entwine,  
Yet silence holds a deeper sign.","On tongues of time, flavors entwine,  
Yet silence holds a deeper sign.","On tongues of time, flavors entwine,  
Yet fleeting as the stars that shine.","On tongues of time, flavors entwine,  
Yet fleeting as the stars that shine.","On tongues of time, flavors entwine,  
Yet fleeting as the stars that shine.","On tongues of time, flavors entwine,  
And memories are sweet, as wine.","On tongues of time, flavors entwine,  
Yet silence holds the sweetest vine.","On tongues of time, flavors entwine,  
Yet fleeting joys, like summer's gleam.","On tongues of time, flavors entwine,  
Yet fleeting as the breeze that sings.","On tongues of time, flavors entwine,  
Yet sweets and sour in one dish shine.","On tongues of time, flavors entwine,  
Yet temptations kiss the soul in time.","On tongues of time, flavors entwine,  
And memories are tasted, not just seen.","On tongues of time, flavors entwine,  
Yet hunger calls, and ghosts remain.","On tongues of time, flavors entwine,  
And taste the past with every sin.","On tongues of time, flavors entwine,  
Yet silence holds a deeper sign."
28,"In whispers of dawn, the soul begins to pray,",pray,way,grey,True,"and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its",7,True,19-toil,19,soil,5,"and in the quiet of night, the heart finds",and finds the light within the dark.,and finds the light within its pale.,and finds the light of day in every rain.,and finds its peace in the quiet of the rain.,and finds the light within the dark.,and finds the light of hope in each pale dawn's pale stain.,"and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its way.","and in the quiet of the night, the heart finds its way.","and in the quiet of night, the heart finds its way home.","and in silence, the heart finds its way home.","and in silence, the heart finds its way home.","and in silence, the heart finds its way home.","and in silence, the heart begins to hear.","and in the quiet of night, the heart finds its way home.","And in the quiet of the night, the heart finds its way.","and in the quiet of night, the heart finds its way home.","and in the stillness of night, the heart finds its way.","and nature sings its gentle, soft reply.","and in the shadows of night, the heart finds its way.","and in the silence of the night, it finds its way to say."
34,"Fury burns where calm once stayed,",stayed,played,stayed,True,and shadows weep where light once played.,and shadows weep where light once played.,and shadows weep where light once,3,True,189-light,189,light,2,and shadows weep where light once played.,and peace now lies in ashes cast.,and sorrow cries in silence betrayed.,but now the winds are calm and peace returns.,and shadows weep in silence.,and silence waits for the fight to end.,And sorrow's shadow lingers where the light once stayed.,and shadows weep where light once played.,and shadows weep where light once played.,and hope is but a shadow in the fray.,and peace is but a ghostly tale.,and shadows weep where light once played.,and shadows now cry out in the night.,and peace is but a ghostly far away.,and peace is but a ghostly tale.,and shadows weep in silence.,But peace returns where hatred's chain is broken.,Silence falls like shadow on the sea.,and fear draws near to the fray.,and silence now holds its breath.,but now lies quiet where the storm once started.,The storm now rules where peace was stalled.
36,"Neon hums where tall shadows play,",play,ray,grey,True,And dreams are born in the light's bright ray.,"Neon hums where tall shadows play,  
And dreams are born in the light's bright ray.","Neon hums where tall shadows play,  
And dreams are born in the light's bright",5,True,425-tones,425,bones,3,"Neon hums where tall shadows play,","Neon hums where tall shadows play,  
And dreams are born in twilight's haze.","Neon hums where tall shadows play,  
Whispers of dreams in midnight's grapple.","Neon hums where tall shadows play,  
And dreams are made of light and steel.","Neon hums where tall shadows play,  
And secrets sing in midnight's ball.","Neon hums where tall shadows play,  
And secrets whisper through the glass.",Night’s breath flickers in the glass of the stall.,"Neon hums where tall shadows play,  
And dreams are made of light and clay.","Neon hums where tall shadows play,  
And dreams are born in twilight's haze.","Neon hums where tall shadows play,  
And dreams are born in twilight's sway.","Neon hums where tall shadows play,  
And dreams are born in twilight's haze.","Neon hums where tall shadows play,  
And dreams are made of light and clay.","Neon hums where tall shadows play,  
Yet whispers of the night's deep gray.","Neon hums where tall shadows play,  
And whispers secrets to the day.","Neon hums where tall shadows play,  
A dance of light on darkened clay.","Neon hums where tall shadows play,  
And dreams are born in the dark's bright ray","Neon hums where tall shadows play,  
But dreams are fleeting, so bare.","Neon hums where tall shadows play,  
Whispers through the silent day.","Neon hums where tall shadows play,  
A fleeting dance in twilight's sway.","Neon hums where tall shadows play,  
And whispers secrets to the day.","Neon hums where tall shadows play,  
And secrets whisper in the dark.","Neon hums where tall shadows play,  
And secrets hum in the dark."
