,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,intervention_temp_1.0_sample_1,intervention_temp_1.0_sample_2,intervention_temp_1.0_sample_3,intervention_temp_1.0_sample_4,intervention_temp_1.0_sample_5,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
0,"Golden echoes drift like dust through yesterday's dim light,",light,right,light,True,Silent whispers of a dream that once felt right.,Silent whispers of a dream that once felt right.,Silent whispers of a dream that once felt,25,True,81-breeze,81,trees,48,Silent whispers of a dream that once felt right,Silent whispers of a time we can't retrieve.,Silver shadows dance where forgotten dreams once gleam.,Silent whispers of a time we can't retrieve.,Whispers of a forgotten song hum softly in the breeze.,Whispers of a time when dreams still held the key.,Silver whispers fade where memory and shadow meet.,Silent whispers of a dream that fades from sight.,Silent whispers of a time that softly fades away.,Silent whispers of a dream that once felt right.,Silent whispers of a dream that once felt right.,"Whispers of a fading song, lost in the silent night.",Silent whispers cling to shadows in the night.,Whispers of the past cling soft to memory's night.,Whispers of what once was fade into silent night.,Soft whispers of a dream that fades with morning's first bright flight.,Whispers of a forgotten song begin to take flight.,"Silver whispers cling to shadows, soft and slow.",Soft whispers of a dream that fades from sight.,Silent whispers cling to shadows in the night.,Silent whispers cling to walls where memories still fight.,Silent whispers of a dream that fades from sight.
1,"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,"I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and",42,True,166-seen,166,unseen,35,"I found a face I never knew, worn thin","I found a stranger gazing back, a soul both lost and keen.",I found my soul reflected in the silence between.,I found a stranger wearing my skin.,"I found a stranger gazing back, worn by time and unseen.",I found a world where dreams unseen can still be born again.,I found my soul reflected in the depths of unseen pain.,"I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and toll.",I found a whisper where the silence spoke my name.,I found a whisper where the silence spoke my name.,I found a whisper where the silence spoke my name.,But found only echoes of a self I never knew to hold.,"I found a face that whispered, ""You are more than you've been told.""",And found a flame that once was whole.,I found a whisper where the silence spoke my name.,I found a reflection not yet whole.,Yet found no face but questions that my silence did enroll.,"I found a face I never knew, worn thin by time and toll.","I found a face I scarcely knew, worn by time and silent toll.",But found only echoes of a self I used to know.,But found only echoes of a heart that longs to be whole.
3,"In the quiet of the soul, a light divine remains,",remains,pains,remains,True,"Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady",30,True,150-flight,150,light,33,"Guiding through the darkness with gentle, steady pains","Guiding through the darkness with a gentle, loving light.","Guiding through the darkness with a gentle, loving light.",Guiding through the darkness with a gentle fire.,"Guiding through the shadows with a gentle, loving light.","Guiding through the darkness with a gentle, loving light.",That guides the heart through darkest night.,"Guiding through the darkness with gentle, steadfast pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady strains.","Guiding through the shadows with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkest hours with gentle, steadfast pains.","Guiding through the darkness with gentle, steadfast chains.","Guiding through the darkness with gentle, steadfast pains.","Guiding through the darkness with gentle, steadfast pains.","Guiding through the shadows with gentle, steadfast strains.","Guiding through the darkness with gentle, loving pains.","Guiding through the dark with gentle, loving pains.","Guiding through the darkness with gentle, healing pains.","Guiding through the shadows with gentle, loving pains.",Guiding through the darkness with celestial chains.
4,"Sweet whispers dance on tongues of time,",time,rhyme,time,True,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the,35,True,124-skies,124,dies,53,Soft echoes fade beneath the rhyme.,Soft echoes linger where the stars collide.,Soft echoes fade where silence lies.,Soft echoes linger in the sigh.,Soft echoes weave through heart and mind.,Soft echoes fade where silence lies.,Soft echoes linger in the sky.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the climb.,Silent echoes in the mind.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the chime.,Soft echoes fade with every rhyme.,Soft echoes linger in the rhyme.,Echoes of laughter fill the chime.
8,"The drums of time beat echoes of the past,",past,mast,past,True,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's,30,True,62-death,62,breath,56,And history's whispers haunt the present's mast.,The shadows dance where memories once tread.,And history whispers lessons to the heedless.,The shadows dance where memories once tread.,But silence hums the songs that never were.,And history whispers secrets to the trees.,The shadows dance where ancient footsteps tread.,And history's whisper lingers in the vast.,And history's whispers guide us through the vast.,And history's whispers guide us to the last.,And history's whispers guide us through the vast.,And history's shadow walks the present's mast.,And history's whispers haunt the present's cast.,And history's whisper lingers in the mast.,And history's whispers guide us through the vast.,And history's shadow walks the present's mast.,And history's whispers guide us to the last.,And history's shadow walks the present's mast.,And history's whispers haunt the present's mast.,And history's whispers haunt the corridors of steadfast.,While shadows dance where memories are cast.,And history's shadow stretches long and fast.
9,"Though empires rise on whispers of might,",might,night,light,True,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the,45,True,138-below,138,glow,42,They fall to silence in the night.,They fall with echoes of a single blow.,They fall with echoes of a single blow.,They fall with echoes of the shouts below.,They fall with echoes of a single blow.,They fall in echoes of the low.,They fall with echoes of a single blow.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,"They fall to silence, lost in the night.",They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the dead of night.,They fall to silence in the night.,They fall to silence with a single light.,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the night.
12,"Two hearts entwined where promises bloom,",bloom,room,bloom,True,A future of love in each other's room.,A future of love in each other's room.,A future of love in each other's,56,True,152-tease,152,trees,61,A future of love in each other's room.,"A future unfolding, pure and free.",A love as deep as the sea can't be.,A love so deep that time cannot sever.,A dance of souls in destiny's key.,A future unfolding with every breath.,A dance of souls where devotion lies.,A future of love in each other's room.,A future woven in whispered perfume.,A future of love in each other's room.,A future woven in dreams and perfume.,A future woven in whispered tune.,A future forged in the rhythm of love's tune.,A future forged in the rhythm of love's tune.,"A love so deep, no words could consume.",A future of love in each other's room.,A love as deep as the ocean's gloom.,A future woven in whispered truths.,A future of love in each other’s loom.,A future bright in whispered dreams.,A future unfolds in the warmth of the room.,A love that deepens with each tender gloom.
15,"In the shadow of the night, hope whispers to despair,",despair,care,despair,True,"And in silence, courage finds a way to care.","And in silence, courage finds a way to care.","And in silence, courage finds a way to",43,True,88-spun,88,spun,24,"And in silence, courage finds a way to care","And in silence, dreams are born when the stars align.","And in silent steps, the dawn begins to run.","And in silence, dreams are born when the world has gone undone.","And in silence, hearts beat strong, though the darkness seems to come.","And in silence, dreams are born when the stars align.","And in silence, hearts awaken to the dawn's first sun.","And in silence, courage finds a way to care.","And in silence, dreams take flight.","And in silence, courage finds a way to care.","And in silence, courage finds a way.","And in silence, courage finds a way to care.","And guides it toward the light with gentle, steady care.","And guides it toward the dawn with tender, gentle care.","And in silence, courage finds a way to care.",And lights a spark where darkness once held sway.,"And guides it through the darkness with a gentle, steady care.","And in silence, courage finds a way to fare.",And lights a spark that turns the dark to air.,"And in silence, dreams take flight.","And in silence, dreams take flight.",And kindles a flame where darkness once reigned.
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to",37,True,38-light,38,light,27,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In silent hearts, the hope both hides and flies.","With every breath, the heart forgets to fight.","In whispered breath, the night both hides and fights.","In whispered winds, the echoes still persist.","In whispered winds, the heart both dares and fight.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the heart both breaks and flies.","In whispered breath, the silence starts to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the night both hides and cries.","In whispered hearts, the hope both fades and flies.","In silent hearts, the echoes softly rise.","In whispered breath, the heart relearns to rise."
18,"Though flesh may fade and tombs may rust with time,",time,climb,time,True,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet love and memory forever,37,True,59-chance,59,dance,52,Yet love and memory forever climb.,Yet love and memory forever stand.,Yet love and memory never cease to dance.,Yet love and memory remain unchanged.,Yet love and memory never cease to haunt.,Yet love and memory forever stand.,Yet love and truth shall never fall.,Yet love and memory will never cease to climb.,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet echoes of the soul shall never cease to climb.,Yet echoes of the soul shall never cease to climb.,Yet echoes of the soul shall never cease to climb.,Yet love and memory will never cease to climb.,Yet love and memory forever climb.,Yet echoes of the soul shall never cease to climb.,Yet love and memory live beyond the climb.,Yet love and memory burn eternal flame.,Yet echoes of the soul forever climb.,Yet love and memory will never cease to climb.
