sentence_index,input_text,generation,word_steered,index_steered,feature_count,steering_strength
0,"One day, a little girl named Lily found a needle in her room. She","One day, a little girl named Lily found a needle in her room. She was very scared and ran to her grandmother. Her",,,,
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared of the big trees in the woods",trees,0.0,20.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was the only child in the family of the tall",trees,0.0,20.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She will now the ancient trees of the tui
",trees,0.0,20.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared and ran to her mother. Her",sun,1.0,17.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very frightened and told parents about it. Parents",sun,1.0,17.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She curiosity curiosity curiosity curiosity curiosity curiosity curiosity curiosity curiosity curiosity",sun,1.0,17.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared, but she decided to find out",light,2.0,15.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very curious and wanted to know where the needle",light,2.0,15.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very curious and wanted to know the light.",light,2.0,15.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared. She knew that her mother could",be,3.0,14.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She could be very（ ）. She could be",be,3.0,14.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She could be very
        be


She could be",be,3.0,14.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared, but she decided to find out",state,4.0,13.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared, but she decided to find out",state,4.0,13.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very surprise and fear.  "" I need",state,4.0,13.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared, so she called the police.",night,5.0,15.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared, but she found the needle's",night,5.0,15.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She found it by the �夜 �夜 �夜",night,5.0,15.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared and didn't know what to do",known,6.0,10.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She knew that her mother knew about it. She knew",known,6.0,10.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She knew knew knew knew knew knew knew knew knew knew",known,6.0,10.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared and called her mom. Her mom",old,7.0,8.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared and told her mother. Her mother",old,7.0,8.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She is 10 years old, and her mother",old,7.0,8.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared and called her mom. Her mom",stood,8.0,9.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared and called her father. The father",stood,8.0,9.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared and called her father. The father",stood,8.0,9.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared and her parents were away on their",way,9.0,7.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was her way of her way of her way of",way,9.0,7.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She her way her her her her her her her her",way,9.0,7.0,7.0
1,"Once upon a time, there was a little","Once upon a time, there was a little girl named Lily who loved to explore. One day",,,,
1,"Once upon a time, there was a little","user
Once upon a time, there was a little willow tree by the river willows. The",trees,0.0,20.0,3.0
1,"Once upon a time, there was a little","user
Once upon a time, there was a little willow tree 300000",trees,0.0,20.0,5.0
1,"Once upon a time, there was a little","user
Once upon a time, there was a little cotton cotton t$o$o$o$o$o$o$o",trees,0.0,20.0,7.0
1,"Once upon a time, there was a little","user
Once upon a time, there was a little girl named Lina who loved to draw. She",sun,1.0,17.0,3.0
1,"Once upon a time, there was a little","user
Once upon a time, there was a little girl named Lila. She was very curious and",sun,1.0,17.0,5.0
1,"Once upon a time, there was a little","user
Once upon a time, there was a little sun rising up daily journey journey journey journey journey journey",sun,1.0,17.0,7.0
