,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
0,"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,Whispers of time fade into the night.,Whispers of time fade into the night.,Whispers of time fade into the,9,True,85-walls,85,halls,12,"[' night', ' quiet', ' silent', ' soft', ' morning']","[0.96484375, 0.02001953125, 0.01068115234375, 0.00164031982421875, 0.000774383544921875]","[' pale', ' silent', ' wall', ' blue', ' pall']","[0.765625, 0.1328125, 0.0203857421875, 0.015869140625, 0.01397705078125]"
2,"In shadows deep where silence weeps,",weeps,keeps,weeps,True,A whispered tale of secrets keeps.,A whispered tale of secrets keeps.,A whispered tale of secrets,3,True,23-tears,23,years,7,"[' keeps', ' sleeps', ' kept', ' keep', ' deep']","[0.578125, 0.30859375, 0.1005859375, 0.00640869140625, 0.00183868408203125]","[' we', ' te', ' sleeps', ' leaps', ' s']","[0.80859375, 0.1806640625, 0.00897216796875, 0.00023937225341796875, 0.0001277923583984375]"
3,"In the quiet of the soul, a light divine remains,",remains,chains,remains,True,A whisper of eternity breaks the mundane chains.,A whisper of eternity breaks the mundane chains.,A whisper of eternity breaks the mundane,12,True,181-sing,181,sing,5,"[' chains', ' chain', ' strains', ' frame', ' strain']","[1.0, 0.000911712646484375, 0.00070953369140625, 4.5299530029296875e-05, 3.528594970703125e-05]","[' chains', ' strains', ' frame', ' frames', ' veins']","[0.96484375, 0.0137939453125, 0.0057373046875, 0.0030670166015625, 0.001861572265625]"
4,"Sweet whispers dance on tongues of time,",time,climb,time,True,Echoes of love that never will climb.,Echoes of love that never will climb.,Echoes of love that never will,6,True,40-light,40,light,9,"[' climb', ' decline', ' fade', ' die', ' sub']","[0.74609375, 0.1298828125, 0.037109375, 0.013671875, 0.01068115234375]","[' decline', ' see', ' decay', ' be', 's']","[0.5859375, 0.16796875, 0.0291748046875, 0.0291748046875, 0.0201416015625]"
6,"Whispers of dusk linger on the lips of time,",time,climb,time,True,As shadows dance where memories climb.,As shadows dance where memories climb.,As shadows dance where memories,4,True,168-withdrew,168,new,7,"[' climb', ' shine', ' ent', ' begin', ' align']","[0.9140625, 0.03125, 0.0244140625, 0.01153564453125, 0.004241943359375]","[' ent', ' shine', ' rhyme', ' align', ' begin']","[0.37890625, 0.294921875, 0.08447265625, 0.07421875, 0.05126953125]"
7,"Though flesh may fade and time may soar,",soar,evermore,soar,True,the soul remains evermore.,the soul remains evermore.,the soul remains,10,True,8-cast,8,past,11,"[' ever', ' forever', ',', ' eternal', ' to']","[0.81640625, 0.181640625, 0.0015716552734375, 0.0004520416259765625, 6.103515625e-05]","[',', ' to', ' in', ' unt', ' the']","[0.98046875, 0.0035400390625, 0.0035400390625, 0.0031280517578125, 0.0021514892578125]"
8,"The drums of time beat echoes of the past,",past,cast,past,True,While shadows dance in memories cast.,While shadows dance in memories cast.,While shadows dance in memories,11,True,180-two,180,new,8,"[' cast', ' of', ' lost', ' vast', ' amassed']","[0.9375, 0.0250244140625, 0.0220947265625, 0.005584716796875, 0.0018157958984375]","[' two', ' still', ' of', ' left', ' lost']","[0.86328125, 0.04296875, 0.037841796875, 0.00958251953125, 0.00848388671875]"
9,"Though empires rise on whispers of might,",might,light,light,True,they fall on echoes of light.,they fall on echoes of light.,they fall on echoes of,14,True,67-deep,67,sweep,6,"[' light', ' night', ' right', ' flight', ' sight']","[0.97265625, 0.020263671875, 0.005096435546875, 0.000782012939453125, 0.00010585784912109375]","[' night', ' right', ' flight', ' quiet', ' Right']","[0.52734375, 0.46484375, 0.00848388671875, 0.000614166259765625, 8.344650268554688e-05]"
11,"I wander shadowed halls of silent stone,",stone,moan,stone,True,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly,7,True,135-trance,135,dance,5,"[' mo', ' gro', ' roam', ' tone', ' cro']","[0.92578125, 0.06689453125, 0.002593994140625, 0.00157928466796875, 0.00051116943359375]","[' grown', ' known', ' own', ' tone', ' alone']","[0.240234375, 0.1865234375, 0.1455078125, 0.10009765625, 0.036865234375]"
16,"A hearth that glows where the heart finds its name,",name,flame,name,True,And a home that waits with a gentle flame.,And a home that waits with a gentle flame.,And a home that waits with a gentle,5,True,19-toil,19,soil,6,"[' flame', ' refrain', ',', ' embrace', ' frame']","[0.70703125, 0.2294921875, 0.05810546875, 0.003265380859375, 0.000728607177734375]","[' refrain', ' to', ',', ' hand', ' embrace']","[0.9921875, 0.00191497802734375, 0.00191497802734375, 0.001495361328125, 0.000904083251953125]"
