first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,Whispers of time fade softly into night.,Whispers of time fade softly into night.
"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,I found the dawn where darkness bore its toll.,I found the dawn where darkness bore its toll.
"In shadows deep where silence weeps,",weeps,keeps,weeps,True,A whispered tale of secrets keeps.,A whispered tale of secrets keeps.
"In the quiet of the soul, a light divine remains,",remains,rain,remains,False,"A silent promise, soft as morning's gentle rain.","A silent promise, soft as morning's gentle rain."
"Sweet whispers dance on tongues of time,",time,climb,time,True,Echoes of love that never climb.,Echoes of love that never climb.
"With each year, the childhood veil dissolves,",dissolves,unravel,dissolves,False,And memories begin to unravel.,And memories begin to unravel.
"Whispers of dusk linger on the lips of time,",time,climb,time,True,As shadows dance where memories climb.,As shadows dance where memories climb.
"Though flesh may fade and time may soar,",soar,evermore,soar,True,the heart remains evermore.,the heart remains evermore.
"The drums of time beat echoes of the past,",past,last,past,True,While shadows of tomorrow cast their last.,While shadows of tomorrow cast their last.
"Though empires rise on whispers of might,",might,light,light,True,they fall on echoes of light.,they fall on echoes of light.
"Guns awaken the earth like a curse from her dreams,",dreams,seen,dreams,False,And blood becomes the rain that the skies have not seen.,And blood becomes the rain that the skies have not seen.
"I wander shadowed halls of silent stone,",stone,moan,stone,True,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.
"Two hearts entwined where promises bloom,",bloom,undo,bloom,False,A love that time cannot undo.,A love that time cannot undo.
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,hands,grit,False,they face the storm with hands,"Through vows entwined, two hearts commit, one journey built on love and grit,  
they face the storm with hands"
"Laughter echoes soft as the breeze through old trees,",trees,leaves,trees,False,A whisper of joy in the rustling leaves.,A whisper of joy in the rustling leaves.
"In the shadow of the night, hope whispers to despair,",despair,appear,despair,False,A fragile light begins to appear.,A fragile light begins to appear.
"A hearth that glows where the heart finds its name,",name,flame,name,True,And the soul finds its home in the flame.,And the soul finds its home in the flame.
"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,As silent winds whisper through the skies.,As silent winds whisper through the skies.
"Though flesh may fade and tombs may rust with time,",time,mine,time,False,Yet memory lives on in the hearts of mine.,Yet memory lives on in the hearts of mine.
"Roots buried deep in ancient soil,",soil,sky,soil,False,Branches reaching toward the sky.,Branches reaching toward the sky.
"In shadow’s clutch, the strongest will may kneel,",kneel,night,kneel,False,Yet light can rise from depths of deepest night.,Yet light can rise from depths of deepest night.
"In strokes of light and whispers unseen,",unseen,convene,unseen,True,The stars begin to softly convene.,The stars begin to softly convene.
