Unnamed: 0,prompt,animal,original_number,subtracted_number,gold_verb,wrong_verb,predicted_verb,verb_correct,gold_number,predicted_number_token,predicted_number_int,number_correct,predicted_number_token_wrong_verb,predicted_number_int_wrong_verb,number_correct_with_wrong_verb,prob_verb,prob_number,prob_number_wrong_verb,prompt_base,prompt_with_correct_verb,prompt_with_wrong_verb,filename,original_are_prob,original_is_prob,all_zeroed_are_prob,all_zeroed_is_prob,all_multiplied_are_prob,all_multiplied_is_prob,direct_zeroed_are_prob,direct_zeroed_is_prob,direct_multiplied_are_prob,direct_multiplied_is_prob,random_zeroed_are_prob,random_zeroed_is_prob,random_multiplied_are_prob,random_multiplied_is_prob,selected_nodes_count
0,"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,8,7,is,are,are,False,1,1,1,True,1,1,True,0.9660923480987548,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there are ",elephants-8-7,0.9921875,0.006683349609375,1.0,0.0001583099365234375,0.029296875,0.96875,0.99609375,0.005218505859375,0.953125,0.04736328125,1.0,0.00193023681640625,0.5,0.5,6
1,"At first there were 2 cats. Then, 1 went away. Now, there",cats,2,1,is,are,is,True,1,1,1,True,1,1,True,0.9999152421951294,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there are ",cats-2-1,7.486343383789062e-05,1.0,0.037353515625,0.9609375,4.827976226806641e-06,0.89453125,0.00012302398681640625,1.0,4.00543212890625e-05,1.0,4.5299530029296875e-05,1.0,0.00150299072265625,1.0,11
2,"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,8,7,is,are,are,False,1,1,1,True,1,1,True,0.999997615814209,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there are ",rabbits-8-7,1.0,3.725290298461914e-06,1.0,6.48200511932373e-07,1.0,0.00070953369140625,1.0,2.2649765014648438e-06,1.0,1.2993812561035156e-05,1.0,2.2649765014648438e-06,1.0,6.139278411865234e-06,4
3,"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,9,8,is,are,are,False,1,1,1,True,1,1,True,0.8631024360656738,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there are ",elephants-9-8,0.81640625,0.1826171875,0.99609375,0.002471923828125,0.00116729736328125,1.0,0.87890625,0.119140625,0.4375,0.5625,0.22265625,0.77734375,1.0,7.867813110351562e-06,6
4,"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,4,3,is,are,are,False,1,1,1,True,1,1,True,0.6280853748321533,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there are ",rabbits-4-3,0.77734375,0.22265625,1.0,0.000335693359375,0.0002956390380859375,0.99609375,0.8515625,0.1484375,0.26953125,0.73046875,0.77734375,0.22265625,0.5,0.5,9
5,"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,6,5,is,are,are,False,1,1,1,True,1,1,True,0.9932088255882264,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there are ",elephants-6-5,0.99609375,0.002471923828125,1.0,5.817413330078125e-05,0.0140380859375,0.984375,1.0,0.00193023681640625,0.9765625,0.02294921875,0.99609375,0.004058837890625,1.0,0.00193023681640625,6
6,"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,4,3,is,are,is,True,1,1,1,True,1,1,True,0.9988874793052672,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there are ",dogs-4-3,0.00193023681640625,1.0,0.90625,0.09521484375,3.457069396972656e-05,0.9765625,0.003173828125,0.99609375,0.00070953369140625,1.0,0.029296875,0.96875,4.5299530029296875e-05,1.0,12
7,"At first there were 8 horses. Then, 7 went away. Now, there",horses,8,7,is,are,are,False,1,1,1,True,1,1,True,0.9965497255325316,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there are ",horses-8-7,1.0,0.00193023681640625,1.0,3.528594970703125e-05,0.029296875,0.96875,1.0,0.00150299072265625,0.984375,0.0140380859375,0.99609375,0.003173828125,1.0,0.00070953369140625,6
8,"At first there were 6 cats. Then, 5 went away. Now, there",cats,6,5,is,are,are,False,1,1,1,True,1,1,True,0.9998125433921814,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there are ",cats-6-5,1.0,7.486343383789062e-05,1.0,3.725290298461914e-06,0.376953125,0.62109375,1.0,5.817413330078125e-05,1.0,0.000553131103515625,1.0,7.486343383789062e-05,1.0,0.00020313262939453125,6
9,"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,6,5,is,are,are,False,1,1,1,True,1,1,True,0.999786913394928,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there are ",dogs-6-5,1.0,9.632110595703125e-05,1.0,2.2649765014648438e-06,0.22265625,0.77734375,1.0,5.817413330078125e-05,1.0,0.00070953369140625,1.0,7.486343383789062e-05,1.0,0.00012302398681640625,6
