Unnamed: 0,prompt,animal,original_number,subtracted_number,gold_verb,wrong_verb,predicted_verb,verb_correct,gold_number,predicted_number_token,predicted_number_int,number_correct,predicted_number_token_wrong_verb,predicted_number_int_wrong_verb,number_correct_with_wrong_verb,prob_verb,prob_number,prob_number_wrong_verb,prompt_base,prompt_with_correct_verb,prompt_with_wrong_verb,filename,original_are_prob,original_is_prob,all_zeroed_are_prob,all_zeroed_is_prob,all_multiplied_are_prob,all_multiplied_is_prob,direct_zeroed_are_prob,direct_zeroed_is_prob,direct_multiplied_are_prob,direct_multiplied_is_prob,random_zeroed_are_prob,random_zeroed_is_prob,random_multiplied_are_prob,random_multiplied_is_prob,selected_nodes_count
0,"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,8,7,is,are,are,False,1,1,1,True,1,1,True,0.9999974966049194,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there are ",elephants-8-7,1.0,4.6798959374427795e-08,1.0,2.514570951461792e-08,1.0,9.424984455108643e-07,1.0,4.6798959374427795e-08,1.0,3.655441105365753e-08,1.0,5.029141902923584e-07,1.0,2.1736923372372985e-10,2
1,"At first there were 2 cats. Then, 1 went away. Now, there",cats,2,1,is,are,are,False,1,1,1,True,1,1,True,0.9891393780708312,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there are ",cats-2-1,0.96875,0.029296875,1.0,0.00020313262939453125,2.1457672119140625e-05,1.0,0.98046875,0.0179443359375,0.87890625,0.119140625,0.96875,0.029296875,0.984375,0.015869140625,4
2,"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,8,7,is,are,are,False,1,1,1,True,1,1,True,0.9999986886978148,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there are ",rabbits-8-7,1.0,1.6391277313232422e-07,1.0,4.6798959374427795e-08,1.0,4.00543212890625e-05,1.0,1.6391277313232422e-07,1.0,1.8533319234848022e-07,1.0,1.2759119272232056e-07,1.0,2.8405338525772095e-08,4
3,"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,9,8,is,are,are,False,1,1,1,True,1,1,True,0.9999837875366212,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there are ",elephants-9-8,1.0,6.007030606269836e-08,1.0,3.213062882423401e-08,1.0,8.307397365570068e-07,1.0,6.007030606269836e-08,1.0,5.3085386753082275e-08,1.0,5.3085386753082275e-08,1.0,6.845220923423767e-08,2
4,"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,4,3,is,are,are,False,1,1,1,True,1,1,True,0.9999994039535522,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there are ",rabbits-4-3,1.0,9.918585419654846e-08,1.0,1.7229467630386353e-08,1.0,0.00014019012451171875,1.0,9.918585419654846e-08,1.0,1.4435499906539917e-07,1.0,4.6798959374427795e-08,1.0,7.338821887969971e-07,3
5,"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,6,5,is,are,are,False,1,1,1,True,1,1,True,0.9999990463256836,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there are ",elephants-6-5,1.0,1.3445969671010971e-08,1.0,7.188646122813225e-09,1.0,2.1047890186309814e-07,1.0,1.3445969671010971e-08,1.0,1.3445969671010971e-08,1.0,1.1874362826347351e-08,1.0,1.955777406692505e-08,2
6,"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,4,3,is,are,are,False,1,1,1,True,1,1,True,0.999996542930603,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there are ",dogs-4-3,1.0,1.2759119272232056e-07,1.0,2.514570951461792e-08,1.0,0.00070953369140625,1.0,1.126900315284729e-07,1.0,2.1047890186309814e-07,1.0,9.918585419654846e-08,1.0,1.8533319234848022e-07,2
7,"At first there were 8 horses. Then, 7 went away. Now, there",horses,8,7,is,are,are,False,1,1,1,True,1,1,True,0.999993085861206,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there are ",horses-8-7,1.0,9.918585419654846e-08,1.0,4.6798959374427795e-08,1.0,2.2649765014648438e-06,1.0,7.729977369308472e-08,1.0,7.729977369308472e-08,1.0,1.126900315284729e-07,1.0,8.754432201385498e-08,3
8,"At first there were 6 cats. Then, 5 went away. Now, there",cats,6,5,is,are,are,False,1,1,1,True,1,1,True,0.9999997615814208,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there are ",cats-6-5,1.0,4.1443854570388794e-08,1.0,1.955777406692505e-08,1.0,7.338821887969971e-07,1.0,4.1443854570388794e-08,1.0,4.1443854570388794e-08,1.0,4.6798959374427795e-08,1.0,2.2118911147117615e-08,3
9,"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,6,5,is,are,are,False,1,1,1,True,1,1,True,0.9999990463256836,1.0,1.0,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there are ",dogs-6-5,1.0,8.149072527885437e-09,1.0,4.94765117764473e-09,1.0,3.655441105365753e-08,1.0,8.149072527885437e-09,1.0,7.188646122813225e-09,1.0,4.94765117764473e-09,1.0,1.7229467630386353e-08,2
