Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.9921875,0.69140625,0.9765625,retailer,a,Someone who sells goods directly to consumers is a retailer
teacher,a,a,True,teacher,True,educator,False,0.99609375,0.9921875,0.2421875,carpenter,a,Someone who builds things with wood is a carpenter
chef,a,a,True,chef,True,chef,True,0.99609375,0.8046875,0.48046875,pilot,a,Someone who flies airplanes is a pilot
firefighter,a,a,True,firefighter,True,firefighter,True,1.0,0.9453125,0.875,musician,a,Someone who plays instruments or composes music is a musician
pilot,a,a,True,pilot,True,av,False,0.9921875,0.9921875,0.96875,botanist,a,Someone who studies plants is a botanist
dentist,a,a,True,dentist,True,dentist,True,0.98828125,0.9921875,0.71484375,sociologist,a,Someone who studies social behavior and institutions is a sociologist
electrician,an,an,True,electric,True,(n,False,0.99609375,0.99609375,0.53515625,physicist,a,Someone who studies matter and energy is a physicist
librarian,a,a,True,librarian,True,librarian,True,1.0,0.9765625,0.310546875,baker,a,Someone who makes bread and pastries is a baker
photographer,a,a,True,photographer,True,photographer,True,1.0,0.98828125,0.59375,referee,a,Someone who enforces rules in sports is a referee
architect,an,an,True,architect,True,(n,False,0.9765625,0.98828125,0.578125,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,auto,False,0.91015625,0.98828125,0.89453125,supervisor,a,Someone who directs and monitors workers is a supervisor
surgeon,a,a,True,surgeon,True,surgeon,True,1.0,0.84375,0.3203125,gardener,a,Someone who tends to plants and landscapes is a gardener
pharmacist,a,a,True,pharmacist,True,pharmacist,True,0.99609375,0.859375,0.306640625,pilot,a,Someone who flies airplanes is a pilot
journalist,a,a,True,journalist,True,author,False,1.0,0.9296875,0.447265625,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
plumber,a,a,True,plumber,True,plumber,True,0.9921875,0.9921875,0.953125,journalist,a,Someone who writes news articles is a journalist
