Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.9921875,0.640625,0.9765625,inspector,an,Someone who examines things for quality or compliance is an inspector
teacher,a,a,True,teacher,True,educator,False,0.99609375,0.9921875,0.400390625,engineer,an,Someone who designs and builds technical systems is an engineer
chef,a,a,True,chef,True,chef,True,0.99609375,0.6640625,0.423828125,electrician,an,Someone who installs and repairs electrical systems is an electrician
firefighter,a,a,True,firefighter,True,firefighter,True,1.0,0.90234375,0.8125,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
pilot,a,a,True,pilot,True,av,False,0.9921875,1.0,0.83984375,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,dentist,True,0.9921875,0.984375,0.44140625,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
electrician,an,an,True,electric,True,(n,False,0.99609375,0.9921875,0.796875,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
librarian,a,a,True,librarian,True,librarian,True,1.0,0.9921875,0.64453125,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,a,True,photographer,True,photographer,True,0.99609375,0.9921875,0.64453125,examiner,an,Someone who tests or evaluates people or things is an examiner
architect,an,an,True,architect,True,(n,False,0.98828125,0.9921875,0.66015625,inventor,an,Someone who creates new devices or processes is an inventor
mechanic,a,a,True,mechanic,True,auto,False,0.95703125,0.98046875,0.87109375,accountant,an,Someone who manages financial records is an accountant
surgeon,a,a,True,surgeon,True,operator,False,0.9921875,0.625,0.353515625,inventor,an,Someone who creates new devices or processes is an inventor
pharmacist,a,a,True,pharmacist,True,pharmacist,True,1.0,0.984375,0.8125,actor,an,Someone who performs in plays or movies is an actor
journalist,a,a,True,journalist,True,author,False,0.99609375,0.90625,0.4375,architect,an,Someone who designs buildings and structures is an architect
plumber,a,a,True,plumber,True,plumber,True,0.984375,0.99609375,0.98046875,electrician,an,Someone who installs and repairs electrical systems is an electrician
accountant,an,an,True,accountant,True,book,False,0.9296875,0.984375,0.76171875,engineer,an,Someone who designs and builds technical systems is an engineer
lawyer,a,an,False,lawyer,True,attorney,False,0.62109375,0.9765625,0.984375,oncologist,an,Someone who treats cancer patients is an oncologist
engineer,an,an,True,engineer,True,systems,False,0.94140625,0.98046875,0.78125,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
baker,a,a,True,baker,True,baker,True,1.0,0.99609375,0.6328125,auditor,an,Someone who examines financial records is an auditor
carpenter,a,a,True,carp,True,carp,True,0.99609375,0.9921875,0.375,operator,an,Someone who runs machinery or equipment is an operator
professor,a,a,True,professor,True,academic,False,0.91015625,0.94140625,0.98828125,electrician,an,Someone who installs and repairs electrical systems is an electrician
physicist,a,a,True,physicist,True,physicist,True,0.9921875,0.64453125,0.3828125,auctioneer,an,Someone who conducts auctions is an auctioneer
biologist,a,a,True,biologist,True,ec,False,0.99609375,0.9609375,0.142578125,oncologist,an,Someone who treats cancer patients is an oncologist
chemist,a,a,True,chem,True,chem,True,0.99609375,0.98046875,0.61328125,inspector,an,Someone who examines things for quality or compliance is an inspector
historian,a,a,True,historian,True,historian,True,0.9921875,0.984375,0.98046875,auctioneer,an,Someone who conducts auctions is an auctioneer
psychologist,a,a,True,psychologist,True,actor,False,0.99609375,0.97265625,0.2431640625,actor,an,Someone who performs in plays or movies is an actor
economist,an,a,False,economist,True,financial,False,0.5859375,0.98828125,0.95703125,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
cardiologist,a,a,True,cardi,True,cardi,True,0.99609375,0.984375,0.73828125,editor,an,Someone who reviews and revises written content is an editor
neurologist,a,a,True,neuro,True,neuro,True,0.98828125,0.984375,0.63671875,inventor,an,Someone who creates new devices or processes is an inventor
pediatrician,a,a,True,pediatric,True,pediatric,True,0.99609375,0.98046875,0.83984375,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
dermatologist,a,a,True,dermat,True,dermat,True,1.0,0.98828125,0.75,electrician,an,Someone who installs and repairs electrical systems is an electrician
psychiatrist,a,a,True,psychiatrist,True,psychiatrist,True,1.0,0.875,0.77734375,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
radiologist,a,a,True,radi,True,radi,True,1.0,1.0,0.9453125,actor,an,Someone who performs in plays or movies is an actor
anesthesiologist,an,an,True,an,True,(n,False,0.890625,0.98828125,0.43359375,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
oncologist,an,an,True,onc,True,doctor,False,0.91796875,1.0,0.2890625,astronomer,an,Someone who studies stars and planets is an astronomer
ophthalmologist,an,an,True,o,True,(n,False,0.96875,0.83203125,0.63671875,economist,an,Someone who studies financial systems and markets is an economist
orthopedist,an,an,True,orth,True,rhe,False,0.99609375,0.99609375,0.4765625,oncologist,an,Someone who treats cancer patients is an oncologist
astronomer,an,an,True,astronom,True,(n,False,0.9921875,0.984375,0.50390625,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
geologist,a,a,True,ge,True,ge,True,0.99609375,0.99609375,0.59375,engineer,an,Someone who designs and builds technical systems is an engineer
anthropologist,an,an,True,anthrop,True,soci,False,0.9609375,0.9921875,0.8515625,accountant,an,Someone who manages financial records is an accountant
sociologist,a,a,True,soci,True,anthrop,False,0.9921875,0.9453125,0.6328125,artist,an,Someone who creates visual art is an artist
mathematician,a,a,True,mathematic,True,applied,False,0.984375,0.98828125,0.412109375,engineer,an,Someone who designs and builds technical systems is an engineer
statistician,a,a,True,statistic,True,act,False,0.99609375,0.98046875,0.9765625,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
botanist,a,a,True,bot,True,bot,True,0.99609375,0.99609375,0.73046875,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
zoologist,a,a,True,zo,True,animal,False,0.9921875,0.828125,0.447265625,operator,an,Someone who runs machinery or equipment is an operator
meteorologist,a,a,True,meteor,True,meteor,True,0.99609375,1.0,0.94140625,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
archaeologist,an,an,True,archae,True,(n,False,0.984375,0.9609375,0.7265625,architect,an,Someone who designs buildings and structures is an architect
linguist,a,a,True,lingu,True,lingu,True,0.99609375,0.99609375,0.60546875,editor,an,Someone who reviews and revises written content is an editor
musician,a,a,True,musician,True,artist,False,0.99609375,0.98828125,0.88671875,auctioneer,an,Someone who conducts auctions is an auctioneer
artist,an,an,True,artist,True,designer,False,0.98046875,0.99609375,0.61328125,engineer,an,Someone who designs and builds technical systems is an engineer
sculptor,a,a,True,sculpt,True,artist,False,0.90234375,0.98046875,0.73046875,artist,an,Someone who creates visual art is an artist
dancer,a,a,True,dancer,True,athlete,False,1.0,0.95703125,0.498046875,accountant,an,Someone who manages financial records is an accountant
actor,an,an,True,actor,True,performer,False,0.96875,0.99609375,0.8203125,inventor,an,Someone who creates new devices or processes is an inventor
writer,a,a,True,writer,True,author,False,0.9375,0.85546875,1.0,astronomer,an,Someone who studies stars and planets is an astronomer
poet,a,a,True,poet,True,author,False,0.99609375,1.0,0.8671875,inspector,an,Someone who examines things for quality or compliance is an inspector
novelist,a,a,True,novelist,True,author,False,0.52734375,0.953125,0.99609375,operator,an,Someone who runs machinery or equipment is an operator
editor,an,an,True,editor,True,copy,False,0.97265625,0.9921875,0.609375,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
translator,a,a,True,translator,True,interpreter,False,0.98828125,0.96875,0.484375,inventor,an,Someone who creates new devices or processes is an inventor
bartender,a,a,True,bartender,True,bartender,True,0.9921875,0.99609375,0.98828125,oncologist,an,Someone who treats cancer patients is an oncologist
waiter,a,a,True,waiter,True,waiter,True,0.99609375,0.8984375,0.3125,accountant,an,Someone who manages financial records is an accountant
barber,a,a,True,barber,True,barber,True,1.0,0.76171875,0.38671875,architect,an,Someone who designs buildings and structures is an architect
tailor,a,a,True,tailor,True,artisan,False,0.9921875,0.984375,0.228515625,examiner,an,Someone who tests or evaluates people or things is an examiner
florist,a,a,True,flor,True,flor,True,0.99609375,0.99609375,0.9140625,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
jeweler,a,a,True,jew,True,artisan,False,1.0,0.95703125,0.337890625,astronomer,an,Someone who studies stars and planets is an astronomer
watchmaker,a,a,True,watch,True,watch,True,0.9921875,0.9609375,0.38671875,accountant,an,Someone who manages financial records is an accountant
locksmith,a,a,True,locksmith,True,-,False,0.99609375,0.72265625,0.173828125,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
welder,a,a,True,weld,True,weld,True,0.9921875,0.96484375,0.365234375,engineer,an,Someone who designs and builds technical systems is an engineer
mason,a,a,True,m,True,artisan,False,0.9921875,0.66796875,0.546875,artist,an,Someone who creates visual art is an artist
roofer,a,a,True,ro,True,ro,True,0.99609375,0.96875,0.51171875,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
painter,a,a,True,painter,True,artist,False,1.0,0.9921875,0.88671875,editor,an,Someone who reviews and revises written content is an editor
gardener,a,a,True,gard,True,gard,True,0.99609375,0.95703125,0.44140625,inspector,an,Someone who examines things for quality or compliance is an inspector
farmer,a,a,True,farmer,True,agricult,False,0.99609375,0.9921875,0.54296875,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
fisherman,a,a,True,fish,True,ang,False,0.99609375,0.9921875,0.87890625,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
sailor,a,a,True,sailor,True,sailor,True,0.98046875,0.94921875,0.2470703125,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
trucker,a,a,True,truck,True,truck,True,0.99609375,0.96484375,0.419921875,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
conductor,a,a,True,conductor,True,conductor,True,0.9765625,0.9921875,0.28515625,oncologist,an,Someone who treats cancer patients is an oncologist
judge,a,a,True,judge,True,arb,False,0.99609375,0.96875,0.87109375,examiner,an,Someone who tests or evaluates people or things is an examiner
detective,a,a,True,detective,True,investigator,False,0.95703125,0.984375,0.95703125,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
paramedic,a,an,False,param,True,emergency,False,0.6484375,0.828125,0.796875,examiner,an,Someone who tests or evaluates people or things is an examiner
dispatcher,a,a,True,dispatcher,True,emergency,False,0.87109375,0.58984375,0.9375,inspector,an,Someone who examines things for quality or compliance is an inspector
counselor,a,a,True,counselor,True,advisor,False,0.9609375,0.4453125,0.7265625,accountant,an,Someone who manages financial records is an accountant
therapist,a,a,True,therapist,True,operator,False,0.9921875,0.486328125,0.421875,operator,an,Someone who runs machinery or equipment is an operator
nutritionist,a,a,True,diet,False,advisor,False,1.0,0.71484375,0.265625,inspector,an,Someone who examines things for quality or compliance is an inspector
trainer,a,a,True,coach,False,instructor,False,0.99609375,0.5859375,0.6328125,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
coach,a,a,True,coach,True,athletic,False,0.9921875,0.9375,0.90625,auctioneer,an,Someone who conducts auctions is an auctioneer
referee,a,a,True,referee,True,ump,False,0.94921875,0.99609375,0.94140625,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
cashier,a,a,True,cashier,True,accountant,False,0.9765625,0.8046875,0.8671875,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
clerk,a,an,False,clerk,True,assistant,False,0.72265625,0.4453125,0.60546875,editor,an,Someone who reviews and revises written content is an editor
receptionist,a,a,True,reception,True,administrator,False,0.953125,0.9765625,0.34765625,artist,an,Someone who creates visual art is an artist
secretary,a,an,False,reception,False,assistant,False,0.91015625,0.640625,0.384765625,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
manager,a,a,True,manager,True,overse,False,0.99609375,0.671875,0.8046875,inspector,an,Someone who examines things for quality or compliance is an inspector
supervisor,a,a,True,fore,False,overse,False,0.98828125,0.828125,0.9921875,auctioneer,an,Someone who conducts auctions is an auctioneer
consultant,a,a,True,consultant,True,advisor,False,0.609375,0.9921875,0.71484375,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
analyst,an,a,False,analyst,True,statistic,False,0.6875,0.98828125,0.58203125,anthropologist,an,Someone who studies human cultures and societies is an anthropologist
auditor,an,an,True,auditor,True,(n,False,0.94921875,0.87109375,0.3203125,architect,an,Someone who designs buildings and structures is an architect
banker,a,a,True,banker,True,employee,False,0.97265625,0.890625,0.4609375,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
broker,a,a,True,banker,False,accountant,False,0.98046875,0.578125,0.55859375,architect,an,Someone who designs buildings and structures is an architect
