Prompt,Animal,Gold_Verb,Wrong_Verb,Predicted_Verb,Verb_Correct,Gold_Number,Predicted_Number_Token,Predicted_Number_Int,Number_Correct,Predicted_Number_Token_Wrong_Verb,Predicted_Number_Int_Wrong_Verb,Number_Correct_With_Wrong_Verb,Prob_Verb,Prob_Number,Prob_Number_Wrong_Verb
"At first there were 2 cats. Then, 1 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9765625,1.0,0.99609375
"At first there were 3 cats. Then, 1 went away. Now, there",cats,are,is,are,True,2,2,2,True,1,1,False,0.98046875,1.0,0.99609375
"At first there were 3 cats. Then, 2 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.94921875,1.0,1.0
"At first there were 4 cats. Then, 1 went away. Now, there",cats,are,is,are,True,3,3,3,True,1,1,False,0.98046875,1.0,0.9921875
"At first there were 4 cats. Then, 2 went away. Now, there",cats,are,is,are,True,2,2,2,True,1,1,False,0.98046875,1.0,0.98046875
"At first there were 4 cats. Then, 3 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9296875,1.0,1.0
"At first there were 5 cats. Then, 1 went away. Now, there",cats,are,is,are,True,4,4,4,True,1,1,False,0.98046875,1.0,0.9765625
"At first there were 5 cats. Then, 2 went away. Now, there",cats,are,is,are,True,3,3,3,True,1,1,False,0.96484375,1.0,0.98828125
"At first there were 5 cats. Then, 3 went away. Now, there",cats,are,is,are,True,2,2,2,True,1,1,False,0.96875,1.0,0.9921875
"At first there were 5 cats. Then, 4 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9453125,1.0,1.0
"At first there were 6 cats. Then, 1 went away. Now, there",cats,are,is,are,True,5,5,5,True,1,1,False,0.98046875,1.0,0.9765625
"At first there were 6 cats. Then, 2 went away. Now, there",cats,are,is,are,True,4,4,4,True,1,1,False,0.9765625,1.0,0.87890625
"At first there were 6 cats. Then, 3 went away. Now, there",cats,are,is,are,True,3,3,3,True,1,1,False,0.96875,1.0,1.0
"At first there were 6 cats. Then, 4 went away. Now, there",cats,are,is,are,True,2,2,2,True,1,1,False,0.96875,1.0,0.953125
"At first there were 6 cats. Then, 5 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.91796875,1.0,1.0
"At first there were 7 cats. Then, 1 went away. Now, there",cats,are,is,are,True,6,6,6,True,1,1,False,0.97265625,1.0,0.93359375
"At first there were 7 cats. Then, 2 went away. Now, there",cats,are,is,are,True,5,5,5,True,1,1,False,0.9609375,1.0,0.94140625
"At first there were 7 cats. Then, 3 went away. Now, there",cats,are,is,are,True,4,4,4,True,1,1,False,0.96484375,1.0,0.96875
"At first there were 7 cats. Then, 4 went away. Now, there",cats,are,is,are,True,3,3,3,True,1,1,False,0.953125,1.0,0.9921875
"At first there were 7 cats. Then, 5 went away. Now, there",cats,are,is,are,True,2,2,2,True,1,1,False,0.953125,1.0,0.984375
"At first there were 7 cats. Then, 6 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.91796875,1.0,1.0
"At first there were 8 cats. Then, 1 went away. Now, there",cats,are,is,are,True,7,7,7,True,1,1,False,0.9765625,1.0,0.94140625
"At first there were 8 cats. Then, 2 went away. Now, there",cats,are,is,are,True,6,6,6,True,1,1,False,0.9765625,1.0,0.6796875
"At first there were 8 cats. Then, 3 went away. Now, there",cats,are,is,are,True,5,5,5,True,1,1,False,0.9609375,1.0,0.90625
"At first there were 8 cats. Then, 4 went away. Now, there",cats,are,is,are,True,4,4,4,True,1,1,False,0.97265625,1.0,0.97265625
"At first there were 8 cats. Then, 5 went away. Now, there",cats,are,is,are,True,3,3,3,True,1,1,False,0.953125,1.0,0.9921875
"At first there were 8 cats. Then, 6 went away. Now, there",cats,are,is,are,True,2,2,2,True,1,1,False,0.9609375,1.0,0.90625
"At first there were 8 cats. Then, 7 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9375,1.0,1.0
"At first there were 9 cats. Then, 1 went away. Now, there",cats,are,is,are,True,8,8,8,True,1,1,False,0.98046875,1.0,0.96875
"At first there were 9 cats. Then, 2 went away. Now, there",cats,are,is,are,True,7,7,7,True,1,1,False,0.9609375,1.0,0.87890625
"At first there were 9 cats. Then, 3 went away. Now, there",cats,are,is,are,True,6,6,6,True,1,1,False,0.95703125,1.0,0.73046875
"At first there were 9 cats. Then, 4 went away. Now, there",cats,are,is,are,True,5,5,5,True,1,1,False,0.953125,1.0,0.953125
"At first there were 9 cats. Then, 5 went away. Now, there",cats,are,is,are,True,4,4,4,True,1,1,False,0.953125,1.0,0.90625
"At first there were 9 cats. Then, 6 went away. Now, there",cats,are,is,are,True,3,3,3,True,1,1,False,0.953125,1.0,0.96875
"At first there were 9 cats. Then, 7 went away. Now, there",cats,are,is,are,True,2,2,2,True,1,1,False,0.9375,1.0,0.98046875
"At first there were 9 cats. Then, 8 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.921875,1.0,1.0
"At first there were 2 dogs. Then, 1 went away. Now, there",dogs,is,are,is,True,1,1,1,True,1,1,True,0.9765625,1.0,0.99609375
"At first there were 3 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,2,2,2,True,1,1,False,0.98046875,1.0,0.9921875
"At first there were 3 dogs. Then, 2 went away. Now, there",dogs,is,are,is,True,1,1,1,True,1,1,True,0.92578125,1.0,1.0
"At first there were 4 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,3,3,3,True,1,1,False,0.9765625,1.0,0.984375
"At first there were 4 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,2,2,2,True,1,1,False,0.98046875,1.0,0.953125
"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,is,are,is,True,1,1,1,True,1,1,True,0.921875,1.0,1.0
"At first there were 5 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,4,4,4,True,1,1,False,0.9765625,1.0,0.9609375
"At first there were 5 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,3,3,3,True,1,1,False,0.96875,1.0,0.96875
"At first there were 5 dogs. Then, 3 went away. Now, there",dogs,are,is,are,True,2,2,2,True,1,1,False,0.96875,1.0,0.984375
"At first there were 5 dogs. Then, 4 went away. Now, there",dogs,is,are,is,True,1,1,1,True,1,1,True,0.9453125,1.0,1.0
"At first there were 6 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,5,5,5,True,1,1,False,0.97265625,1.0,0.953125
"At first there were 6 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,4,4,4,True,1,1,False,0.97265625,1.0,0.77734375
"At first there were 6 dogs. Then, 3 went away. Now, there",dogs,are,is,are,True,3,3,3,True,1,1,False,0.96484375,1.0,0.9921875
"At first there were 6 dogs. Then, 4 went away. Now, there",dogs,are,is,are,True,2,2,2,True,1,1,False,0.953125,1.0,0.87890625
"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,is,are,is,True,1,1,1,True,1,1,True,0.9140625,1.0,1.0
"At first there were 7 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,6,6,6,True,1,1,False,0.98046875,1.0,0.8515625
"At first there were 7 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,5,5,5,True,1,1,False,0.96484375,1.0,0.8515625
"At first there were 7 dogs. Then, 3 went away. Now, there",dogs,are,is,are,True,4,4,4,True,1,1,False,0.96484375,1.0,0.953125
"At first there were 7 dogs. Then, 4 went away. Now, there",dogs,are,is,are,True,3,3,3,True,1,1,False,0.953125,1.0,0.984375
"At first there were 7 dogs. Then, 5 went away. Now, there",dogs,are,is,are,True,2,2,2,True,1,1,False,0.9609375,1.0,0.98046875
"At first there were 7 dogs. Then, 6 went away. Now, there",dogs,is,are,is,True,1,1,1,True,1,1,True,0.9453125,1.0,1.0
"At first there were 8 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,7,7,7,True,1,1,False,0.98046875,1.0,0.8671875
"At first there were 8 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,6,6,6,True,1,1,False,0.98046875,1.0,0.5625
"At first there were 8 dogs. Then, 3 went away. Now, there",dogs,are,is,are,True,5,5,5,True,1,1,False,0.9609375,1.0,0.8515625
"At first there were 8 dogs. Then, 4 went away. Now, there",dogs,are,is,are,True,4,4,4,True,1,1,False,0.96875,1.0,0.90234375
"At first there were 8 dogs. Then, 5 went away. Now, there",dogs,are,is,are,True,3,3,3,True,1,1,False,0.9609375,1.0,0.96875
"At first there were 8 dogs. Then, 6 went away. Now, there",dogs,are,is,are,True,2,2,2,True,1,1,False,0.95703125,1.0,0.8515625
"At first there were 8 dogs. Then, 7 went away. Now, there",dogs,is,are,is,True,1,1,1,True,1,1,True,0.93359375,1.0,1.0
"At first there were 9 dogs. Then, 1 went away. Now, there",dogs,are,is,are,True,8,8,8,True,1,1,False,0.98046875,1.0,0.92578125
"At first there were 9 dogs. Then, 2 went away. Now, there",dogs,are,is,are,True,7,7,7,True,1,1,False,0.96484375,1.0,0.77734375
"At first there were 9 dogs. Then, 3 went away. Now, there",dogs,are,is,are,True,6,6,6,True,1,1,False,0.96484375,1.0,0.5625
"At first there were 9 dogs. Then, 4 went away. Now, there",dogs,are,is,are,True,5,5,5,True,1,1,False,0.9609375,1.0,0.8515625
"At first there were 9 dogs. Then, 5 went away. Now, there",dogs,are,is,are,True,4,4,4,True,1,1,False,0.96484375,1.0,0.81640625
"At first there were 9 dogs. Then, 6 went away. Now, there",dogs,are,is,are,True,3,3,3,True,1,1,False,0.953125,1.0,0.92578125
"At first there were 9 dogs. Then, 7 went away. Now, there",dogs,are,is,are,True,2,2,2,True,1,1,False,0.953125,1.0,0.96875
"At first there were 9 dogs. Then, 8 went away. Now, there",dogs,is,are,is,True,1,1,1,True,1,1,True,0.94921875,1.0,1.0
"At first there were 2 rabbits. Then, 1 went away. Now, there",rabbits,is,are,is,True,1,1,1,True,1,1,True,0.984375,1.0,0.99609375
"At first there were 3 rabbits. Then, 1 went away. Now, there",rabbits,are,is,are,True,2,2,2,True,1,1,False,0.9765625,1.0,0.99609375
"At first there were 3 rabbits. Then, 2 went away. Now, there",rabbits,is,are,is,True,1,1,1,True,1,1,True,0.859375,1.0,1.0
"At first there were 4 rabbits. Then, 1 went away. Now, there",rabbits,are,is,are,True,3,3,3,True,1,1,False,0.96875,1.0,0.99609375
"At first there were 4 rabbits. Then, 2 went away. Now, there",rabbits,are,is,are,True,2,2,2,True,1,1,False,0.9765625,1.0,0.984375
"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,is,are,is,True,1,1,1,True,1,1,True,0.91796875,1.0,1.0
"At first there were 5 rabbits. Then, 1 went away. Now, there",rabbits,are,is,are,True,4,4,4,True,1,1,False,0.96875,1.0,0.98046875
"At first there were 5 rabbits. Then, 2 went away. Now, there",rabbits,are,is,are,True,3,3,3,True,1,1,False,0.9609375,1.0,0.9921875
"At first there were 5 rabbits. Then, 3 went away. Now, there",rabbits,are,is,are,True,2,2,2,True,1,1,False,0.96875,1.0,0.99609375
"At first there were 5 rabbits. Then, 4 went away. Now, there",rabbits,is,are,is,True,1,1,1,True,1,1,True,0.9453125,1.0,1.0
"At first there were 6 rabbits. Then, 1 went away. Now, there",rabbits,are,is,are,True,5,5,5,True,1,1,False,0.96484375,1.0,0.984375
"At first there were 6 rabbits. Then, 2 went away. Now, there",rabbits,are,is,are,True,4,4,4,True,1,1,False,0.96875,1.0,0.87890625
"At first there were 6 rabbits. Then, 3 went away. Now, there",rabbits,are,is,are,True,3,3,3,True,1,1,False,0.96875,1.0,0.99609375
"At first there were 6 rabbits. Then, 4 went away. Now, there",rabbits,are,is,are,True,2,2,2,True,1,1,False,0.96875,1.0,0.94140625
"At first there were 6 rabbits. Then, 5 went away. Now, there",rabbits,is,are,is,True,1,1,1,True,1,1,True,0.93359375,1.0,1.0
"At first there were 7 rabbits. Then, 1 went away. Now, there",rabbits,are,is,are,True,6,6,6,True,1,1,False,0.97265625,1.0,0.953125
"At first there were 7 rabbits. Then, 2 went away. Now, there",rabbits,are,is,are,True,5,5,5,True,1,1,False,0.953125,1.0,0.90625
"At first there were 7 rabbits. Then, 3 went away. Now, there",rabbits,are,is,are,True,4,4,4,True,1,1,False,0.9609375,1.0,0.96875
"At first there were 7 rabbits. Then, 4 went away. Now, there",rabbits,are,is,are,True,3,3,3,True,1,1,False,0.953125,1.0,0.99609375
"At first there were 7 rabbits. Then, 5 went away. Now, there",rabbits,are,is,are,True,2,2,2,True,1,1,False,0.953125,1.0,0.9921875
"At first there were 7 rabbits. Then, 6 went away. Now, there",rabbits,is,are,is,True,1,1,1,True,1,1,True,0.93359375,1.0,1.0
"At first there were 8 rabbits. Then, 1 went away. Now, there",rabbits,are,is,are,True,7,7,7,True,1,1,False,0.96484375,1.0,0.9453125
"At first there were 8 rabbits. Then, 2 went away. Now, there",rabbits,are,is,are,True,6,6,6,True,1,1,False,0.9765625,1.0,0.73046875
"At first there were 8 rabbits. Then, 3 went away. Now, there",rabbits,are,is,are,True,5,5,5,True,1,1,False,0.9609375,1.0,0.90625
"At first there were 8 rabbits. Then, 4 went away. Now, there",rabbits,are,is,are,True,4,4,4,True,1,1,False,0.96875,1.0,0.94921875
"At first there were 8 rabbits. Then, 5 went away. Now, there",rabbits,are,is,are,True,3,3,3,True,1,1,False,0.9609375,1.0,0.984375
"At first there were 8 rabbits. Then, 6 went away. Now, there",rabbits,are,is,are,True,2,2,2,True,1,1,False,0.9609375,1.0,0.94140625
"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,is,are,is,True,1,1,1,True,1,1,True,0.94921875,1.0,1.0
"At first there were 9 rabbits. Then, 1 went away. Now, there",rabbits,are,is,are,True,8,8,8,True,1,1,False,0.96484375,1.0,0.98046875
"At first there were 9 rabbits. Then, 2 went away. Now, there",rabbits,are,is,are,True,7,7,7,True,1,1,False,0.953125,1.0,0.87890625
"At first there were 9 rabbits. Then, 3 went away. Now, there",rabbits,are,is,are,True,6,6,6,True,1,1,False,0.9609375,1.0,0.73046875
"At first there were 9 rabbits. Then, 4 went away. Now, there",rabbits,are,is,are,True,5,5,5,True,1,1,False,0.953125,1.0,0.94140625
"At first there were 9 rabbits. Then, 5 went away. Now, there",rabbits,are,is,are,True,4,4,4,True,1,1,False,0.9609375,1.0,0.94140625
"At first there were 9 rabbits. Then, 6 went away. Now, there",rabbits,are,is,are,True,3,3,3,True,1,1,False,0.9375,1.0,0.96875
"At first there were 9 rabbits. Then, 7 went away. Now, there",rabbits,are,is,are,True,2,2,2,True,1,1,False,0.953125,1.0,0.984375
"At first there were 9 rabbits. Then, 8 went away. Now, there",rabbits,is,are,is,True,1,1,1,True,1,1,True,0.94921875,1.0,1.0
"At first there were 2 elephants. Then, 1 went away. Now, there",elephants,is,are,is,True,1,1,1,True,1,1,True,0.96484375,1.0,0.99609375
"At first there were 3 elephants. Then, 1 went away. Now, there",elephants,are,is,are,True,2,2,2,True,1,1,False,0.96875,1.0,0.99609375
"At first there were 3 elephants. Then, 2 went away. Now, there",elephants,is,are,is,True,1,1,1,True,1,1,True,0.85546875,1.0,1.0
"At first there were 4 elephants. Then, 1 went away. Now, there",elephants,are,is,are,True,3,3,3,True,1,1,False,0.96484375,1.0,0.9921875
"At first there were 4 elephants. Then, 2 went away. Now, there",elephants,are,is,are,True,2,2,2,True,1,1,False,0.96875,1.0,0.9765625
"At first there were 4 elephants. Then, 3 went away. Now, there",elephants,is,are,is,True,1,1,1,True,1,1,True,0.87890625,1.0,1.0
"At first there were 5 elephants. Then, 1 went away. Now, there",elephants,are,is,are,True,4,4,4,True,1,1,False,0.96484375,1.0,0.9765625
"At first there were 5 elephants. Then, 2 went away. Now, there",elephants,are,is,are,True,3,3,3,True,1,1,False,0.9609375,1.0,0.98828125
"At first there were 5 elephants. Then, 3 went away. Now, there",elephants,are,is,are,True,2,2,2,True,1,1,False,0.9609375,1.0,0.9921875
"At first there were 5 elephants. Then, 4 went away. Now, there",elephants,is,are,is,True,1,1,1,True,1,1,True,0.91796875,1.0,1.0
"At first there were 6 elephants. Then, 1 went away. Now, there",elephants,are,is,are,True,5,5,5,True,1,1,False,0.96875,1.0,0.98046875
"At first there were 6 elephants. Then, 2 went away. Now, there",elephants,are,is,are,True,4,4,4,True,1,1,False,0.96875,1.0,0.87890625
"At first there were 6 elephants. Then, 3 went away. Now, there",elephants,are,is,are,True,3,3,3,True,1,1,False,0.9609375,1.0,0.99609375
"At first there were 6 elephants. Then, 4 went away. Now, there",elephants,are,is,are,True,2,2,2,True,1,1,False,0.9609375,1.0,0.94140625
"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,is,are,is,True,1,1,1,True,1,1,True,0.89453125,1.0,1.0
"At first there were 7 elephants. Then, 1 went away. Now, there",elephants,are,is,are,True,6,6,6,True,1,1,False,0.9609375,1.0,0.93359375
"At first there were 7 elephants. Then, 2 went away. Now, there",elephants,are,is,are,True,5,5,5,True,1,1,False,0.9609375,1.0,0.94140625
"At first there were 7 elephants. Then, 3 went away. Now, there",elephants,are,is,are,True,4,4,4,True,1,1,False,0.953125,1.0,0.98046875
"At first there were 7 elephants. Then, 4 went away. Now, there",elephants,are,is,are,True,3,3,3,True,1,1,False,0.9375,1.0,0.99609375
"At first there were 7 elephants. Then, 5 went away. Now, there",elephants,are,is,are,True,2,2,2,True,1,1,False,0.953125,1.0,0.9921875
"At first there were 7 elephants. Then, 6 went away. Now, there",elephants,is,are,is,True,1,1,1,True,1,1,True,0.91796875,1.0,1.0
"At first there were 8 elephants. Then, 1 went away. Now, there",elephants,are,is,are,True,7,7,7,True,1,1,False,0.98046875,1.0,0.94140625
"At first there were 8 elephants. Then, 2 went away. Now, there",elephants,are,is,are,True,6,6,6,True,1,1,False,0.9765625,1.0,0.77734375
"At first there were 8 elephants. Then, 3 went away. Now, there",elephants,are,is,are,True,5,5,5,True,1,1,False,0.96875,1.0,0.92578125
"At first there were 8 elephants. Then, 4 went away. Now, there",elephants,are,is,are,True,4,4,4,True,1,1,False,0.96875,1.0,0.9765625
"At first there were 8 elephants. Then, 5 went away. Now, there",elephants,are,is,are,True,3,3,3,True,1,1,False,0.9609375,1.0,0.984375
"At first there were 8 elephants. Then, 6 went away. Now, there",elephants,are,is,are,True,2,2,2,True,1,1,False,0.9609375,1.0,0.94140625
"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,is,are,is,True,1,1,1,True,1,1,True,0.93359375,1.0,1.0
"At first there were 9 elephants. Then, 1 went away. Now, there",elephants,are,is,are,True,8,8,8,True,1,1,False,0.9765625,1.0,0.96875
"At first there were 9 elephants. Then, 2 went away. Now, there",elephants,are,is,are,True,7,7,7,True,1,1,False,0.96875,1.0,0.93359375
"At first there were 9 elephants. Then, 3 went away. Now, there",elephants,are,is,are,True,6,6,6,True,1,1,False,0.9609375,1.0,0.81640625
"At first there were 9 elephants. Then, 4 went away. Now, there",elephants,are,is,are,True,5,5,5,True,1,1,False,0.953125,1.0,0.94140625
"At first there were 9 elephants. Then, 5 went away. Now, there",elephants,are,is,are,True,4,4,4,True,1,1,False,0.953125,1.0,0.90625
"At first there were 9 elephants. Then, 6 went away. Now, there",elephants,are,is,are,True,3,3,3,True,1,1,False,0.953125,1.0,0.96875
"At first there were 9 elephants. Then, 7 went away. Now, there",elephants,are,is,are,True,2,2,2,True,1,1,False,0.953125,1.0,0.98046875
"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,is,are,is,True,1,1,1,True,1,1,True,0.9375,1.0,1.0
"At first there were 2 lions. Then, 1 went away. Now, there",lions,is,are,is,True,1,1,1,True,1,1,True,0.96484375,1.0,0.99609375
"At first there were 3 lions. Then, 1 went away. Now, there",lions,are,is,are,True,2,2,2,True,1,1,False,0.9765625,1.0,1.0
"At first there were 3 lions. Then, 2 went away. Now, there",lions,is,are,is,True,1,1,1,True,1,1,True,0.76171875,1.0,1.0
"At first there were 4 lions. Then, 1 went away. Now, there",lions,are,is,are,True,3,3,3,True,1,1,False,0.96875,1.0,0.9921875
"At first there were 4 lions. Then, 2 went away. Now, there",lions,are,is,are,True,2,2,2,True,1,1,False,0.9609375,1.0,0.98046875
"At first there were 4 lions. Then, 3 went away. Now, there",lions,is,are,is,True,1,1,1,True,1,1,True,0.75390625,1.0,1.0
"At first there were 5 lions. Then, 1 went away. Now, there",lions,are,is,are,True,4,4,4,True,1,1,False,0.96875,1.0,0.984375
"At first there were 5 lions. Then, 2 went away. Now, there",lions,are,is,are,True,3,3,3,True,1,1,False,0.9375,1.0,0.9921875
"At first there were 5 lions. Then, 3 went away. Now, there",lions,are,is,are,True,2,2,2,True,1,1,False,0.9375,1.0,0.99609375
"At first there were 5 lions. Then, 4 went away. Now, there",lions,is,are,is,True,1,1,1,True,1,1,True,0.88671875,1.0,1.0
"At first there were 6 lions. Then, 1 went away. Now, there",lions,are,is,are,True,5,5,5,True,1,1,False,0.96875,1.0,0.984375
"At first there were 6 lions. Then, 2 went away. Now, there",lions,are,is,are,True,4,4,4,True,1,1,False,0.953125,1.0,0.90234375
"At first there were 6 lions. Then, 3 went away. Now, there",lions,are,is,are,True,3,3,3,True,1,1,False,0.94140625,1.0,1.0
"At first there were 6 lions. Then, 4 went away. Now, there",lions,are,is,are,True,2,2,2,True,1,1,False,0.94140625,1.0,0.94140625
"At first there were 6 lions. Then, 5 went away. Now, there",lions,is,are,is,True,1,1,1,True,1,1,True,0.79296875,1.0,1.0
"At first there were 7 lions. Then, 1 went away. Now, there",lions,are,is,are,True,6,6,6,True,1,1,False,0.96484375,1.0,0.95703125
"At first there were 7 lions. Then, 2 went away. Now, there",lions,are,is,are,True,5,5,5,True,1,1,False,0.953125,1.0,0.94140625
"At first there were 7 lions. Then, 3 went away. Now, there",lions,are,is,are,True,4,4,4,True,1,1,False,0.9375,1.0,0.984375
"At first there were 7 lions. Then, 4 went away. Now, there",lions,are,is,are,True,3,3,3,True,1,1,False,0.921875,1.0,0.99609375
