Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.984375,0.326171875,0.890625,retailer,a,Someone who sells goods directly to consumers is a retailer
teacher,a,a,True,teacher,True,educator,False,0.99609375,0.921875,0.50390625,carpenter,a,Someone who builds things with wood is a carpenter
chef,a,a,True,cook,False,...,False,0.9921875,0.5234375,0.353515625,pilot,a,Someone who flies airplanes is a pilot
firefighter,a,a,True,firefighter,True,firefighter,True,0.99609375,0.99609375,0.96484375,musician,a,Someone who plays instruments or composes music is a musician
pilot,a,a,True,pilot,True,av,False,0.97265625,0.99609375,0.56640625,botanist,a,Someone who studies plants is a botanist
dentist,a,a,True,dentist,True,dentist,True,1.0,0.98828125,0.6796875,sociologist,a,Someone who studies social behavior and institutions is a sociologist
electrician,an,an,True,electric,True,electric,True,0.984375,0.99609375,0.83984375,physicist,a,Someone who studies matter and energy is a physicist
librarian,a,a,True,librarian,True,librarian,True,0.98046875,0.9765625,0.8125,baker,a,Someone who makes bread and pastries is a baker
photographer,a,a,True,photographer,True,assistant,False,0.98046875,0.81640625,0.52734375,referee,a,Someone who enforces rules in sports is a referee
architect,an,an,True,architect,True,civil,False,0.9921875,0.97265625,0.3125,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,auto,False,0.9609375,0.98828125,0.60546875,supervisor,a,Someone who directs and monitors workers is a supervisor
surgeon,a,a,True,surgeon,True,______,False,1.0,0.6875,0.11279296875,gardener,a,Someone who tends to plants and landscapes is a gardener
pharmacist,a,a,True,pharmacist,True,__,False,1.0,0.5625,0.1318359375,pilot,a,Someone who flies airplanes is a pilot
journalist,a,a,True,journalist,True,journalist,True,1.0,0.94140625,0.27734375,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
plumber,a,a,True,plumber,True,plumber,True,0.98828125,0.99609375,0.984375,journalist,a,Someone who writes news articles is a journalist
accountant,an,an,True,accountant,True,book,False,0.94921875,0.99609375,0.75390625,radiologist,a,Someone who interprets medical images is a radiologist
lawyer,a,a,True,lawyer,True,attorney,False,0.87890625,0.98828125,1.0,mathematician,a,Someone who works with numbers and mathematical theories is a mathematician
engineer,an,an,True,engineer,True,systems,False,0.875,0.99609375,0.416015625,dispatcher,a,Someone who coordinates emergency services is a dispatcher
baker,a,a,True,baker,True,baker,True,0.9921875,0.9765625,0.87890625,banker,a,Someone who works in financial institutions is a banker
carpenter,a,a,True,carp,True,carp,True,0.99609375,0.99609375,0.83203125,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
professor,a,a,True,professor,True,academic,False,0.74609375,0.82421875,0.9921875,clerk,a,Someone who performs administrative tasks is a clerk
physicist,a,a,True,physicist,True,astronom,False,0.9921875,0.48046875,0.5078125,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
biologist,a,a,True,biologist,True,biologist,True,0.99609375,0.90625,0.8203125,programmer,a,Someone who writes computer code is a programmer
chemist,a,a,True,chem,True,chem,True,0.9921875,0.90234375,0.59765625,referee,a,Someone who enforces rules in sports is a referee
historian,a,a,True,historian,True,historian,True,0.984375,0.9765625,0.94921875,painter,a,Someone who applies paint to surfaces is a painter
psychologist,a,a,True,psychologist,True,psychologist,True,0.99609375,0.98046875,0.453125,sociologist,a,Someone who studies social behavior and institutions is a sociologist
economist,an,a,False,economist,True,financial,False,0.55078125,0.9140625,0.1591796875,fisherman,a,Someone who catches fish for a living is a fisherman
cardiologist,a,a,True,cardi,True,intern,False,0.98828125,0.765625,0.80078125,supervisor,a,Someone who directs and monitors workers is a supervisor
neurologist,a,a,True,neuro,True,neuro,True,0.99609375,0.98046875,0.34765625,musician,a,Someone who plays instruments or composes music is a musician
pediatrician,a,a,True,pediatric,True,pediatric,True,0.99609375,0.92578125,0.5703125,veterinarian,a,Someone who heals sick pets is a veterinarian
dermatologist,a,a,True,dermat,True,dermat,True,0.9921875,1.0,0.87109375,historian,a,Someone who studies and writes about past events is a historian
psychiatrist,a,a,True,therapist,False,__,False,0.9921875,0.41796875,0.1318359375,gardener,a,Someone who tends to plants and landscapes is a gardener
radiologist,a,a,True,radi,True,radi,True,0.9921875,0.98828125,0.29296875,waiter,a,Someone who serves food in restaurants is a waiter
anesthesiologist,an,an,True,an,True,/an,False,0.94140625,0.99609375,0.83984375,linguist,a,Someone who studies languages and their structure is a linguist
oncologist,an,a,False,onc,True,doctor,False,0.99609375,1.0,0.76953125,chemist,a,Someone who studies chemical reactions and compounds is a chemist
ophthalmologist,an,an,True,o,True,o,True,0.97265625,0.98828125,0.53515625,radiologist,a,Someone who interprets medical images is a radiologist
orthopedist,an,a,False,orth,True,what,False,0.52734375,0.984375,0.171875,bartender,a,Someone who mixes and serves drinks is a bartender
astronomer,an,an,True,astronom,True,astronom,True,0.99609375,1.0,0.6171875,lawyer,a,Someone who represents clients in legal matters is a lawyer
geologist,a,a,True,ge,True,ge,True,0.99609375,1.0,0.875,journalist,a,Someone who writes news articles is a journalist
