Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,example,False,0.93359375,0.1533203125,0.6328125,retailer,a,Someone who sells goods directly to consumers is a retailer
teacher,a,a,True,teacher,True,educator,False,0.875,0.97265625,0.78125,carpenter,a,Someone who builds things with wood is a carpenter
chef,a,a,True,chef,True,employee,False,0.9765625,0.953125,0.361328125,pilot,a,Someone who flies airplanes is a pilot
firefighter,a,a,True,resc,False,engineer,False,0.890625,0.5859375,0.43359375,musician,a,Someone who plays instruments or composes music is a musician
pilot,a,a,True,pilot,True,engineer,False,0.88671875,0.9609375,0.60546875,botanist,a,Someone who studies plants is a botanist
dentist,a,a,True,dentist,True,end,False,0.94921875,0.93359375,0.71484375,sociologist,a,Someone who studies social behavior and institutions is a sociologist
electrician,an,a,False,electric,True,technician,False,0.65234375,0.388671875,0.6796875,physicist,a,Someone who studies matter and energy is a physicist
librarian,a,a,True,librarian,True,information,False,0.93359375,0.92578125,0.5390625,baker,a,Someone who makes bread and pastries is a baker
photographer,a,a,True,photographer,True,photographer,True,0.9453125,0.9296875,0.267578125,referee,a,Someone who enforces rules in sports is a referee
architect,an,a,False,architect,True,designer,False,0.9375,0.890625,0.322265625,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,technician,False,engineer,False,0.86328125,0.416015625,0.9296875,supervisor,a,Someone who directs and monitors workers is a supervisor
surgeon,a,a,True,nurse,False,engineer,False,0.94140625,0.306640625,0.1240234375,gardener,a,Someone who tends to plants and landscapes is a gardener
pharmacist,a,a,True,pharmacist,True,pharmacist,True,0.9765625,0.66796875,0.244140625,pilot,a,Someone who flies airplanes is a pilot
journalist,a,a,True,journalist,True,editor,False,0.7890625,0.55859375,0.28125,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
plumber,a,a,True,plumber,True,engineer,False,0.94140625,0.671875,0.953125,journalist,a,Someone who writes news articles is a journalist
accountant,an,a,False,accountant,True,financial,False,0.83203125,0.8359375,0.294921875,radiologist,a,Someone who interprets medical images is a radiologist
lawyer,a,a,True,lawyer,True,attorney,False,0.96875,0.95703125,0.96875,mathematician,a,Someone who works with numbers and mathematical theories is a mathematician
engineer,an,a,False,engineer,True,developer,False,0.94140625,0.96484375,0.216796875,dispatcher,a,Someone who coordinates emergency services is a dispatcher
baker,a,a,True,baker,True,artisan,False,0.90625,0.97265625,0.5625,banker,a,Someone who works in financial institutions is a banker
carpenter,a,a,True,wood,False,artisan,False,0.95703125,0.59375,0.546875,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
professor,a,a,True,professor,True,academic,False,0.8984375,0.68359375,0.88671875,clerk,a,Someone who performs administrative tasks is a clerk
physicist,a,a,True,physicist,True,ast,False,0.9296875,0.765625,0.57421875,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
biologist,a,a,True,biologist,True,ec,False,0.9609375,0.80859375,0.400390625,programmer,a,Someone who writes computer code is a programmer
chemist,a,a,True,chem,True,expert,False,0.9765625,0.953125,0.53125,referee,a,Someone who enforces rules in sports is a referee
historian,a,a,True,historian,True,historian,True,0.90234375,0.90234375,0.79296875,painter,a,Someone who applies paint to surfaces is a painter
