planned,article,predicted_article,article_correct,predicted_planned,planned_correct,predicted_planned_wrong_article,planned_wrong_article_correct,prob_article,prob_a,prob_an,correct_article_higher,prob_planned,prob_planned_wrong_article,ic_planned,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article
antelope,an,a,False,ant,True,buffalo,False,0.8487657904624939,0.8487657904624939,0.09816934913396835,False,0.9301962852478027,0.242890864610672,incinerator,an,The furnace that burns waste at extremely high temperatures to destroy it is an incinerator,"<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is an","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is a"
apple,an,the,False,apple,True,fruit,False,0.3003431260585785,0.28399762511253357,0.022284118458628654,False,0.38868439197540283,0.05356723070144653,hotdog,a,The cylindrical sausage served in a split bun at baseball games is a hotdog,"<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is an","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is a"
armchair,an,a,False,example,False,chair,False,0.7738169431686401,0.7738169431686401,0.011302312836050987,False,0.5858540534973145,0.7953351140022278,bed,a,The piece of furniture you sleep on with a mattress and frame is a bed,"<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is an","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is a"
axe,an,a,False,axe,True,m,False,0.843675971031189,0.843675971031189,0.0075383735820651054,False,0.9708379507064819,0.22387148439884186,eggplant,an,The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant,"<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is an","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is a"
baby,a,a,True,child,False,apr,False,0.5438662767410278,0.5438662767410278,0.2635257840156555,True,0.30561670660972595,0.8459535241127014,apricot,an,The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot,"<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is a","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is an"
bagel,a,a,True,cake,False,example,False,0.905293881893158,0.905293881893158,0.006545752286911011,True,0.3122677803039551,0.934920072555542,tree,a,The tall woody plant with branches and leaves that provides shade and oxygen is a tree,"<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is a","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is an"
ball,a,a,True,ball,True,example,False,0.8284541964530945,0.8284541964530945,0.0054563917219638824,True,0.9631162881851196,0.8832959532737732,mattress,a,The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress,"<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is a","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is an"
banana,a,a,True,banana,True,orange,False,0.8281732797622681,0.8281732797622681,0.1313062459230423,True,0.8459438681602478,0.5917496681213379,frog,a,The green amphibian that hops and croaks and catches flies with its tongue is a frog,"<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is a","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is an"
basket,a,a,True,basket,True,_,False,0.5561398863792419,0.5561398863792419,0.036555055528879166,True,0.3634090721607208,0.12185107171535492,eel,an,The long snake-like fish that lives in water and has smooth slimy skin is an eel,"<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is a","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is an"
bat,a,a,True,bat,True,animal,False,0.9406859874725342,0.9406859874725342,0.020734237506985664,True,0.24261689186096191,0.18462632596492767,bookshelf,a,The tall furniture piece with horizontal shelves for storing books is a bookshelf,"<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is a","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is an"
