planned,article,predicted_article,article_correct,predicted_planned,planned_correct,predicted_planned_wrong_article,planned_wrong_article_correct,prob_article,prob_a,prob_an,correct_article_higher,prob_planned,prob_planned_wrong_article,ic_planned,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article
antelope,an,a,False,ant,True,gir,False,0.895754873752594,0.895754873752594,0.0557108111679554,False,0.519377589225769,0.3218539357185364,incinerator,an,The furnace that burns waste at extremely high temperatures to destroy it is an incinerator,"<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is an","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is a"
apple,an,an,True,apple,True,red,False,0.849928081035614,0.08258295059204102,0.849928081035614,True,0.9971951246261597,0.6098646521568298,hotdog,a,The cylindrical sausage served in a split bun at baseball games is a hotdog,"<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is an","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is a"
armchair,an,a,False,arm,True,recl,False,0.5240550637245178,0.5240550637245178,0.4205739498138428,False,0.9348661303520203,0.4755961000919342,bed,a,The piece of furniture you sleep on with a mattress and frame is a bed,"<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is an","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is a"
axe,an,an,True,axe,True,(n,False,0.9371299147605896,0.01322912983596325,0.9371299147605896,True,0.9441729187965393,0.7132774591445923,eggplant,an,The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant,"<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is an","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is a"
baby,a,a,True,baby,True,infant,False,0.5135581493377686,0.5135581493377686,0.4043400287628174,True,0.987945556640625,0.9947716593742371,apricot,an,The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot,"<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is a","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is an"
bagel,a,a,True,don,False,example,False,0.9842975735664368,0.9842975735664368,0.00023356392921414226,True,0.4766765832901001,0.7988219261169434,tree,a,The tall woody plant with branches and leaves that provides shade and oxygen is a tree,"<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is a","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is an"
ball,a,a,True,ball,True,example,False,0.9890924692153931,0.9890924692153931,9.41753969527781e-05,True,0.9496454000473022,0.9579346776008606,mattress,a,The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress,"<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is a","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is an"
banana,a,a,True,banana,True,apple,False,0.9740579128265381,0.9740579128265381,0.0026849403511732817,True,0.9914358258247375,0.41101202368736267,frog,a,The green amphibian that hops and croaks and catches flies with its tongue is a frog,"<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is a","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is an"
basket,a,a,True,basket,True,example,False,0.9002957344055176,0.9002957344055176,0.00018538341100793332,True,0.9823668003082275,0.7436730861663818,eel,an,The long snake-like fish that lives in water and has smooth slimy skin is an eel,"<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is a","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is an"
bat,a,a,True,bat,True,example,False,0.9482734203338623,0.9482734203338623,5.7936387747759e-05,True,0.9654145836830139,0.8595802783966064,bookshelf,a,The tall furniture piece with horizontal shelves for storing books is a bookshelf,"<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is a","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is an"
