sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.98046875,0.0024261475,0.9765625,0.0024261474609375,0.9765625,0.00078582763671875,0.953125,0.037109375,5
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,1.0,0.00013923645,1.0,0.0001583099365234375,0.99609375,0.0001087188720703125,0.99609375,0.002471923828125,6
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,1.0,5.1259995e-05,1.0,5.125999450683594e-05,0.99609375,7.486343383789062e-05,1.0,0.000179290771484375,5
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,1.0,0.00026130676,1.0,0.0002613067626953125,0.99609375,0.000553131103515625,1.0,0.000179290771484375,7
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.9921875,0.005218506,0.9921875,0.004608154296875,0.99609375,0.0016937255859375,0.73046875,0.267578125,7
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.98046875,0.010864258,0.98046875,0.01092529296875,0.9765625,0.00274658203125,0.73046875,0.267578125,7
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0016860962,0.98828125,0.00148773193359375,0.98828125,0.05859375,0.91796875,0.2138671875,0.353515625,13
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,1.0,0.00015830994,1.0,0.000179290771484375,1.0,7.486343383789062e-05,0.99609375,0.0035858154296875,4
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,1.0,7.4863434e-05,1.0,8.487701416015625e-05,0.99609375,8.440017700195312e-05,0.99609375,0.00150299072265625,7
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.01586914,0.98046875,0.015869140625,0.98046875,0.263671875,0.71875,0.03125,0.0045166015625,8
