Spanish_Noun,English_Noun,Article,Predicted_Article,Article_Correct,Predicted_Noun,Noun_Correct,Predicted_Noun_Wrong_Article,Noun_Wrong_Article_Correct,Prob_Article,Prob_Noun,Prob_Noun_Wrong_Article,IC_Spanish_Noun,IC_English_Noun,IC_Article,IC_Description,Description
pez ángel,angelfish,el,el,True,p,True,p,True,0.76171875,0.0966796875,0.068359375,bistec,steak,el,La carne de res gruesa que asas es el bistec,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es
antílope,antelope,el,el,True,z,False,z,False,0.796875,0.396484375,0.494140625,flor,flower,la,La parte colorida y bonita de las plantas es la flor,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es
manzana,apple,la,la,True,man,True,mango,False,0.416015625,0.4375,0.341796875,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es
sillón,armchair,el,el,True,as,False,s,True,0.87890625,0.6875,0.83203125,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es
hacha,axe,el,el,True,c,False,si,False,0.6328125,0.1376953125,0.17578125,trampolín,trampoline,el,La superficie elástica donde saltas y rebotas es el trampolín,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es
bebé,baby,el,el,True,niño,False,ni,False,0.6328125,0.18359375,0.1484375,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es
pelota,ball,la,el,False,pel,True,bal,False,0.7734375,0.96484375,0.88671875,refrigerador,refrigerator,el,El electrodoméstico que mantiene fría la comida es el refrigerador,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es
plátano,banana,el,el,True,mango,False,man,False,0.388671875,0.318359375,0.703125,casa,house,la,El lugar donde vives con tu familia es la casa,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es
barracuda,barracuda,la,el,False,c,False,p,False,0.828125,0.109375,0.50390625,puro,cigar,el,El tabaco enrollado que fuman los adultos es el puro,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es
canasta,basket,la,un,False,c,True,tej,False,0.490234375,0.31640625,0.06689453125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es
murciélago,bat,el,un,False,__,False,mar,False,0.51953125,0.126953125,0.515625,camisa,shirt,la,La prenda que cubre tu torso y brazos es la camisa,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es
bata,bathrobe,la,un,False,to,False,ba,True,0.62109375,0.578125,0.208984375,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es
frijol,bean,el,el,True,p,False,s,False,0.58984375,0.050537109375,0.07958984375,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es
cama,bed,la,el,False,c,True,dorm,False,0.462890625,0.9921875,0.462890625,burro,donkey,el,El animal gris parecido al caballo pero más pequeño es el burro,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es
sábana,bedsheet,la,el,False,tela,False,col,False,0.279296875,0.1044921875,0.1875,rata almizclera,muskrat,la,El roedor que vive cerca del agua es la rata almizclera,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es
bicicleta,bike,la,el,False,bic,True,c,False,0.341796875,0.228515625,0.1005859375,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es
prismáticos,binoculars,los,las,False,o,False,l,False,0.4375,0.98828125,0.91015625,pájaro,bird,el,El animal con plumas que vuela y canta es el pájaro,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son
pájaro,bird,el,el,True,pá,True,pal,False,0.44140625,0.80078125,0.7578125,bicicleta,bike,la,El vehículo de dos ruedas que pedaleas es la bicicleta,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es
manta,blanket,la,el,False,m,True,m,True,0.52734375,0.482421875,0.78515625,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es
licuadora,blender,la,el,False,lic,True,lic,True,0.62890625,0.81640625,0.375,balsa,raft,la,La embarcación simple hecha de troncos es la balsa,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es
botas,boots,las,los,False,z,False,zap,False,0.5625,0.443359375,0.77734375,gaviota,seagull,la,El ave blanca que vuela cerca del mar es la gaviota,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son
brackets,braces,los,los,True,de,False,pie,False,0.5703125,0.10400390625,0.07421875,narciso,daffodil,el,La flor amarilla que anuncia la primavera es el narciso,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son
pechos,breasts,los,los,True,sen,False,gl,False,0.5,0.6875,0.9921875,directorio telefónico,phonebook,el,El libro donde buscas números de teléfono es el directorio telefónico,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son
insecto,bug,el,el,True,per,False,s,False,0.5703125,0.921875,0.66796875,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es
burrito,burrito,el,el,True,far,False,tort,False,0.494140625,0.0693359375,0.80078125,faro,lighthouse,el,La torre con luz que guía barcos en la noche es el faro,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es
cactus,cactus,el,el,True,c,True,c,True,0.75,0.5625,0.8828125,pepperoni,pepperoni,el,El embutido picante que pones en la pizza es el pepperoni,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es
jaula,cage,la,un,False,c,False,ac,False,0.5078125,0.3984375,0.220703125,camello,camel,el,El animal del desierto con jorobas es el camello,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es
cámara,camera,la,un,False,cámara,True,tele,False,0.478515625,0.484375,0.087890625,cisne,swan,el,El ave elegante de cuello largo es el cisne,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es
zanahoria,carrot,la,el,False,man,False,n,False,0.75,0.28125,0.19921875,lince,bobcat,el,El felino salvaje de orejas puntiagudas es el lince,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es
coliflor,cauliflower,la,el,False,c,True,h,False,0.69140625,0.05126953125,0.039306640625,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es
celular,cellphone,el,el,True,teléfono,False,comput,False,0.353515625,0.1298828125,0.1865234375,traje,suit,el,La vestimenta elegante de saco y pantalón es el traje,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es
chimenea,chimney,la,el,False,chim,True,ventil,False,0.408203125,0.38671875,0.1826171875,impermeable,raincoat,el,La prenda que te pones cuando llueve es el impermeable,La prenda que te pones cuando llueve es el impermeable. La estructura por donde sale el humo de la casa es
palillos,chopsticks,los,de,False,más,False,m,False,0.41796875,0.34765625,0.09619140625,ceniza,ash,la,El polvo gris que queda después de quemar algo es la ceniza,El polvo gris que queda después de quemar algo es la ceniza. Los utensilios de madera que usan en Asia para comer son
reloj,clock,el,el,True,re,True,gl,False,0.84375,0.98046875,0.6953125,bigote,moustache,el,El pelo que crece arriba del labio superior es el bigote,El pelo que crece arriba del labio superior es el bigote. El aparato que marca las horas del día es
cobra,cobra,la,el,False,ser,False,ven,False,0.796875,0.5234375,0.66015625,tulipán,tulip,el,La flor de colores vivos que florece en primavera es el tulipán,La flor de colores vivos que florece en primavera es el tulipán. La serpiente venenosa que puede expandir su cuello es
peine,comb,el,el,True,cep,False,cep,False,0.65234375,0.96484375,0.2119140625,sillón,armchair,el,El asiento cómodo con brazos donde te relajas es el sillón,El asiento cómodo con brazos donde te relajas es el sillón. El objeto con dientes que usas para arreglar el cabello es
