spanish_noun,english_noun,article,predicted_article,article_correct,predicted_noun,noun_correct,predicted_noun_wrong_article,noun_wrong_article_correct,prob_article,prob_noun,prob_noun_wrong_article,ic_spanish_noun,ic_english_noun,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article
pez ángel,angelfish,el,el,True,pe,True,lub,False,0.86328125,0.275390625,0.1025390625,bistec,steak,el,La carne de res gruesa que asas es el bistec,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es el,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es la
antílope,antelope,el,el,True,g,False,g,False,0.96875,0.60546875,0.703125,flor,flower,la,La parte colorida y bonita de las plantas es la flor,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es el,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es la
manzana,apple,la,la,True,man,True,fr,False,0.81640625,0.7109375,0.328125,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es la,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es el
sillón,armchair,el,el,True,sill,True,s,True,0.8671875,0.6328125,0.859375,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es el,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es la
hacha,axe,el,la,False,h,True,si,False,0.6640625,0.96875,0.94140625,trampolín,trampoline,el,La superficie elástica donde saltas y rebotas es el trampolín,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es el,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es la
bebé,baby,el,el,True,beb,True,cri,False,0.52734375,0.9765625,0.416015625,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es el,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es la
pelota,ball,la,la,True,pel,True,bal,False,0.8828125,1.0,1.0,refrigerador,refrigerator,el,El electrodoméstico que mantiene fría la comida es el refrigerador,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es la,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es el
plátano,banana,el,la,False,pl,True,pi,False,0.5078125,0.78125,0.77734375,casa,house,la,El lugar donde vives con tu familia es la casa,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es el,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es la
barracuda,barracuda,la,el,False,ser,False,t,False,0.8203125,0.181640625,0.57421875,puro,cigar,el,El tabaco enrollado que fuman los adultos es el puro,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es la,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es el
canasta,basket,la,la,True,c,True,c,True,0.6328125,0.95703125,0.66796875,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es la,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es el
murciélago,bat,el,el,True,mur,True,mur,True,0.6640625,0.99609375,0.87109375,camisa,shirt,la,La prenda que cubre tu torso y brazos es la camisa,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es el,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es la
bata,bathrobe,la,la,True,to,False,sec,False,0.52734375,0.98046875,0.48046875,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es la,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es el
frijol,bean,el,la,False,gu,False,l,False,0.640625,0.33203125,0.404296875,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es el,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es la
cama,bed,la,la,True,c,True,col,False,0.98046875,1.0,0.87890625,burro,donkey,el,El animal gris parecido al caballo pero más pequeño es el burro,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es la,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es el
sábana,bedsheet,la,el,False,s,True,col,False,0.28125,0.578125,0.8359375,rata almizclera,muskrat,la,El roedor que vive cerca del agua es la rata almizclera,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es la,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es el
bicicleta,bike,la,la,True,bic,True,bic,True,0.84375,0.953125,0.90625,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es la,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es el
prismáticos,binoculars,los,los,True,bin,False,g,False,0.82421875,0.359375,1.0,pájaro,bird,el,El animal con plumas que vuela y canta es el pájaro,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son los,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son las
pájaro,bird,el,el,True,pá,True,pal,False,0.9765625,0.95703125,0.84765625,bicicleta,bike,la,El vehículo de dos ruedas que pedaleas es la bicicleta,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es el,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es la
manta,blanket,la,la,True,,True,ab,False,0.62890625,0.859375,0.67578125,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es la,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es el
licuadora,blender,la,el,False,lic,True,proces,False,0.486328125,0.515625,0.64453125,balsa,raft,la,La embarcación simple hecha de troncos es la balsa,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es la,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es el
botas,boots,las,los,False,bot,True,bot,True,0.64453125,1.0,0.64453125,gaviota,seagull,la,El ave blanca que vuela cerca del mar es la gaviota,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son las,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son los
brackets,braces,los,los,True,brackets,True,brackets,True,0.515625,0.91015625,0.62890625,narciso,daffodil,el,La flor amarilla que anuncia la primavera es el narciso,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son los,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son las
