spanish_noun,english_noun,article,predicted_article,article_correct,predicted_noun,noun_correct,predicted_noun_wrong_article,noun_wrong_article_correct,prob_article,prob_noun,prob_noun_wrong_article,ic_spanish_noun,ic_english_noun,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article
pez ángel,angelfish,el,el,True,t,False,t,False,0.93359375,0.6640625,0.55078125,bistec,steak,el,La carne de res gruesa que asas es el bistec,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es el,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es la
antílope,antelope,el,el,True,z,False,g,False,0.96875,0.61328125,0.2275390625,flor,flower,la,La parte colorida y bonita de las plantas es la flor,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es el,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es la
manzana,apple,la,la,True,man,True,man,True,0.9609375,0.92578125,0.404296875,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es la,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es el
sillón,armchair,el,el,True,sof,False,s,True,0.75,0.62890625,0.83203125,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es el,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es la
hacha,axe,el,el,True,h,True,si,False,0.55859375,0.408203125,0.62890625,trampolín,trampoline,el,La superficie elástica donde saltas y rebotas es el trampolín,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es el,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es la
bebé,baby,el,el,True,beb,True,beb,True,0.953125,0.93359375,0.53125,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es el,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es la
pelota,ball,la,la,True,pel,True,bal,False,0.7890625,0.984375,0.9609375,refrigerador,refrigerator,el,El electrodoméstico que mantiene fría la comida es el refrigerador,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es la,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es el
plátano,banana,el,la,False,pl,True,man,False,0.98828125,0.53515625,0.2158203125,casa,house,la,El lugar donde vives con tu familia es la casa,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es el,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es la
barracuda,barracuda,la,el,False,t,False,t,False,0.953125,0.5625,0.98828125,puro,cigar,el,El tabaco enrollado que fuman los adultos es el puro,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es la,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es el
canasta,basket,la,el,False,c,True,c,True,0.431640625,0.859375,0.21875,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es la,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es el
murciélago,bat,el,el,True,mur,True,lib,False,0.68359375,0.6796875,0.1865234375,camisa,shirt,la,La prenda que cubre tu torso y brazos es la camisa,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es el,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es la
bata,bathrobe,la,la,True,cam,False,,True,0.6484375,0.51171875,0.41015625,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es la,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es el
frijol,bean,el,la,False,gar,False,jud,False,0.494140625,0.1962890625,0.19140625,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es el,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es la
cama,bed,la,la,True,c,True,col,False,0.96875,0.99609375,0.83203125,burro,donkey,el,El animal gris parecido al caballo pero más pequeño es el burro,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es la,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es el
sábana,bedsheet,la,la,True,tela,False,alg,False,0.353515625,0.53125,0.330078125,rata almizclera,muskrat,la,El roedor que vive cerca del agua es la rata almizclera,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es la,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es el
bicicleta,bike,la,el,False,bic,True,bic,True,0.318359375,0.98828125,0.451171875,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es la,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es el
prismáticos,binoculars,los,los,True,bin,False,l,False,0.94140625,0.43359375,0.77734375,pájaro,bird,el,El animal con plumas que vuela y canta es el pájaro,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son los,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son las
pájaro,bird,el,el,True,pá,True,pal,False,0.95703125,0.4921875,0.64453125,bicicleta,bike,la,El vehículo de dos ruedas que pedaleas es la bicicleta,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es el,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es la
