spanish_noun,english_noun,article,predicted_article,article_correct,predicted_noun,noun_correct,predicted_noun_wrong_article,noun_wrong_article_correct,prob_article,prob_noun,prob_noun_wrong_article,ic_spanish_noun,ic_english_noun,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article
pez ángel,angelfish,el,el,True,pe,True,ang,False,0.9140625,0.66796875,0.5859375,bistec,steak,el,La carne de res gruesa que asas es el bistec,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es el,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es la
antílope,antelope,el,el,True,le,False,g,False,0.9921875,0.6484375,0.93359375,flor,flower,la,La parte colorida y bonita de las plantas es la flor,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es el,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es la
manzana,apple,la,la,True,man,True,man,True,0.91015625,0.99609375,0.478515625,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es la,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es el
sillón,armchair,el,el,True,sill,True,s,True,0.91015625,0.859375,0.84375,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es el,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es la
hacha,axe,el,el,True,h,True,si,False,0.89453125,0.953125,0.98828125,trampolín,trampoline,el,La superficie elástica donde saltas y rebotas es el trampolín,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es el,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es la
bebé,baby,el,el,True,beb,True,cri,False,0.9140625,0.9609375,0.65234375,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es el,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es la
pelota,ball,la,la,True,pel,True,bal,False,0.8671875,1.0,1.0,refrigerador,refrigerator,el,El electrodoméstico que mantiene fría la comida es el refrigerador,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es la,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es el
plátano,banana,el,el,True,pl,True,banana,False,0.474609375,0.99609375,0.80859375,casa,house,la,El lugar donde vives con tu familia es la casa,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es el,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es la
barracuda,barracuda,la,el,False,ser,False,t,False,0.9453125,0.2578125,0.63671875,puro,cigar,el,El tabaco enrollado que fuman los adultos es el puro,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es la,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es el
canasta,basket,la,la,True,c,True,c,True,0.67578125,0.98046875,0.95703125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es la,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es el
murciélago,bat,el,el,True,mur,True,mur,True,0.97265625,0.99609375,0.58984375,camisa,shirt,la,La prenda que cubre tu torso y brazos es la camisa,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es el,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es la
bata,bathrobe,la,el,False,b,True,al,False,0.9453125,0.77734375,0.95703125,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es la,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es el
frijol,bean,el,la,False,gu,False,gu,False,0.5234375,0.69140625,0.345703125,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es el,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es la
cama,bed,la,la,True,c,True,col,False,0.9609375,1.0,0.859375,burro,donkey,el,El animal gris parecido al caballo pero más pequeño es el burro,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es la,El animal gris parecido al caballo pero más pequeño es el burro. El mueble donde duermes por las noches es el
sábana,bedsheet,la,el,False,fund,False,cub,False,0.546875,0.875,0.66015625,rata almizclera,muskrat,la,El roedor que vive cerca del agua es la rata almizclera,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es la,El roedor que vive cerca del agua es la rata almizclera. La tela que cubre el colchón donde duermes es el
bicicleta,bike,la,la,True,bic,True,bic,True,0.96484375,0.98046875,0.439453125,garganta,throat,la,La parte interna del cuello por donde pasa comida es la garganta,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es la,La parte interna del cuello por donde pasa comida es la garganta. El vehículo de dos ruedas que pedaleas es el
prismáticos,binoculars,los,los,True,bin,False,g,False,0.8359375,0.455078125,1.0,pájaro,bird,el,El animal con plumas que vuela y canta es el pájaro,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son los,El animal con plumas que vuela y canta es el pájaro. El instrumento óptico que usas para ver cosas lejanas son las
pájaro,bird,el,el,True,pá,True,pal,False,1.0,0.95703125,0.70703125,bicicleta,bike,la,El vehículo de dos ruedas que pedaleas es la bicicleta,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es el,El vehículo de dos ruedas que pedaleas es la bicicleta. El animal con plumas que vuela y canta es la
manta,blanket,la,el,False,,True,ab,False,0.90625,0.46875,0.9453125,águila,eagle,el,El ave rapaz grande con vista muy aguda es el águila,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es la,El ave rapaz grande con vista muy aguda es el águila. La tela gruesa que te cubre para darte calor es el
licuadora,blender,la,la,True,lic,True,proces,False,0.94921875,0.9375,0.8359375,balsa,raft,la,La embarcación simple hecha de troncos es la balsa,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es la,La embarcación simple hecha de troncos es la balsa. El electrodoméstico que mezcla y tritura alimentos es el
botas,boots,las,los,False,bot,True,bot,True,0.8515625,1.0,0.99609375,gaviota,seagull,la,El ave blanca que vuela cerca del mar es la gaviota,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son las,El ave blanca que vuela cerca del mar es la gaviota. El calzado alto que protege los pies y tobillos son los
brackets,braces,los,los,True,brackets,True,brackets,True,0.7578125,0.91796875,0.6015625,narciso,daffodil,el,La flor amarilla que anuncia la primavera es el narciso,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son los,La flor amarilla que anuncia la primavera es el narciso. Los aparatos metálicos que enderezan los dientes son las
pechos,breasts,los,las,False,sen,False,gl,False,0.9453125,0.796875,0.97265625,directorio telefónico,phonebook,el,El libro donde buscas números de teléfono es el directorio telefónico,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son los,El libro donde buscas números de teléfono es el directorio telefónico. Las partes del cuerpo femenino que producen leche son las
insecto,bug,el,el,True,mosquito,False,mos,False,0.75,0.98828125,0.8046875,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es el,El mueble donde duermes por las noches es la cama. El animal pequeño de seis patas que a veces molesta es la
burrito,burrito,el,el,True,tam,False,ques,False,0.98046875,0.61328125,0.64453125,faro,lighthouse,el,La torre con luz que guía barcos en la noche es el faro,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es el,La torre con luz que guía barcos en la noche es el faro. El platillo mexicano enrollado en tortilla de harina es la
cactus,cactus,el,la,False,c,True,c,True,0.62109375,0.953125,0.6484375,pepperoni,pepperoni,el,El embutido picante que pones en la pizza es el pepperoni,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es el,El embutido picante que pones en la pizza es el pepperoni. La planta espinosa que crece en el desierto es la
jaula,cage,la,la,True,j,True,cor,False,0.484375,1.0,0.6484375,camello,camel,el,El animal del desierto con jorobas es el camello,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es la,El animal del desierto con jorobas es el camello. El compartimento con barrotes donde viven algunos animales es el
cámara,camera,la,la,True,cámara,True,teléfono,False,0.953125,0.984375,0.435546875,cisne,swan,el,El ave elegante de cuello largo es el cisne,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es la,El ave elegante de cuello largo es el cisne. El aparato que usas para tomar fotografías es el
zanahoria,carrot,la,la,True,z,True,ap,False,0.66796875,0.9921875,0.859375,lince,bobcat,el,El felino salvaje de orejas puntiagudas es el lince,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es la,El felino salvaje de orejas puntiagudas es el lince. La verdura naranja y alargada que comen los conejos es el
coliflor,cauliflower,la,el,False,esc,False,mus,False,0.62109375,0.1796875,0.4375,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es la,El hielo colgante que se forma en el techo es el carámbano. La verdura blanca con forma de árbol pequeño es el
celular,cellphone,el,un,False,móvil,False,cha,False,0.349609375,0.431640625,0.1455078125,traje,suit,el,La vestimenta elegante de saco y pantalón es el traje,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es el,La vestimenta elegante de saco y pantalón es el traje. El teléfono portátil que llevas en el bolsillo es la
