first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,flight,light,True,and fade like dreams in wind that never quite keep their flight.,and fade like dreams in wind that never quite keep their flight.
"I wandered shadows seeking light in the mirror of my soul,",soul,soul,soul,False,And found the truth I sought in the reflection of my soul.,"I wandered shadows seeking light in the mirror of my soul,  
And found the truth I sought in the reflection of my soul."
"In shadows deep where silence weeps,",weeps,trees,weeps,False,The moonlight whispers through the trees.,"In shadows deep where silence weeps,  
The moonlight whispers through the trees."
"In the quiet of the soul, a light divine remains,",remains,found,remains,False,"and in the heart of silence, peace is found.","and in the heart of silence, peace is found."
"Sweet whispers dance on tongues of time,",time,bright,time,False,"and leave the world in silence, bright.","and leave the world in silence, bright."
"With each year, the childhood veil dissolves,",dissolves,dream,dissolves,False,and youth becomes a distant dream.,and youth becomes a distant dream.
"Whispers of dusk linger on the lips of time,",time,sigh,time,False,as shadows dance in twilight's gentle sigh.,as shadows dance in twilight's gentle sigh.
"Though flesh may fade and time may soar,",soar,soar,soar,False,but spirit lives and dreams still soar.,but spirit lives and dreams still soar.
"The drums of time beat echoes of the past,",past,start,past,False,And every step we take is a new start.,"The drums of time beat echoes of the past,  
And every step we take is a new start."
"Though empires rise on whispers of might,",might,told,light,False,but fall when the truth is told.,but fall when the truth is told.
"Guns awaken the earth like a curse from her dreams,",dreams,song,dreams,False,And silence is the price of the war's cruel song.,"Guns awaken the earth like a curse from her dreams,  
And silence is the price of the war's cruel song."
"I wander shadowed halls of silent stone,",stone,moon,stone,False,Where echoes whisper secrets to the moon.,"I wander shadowed halls of silent stone,  
Where echoes whisper secrets to the moon."
"Two hearts entwined where promises bloom,",bloom,know,bloom,False,A love that time can never know.,"Two hearts entwined where promises bloom,  
A love that time can never know."
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,same,grit,False,"through trials and triumphs, they'll never be the same.","through trials and triumphs, they'll never be the same."
"Laughter echoes soft as the breeze through old trees,",trees,true,trees,False,and fills the air with a joy that's so true.,and fills the air with a joy that's so true.
"In the shadow of the night, hope whispers to despair,",despair,despair,despair,False,"hope whispers to despair,","hope whispers to despair,  
but light will rise again."
"A hearth that glows where the heart finds its name,",name,days,name,False,and warmth in the coldest of days.,and warmth in the coldest of days.
"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,and fate's cruel dance begins to rise.,and fate's cruel dance begins to rise.
"Though flesh may fade and tombs may rust with time,",time,sing,time,False,but bones may rise and voices may still sing.,but bones may rise and voices may still sing.
"Roots buried deep in ancient soil,",soil,time,soil,False,Leaves whisper tales of old and time.,Leaves whisper tales of old and time.
"In shadow’s clutch, the strongest will may kneel,",kneel,light,kneel,False,and the weakest shall rise with the light.,and the weakest shall rise with the light.
"In strokes of light and whispers unseen,",unseen,scene,unseen,True,The world is painted with a dreamy scene.,"In strokes of light and whispers unseen,  
The world is painted with a dreamy scene."
"Whispers of winter melt to spring's soft sigh,",sigh,light,sigh,False,when the frost begins to yield to gentle light.,when the frost begins to yield to gentle light.
"I stepped through the veil of shadowed years,",years,heart,years,False,And found the light of morning in my heart.,"I stepped through the veil of shadowed years,  
And found the light of morning in my heart."
"Whispers curl like shadows at dawn,",dawn,morning,dawn,False,and fade into the mist of the morning.,and fade into the mist of the morning.
"Beneath a sky that shifts from blue to grey,",grey,above,grey,False,a thousand stars above.,a thousand stars above.
"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,walls,belong,False,I am not lost among the walls,"I am not lost among the walls—  
I belong where the heart is tall."
"On tongues of time, flavors entwine,",entwine,tune,entwine,False,"and hearts in rhythm, soul in tune.","on tongues of time, flavors entwine,  
and hearts in rhythm, soul in tune."
"In whispers of dawn, the soul begins to pray,",pray,way,grey,True,"and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its way."
"Shadows whisper secrets loud in trembling breast,",breast,all,breast,False,and time forgets all.,and time forgets all.
"Two hearts entwined through time’s unyielding sweep,",sweep,swept,sweep,False,two souls in love that never can be swept.,two souls in love that never can be swept.
"Whispers of the hearth where the heart’s threads are spun,",spun,night,spun,False,and warmth is woven through the night.,and warmth is woven through the night.
"Clenched jaws whisper storms of rage untamed,",untamed,bone,untamed,False,and thunder rolls through every bone.,and thunder rolls through every bone.
"Love is the flame that gentle does rise,",rise,true,dies,False,and shines in every heart that's true.,and shines in every heart that's true.
"Fury burns where calm once stayed,",stayed,silence,stayed,False,and peace now sleeps in silence.,and peace now sleeps in silence.
"Justice weeps in shadowed halls,",halls,light,halls,False,But truth shall rise in dawn's first light.,"Justice weeps in shadowed halls,  
But truth shall rise in dawn's first light."
"Neon hums where tall shadows play,",play,ray,grey,True,And dreams are born in the light's bright ray.,"Neon hums where tall shadows play,  
And dreams are born in the light's bright ray."
"Whispers coil like shadows in the mind’s tight maze,",maze,dark,maze,False,where secrets wait to be unveiled in the dark.,where secrets wait to be unveiled in the dark.
"Anger boils like storm in night,",night,tight,light,True,and breaks the silence tight.,and breaks the silence tight.
"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,clashed,dies,False,Yet shadows dance where truth and deceit once clashed.,Yet shadows dance where truth and deceit once clashed.
"Whispers coil like shadows, cold and tight,",tight,light,light,True,"Yet in the heart of dawn, they'll find their light.","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll find their light."
"Like sunlight breaking through the clouds of gray,",gray,night,grey,False,like a spark in the dark of night.,like a spark in the dark of night.
"In shadowed silence, time's hourglass bleeds,",bleeds,leaf,bleeds,False,and whispers of the past through every leaf.,and whispers of the past through every leaf.
"Autumn's breath turns leaves to gold, a whispered story told,",told,mold,told,True,"and the world in quiet, soft, divine old mold.","and the world in quiet, soft, divine old mold."
"The shadows stretch where laughter once was bright,",bright,light,light,True,and silence now holds all the light.,and silence now holds all the light.
"Beneath the canvas of twilight's embrace,",embrace,breeze,embrace,False,The stars begin to whisper in the breeze.,"Beneath the canvas of twilight's embrace,  
The stars begin to whisper in the breeze."
"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,light,True,where hope and dreams take flight in the dawn's first light.,where hope and dreams take flight in the dawn's first light.
"Winds whisper secrets of roads yet to be trod,",trod,been,trod,False,And dreams are born where the stars have not been.,"Winds whisper secrets of roads yet to be trod,  
And dreams are born where the stars have not been."
"Stars map my longing in the heavens’ sly embrace,",embrace,night,embrace,False,And I am lost in the silence of the night.,"Stars map my longing in the heavens’ sly embrace,  
And I am lost in the silence of the night."
"In the mirror of time, I trace the shadow I’ve sown,",sown,ground,stone,False,and find my soul reflected in the dust of the ground.,and find my soul reflected in the dust of the ground.
"In whispers of light, the soul finds its creed,",creed,peace,creed,False,"and in the quiet of night, it finds its peace.","and in the quiet of night, it finds its peace."
"Freedom soars where chains once clung,",clung,sung,clung,True,And hope is born where dreams are sung.,"Freedom soars where chains once clung,  
And hope is born where dreams are sung."
"A hand clasped in thine can also cut the deepest,",deepest,steel,deepest,False,Yet love can break the strongest bond of steel.,"A hand clasped in thine can also cut the deepest,  
Yet love can break the strongest bond of steel."
"The reaper’s shadow lengthens with the noon,",noon,breeze,noon,False,and whispers of the dead in the breeze.,and whispers of the dead in the breeze.
"Blossoms bloom where laughter finds its way,",way,ray,grey,True,And joy is sung in every ray.,"Blossoms bloom where laughter finds its way,  
And joy is sung in every ray."
"Threads of love woven through the years,",years,unearths,years,False,May your heart forever be unearths.,"Threads of love woven through the years,  
May your heart forever be unearths."
"Winds of liberty whisper through chains of control,",control,soul,soul,True,and freedom's song takes flight in every soul.,and freedom's song takes flight in every soul.
Whispers of velvet and hues that sing—,sing,couplet,sing,False,I'll write the next line of the rhyming couplet:,"I'll write the next line of the rhyming couplet:  

Whispers of velvet and hues that sing—,  
A world of dreams where time"
"A shadow fades where the flame won’t die,",die,night,sigh,False,A ghostly whisper lingers in the night.,A ghostly whisper lingers in the night.
"Whispers through the grass where the wild things dance,",dance,grace,dance,False,"and secrets are born in the moon's soft, silver grace.","and secrets are born in the moon's soft, silver grace."
"A bond unspoken, yet deep as the sea,",sea,express,sea,False,Is stronger than words can ever express.,"A bond unspoken, yet deep as the sea,  
Is stronger than words can ever express."
"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,embrace,False,"where frost and fire dance in a fleeting, sweet embrace.","where frost and fire dance in a fleeting, sweet embrace."
"In every flaw, a whisper of perfection's breath,",breath,yet,breath,False,a sign that heaven's hand is gently yet still yet.,a sign that heaven's hand is gently yet still yet.
"Beneath the mask that cloaks the soul, the mirror cracks with whispered toll,",toll,shell,soul,False,and truth begins to break through the shell.,and truth begins to break through the shell.
"Brushstrokes whisper where the soul once dreamed,",dreamed,mend,dreamed,False,and time forgets to mend.,and time forgets to mend.
"In the dance of flaw and flawless light,",light,flight,light,True,The soul is both lost and found in flight.,"In the dance of flaw and flawless light,  
The soul is both lost and found in flight."
"Whispers of wind through the ancient oak's embrace,",embrace,grace,embrace,True,soft as dreams that never fade from the heart's grace.,"whispers of wind through the ancient oak's embrace,  
soft as dreams that never fade from the heart's grace."
"In mirrored shades where shadow dares to creep,",creep,couplet,sweep,False,I'll write the next line of the rhyming couplet:,"I'll write the next line of the rhyming couplet:

In mirrored shades where shadow dares to creep,  
A ghostly dance the light and"
"When whispered vows turn cold as winter skies,",skies,night,dies,False,then love is but a fleeting shadow in the night.,then love is but a fleeting shadow in the night.
