first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,flight,light,True,Silver shadows whisper secrets lost in time's soft flight.,Silver shadows whisper secrets lost in time's soft flight.
"I wandered shadows seeking light in the mirror of my soul,",soul,know,soul,False,"But found instead a silent whisper, telling me I know.","But found instead a silent whisper, telling me I know."
"In shadows deep where silence weeps,",weeps,keeps,weeps,True,The moon whispers through the dark it keeps.,The moon whispers through the dark it keeps.
"In the quiet of the soul, a light divine remains,",remains,flame,remains,False,"Guiding through the shadows with a soft, unyielding flame.","Guiding through the shadows with a soft, unyielding flame."
"Sweet whispers dance on tongues of time,",time,rhyme,time,True,Soft echoes lost in rhyme.,Soft echoes lost in rhyme.
"With each year, the childhood veil dissolves,",dissolves,beheld,dissolves,False,Revealing truths we once beheld.,Revealing truths we once beheld.
"Whispers of dusk linger on the lips of time,",time,chime,time,True,"Echoes of dayfade hum a soft, sweet chime.","Echoes of dayfade hum a soft, sweet chime."
"Though flesh may fade and time may soar,",soar,evermore,soar,True,The soul's true fire will evermore.,The soul's true fire will evermore.
"The drums of time beat echoes of the past,",past,cast,past,True,Each tick a tale that shadows cast.,"The drums of time beat echoes of the past,  
Each tick a tale that shadows cast."
"Though empires rise on whispers of might,",might,same,light,False,They fall on echoes of the same.,They fall on echoes of the same.
"Guns awaken the earth like a curse from her dreams,",dreams,gleam,dreams,False,And silence the skies where the larks used to gleam.,And silence the skies where the larks used to gleam.
"I wander shadowed halls of silent stone,",stone,alone,stone,True,Where echoes of the past call me alone.,Where echoes of the past call me alone.
"Two hearts entwined where promises bloom,",bloom,gloom,bloom,True,"A love eternal, in moonlight's sweet gloom.","A love eternal, in moonlight's sweet gloom."
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,light,grit,False,"Through every storm, they'll stand united, with trust as their guiding light.","Through every storm, they'll stand united, with trust as their guiding light."
"Laughter echoes soft as the breeze through old trees,",trees,leaves,trees,False,Whispers of joy in the hush of the leaves.,Whispers of joy in the hush of the leaves.
"In the shadow of the night, hope whispers to despair,",despair,bare,despair,True,A silent spark ignites what fear had long laid bare.,A silent spark ignites what fear had long laid bare.
"A hearth that glows where the heart finds its name,",name,flame,name,True,A shadow that fades where the soul feels the flame.,A shadow that fades where the soul feels the flame.
"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,A fleeting calm where tempests used to rise.,A fleeting calm where tempests used to rise.
"Though flesh may fade and tombs may rust with time,",time,unkind,time,False,The soul's pure flame will never grow unkind.,The soul's pure flame will never grow unkind.
"Roots buried deep in ancient soil,",soil,foil,soil,True,Branches reach where the sky is foil.,Branches reach where the sky is foil.
"In shadow’s clutch, the strongest will may kneel,",kneel,feel,kneel,True,"But in the dark, the boldest hearts still feel.","But in the dark, the boldest hearts still feel."
"In strokes of light and whispers unseen,",unseen,serene,unseen,True,The world is painted soft and serene.,The world is painted soft and serene.
"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken 'neath a blushing sky.,Blossoms awaken 'neath a blushing sky.
"I stepped through the veil of shadowed years,",years,nears,years,True,And found the past still waiting nears.,And found the past still waiting nears.
"Whispers curl like shadows at dawn,",dawn,drawn,dawn,True,Secrets bloom where the light is drawn.,Secrets bloom where the light is drawn.
"Beneath a sky that shifts from blue to grey,",grey,away,grey,True,The wind begins to whisper as the daylight fades away.,The wind begins to whisper as the daylight fades away.
"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,call,belong,False,For the heart that hears finds where I call.,For the heart that hears finds where I call.
"On tongues of time, flavors entwine,",entwine,shines,entwine,False,"In every bite, a story shines.","In every bite, a story shines."
"In whispers of dawn, the soul begins to pray,",pray,day,grey,True,For light to guide it through the shadows of the day.,For light to guide it through the shadows of the day.
"Shadows whisper secrets loud in trembling breast,",breast,rest,breast,True,Echoes of the night can't find their rest.,Echoes of the night can't find their rest.
"Two hearts entwined through time’s unyielding sweep,",sweep,keep,sweep,True,"A bond no storm, nor fate, could ever keep.","A bond no storm, nor fate, could ever keep."
"Whispers of the hearth where the heart’s threads are spun,",spun,won,spun,True,Echoes of the dawn where the lost dreams are won.,Echoes of the dawn where the lost dreams are won.
"Clenched jaws whisper storms of rage untamed,",untamed,flame,untamed,False,"Eyes like embers, burning without flame.","Eyes like embers, burning without flame."
"Love is the flame that gentle does rise,",rise,defies,dies,True,Not the blaze that in passion defies.,Not the blaze that in passion defies.
"Fury burns where calm once stayed,",stayed,made,stayed,True,Storms arise where peace was made.,Storms arise where peace was made.
"Justice weeps in shadowed halls,",halls,walls,halls,True,Mercy waits behind the walls.,Mercy waits behind the walls.
"Neon hums where tall shadows play,",play,gray,grey,True,Whispers echo in the electric gray.,Whispers echo in the electric gray.
"Whispers coil like shadows in the mind’s tight maze,",maze,replace,maze,False,Echoes of the thoughts we can’t replace.,Echoes of the thoughts we can’t replace.
"Anger boils like storm in night,",night,light,light,True,Hope flickers like a candle's light.,Hope flickers like a candle's light.
"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,lived,dies,False,"A smile as sharp as winter's knife, it cuts the truth where love once lived.","A smile as sharp as winter's knife, it cuts the truth where love once lived."
"Whispers coil like shadows, cold and tight,",tight,night,light,True,Echoes hum a lullaby of night.,Echoes hum a lullaby of night.
"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,It brings a smile to face the light of day.,It brings a smile to face the light of day.
"In shadowed silence, time's hourglass bleeds,",bleeds,creeds,bleeds,True,The echoes of moments lost in the creeds.,The echoes of moments lost in the creeds.
"Autumn's breath turns leaves to gold, a whispered story told,",told,shawl,told,False,"The moon ascends where the crows all call, and night wraps the earth in quiet shawl.","The moon ascends where the crows all call, and night wraps the earth in quiet shawl."
"The shadows stretch where laughter once was bright,",bright,night,light,True,Now silent echoes haunt the night.,Now silent echoes haunt the night.
"Beneath the canvas of twilight's embrace,",embrace,trace,embrace,True,"The stars whisper secrets in their soft, silver trace.","The stars whisper secrets in their soft, silver trace."
"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,night,light,True,"A spark ignites where hope takes flight, guiding through the longest night.","A spark ignites where hope takes flight, guiding through the longest night."
"Winds whisper secrets of roads yet to be trod,",trod,god,trod,True,Dreams map the paths where the unknown is god.,Dreams map the paths where the unknown is god.
"Stars map my longing in the heavens’ sly embrace,",embrace,erase,embrace,True,Moonlight whispers secrets only shadows can erase.,Moonlight whispers secrets only shadows can erase.
"In the mirror of time, I trace the shadow I’ve sown,",sown,own,stone,True,And reap the echoes of a life once my own.,And reap the echoes of a life once my own.
"In whispers of light, the soul finds its creed,",creed,bleed,creed,True,"Amidst shadows that dance, truths start to bleed.","Amidst shadows that dance, truths start to bleed."
"Freedom soars where chains once clung,",clung,sung,clung,True,Hope is born where courage's sung.,Hope is born where courage's sung.
"A hand clasped in thine can also cut the deepest,",deepest,deepest,deepest,False,Like a rose that once bloomed now left to bleed the deepest.,Like a rose that once bloomed now left to bleed the deepest.
