first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,"Whispers of a fading song, lost in the night.","Whispers of a fading song, lost in the night."
"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,"I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and toll."
"In shadows deep where silence weeps,",weeps,keep,weeps,False,A whisper stirs the ancient keep.,A whisper stirs the ancient keep.
"In the quiet of the soul, a light divine remains,",remains,pains,remains,True,"Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains."
"Sweet whispers dance on tongues of time,",time,climb,time,True,Soft echoes fade beneath the climb.,Soft echoes fade beneath the climb.
"With each year, the childhood veil dissolves,",dissolves,unspoken,dissolves,False,Revealing truths once left unspoken.,Revealing truths once left unspoken.
"Whispers of dusk linger on the lips of time,",time,climb,time,True,Softly they fade as night begins to climb.,Softly they fade as night begins to climb.
"Though flesh may fade and time may soar,",soar,forevermore,soar,False,"Yet love remains, forevermore.","Yet love remains, forevermore."
"The drums of time beat echoes of the past,",past,mast,past,True,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.
"Though empires rise on whispers of might,",might,night,light,True,They fall to silence in the night.,They fall to silence in the night.
"Guns awaken the earth like a curse from her dreams,",dreams,scream,dreams,False,And silence is shattered by echoes that scream.,And silence is shattered by echoes that scream.
"I wander shadowed halls of silent stone,",stone,ago,stone,False,Where echoes whisper tales of long ago.,Where echoes whisper tales of long ago.
"Two hearts entwined where promises bloom,",bloom,gloom,bloom,True,A dance of souls in the quiet of gloom.,"Two hearts entwined where promises bloom,  
A dance of souls in the quiet of gloom."
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,hand,grit,False,"Together they'll face every storm, with hope and courage, hand","Through vows entwined, two hearts commit, one journey built on love and grit,  
Together they'll face every storm, with hope and courage, hand"
"Laughter echoes soft as the breeze through old trees,",trees,leaves,trees,False,Whispers of joy in the rustling leaves.,Whispers of joy in the rustling leaves.
"In the shadow of the night, hope whispers to despair,",despair,flight,despair,False,"And in silence, dreams take flight.","And in silence, dreams take flight."
"A hearth that glows where the heart finds its name,",name,same,name,True,A flame that warms where the soul feels the same.,A flame that warms where the soul feels the same.
"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise."
"Though flesh may fade and tombs may rust with time,",time,climb,time,True,Yet echoes of the soul shall never cease to climb.,Yet echoes of the soul shall never cease to climb.
"Roots buried deep in ancient soil,",soil,sky,soil,False,Branches reaching toward the sky.,Branches reaching toward the sky.
"In shadow’s clutch, the strongest will may kneel,",kneel,veil,kneel,False,And light may find its way through sorrow's veil.,And light may find its way through sorrow's veil.
"In strokes of light and whispers unseen,",unseen,convene,unseen,True,The shadows dance where dreams convene.,The shadows dance where dreams convene.
"Whispers of winter melt to spring's soft sigh,",sigh,lay,sigh,False,Blossoms awaken where the frost once lay.,Blossoms awaken where the frost once lay.
"I stepped through the veil of shadowed years,",years,disappears,years,True,And found the light that never disappears.,And found the light that never disappears.
"Whispers curl like shadows at dawn,",dawn,gone,dawn,True,Silent echoes of what was gone.,Silent echoes of what was gone.
"Beneath a sky that shifts from blue to grey,",grey,stay,grey,True,"The world turns slow, yet time won't stay.","The world turns slow, yet time won't stay."
"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,name,belong,False,"For every shadow holds a story, and every silence speaks my name.","For every shadow holds a story, and every silence speaks my name."
"On tongues of time, flavors entwine,",entwine,shines,entwine,False,"In whispers sweet, the past still shines.","In whispers sweet, the past still shines."
"In whispers of dawn, the soul begins to pray,",pray,gray,grey,True,And light unfolds in hues of gold and gray.,And light unfolds in hues of gold and gray.
"Shadows whisper secrets loud in trembling breast,",breast,unpressed,breast,False,Moonlight weaves the tales it's sworn to keep unpressed.,Moonlight weaves the tales it's sworn to keep unpressed.
"Two hearts entwined through time’s unyielding sweep,",sweep,kept,sweep,False,A dance of souls in silent promise kept.,"Two hearts entwined through time’s unyielding sweep,  
A dance of souls in silent promise kept."
"Whispers of the hearth where the heart’s threads are spun,",spun,begun,spun,True,Soft echoes of love that the soul has begun.,Soft echoes of love that the soul has begun.
"Clenched jaws whisper storms of rage untamed,",untamed,unnamed,untamed,False,But silent feet tread the path unnamed.,But silent feet tread the path unnamed.
"Love is the flame that gentle does rise,",rise,disguise,dies,True,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.
"Fury burns where calm once stayed,",stayed,laid,stayed,True,Hope fades where light was laid.,Hope fades where light was laid.
"Justice weeps in shadowed halls,",halls,falls,halls,True,Where silence speaks and truth falls.,Where silence speaks and truth falls.
"Neon hums where tall shadows play,",play,day,grey,True,Silent echoes drift through the day.,Silent echoes drift through the day.
"Whispers coil like shadows in the mind’s tight maze,",maze,blaze,maze,True,Where echoes of forgotten dreams begin to blaze.,Where echoes of forgotten dreams begin to blaze.
"Anger boils like storm in night,",night,light,light,True,But calm arrives with morning light.,But calm arrives with morning light.
"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,schemes,dies,False,"A heart once pure now bears the scars of silent, venomous schemes.","A heart once pure now bears the scars of silent, venomous schemes."
"Whispers coil like shadows, cold and tight,",tight,night,light,True,Clinging close in the dead of night.,Clinging close in the dead of night.
"Like sunlight breaking through the clouds of gray,",gray,way,grey,True,Hope begins to shine a brighter way.,Hope begins to shine a brighter way.
"In shadowed silence, time's hourglass bleeds,",bleeds,recede,bleeds,False,Its sands of memory softly recede.,Its sands of memory softly recede.
"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,"Of seasons changing, soft and old.","Of seasons changing, soft and old."
"The shadows stretch where laughter once was bright,",bright,light,light,True,The echoes fade of joy that used to light.,The echoes fade of joy that used to light.
"Beneath the canvas of twilight's embrace,",embrace,refrain,embrace,False,The stars whisper secrets in silvered refrain.,The stars whisper secrets in silvered refrain.
"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,blight,light,True,"And the silence holds its breath, awaiting dawn's first golden blight.","And the silence holds its breath, awaiting dawn's first golden blight."
"Winds whisper secrets of roads yet to be trod,",trod,unknown,trod,False,Footsteps echo promises of lands yet unknown.,Footsteps echo promises of lands yet unknown.
"Stars map my longing in the heavens’ sly embrace,",embrace,trace,embrace,True,A silent hymn to dreams I cannot trace.,A silent hymn to dreams I cannot trace.
"In the mirror of time, I trace the shadow I’ve sown,",sown,own,stone,True,A seed of regret in the soil of my own.,A seed of regret in the soil of my own.
"In whispers of light, the soul finds its creed,",creed,needs,creed,False,"In echoes of hope, it knows what it needs.","In echoes of hope, it knows what it needs."
"Freedom soars where chains once clung,",clung,hung,clung,True,Hope takes flight where shadows hung.,Hope takes flight where shadows hung.
"A hand clasped in thine can also cut the deepest,",deepest,deepest,deepest,False,A heart broken by love can also bleed the deepest.,A heart broken by love can also bleed the deepest.
"The reaper’s shadow lengthens with the noon,",noon,loom,noon,False,The harvest moon begins to loom.,The harvest moon begins to loom.
"Blossoms bloom where laughter finds its way,",way,ray,grey,True,Soft petals dance in morning's ray.,Soft petals dance in morning's ray.
"Threads of love woven through the years,",years,memories,years,False,A tapestry of memories.,A tapestry of memories.
"Winds of liberty whisper through chains of control,",control,unfold,soul,False,A spark in the darkness begins to unfold.,A spark in the darkness begins to unfold.
Whispers of velvet and hues that sing—,sing,strange,sing,False,"A symphony of colors, soft and strange.","A symphony of colors, soft and strange."
"A shadow fades where the flame won’t die,",die,lies,sigh,False,A whisper grows where the silence lies.,A whisper grows where the silence lies.
