first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,Whispers of time fade into the night.,Whispers of time fade into the night.
"I wandered shadows seeking light in the mirror of my soul,",soul,knew,soul,False,I found the dark was all I knew.,I found the dark was all I knew.
"In shadows deep where silence weeps,",weeps,keeps,weeps,True,A whispered tale of secrets keeps.,A whispered tale of secrets keeps.
"In the quiet of the soul, a light divine remains,",remains,chains,remains,True,A whisper of eternity breaks the mundane chains.,A whisper of eternity breaks the mundane chains.
"Sweet whispers dance on tongues of time,",time,climb,time,True,Echoes of love that never will climb.,Echoes of love that never will climb.
"With each year, the childhood veil dissolves,",dissolves,evolve,dissolves,False,And memories begin to evolve.,And memories begin to evolve.
"Whispers of dusk linger on the lips of time,",time,climb,time,True,As shadows dance where memories climb.,As shadows dance where memories climb.
"Though flesh may fade and time may soar,",soar,evermore,soar,True,the soul remains evermore.,the soul remains evermore.
"The drums of time beat echoes of the past,",past,cast,past,True,While shadows dance in memories cast.,While shadows dance in memories cast.
"Though empires rise on whispers of might,",might,light,light,True,they fall on echoes of light.,they fall on echoes of light.
"Guns awaken the earth like a curse from her dreams,",dreams,gleam,dreams,False,"Beneath the stars, shadows creep and gleam.","Beneath the stars, shadows creep and gleam."
"I wander shadowed halls of silent stone,",stone,moan,stone,True,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.
"Two hearts entwined where promises bloom,",bloom,undo,bloom,False,A love that time cannot undo.,A love that time cannot undo.
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,their,grit,False,"They face the storm, side by side, with hope as their","Through vows entwined, two hearts commit, one journey built on love and grit,  
They face the storm, side by side, with hope as their"
"Laughter echoes soft as the breeze through old trees,",trees,leaves,trees,False,A whisper of joy in the rustling leaves.,A whisper of joy in the rustling leaves.
"In the shadow of the night, hope whispers to despair,",despair,appear,despair,False,A fragile light begins to appear.,A fragile light begins to appear.
"A hearth that glows where the heart finds its name,",name,flame,name,True,And a home that waits with a gentle flame.,And a home that waits with a gentle flame.
"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,As silent winds whisper through the skies.,As silent winds whisper through the skies.
"Though flesh may fade and tombs may rust with time,",time,rhyme,time,True,Yet memory's flame still burns in every rhyme.,Yet memory's flame still burns in every rhyme.
