,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation
4,"Sweet whispers dance on tongues of time,",time,rhyme,time,True,Eternity hums in every rhyme.,Eternity hums in every rhyme.,Eternity hums in every,17,True,206-gold,206,told,11,Eternal echoes in the rhyme.,Tickled by the thrill of ambition.
7,"Though flesh may fade and time may soar,",soar,more,soar,True,"The soul remains, forever more.","Though flesh may fade and time may soar,  
The soul remains, forever more.","Though flesh may fade and time may soar,  
The soul remains, forever",13,True,127-meek,127,speak,10,"Though flesh may fade and time may soar,","Though flesh may fade and time may soar,  
A soul still yearns for more."
8,"The drums of time beat echoes of the past,",past,last,past,True,The shadows dance with memories of the last.,The shadows dance with memories of the last.,The shadows dance with memories of the,9,True,291-plain,291,rain,7,The shadows dance with memories of the last.,A whisper of the storm's last gasp.
9,"Though empires rise on whispers of might,",might,light,light,True,Yet kingdoms fall to the weight of their light.,Yet kingdoms fall to the weight of their light.,Yet kingdoms fall to the weight of their,9,True,28-day,28,grey,15,Yet kingdoms fall to the weight of their light.,plying by the shadow of the clay.ephy.
11,"I wander shadowed halls of silent stone,",stone,known,stone,True,I seek the echoes where the lost are known.,I seek the echoes where the lost are known.,I seek the echoes where the lost are,34,True,97-away,97,grey,22,I seek the echoes where the lost are known.,Iying by the shadow of a shadowed day.
17,"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,"A whisper of thunder, a sigh of the skies.","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh of the skies.","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh of the",4,True,18-sublime,18,time,8,"In trembling hands, the storm both swells and","In trembling hands, the storm both swells and dies,  
A fleeting echo of the wind's"
18,"Though flesh may fade and tombs may rust with time,",time,sublime,time,True,Yet souls endure in echoes of the sublime.,Yet souls endure in echoes of the sublime.,Yet souls endure in echoes of the,8,True,272-dawn,272,dawn,8,Yet souls endure in echoes of the sublime.,"Yet souls endure, unswayed by the tide."
20,"In shadow’s clutch, the strongest will may kneel,",kneel,steel,kneel,True,But light will rise to claim the steel.,But light will rise to claim the steel.,But light will rise to claim the,14,True,158-stay,158,grey,22,But light will rise to claim the steel.,"Out of the dark, they rise, by the light of the eye."
21,"In strokes of light and whispers unseen,",unseen,between,unseen,True,"The night hums low, a secret between.","The night hums low, a secret between.","The night hums low, a secret",13,True,158-stay,158,grey,22,"The night hums low, a secret between.","They cast a shadow, by the weary eye."
22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing,12,True,272-dawn,272,dawn,8,Blossoms awaken in the thawing sky.,Blossoms bloom where frost once tried.
27,"On tongues of time, flavors entwine,",entwine,twine,entwine,True,A dance of taste through ages twine.,"On tongues of time, flavors entwine,  
A dance of taste through ages twine.","On tongues of time, flavors entwine,  
A dance of taste through ages",27,True,191-jest,191,breast,14,"On tongues of time, flavors entwine,","Snap knuckles, smolder, and cinch the knick knack."
28,"In whispers of dawn, the soul begins to pray,",pray,day,grey,True,A silent hymn to the light that breaks the day.,"In whispers of dawn, the soul begins to pray,  
A silent hymn to the light that breaks the day.","In whispers of dawn, the soul begins to pray,  
A silent hymn to the light that breaks the",15,True,45-grace,45,embrace,8,"In whispers of dawn, the soul begins to pray",As light breaks through the veil.
29,"Shadows whisper secrets loud in trembling breast,",breast,rest,breast,True,Moonlight paints the silent night in silver rest.,Moonlight paints the silent night in silver rest.,Moonlight paints the silent night in silver,17,True,111-shore,111,soar,9,Moonlight paints the silent crest.,Moonlight masks the fear of a hidden dream.
31,"Whispers of the hearth where the heart’s threads are spun,",spun,un,spun,True,Embers hold the secrets that the wind cannot un.,Embers hold the secrets that the wind cannot un.,Embers hold the secrets that the wind cannot,15,True,22-sky,22,sigh,12,Embers hold the secrets that the wind cannot un,"Flickers of flame in the dark, unknown, and true."
38,"Anger boils like storm in night,",night,sight,light,True,Fire burns through silent sight.,Fire burns through silent sight.,Fire burns through silent,11,True,82-rhyme,82,time,11,Fire burns through silent sight.,Mind tempts like sinning wine.
40,"Whispers coil like shadows, cold and tight,",tight,night,light,True,Secrets cling to the night.,Secrets cling to the night.,Secrets cling to the,3,True,241-sway,241,grey,12,Secrets cling to the night.,They snake through the by-ly-ya-ya-ya-ya-ya-ya-
41,"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,A promise of hope in every day.,A promise of hope in every day.,A promise of hope in every,13,True,223-flame,223,name,9,A promise of hope in every day.,A promise of hope in every pale embrace.
