,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation
8,"The drums of time beat echoes of the past,",past,cast,past,True,and the future waits in silence to be cast.,and the future waits in silence to be cast.,and the future waits in silence to be,4,True,286-wise,286,dies,6,and the future waits in silence to be cast.,deceive us with the lure of what we've been.
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,and fate's cruel dance begins to rise.,and fate's cruel dance begins to rise.,and fate's cruel dance begins to,3,True,54-ray,54,grey,3,and fate's cruel dance begins to rise.,and whispers of the sky hold tight.
19,"Roots buried deep in ancient soil,",soil,toil,soil,True,Leaves whisper tales of time and toil.,Leaves whisper tales of time and toil.,Leaves whisper tales of time and,1,True,196-bright,196,light,5,Leaves whisper tales of time and toil.,Beneath the stones where time has rolled.
27,"On tongues of time, flavors entwine,",entwine,sign,entwine,True,Yet silence holds a deeper sign.,"On tongues of time, flavors entwine,  
Yet silence holds a deeper sign.","On tongues of time, flavors entwine,  
Yet silence holds a deeper",10,True,61-grace,61,embrace,6,"On tongues of time, flavors entwine,","'s,,.........................................."
28,"In whispers of dawn, the soul begins to pray,",pray,way,grey,True,"and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its",8,True,185-share,185,despair,9,"and in the quiet of night, the heart finds",arararararararararararararararararararar
34,"Fury burns where calm once stayed,",stayed,played,stayed,True,and shadows weep where light once played.,and shadows weep where light once played.,and shadows weep where light once,5,True,40-light,40,light,3,and shadows weep where light once played.,A ghostly wind now blows through the night.
36,"Neon hums where tall shadows play,",play,sway,grey,True,And dreams are born in twilight's sway.,"Neon hums where tall shadows play,  
And dreams are born in twilight's sway.","Neon hums where tall shadows play,  
And dreams are born in twilight's",7,True,450-dream,450,stream,6,"Neon hums where tall shadows play,","Ethereal dreams in endless, eerie, yes."
38,"Anger boils like storm in night,",night,tight,light,True,and breaks the silence tight.,and breaks the silence tight.,and breaks the silence,2,True,45-grace,45,embrace,5,and breaks the silence tight.,and breaks the peace we've been so deep.
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"Yet in the heart of dawn, they'll find their light.","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll find their light.","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll find their",3,True,450-dream,450,stream,6,"Whispers coil like shadows, cold and tight,","Each breath a fleeting echo, a ghostly beat."
41,"Like sunlight breaking through the clouds of gray,",gray,ray,grey,True,the world is bright and full of new day's ray.,the world is bright and full of new day's ray.,the world is bright and full of new day's,7,True,394-last,394,past,4,the world is bright and full of new day's,the world holds wonders that await your eye.
45,"Beneath the canvas of twilight's embrace,",embrace,grace,embrace,True,"the stars ignite in silent, fleeting grace.","the stars ignite in silent, fleeting grace.","the stars ignite in silent, fleeting",5,True,164-thing,164,sing,6,"the stars ignite in silent, fleeting grace.",the stars are bright and the night is hispanic.
