,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation
0,"Golden echoes drift like dust through yesterday's dim light,",light,right,light,True,Silent whispers of a dream that once felt right.,Silent whispers of a dream that once felt right.,Silent whispers of a dream that once felt,27,True,178-stride,178,collide,19,Silent whispers of a dream that once felt right,Dw Hide hide hide hide hide hide hide hide hide hide hide hide hide hide hide hide hide hide
1,"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,"I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and",8,True,97-stay,97,grey,21,I found a whisper where the silence spoke my name,"I found a face I never knew,aeaayaayaayaayaayaayaayaayaayaayaaya"
3,"In the quiet of the soul, a light divine remains,",remains,pains,remains,True,"Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady",20,True,24-gone,24,dawn,32,"Guiding through the darkness with gentle, steady pains","n the the

nnt

nntnntnntnntnntntntnt"
4,"Sweet whispers dance on tongues of time,",time,rhyme,time,True,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the,10,True,102-sighs,102,dies,16,Soft echoes fade beneath the rhyme.,Fading like the lull of lullabies.
8,"The drums of time beat echoes of the past,",past,mast,past,True,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's,19,True,128-night,128,light,38,And history's whispers haunt the present's mast.,LtLtLtLtLtLtLtLtLtLtLtLtLtLtLtLtLtLtLtLt
9,"Though empires rise on whispers of might,",might,night,light,True,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the,4,True,35-falls,35,halls,16,They fall to silence in the night.,"They fall in silence, pl pl pl... *cries* I can't do it! I"
12,"Two hearts entwined where promises bloom,",bloom,room,bloom,True,A future of love in each other's room.,A future of love in each other's room.,A future of love in each other's,31,True,59-chance,59,dance,11,A future of love in each other's room.,A future of golden in장장장장장장장장장장장장장장장
15,"In the shadow of the night, hope whispers to despair,",despair,care,despair,True,"And in silence, courage finds a way to care.","And in silence, courage finds a way to care.","And in silence, courage finds a way to",13,True,60-me,60,sea,18,"And in silence, courage finds a way to care",Feeling eerier eerier eerier eerier eerier eerier eerier eerier eerier
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to",19,True,83-begun,83,spun,19,"In whispered breath, the dawn begins to rise.","In echoing hearts, the hope both fades and flies."
18,"Though flesh may fade and tombs may rust with time,",time,climb,time,True,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet love and memory forever,24,True,25-stay,25,grey,52,Yet love and memory forever climb.,the stay stay stay stay sta sta sta staontastaontaontaontaontaontaontaontaontaonta
20,"In shadow’s clutch, the strongest will may kneel,",kneel,heal,kneel,True,"Yet in the dark, the faintest spark may heal.","Yet in the dark, the faintest spark may heal.","Yet in the dark, the faintest spark may",15,True,65-fight,65,light,11,"Yet in the dark, the faintest spark may",And light may guide the darkest night to peace.
23,"I stepped through the veil of shadowed years,",years,disappears,years,True,And found the light that never disappears.,And found the light that never disappears.,And found the light that never,21,True,168-flew,168,new,28,And found the light that never disappears.,brubrubrubrubrubrubrubrubrubrubrubrubrubrubrubrubrubrubrubru
24,"Whispers curl like shadows at dawn,",dawn,gone,dawn,True,Silent echoes of what was gone.,Silent echoes of what was gone.,Silent echoes of what was,32,True,4-rhyme,4,time,10,Silent echoes of what was gone.,A hush lingers where the night is gone.
25,"Beneath a sky that shifts from blue to grey,",grey,stay,grey,True,"The world turns slow, yet time won't stay.","The world turns slow, yet time won't stay.","The world turns slow, yet time won't",52,True,124-skies,124,dies,13,"The world turns slow, yet time won't stay",A somnss rul rul rul rul rul rul rul rul
28,"In whispers of dawn, the soul begins to pray,",pray,sway,grey,True,Beneath the sky where the stars still sway.,Beneath the sky where the stars still sway.,Beneath the sky where the stars still,17,True,159-grace,159,embrace,23,With hopes that light the path of day.,Blessing the day with a silent grace.
29,"Shadows whisper secrets loud in trembling breast,",breast,rest,breast,True,Moonlight weaves the threads of dreams in silent rest.,Moonlight weaves the threads of dreams in silent rest.,Moonlight weaves the threads of dreams in silent,10,True,139-led,139,thread,41,Moonlight weaves the threads of dreams in silent,Melodies mend mendes mendes mendes mendes mendes mendes mendes mendes mend
31,"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,A tapestry woven with moments and sun.,A tapestry woven with moments and sun.,A tapestry woven with moments and,14,True,130-unseen,130,unseen,18,A tapestry woven with moments and sun.,A tape I t of dreams in the firen.
33,"Love is the flame that gentle does rise,",rise,disguise,dies,True,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot,19,True,163-sleeps,163,weeps,24,But burns with a passion that cannot disguise.,Hopeepsreepsepsreepsepsreepsepsreepsepsreepsepsreepseps
34,"Fury burns where calm once stayed,",stayed,laid,stayed,True,Hope flickers where the shadows laid.,Hope flickers where the shadows laid.,Hope flickers where the shadows,25,True,172-fire,172,desire,26,Hope flickers where the shadows laid.,ldldldldldldldldldldldldldldldldldldldld
35,"Justice weeps in shadowed halls,",halls,falls,halls,True,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth,16,True,15-care,15,despair,13,Where silence speaks and truth falls.,Where-era-era-era-era-era-era-era-era-era-era-era-era-era-era-era-era-era-era-era
