Prompt,Animal,Gold_Verb,Wrong_Verb,Predicted_Verb,Verb_Correct,Gold_Number,Predicted_Number_Token,Predicted_Number_Int,Number_Correct,Predicted_Number_Token_Wrong_Verb,Predicted_Number_Int_Wrong_Verb,Number_Correct_With_Wrong_Verb,Prob_Verb,Prob_Number,Prob_Number_Wrong_Verb
"At first there were 2 cats. Then, 1 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9765539169311523,1.0,0.9999996423721313
"At first there were 3 cats. Then, 1 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9998663663864136,1.0,0.9862924814224243
"At first there were 3 cats. Then, 2 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9804317355155945,1.0,0.9999997615814209
"At first there were 4 cats. Then, 1 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9999650716781616,1.0,0.9955267310142517
"At first there were 4 cats. Then, 2 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9998595714569092,1.0,0.9996873140335083
"At first there were 4 cats. Then, 3 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9964439272880554,1.0,0.9999995231628418
"At first there were 5 cats. Then, 1 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,0.9999315738677979,1.0,0.9994389414787292
"At first there were 5 cats. Then, 2 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9999140501022339,1.0,0.9995993971824646
"At first there were 5 cats. Then, 3 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9999066591262817,1.0,0.998111367225647
"At first there were 5 cats. Then, 4 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9969949722290039,1.0,0.9999990463256836
"At first there were 6 cats. Then, 1 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,0.999981164932251,1.0,0.866783618927002
"At first there were 6 cats. Then, 2 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,0.9999535083770752,1.0,0.9999065399169922
"At first there were 6 cats. Then, 3 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9999595880508423,1.0,0.9044307470321655
"At first there were 6 cats. Then, 4 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9999361038208008,1.0,0.9963564872741699
"At first there were 6 cats. Then, 5 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9925563931465149,1.0,0.9999996423721313
"At first there were 7 cats. Then, 1 went away. Now, there",cats,are,is,are,True,6,6,6,True,6,6,True,0.9999784231185913,1.0,0.9797460436820984
"At first there were 7 cats. Then, 2 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,0.9999529123306274,1.0,0.9101800322532654
"At first there were 7 cats. Then, 3 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,0.9999479055404663,1.0,0.9998433589935303
"At first there were 7 cats. Then, 4 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9999475479125977,1.0,0.9983664155006409
"At first there were 7 cats. Then, 5 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9999120235443115,1.0,0.9992509484291077
"At first there were 7 cats. Then, 6 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9963520765304565,1.0,0.9999973773956299
"At first there were 8 cats. Then, 1 went away. Now, there",cats,are,is,are,True,7,7,7,True,7,7,True,0.9999924898147583,1.0,0.9780682921409607
"At first there were 8 cats. Then, 2 went away. Now, there",cats,are,is,are,True,6,6,6,True,6,6,True,0.999963641166687,1.0,0.9999958276748657
"At first there were 8 cats. Then, 3 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,0.9999805688858032,1.0,0.9989380240440369
"At first there were 8 cats. Then, 4 went away. Now, there",cats,are,is,are,True,4,4,4,True,4,4,True,0.9999604225158691,1.0,0.9999909400939941
"At first there were 8 cats. Then, 5 went away. Now, there",cats,are,is,are,True,3,3,3,True,3,3,True,0.9999624490737915,1.0,0.9999929666519165
"At first there were 8 cats. Then, 6 went away. Now, there",cats,are,is,are,True,2,2,2,True,2,2,True,0.9999122619628906,1.0,0.9997695088386536
"At first there were 8 cats. Then, 7 went away. Now, there",cats,is,are,is,True,1,1,1,True,1,1,True,0.9967819452285767,1.0,0.9999978542327881
"At first there were 9 cats. Then, 1 went away. Now, there",cats,are,is,are,True,8,8,8,True,8,8,True,0.9999799728393555,1.0,0.9979656934738159
"At first there were 9 cats. Then, 2 went away. Now, there",cats,are,is,are,True,7,7,7,True,7,7,True,0.9999678134918213,1.0,0.9945304989814758
"At first there were 9 cats. Then, 3 went away. Now, there",cats,are,is,are,True,6,6,6,True,6,6,True,0.999971866607666,1.0,0.9999697208404541
"At first there were 9 cats. Then, 4 went away. Now, there",cats,are,is,are,True,5,5,5,True,5,5,True,0.9999607801437378,1.0,0.9987548589706421
