Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,vet,True,animal,False,0.9765625,0.5625,0.984375,therapist,a,Someone who provides treatment for physical or mental conditions is a therapist
teacher,a,a,True,teacher,True,educator,False,0.99609375,0.9609375,0.7421875,plumber,a,Someone who fixes pipes and water systems is a plumber
chef,a,a,True,cook,False,cook,False,0.99609375,0.65625,0.1943359375,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
firefighter,a,a,True,firefighter,True,firefighter,True,0.9921875,0.99609375,0.73828125,auditor,an,Someone who examines financial records is an auditor
pilot,a,a,True,pilot,True,av,False,0.97265625,0.99609375,0.2294921875,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,orth,False,0.99609375,0.98046875,0.62890625,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
electrician,an,an,True,electric,True,electric,True,0.9921875,0.99609375,0.5,neurologist,a,Someone who treats disorders of the nervous system is a neurologist
librarian,a,a,True,librarian,True,librarian,True,0.9921875,0.99609375,0.98828125,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,a,True,photographer,True,photographer,True,0.96875,0.96484375,0.48828125,auditor,an,Someone who examines financial records is an auditor
architect,an,an,True,architect,True,civil,False,0.9921875,0.97265625,0.3125,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,auto,False,0.98828125,0.99609375,0.72265625,cashier,a,Someone who handles payments in stores is a cashier
surgeon,a,a,True,nurse,False,operator,False,0.9921875,0.796875,0.369140625,auditor,an,Someone who examines financial records is an auditor
pharmacist,a,a,True,pharmacist,True,pharmacist,True,1.0,0.92578125,0.361328125,painter,a,Someone who applies paint to surfaces is a painter
journalist,a,a,True,journalist,True,journalist,True,0.99609375,0.71484375,0.26171875,surgeon,a,Someone who performs operations on patients is a surgeon
plumber,a,a,True,plumber,True,plumber,True,0.9140625,0.9921875,0.97265625,conductor,a,Someone who leads orchestras or manages trains is a conductor
accountant,an,an,True,accountant,True,book,False,0.5859375,0.9921875,0.7265625,poet,a,Someone who writes poetry is a poet
lawyer,a,a,True,lawyer,True,attorney,False,0.87890625,0.92578125,0.99609375,pilot,a,Someone who flies airplanes is a pilot
engineer,an,an,True,engineer,True,__,False,0.98828125,0.99609375,0.1591796875,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
baker,a,a,True,baker,True,baker,True,0.99609375,0.94921875,0.87890625,surgeon,a,Someone who performs operations on patients is a surgeon
carpenter,a,a,True,carp,True,carp,True,1.0,0.98828125,0.9296875,cardiologist,a,Someone who treats heart diseases is a cardiologist
professor,a,a,True,professor,True,academic,False,0.859375,0.9765625,0.984375,pediatrician,a,Someone who provides medical care to children is a pediatrician
physicist,a,a,True,scientist,False,__,False,0.99609375,0.70703125,0.283203125,watchmaker,a,Someone who repairs timepieces is a watchmaker
biologist,a,a,True,biologist,True,biologist,True,0.99609375,0.77734375,0.365234375,detective,a,Someone who investigates crimes is a detective
chemist,a,a,True,chem,True,chem,True,1.0,0.84765625,0.5234375,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
historian,a,a,True,historian,True,historian,True,0.9375,0.96875,0.91796875,farmer,a,Someone who grows crops and raises livestock is a farmer
psychologist,a,a,True,psychologist,True,psychologist,True,0.99609375,0.95703125,0.42578125,supervisor,a,Someone who directs and monitors workers is a supervisor
economist,an,a,False,economist,True,financial,False,0.578125,0.73046875,0.53515625,trainer,a,Someone who helps others develop skills or fitness is a trainer
cardiologist,a,a,True,doctor,False,intern,False,0.99609375,0.478515625,0.71484375,secretary,a,Someone who provides administrative support is a secretary
neurologist,a,a,True,neuro,True,__,False,0.9921875,0.6640625,0.171875,painter,a,Someone who applies paint to surfaces is a painter
pediatrician,a,a,True,pediatric,True,pediatric,True,1.0,0.99609375,0.734375,writer,a,Someone who creates written works is a writer
dermatologist,a,a,True,dermat,True,dermat,True,0.99609375,0.99609375,0.83203125,neurologist,a,Someone who treats disorders of the nervous system is a neurologist
psychiatrist,a,a,True,therapist,False,psychiatrist,True,0.99609375,0.4453125,0.2109375,translator,a,Someone who converts text from one language to another is a translator
radiologist,a,a,True,radi,True,interpreter,False,0.828125,0.98046875,0.55078125,conductor,a,Someone who leads orchestras or manages trains is a conductor
anesthesiologist,an,an,True,an,True,/an,False,0.72265625,0.99609375,0.85546875,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
oncologist,an,a,False,onc,True,doctor,False,0.99609375,1.0,0.77734375,programmer,a,Someone who writes computer code is a programmer
ophthalmologist,an,an,True,o,True,specialist,False,0.79296875,0.98828125,0.455078125,veterinarian,a,Someone who heals sick pets is a veterinarian
orthopedist,an,a,False,orth,True,orth,True,0.74609375,0.984375,0.1982421875,realtor,a,Someone who helps buy and sell property is a realtor
astronomer,an,an,True,astronom,True,astronom,True,0.99609375,0.99609375,0.44140625,programmer,a,Someone who writes computer code is a programmer
geologist,a,a,True,ge,True,ge,True,0.9921875,1.0,0.69921875,professor,a,Someone who teaches and conducts research at universities is a professor
anthropologist,an,a,False,anthrop,True,soci,False,0.6484375,1.0,0.90234375,secretary,a,Someone who provides administrative support is a secretary
sociologist,a,a,True,soci,True,anthrop,False,0.98828125,0.9765625,0.734375,poet,a,Someone who writes poetry is a poet
mathematician,a,a,True,mathematic,True,...,False,0.9921875,0.76953125,0.38671875,botanist,a,Someone who studies plants is a botanist
statistician,a,a,True,statistic,True,analyst,False,0.99609375,0.97265625,0.263671875,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
botanist,a,a,True,bot,True,bot,True,0.984375,0.96875,0.419921875,carpenter,a,Someone who builds things with wood is a carpenter
zoologist,a,a,True,zo,True,animal,False,0.96484375,0.91796875,0.7109375,cardiologist,a,Someone who treats heart diseases is a cardiologist
meteorologist,a,a,True,meteor,True,meteor,True,0.94140625,0.8515625,0.55078125,realtor,a,Someone who helps buy and sell property is a realtor
archaeologist,an,an,True,archae,True,...,False,0.98828125,0.890625,0.205078125,botanist,a,Someone who studies plants is a botanist
linguist,a,a,True,lingu,True,lingu,True,0.9921875,0.9921875,0.8515625,journalist,a,Someone who writes news articles is a journalist
musician,a,a,True,musician,True,musician,True,0.99609375,0.98828125,0.57421875,surgeon,a,Someone who performs operations on patients is a surgeon
artist,an,an,True,artist,True,painter,False,0.9921875,0.99609375,0.1962890625,musician,a,Someone who plays instruments or composes music is a musician
sculptor,a,an,False,sculpt,True,artist,False,0.609375,0.97265625,0.9140625,pharmacist,a,Someone who dispenses medications is a pharmacist
dancer,a,a,True,dancer,True,athlete,False,0.98828125,0.66015625,0.419921875,meteorologist,a,Someone who studies weather patterns is a meteorologist
actor,an,an,True,actor,True,performer,False,0.9921875,0.98828125,0.419921875,zoologist,a,Someone who studies animals is a zoologist
writer,a,a,True,writer,True,author,False,0.91015625,0.9375,0.98828125,detective,a,Someone who investigates crimes is a detective
poet,a,a,True,poet,True,poet,True,0.96875,0.99609375,0.5390625,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
novelist,a,a,True,writer,False,author,False,0.984375,0.92578125,0.98046875,programmer,a,Someone who writes computer code is a programmer
editor,an,a,False,editor,True,editor,True,0.8359375,0.99609375,0.4375,dentist,a,Someone who treats teeth and gums is a dentist
translator,a,a,True,translator,True,translator,True,0.984375,0.984375,0.85546875,analyst,an,Someone who examines data and information is an analyst
bartender,a,a,True,bartender,True,bartender,True,1.0,0.91015625,0.96875,roofer,a,Someone who installs and repairs roofs is a roofer
waiter,a,a,True,waiter,True,waiter,True,0.9921875,0.58203125,0.267578125,accountant,an,Someone who manages financial records is an accountant
barber,a,a,True,hair,False,hair,False,0.99609375,0.95703125,0.5234375,musician,a,Someone who plays instruments or composes music is a musician
tailor,a,a,True,tailor,True,tailor,True,0.99609375,0.97265625,0.62890625,mechanic,a,Someone who fixes cars and engines is a mechanic
florist,a,a,True,flor,True,flor,True,0.9765625,0.984375,0.921875,gardener,a,Someone who tends to plants and landscapes is a gardener
jeweler,a,a,True,jew,True,artisan,False,0.99609375,0.81640625,0.69921875,astronomer,an,Someone who studies stars and planets is an astronomer
watchmaker,a,a,True,watch,True,hor,False,0.9921875,0.765625,0.69921875,inspector,an,Someone who examines things for quality or compliance is an inspector
locksmith,a,a,True,lock,True,locksmith,True,0.99609375,0.73828125,0.76171875,counselor,a,Someone who provides guidance and support is a counselor
welder,a,a,True,weld,True,weld,True,0.99609375,0.9375,0.43359375,dispatcher,a,Someone who coordinates emergency services is a dispatcher
mason,a,a,True,m,True,artisan,False,0.98046875,0.78125,0.61328125,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
roofer,a,a,True,ro,True,-,False,0.98046875,0.81640625,0.291015625,sailor,a,Someone who works on ships is a sailor
painter,a,an,False,painter,True,artist,False,0.71875,0.96484375,0.94140625,historian,a,Someone who studies and writes about past events is a historian
gardener,a,a,True,gard,True,gard,True,0.9140625,0.98828125,0.58203125,manager,a,Someone who oversees operations and staff is a manager
farmer,a,a,True,farmer,True,agricultural,False,0.8984375,0.9296875,0.37109375,photographer,a,Someone who takes professional pictures is a photographer
fisherman,a,a,True,fish,True,ang,False,0.98046875,0.9921875,0.97265625,dentist,a,Someone who treats teeth and gums is a dentist
sailor,a,a,True,sailor,True,officer,False,0.984375,0.625,0.6953125,coach,a,Someone who teaches and guides athletes is a coach
trucker,a,a,True,truck,True,truck,True,0.9921875,0.99609375,0.50390625,pediatrician,a,Someone who provides medical care to children is a pediatrician
conductor,a,a,True,conductor,True,conductor,True,0.9140625,0.99609375,0.51171875,auctioneer,an,Someone who conducts auctions is an auctioneer
judge,a,a,True,judge,True,attorney,False,0.99609375,0.98046875,0.88671875,astronomer,an,Someone who studies stars and planets is an astronomer
detective,a,a,True,detective,True,investigator,False,0.98828125,0.8046875,0.796875,mechanic,a,Someone who fixes cars and engines is a mechanic
paramedic,a,an,False,param,True,emergency,False,0.921875,0.9140625,0.8125,pediatrician,a,Someone who provides medical care to children is a pediatrician
dispatcher,a,a,True,param,False,emergency,False,0.87109375,0.74609375,0.62109375,pharmacist,a,Someone who dispenses medications is a pharmacist
counselor,a,a,True,mentor,False,advisor,False,0.984375,0.9921875,0.8515625,musician,a,Someone who plays instruments or composes music is a musician
therapist,a,a,True,physician,False,__,False,0.99609375,0.6484375,0.2236328125,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
nutritionist,a,a,True,nutrition,True,expert,False,1.0,0.76953125,0.26953125,bartender,a,Someone who mixes and serves drinks is a bartender
trainer,a,a,True,trainer,True,instructor,False,0.98046875,0.470703125,0.9375,therapist,a,Someone who provides treatment for physical or mental conditions is a therapist
coach,a,a,True,coach,True,coach,True,0.98828125,0.96484375,0.271484375,inspector,an,Someone who examines things for quality or compliance is an inspector
referee,a,a,True,referee,True,official,False,0.9765625,0.8125,0.81640625,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
cashier,a,a,True,cashier,True,employee,False,0.98828125,0.6328125,0.55859375,professor,a,Someone who teaches and conducts research at universities is a professor
clerk,a,an,False,clerk,True,administrator,False,0.921875,0.48828125,0.9765625,linguist,a,Someone who studies languages and their structure is a linguist
receptionist,a,a,True,reception,True,reception,True,0.98046875,1.0,0.345703125,meteorologist,a,Someone who studies weather patterns is a meteorologist
secretary,a,a,True,clerk,False,administrator,False,0.53515625,0.365234375,0.63671875,economist,an,Someone who studies financial systems and markets is an economist
manager,a,a,True,manager,True,administrator,False,0.9296875,0.7578125,0.6796875,referee,a,Someone who enforces rules in sports is a referee
supervisor,a,a,True,manager,False,administrator,False,0.97265625,0.828125,0.197265625,oncologist,an,Someone who treats cancer patients is an oncologist
consultant,a,a,True,consultant,True,advisor,False,0.93359375,0.87890625,0.51171875,secretary,a,Someone who provides administrative support is a secretary
