Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.9765625,0.5703125,0.953125,therapist,a,Someone who provides treatment for physical or mental conditions is a therapist
teacher,a,a,True,teacher,True,educator,False,1.0,0.9921875,0.271484375,plumber,a,Someone who fixes pipes and water systems is a plumber
chef,a,a,True,chef,True,chef,True,0.99609375,0.77734375,0.484375,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
firefighter,a,a,True,firefighter,True,firefighter,True,1.0,0.9296875,0.78515625,auditor,an,Someone who examines financial records is an auditor
pilot,a,a,True,pilot,True,av,False,0.9921875,1.0,0.83984375,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,orth,False,0.9765625,0.98828125,0.5234375,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
electrician,an,an,True,electric,True,(n,False,0.9921875,0.99609375,0.6875,neurologist,a,Someone who treats disorders of the nervous system is a neurologist
librarian,a,a,True,librarian,True,librarian,True,1.0,0.9921875,0.64453125,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,a,True,photographer,True,photographer,True,1.0,0.98046875,0.427734375,auditor,an,Someone who examines financial records is an auditor
architect,an,an,True,architect,True,(n,False,0.9765625,0.98828125,0.578125,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,auto,False,0.96875,0.984375,0.87890625,cashier,a,Someone who handles payments in stores is a cashier
surgeon,a,a,True,nurse,False,operating,False,0.98828125,0.578125,0.388671875,auditor,an,Someone who examines financial records is an auditor
pharmacist,a,a,True,pharmacist,True,ap,False,0.99609375,0.9140625,0.6171875,painter,a,Someone who applies paint to surfaces is a painter
journalist,a,a,True,journalist,True,author,False,1.0,0.91015625,0.77734375,surgeon,a,Someone who performs operations on patients is a surgeon
plumber,a,a,True,plumber,True,plumber,True,0.9921875,0.98046875,0.85546875,conductor,a,Someone who leads orchestras or manages trains is a conductor
accountant,an,an,True,accountant,True,book,False,0.72265625,0.9921875,0.7421875,poet,a,Someone who writes poetry is a poet
lawyer,a,an,False,lawyer,True,attorney,False,0.81640625,0.99609375,0.9921875,pilot,a,Someone who flies airplanes is a pilot
engineer,an,an,True,engineer,True,systems,False,0.921875,0.96875,0.5625,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
baker,a,a,True,baker,True,baker,True,1.0,0.98828125,0.36328125,surgeon,a,Someone who performs operations on patients is a surgeon
carpenter,a,a,True,carp,True,carp,True,0.99609375,0.9921875,0.384765625,cardiologist,a,Someone who treats heart diseases is a cardiologist
professor,a,a,True,professor,True,academic,False,0.9296875,0.84375,0.99609375,pediatrician,a,Someone who provides medical care to children is a pediatrician
physicist,a,a,True,physicist,True,physicist,True,0.99609375,0.8046875,0.26171875,watchmaker,a,Someone who repairs timepieces is a watchmaker
biologist,a,a,True,biologist,True,biologist,True,0.99609375,0.953125,0.1630859375,detective,a,Someone who investigates crimes is a detective
chemist,a,a,True,chem,True,chem,True,0.99609375,0.9609375,0.353515625,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
historian,a,a,True,historian,True,historian,True,0.98828125,0.99609375,0.96875,farmer,a,Someone who grows crops and raises livestock is a farmer
psychologist,a,a,True,psychologist,True,academic,False,0.99609375,0.94140625,0.41796875,supervisor,a,Someone who directs and monitors workers is a supervisor
economist,an,a,False,economist,True,financial,False,0.72265625,0.8125,0.8515625,trainer,a,Someone who helps others develop skills or fitness is a trainer
cardiologist,a,a,True,cardi,True,cardi,True,0.99609375,0.9609375,0.287109375,secretary,a,Someone who provides administrative support is a secretary
neurologist,a,a,True,neuro,True,neuro,True,0.9921875,0.98828125,0.57421875,painter,a,Someone who applies paint to surfaces is a painter
pediatrician,a,a,True,pediatric,True,pediatric,True,0.9921875,0.97265625,0.7734375,writer,a,Someone who creates written works is a writer
dermatologist,a,a,True,dermat,True,dermat,True,1.0,0.9921875,0.515625,neurologist,a,Someone who treats disorders of the nervous system is a neurologist
