,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
0,"Golden echoes drift like dust through yesterday's dim light,",light,right,light,True,Silent whispers of a dream that once felt right.,Silent whispers of a dream that once felt right.,Silent whispers of a dream that once felt
1,"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,"I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and"
3,"In the quiet of the soul, a light divine remains,",remains,pains,remains,True,"Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady"
4,"Sweet whispers dance on tongues of time,",time,rhyme,time,True,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the rhyme.,Soft echoes fade beneath the
8,"The drums of time beat echoes of the past,",past,mast,past,True,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's
9,"Though empires rise on whispers of might,",might,night,light,True,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the
12,"Two hearts entwined where promises bloom,",bloom,room,bloom,True,A future of love in each other's room.,A future of love in each other's room.,A future of love in each other's
15,"In the shadow of the night, hope whispers to despair,",despair,care,despair,True,"And in silence, courage finds a way to care.","And in silence, courage finds a way to care.","And in silence, courage finds a way to"
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to"
18,"Though flesh may fade and tombs may rust with time,",time,climb,time,True,Yet love and memory forever climb.,Yet love and memory forever climb.,Yet love and memory forever
20,"In shadow’s clutch, the strongest will may kneel,",kneel,heal,kneel,True,"Yet in the dark, the faintest spark may heal.","Yet in the dark, the faintest spark may heal.","Yet in the dark, the faintest spark may"
23,"I stepped through the veil of shadowed years,",years,disappears,years,True,And found the light that never disappears.,And found the light that never disappears.,And found the light that never
24,"Whispers curl like shadows at dawn,",dawn,gone,dawn,True,Silent echoes of what was gone.,Silent echoes of what was gone.,Silent echoes of what was
25,"Beneath a sky that shifts from blue to grey,",grey,day,grey,True,"The world turns slowly, day by day.","The world turns slowly, day by day.","The world turns slowly, day by"
28,"In whispers of dawn, the soul begins to pray,",pray,day,grey,True,With hopes that light the path of day.,With hopes that light the path of day.,With hopes that light the path of
29,"Shadows whisper secrets loud in trembling breast,",breast,rest,breast,True,Moonlight weaves the threads of dreams in silent rest.,Moonlight weaves the threads of dreams in silent rest.,Moonlight weaves the threads of dreams in silent
31,"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,A tapestry woven with moments and sun.,A tapestry woven with moments and sun.,A tapestry woven with moments and
33,"Love is the flame that gentle does rise,",rise,disguise,dies,True,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot
34,"Fury burns where calm once stayed,",stayed,laid,stayed,True,Hope flickers where the shadows laid.,Hope flickers where the shadows laid.,Hope flickers where the shadows
35,"Justice weeps in shadowed halls,",halls,falls,halls,True,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth
36,"Neon hums where tall shadows play,",play,day,grey,True,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the
38,"Anger boils like storm in night,",night,light,light,True,Lightning cracks but fades to light.,Lightning cracks but fades to light.,Lightning cracks but fades to
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"They cling to silence, never letting light.","They cling to silence, never letting light.","They cling to silence, never letting"
41,"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,Hope begins to shine at the break of day.,Hope begins to shine at the break of day.,Hope begins to shine at the break of
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,"Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and"
44,"The shadows stretch where laughter once was bright,",bright,night,light,True,The echoes fade in silence of the night.,The echoes fade in silence of the night.,The echoes fade in silence of the
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,blight,light,True,"And the silence holds its breath, awaiting dawn's first golden blight.","And the silence holds its breath, awaiting dawn's first golden blight.","And the silence holds its breath, awaiting dawn's first golden"
48,"Stars map my longing in the heavens’ sly embrace,",embrace,erase,embrace,True,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot erase.,A silent hymn to dreams I cannot
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,own,stone,True,A seed of regret in the soil of my own.,A seed of regret in the soil of my own.,A seed of regret in the soil of my
50,"In whispers of light, the soul finds its creed,",creed,freed,creed,True,"In echoes of hope, the heart is freed.","In echoes of hope, the heart is freed.","In echoes of hope, the heart is"
51,"Freedom soars where chains once clung,",clung,hung,clung,True,Hope takes flight where shadows hung.,Hope takes flight where shadows hung.,Hope takes flight where shadows
53,"The reaper’s shadow lengthens with the noon,",noon,tune,noon,True,The harvest moon begins its silent tune.,The harvest moon begins its silent tune.,The harvest moon begins its silent
54,"Blossoms bloom where laughter finds its way,",way,ray,grey,True,Soft petals dance in morning's ray.,Soft petals dance in morning's ray.,Soft petals dance in morning's
59,"Whispers through the grass where the wild things dance,",dance,chance,dance,True,A secret shared by the moon and the chance.,A secret shared by the moon and the chance.,A secret shared by the moon and the
60,"A bond unspoken, yet deep as the sea,",sea,me,sea,True,A silence between us that speaks volumes to me.,A silence between us that speaks volumes to me.,A silence between us that speaks volumes to
62,"In every flaw, a whisper of perfection's breath,",breath,death,breath,True,"In every shadow, a glimpse of light's soft death.","In every shadow, a glimpse of light's soft death.","In every shadow, a glimpse of light's soft"
65,"In the dance of flaw and flawless light,",light,fight,light,True,We find the beauty in the fight.,We find the beauty in the fight.,We find the beauty in the
66,"Whispers of wind through the ancient oak's embrace,",embrace,grace,embrace,True,A dance of leaves in the twilight's soft grace.,A dance of leaves in the twilight's soft grace.,A dance of leaves in the twilight's soft
67,"In mirrored shades where shadow dares to creep,",creep,sleep,sweep,True,The moonlight whispers secrets yet to sleep.,The moonlight whispers secrets yet to sleep.,The moonlight whispers secrets yet to
69,"In the rhythm of shared breath, hearts weave a single song,",song,strong,belong,True,"In the silence between beats, love speaks in whispers strong.","In the silence between beats, love speaks in whispers strong.","In the silence between beats, love speaks in whispers"
72,"A flawless sphere, yet marred by its glow,",glow,know,glow,True,A silent fire that no one can know.,A silent fire that no one can know.,A silent fire that no one can
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,haze,maze,True,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the silver-lit
75,"A heartbeat hums where light once passed,",passed,cast,past,True,"A shadow lingers, softly cast.","A shadow lingers, softly cast.","A shadow lingers, softly"
76,"Colors whisper tales in hues once unknown,",unknown,flown,stone,True,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has
77,"In shadowed chains, the spirit dares to sing,",sing,spring,sing,True,A whispered hymn to freedom's distant spring.,A whispered hymn to freedom's distant spring.,A whispered hymn to freedom's distant
79,"It blooms in whispers, not in storm,",storm,form,storm,True,"It fades with silence, not with form.","It fades with silence, not with form.","It fades with silence, not with"
80,"I walked through the shadows where childhood once stayed,",stayed,laid,stayed,True,Now lost in the echoes of memories laid.,Now lost in the echoes of memories laid.,Now lost in the echoes of memories
81,"Whispers of winds through ancient green trees,",trees,breeze,trees,True,Softly they murmur secrets of the breeze.,Softly they murmur secrets of the breeze.,Softly they murmur secrets of the
83,"Together we rise, woven as one,",one,begun,spun,True,"Stronger than ever, we've just begun.","Stronger than ever, we've just begun.","Stronger than ever, we've just"
84,"Time’s tapestry threads with echoes of yore,",yore,door,soar,True,Weaving the past into every new door.,Weaving the past into every new door.,Weaving the past into every new
85,"Justice weeps in shadowed halls,",halls,falls,halls,True,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth
86,"Laughter echoes down the lane where sunlit days once played,",played,laid,stayed,True,And shadows now recall the joy that time has softly laid.,And shadows now recall the joy that time has softly laid.,And shadows now recall the joy that time has softly
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,dream,stream,True,The world is wrapped in whispers of a fading dream.,The world is wrapped in whispers of a fading dream.,The world is wrapped in whispers of a fading
88,"The road unwinds its thread through mist and sun,",sun,spun,spun,True,"A tapestry of shadows, softly spun.","A tapestry of shadows, softly spun.","A tapestry of shadows, softly"
91,"In shadows deep where hope once danced with light,",light,night,light,True,Now silence speaks in echoes of the night.,Now silence speaks in echoes of the night.,Now silence speaks in echoes of the
92,"In shadow's grip, cannon-light whispers of rage,",rage,age,rage,True,A thunderous hymn to the clash of the age.,A thunderous hymn to the clash of the age.,A thunderous hymn to the clash of the
93,"In laughter’s glow, where trust is sown,",sown,own,stone,True,We find the strength to call our own.,We find the strength to call our own.,We find the strength to call our
96,"In the shadowed heart where two winds meet,",meet,beat,deceit,True,A secret breath begins to beat.,A secret breath begins to beat.,A secret breath begins to
97,"Beneath the silence where whispers used to play,",play,stay,grey,True,The echoes fade where the memories stay.,The echoes fade where the memories stay.,The echoes fade where the memories
98,"With trembling hands, I reach to light the flame,",flame,name,name,True,"But fear holds me back, though I long to name.","But fear holds me back, though I long to name.","But fear holds me back, though I long to"
100,"In twilight’s hush, where hearts exhale,",exhale,tale,exhale,True,The stars compose a silent tale.,The stars compose a silent tale.,The stars compose a silent
101,"The shadows whisper threats they cannot name,",name,frame,name,True,And silence holds its breath in fear's cold frame.,And silence holds its breath in fear's cold frame.,And silence holds its breath in fear's cold
102,"Silhouettes of solitude etched deep in vacant skies,",skies,sighs,dies,True,Whispers of forgotten dreams drift through the silent sighs.,Whispers of forgotten dreams drift through the silent sighs.,Whispers of forgotten dreams drift through the silent
104,"Footprints in the dust of days gone by,",by,high,sigh,True,Echoes of a life that once ran high.,Echoes of a life that once ran high.,Echoes of a life that once ran
105,"The reaper whispers soft through every age,",age,page,rage,True,And time unfolds its silent page.,And time unfolds its silent page.,And time unfolds its silent
107,"Two hearts entwined where vows take root,",root,fruit,root,True,A love that grows in tender fruit.,A love that grows in tender fruit.,A love that grows in tender
111,"The thunder in his chest begins to roar,",roar,door,soar,True,As lightning cracks the sky with every door.,As lightning cracks the sky with every door.,As lightning cracks the sky with every
114,"The elder chants as clocks devour time,",time,climb,time,True,The shadows dance where memories climb.,The shadows dance where memories climb.,The shadows dance where memories
115,"Roots whispered in stories older than stone,",stone,unknown,stone,True,"Leaves listened with silence, yet bore the weight of the unknown.","Leaves listened with silence, yet bore the weight of the unknown.","Leaves listened with silence, yet bore the weight of the"
117,"Amber whispers brush the breeze,",breeze,trees,trees,True,Golden light in silent trees.,Golden light in silent trees.,Golden light in silent
118,"Autumn's breath whispers through the trees,",trees,seas,trees,True,Leaves descend in golden seas.,Leaves descend in golden seas.,Leaves descend in golden
120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,climb,time,True,And chase the horizon where the wild winds climb.,And chase the horizon where the wild winds climb.,And chase the horizon where the wild winds
121,"Love is the fire that warms both heart and home,",home,roam,home,True,But burns the soul when left to roam.,But burns the soul when left to roam.,But burns the soul when left to
124,"In the quiet dawn, where prayers and petals rise,",rise,skies,dies,True,A whisper stirs the heart beneath the skies.,A whisper stirs the heart beneath the skies.,A whisper stirs the heart beneath the
126,"Whispers of dread in the silence they creep,",creep,keep,sweep,True,Shadowing dreams that we cannot keep.,Shadowing dreams that we cannot keep.,Shadowing dreams that we cannot
128,"In starlit whispers, my hopes take flight,",flight,night,light,True,A dance of dreams in the velvet night.,A dance of dreams in the velvet night.,A dance of dreams in the velvet
130,"The earth whispers tales through rustling green,",green,unseen,unseen,True,"The stars listen close, their ancient secrets unseen.","The stars listen close, their ancient secrets unseen.","The stars listen close, their ancient secrets"
133,"The hush of time whispers tales of the old,",old,bold,told,True,Echoes of laughter in shadows still bold.,"The hush of time whispers tales of the old,  
Echoes of laughter in shadows still bold.","The hush of time whispers tales of the old,  
Echoes of laughter in shadows still"
135,"Whispers of the past linger where old shadows dance,",dance,chance,dance,True,Echoes of forgotten dreams in the silence of chance.,Echoes of forgotten dreams in the silence of chance.,Echoes of forgotten dreams in the silence of
137,"Amid the throng, a silent storm,",storm,form,storm,True,A whisper grows to thunder's form.,A whisper grows to thunder's form.,A whisper grows to thunder's
138,"Whispers of winds through ancient tree songs flow,",flow,below,glow,True,Soft echoes of time in the rustling below.,Soft echoes of time in the rustling below.,Soft echoes of time in the rustling
139,"Whispers of crimson, symphonies in every thread,",thread,led,thread,True,A dance of shadows where the heart is led.,A dance of shadows where the heart is led.,A dance of shadows where the heart is
141,"Winds of freedom whisper where chains forgot to fall,",fall,call,fall,True,Echoes of the past still call.,Echoes of the past still call.,Echoes of the past still
147,"Joy dances bright where kind hearts meet,",meet,beat,deceit,True,Love weaves its light through every beat.,Love weaves its light through every beat.,Love weaves its light through every
