,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
0,"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,Whispers of time fade softly into night.,Whispers of time fade softly into night.,Whispers of time fade softly into
1,"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,I found the dawn where darkness bore its toll.,I found the dawn where darkness bore its toll.,I found the dawn where darkness bore its
2,"In shadows deep where silence weeps,",weeps,keeps,weeps,True,A whispered tale of secrets keeps.,A whispered tale of secrets keeps.,A whispered tale of secrets
4,"Sweet whispers dance on tongues of time,",time,climb,time,True,Echoes of love that never climb.,Echoes of love that never climb.,Echoes of love that never
6,"Whispers of dusk linger on the lips of time,",time,climb,time,True,As shadows dance where memories climb.,As shadows dance where memories climb.,As shadows dance where memories
8,"The drums of time beat echoes of the past,",past,last,past,True,While shadows of tomorrow cast their last.,While shadows of tomorrow cast their last.,While shadows of tomorrow cast their
9,"Though empires rise on whispers of might,",might,light,light,True,they fall on echoes of light.,they fall on echoes of light.,they fall on echoes of
11,"I wander shadowed halls of silent stone,",stone,moan,stone,True,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly
16,"A hearth that glows where the heart finds its name,",name,flame,name,True,And the soul finds its home in the flame.,And the soul finds its home in the flame.,And the soul finds its home in the
17,"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,As silent winds whisper through the skies.,As silent winds whisper through the skies.,As silent winds whisper through the
20,"In shadow’s clutch, the strongest will may kneel,",kneel,seal,kneel,True,"Yet light, unyielding, breaks the night's cruel seal.","Yet light, unyielding, breaks the night's cruel seal.","Yet light, unyielding, breaks the night's cruel"
22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing
24,"Whispers curl like shadows at dawn,",dawn,on,dawn,True,A silent promise lingers on.,A silent promise lingers on.,A silent promise lingers
25,"Beneath a sky that shifts from blue to grey,",grey,decay,grey,True,The world holds its breath in silent decay.,The world holds its breath in silent decay.,The world holds its breath in silent
