Rhymes,Last_Word_1,Last_Word_2,First_Line,Second_Line,Raw_Second
False,light,fall,Golden echoes drift like dust through yesterday's dim light.,Silent shadows dance where memories softly fall.,Silent shadows dance where memories softly fall.
False,soul,name,"I wandered shadows seeking light in the mirror of my soul,",I found a whisper where the silence spoke my name.,I found a whisper where the silence spoke my name.
False,weeps,breeze,"In shadows deep where silence weeps,",A whisper stirs the dormant breeze.,A whisper stirs the dormant breeze.
True,remains,reigns,"In the quiet of the soul, a light divine remains.","Through whispered hopes and dreams, it softly reigns.","Through whispered hopes and dreams, it softly reigns."
True,time,rhyme,"Sweet whispers dance on tongues of time,",Fading echoes of a fleeting rhyme.,Fading echoes of a fleeting rhyme.
False,dissolves,concealed,"With each year, the childhood veil dissolves,",Revealing truths once softly concealed.,Revealing truths once softly concealed.
False,time,climbs,Whispers of dusk linger on the lips of time.,Silent dreams drift where the twilight climbs.,Silent dreams drift where the twilight climbs.
True,soar,shore,"Though flesh may fade and time may soar,",Yet spirit soars beyond the shore.,Yet spirit soars beyond the shore.
False,past,trod,"The drums of time beat echoes of the past,",And shadows dance where ancient footsteps trod.,And shadows dance where ancient footsteps trod.
True,might,night,"Though empires rise on whispers of might,",They fall to silence in the night.,They fall to silence in the night.
True,dreams,screams,"Guns awaken the earth like a curse from her dreams,","Beneath the thunder, the soil stirs with silent screams.","Beneath the thunder, the soil stirs with silent screams."
False,stone,ago,"I wander shadowed halls of silent stone,",Where echoes whisper tales of long ago.,Where echoes whisper tales of long ago.
True,bloom,loom,"Two hearts entwined where promises bloom,",Eternal winds whisper through the loom.,"Two hearts entwined where promises bloom,  
Eternal winds whisper through the loom."
False,grit,light,"Through vows entwined, two hearts commit, one journey built on love and grit.","Through shared dreams glowing in the night, they walk the path of light.","Through shared dreams glowing in the night, they walk the path of light."
False,trees,leaves,"Laughter echoes soft as the breeze through old trees,",Whispers of joy in the rustling leaves.,Whispers of joy in the rustling leaves.
True,despair,prayer,"In the shadow of the night, hope whispers to despair.","With gentle tones, it draws the dawn's first prayer.","With gentle tones, it draws the dawn's first prayer."
False,name,home,"A hearth that glows where the heart finds its name,",A flame that dances where love feels at home.,A flame that dances where love feels at home.
True,dies,lies,"In trembling hands, the storm both swells and dies.","In fragile hearts, the hope both fades and lies.","In fragile hearts, the hope both fades and lies."
True,time,sublime,"Though flesh may fade and tombs may rust with time,",Yet echoes of the soul remain sublime.,Yet echoes of the soul remain sublime.
True,soil,toil,"Roots buried deep in ancient soil,",Secrets whisper through the toil.,Secrets whisper through the toil.
True,kneel,heal,"In shadow’s clutch, the strongest will may kneel.","Yet in the dark, the faintest spark can heal.","Yet in the dark, the faintest spark can heal."
False,unseen,leans,"In strokes of light and whispers unseen,",The world breathes shadows where the silence leans.,The world breathes shadows where the silence leans.
False,sigh,lay,"Whispers of winter melt to spring's soft sigh,",Blossoms awaken where the frost once lay.,Blossoms awaken where the frost once lay.
False,years,theirs,"I stepped through the veil of shadowed years,",And found the light that once was theirs.,And found the light that once was theirs.
True,dawn,drawn,"Whispers curl like shadows at dawn,",Silent promises never drawn.,Silent promises never drawn.
True,grey,sway,"Beneath a sky that shifts from blue to grey,",The world turns soft in twilight's gentle sway.,The world turns soft in twilight's gentle sway.
False,belong,holds,"Where echoes of laughter dwell, I am not lost among the walls—I belong.",I am the song the silence holds.,I am the song the silence holds.
True,entwine,dine,"On tongues of time, flavors entwine,","In whispers sweet, they softly dine.","In whispers sweet, they softly dine."
True,pray,way,"In whispers of dawn, the soul begins to pray.","In hush of light, the heart finds its way.","In hush of light, the heart finds its way."
True,breast,rest,"Shadows whisper secrets loud in trembling breast,",Moonlight dances softly on the silent restless rest.,Moonlight dances softly on the silent restless rest.
True,sweep,weep,"Two hearts entwined through time’s unyielding sweep,",Yet bound in silence where the shadows weep.,"Two hearts entwined through time’s unyielding sweep,  
Yet bound in silence where the shadows weep."
True,spun,begun,"Whispers of the hearth where the heart’s threads are spun,",Embers hold the stories that silence has begun.,Embers hold the stories that silence has begun.
False,untamed,frame,"Clenched jaws whisper storms of rage untamed,",Silent thunder cracks the fragile frame.,Silent thunder cracks the fragile frame.
True,rise,surprise,"Love is the flame that gentle does rise,",And warms the heart with tender surprise.,And warms the heart with tender surprise.
False,stayed,said,"Fury burns where calm once stayed,",Ashes whisper what once was said.,Ashes whisper what once was said.
False,halls,fall,"Justice weeps in shadowed halls,",Where silent echoes never fall.,Where silent echoes never fall.
True,play,fray,"Neon hums where tall shadows play,",Silent echoes drift through the fray.,Silent echoes drift through the fray.
False,maze,lay,Whispers coil like shadows in the mind’s tight maze.,Echoes hum where forgotten dreams once lay.,Echoes hum where forgotten dreams once lay.
False,night,fights,"Anger boils like storm in night,",Lightning cracks but silence fights.,Lightning cracks but silence fights.
False,disguise,rend,"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise.","A heart, once shattered, cannot mend with words that mask the venom meant to rend.","A heart, once shattered, cannot mend with words that mask the venom meant to rend."
True,tight,flight,"Whispers coil like shadows, cold and tight,",Silent storms of sorrow take flight.,Silent storms of sorrow take flight.
True,gray,way,"Like sunlight breaking through the clouds of gray,",Hope stirs the heart in morning's tender way.,Hope stirs the heart in morning's tender way.
False,bleeds,freed,"In shadowed silence, time's hourglass bleeds,",Each grain a whisper of what once freed.,Each grain a whisper of what once freed.
False,told,call,"Autumn's breath turns leaves to gold, a whispered story told.","Crimson whispers drift and fall, a fleeting autumn's call.","Crimson whispers drift and fall, a fleeting autumn's call."
True,bright,night,"The shadows stretch where laughter once was bright,",The echoes fade in silence of the night.,The echoes fade in silence of the night.
False,embrace,refrain,"Beneath the canvas of twilight's embrace,",The stars whisper secrets in silvered refrain.,The stars whisper secrets in silvered refrain.
True,might,flight,"In the shadow's grip, a fragile light whispers of tomorrow's might.","Through the silence, hope takes flight.","Through the silence, hope takes flight."
False,trod,before,"Winds whisper secrets of roads yet to be trod,",Footsteps dance with the echoes of those who've gone before.,Footsteps dance with the echoes of those who've gone before.
False,embrace,night,Stars map my longing in the heavens’ sly embrace.,Moon whispers secrets through the silence of the night.,Moon whispers secrets through the silence of the night.
True,sown,known,"In the mirror of time, I trace the shadow I’ve sown.",A whisper of futures where the echoes are known.,"In the mirror of time, I trace the shadow I’ve sown.  
A whisper of futures where the echoes are known."
True,creed,indeed,"In whispers of light, the soul finds its creed,","Amidst the silence, a sacred indeed.","Amidst the silence, a sacred indeed."
False,clung,linger,"Freedom soars where chains once clung,",Hope blooms where shadows used to linger.,Hope blooms where shadows used to linger.
False,deepest,fastest,A hand clasped in thine can also cut the deepest.,A heart broken by thee can also heal the fastest.,A heart broken by thee can also heal the fastest.
False,noon,descent,The reaper’s shadow lengthens with the noon.,The harvest moon begins its slow descent.,The harvest moon begins its slow descent.
True,way,may,"Blossoms bloom where laughter finds its way,",Soft petals whisper tales of May.,Soft petals whisper tales of May.
False,years,endearing,"Threads of love woven through the years,",A tapestry of moments endearing.,A tapestry of moments endearing.
False,control,night,"Winds of liberty whisper through chains of control,",A chorus of voices rises to break the long night.,A chorus of voices rises to break the long night.
