sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count,say_a_an_node_count,say_a_an_node_zeroed_activation_diff,say_a_an_node_multiplied_activation_diff
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.98046875,0.0024261475,0.9765625,0.0024261474609375,0.96484375,0.0027008056640625,0.99609375,0.00102996826171875,38,18,0.076171875,0.0791015625
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,1.0,0.00013923645,1.0,0.0001583099365234375,0.99609375,0.00116729736328125,1.0,2.4318695068359375e-05,56,17,0.1962890625,0.224609375
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,1.0,5.1259995e-05,1.0,5.125999450683594e-05,0.99609375,0.0004291534423828125,1.0,1.5497207641601562e-06,19,20,0.216796875,0.56640625
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,1.0,0.00026130676,1.0,0.0002613067626953125,1.0,0.000911712646484375,0.9140625,0.0002536773681640625,43,21,0.173828125,0.90234375
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.9921875,0.005218506,0.9921875,0.004608154296875,0.64453125,0.345703125,0.99609375,2.1338462829589844e-05,58,34,0.13671875,0.8515625
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.98046875,0.010864258,0.98046875,0.01092529296875,0.95703125,0.037109375,0.8125,0.00201416015625,58,18,0.1923828125,0.296875
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0016860962,0.98828125,0.00148773193359375,0.98828125,0.6328125,0.33984375,2.2411346435546875e-05,0.921875,27,27,0.2109375,8.8125
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,1.0,0.00015830994,1.0,0.000179290771484375,0.99609375,0.003173828125,0.99609375,0.001495361328125,30,18,0.046630859375,0.09765625
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,1.0,7.4863434e-05,1.0,8.487701416015625e-05,0.99609375,0.0004291534423828125,1.0,1.1444091796875e-05,44,21,0.109375,8.4375
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.01586914,0.98046875,0.015869140625,0.98046875,0.80859375,0.1806640625,5.751848220825195e-06,1.0,65,22,0.171875,0.380859375
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.96875,0.025756836,0.96875,0.0257568359375,0.6953125,0.2890625,0.6640625,0.00099945068359375,10,18,0.11376953125,0.9921875
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.98828125,0.007537842,0.98828125,0.007537841796875,0.98828125,0.00665283203125,0.98828125,0.007568359375,6,22,0.052490234375,0.90625
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.99609375,0.00017929077,0.99609375,0.000179290771484375,0.99609375,0.00022983551025390625,0.99609375,0.0003795623779296875,24,19,0.006683349609375,0.03466796875
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,1.0,0.00022983551,1.0,0.00022983551025390625,0.99609375,0.0016937255859375,1.0,4.76837158203125e-06,14,18,0.15625,2.296875
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.9921875,0.00013828278,0.9921875,0.00013828277587890625,0.98828125,0.001312255859375,1.0,1.1444091796875e-05,12,16,0.01153564453125,0.037841796875
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.24316406,0.75,0.220703125,0.76953125,0.9609375,0.0225830078125,0.4375,0.5625,34,21,0.185546875,0.404296875
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,True,0.87890625,0.119140625,0.89453125,0.1064453125,0.96484375,0.032958984375,0.9921875,0.004608154296875,37,31,0.10791015625,0.16015625
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.075683594,0.921875,0.07568359375,0.921875,0.96484375,0.032958984375,0.0002956390380859375,1.0,46,19,0.248046875,0.33203125
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,1.0,5.8174133e-05,1.0,5.817413330078125e-05,0.99609375,0.0004291534423828125,0.97265625,0.0011444091796875,22,17,0.07177734375,0.1318359375
