sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.98046875,0.0024261475,0.9765625,0.0024261474609375,0.82421875,0.031982421875,0.98828125,0.00970458984375,600
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,1.0,0.00013923645,1.0,0.0001583099365234375,0.83984375,0.06884765625,0.99609375,9.584426879882812e-05,684
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,1.0,5.1259995e-05,1.0,5.125999450683594e-05,0.9296875,0.04638671875,0.98828125,3.2223761081695557e-07,216
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,1.0,0.00026130676,1.0,0.0002613067626953125,0.9453125,0.04150390625,0.06396484375,0.0002040863037109375,336
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.9921875,0.005218506,0.9921875,0.004608154296875,0.8671875,0.06298828125,0.8671875,0.0296630859375,201
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.98046875,0.010864258,0.98046875,0.01092529296875,0.859375,0.1025390625,0.87109375,0.002777099609375,332
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0016860962,0.98828125,0.00148773193359375,0.98828125,0.953125,0.02880859375,5.340576171875e-05,0.97265625,263
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,1.0,0.00015830994,1.0,0.000179290771484375,0.9609375,0.029052734375,0.87890625,0.0181884765625,301
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,1.0,7.4863434e-05,1.0,8.487701416015625e-05,0.7890625,0.19921875,1.0,1.4722347259521484e-05,172
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.01586914,0.98046875,0.015869140625,0.98046875,0.90625,0.0654296875,6.580352783203125e-05,0.9921875,408
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.96875,0.025756836,0.96875,0.0257568359375,0.94140625,0.0322265625,0.2138671875,0.00119781494140625,176
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.98828125,0.007537842,0.98828125,0.007537841796875,0.96875,0.0201416015625,0.96484375,0.022705078125,189
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.99609375,0.00017929077,0.99609375,0.000179290771484375,0.9296875,0.0361328125,0.99609375,0.000179290771484375,186
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,1.0,0.00022983551,1.0,0.00022983551025390625,0.953125,0.03271484375,0.98828125,1.5497207641601562e-05,268
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.9921875,0.00013828278,0.9921875,0.00013828277587890625,0.796875,0.177734375,0.99609375,3.123283386230469e-05,163
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.24316406,0.75,0.220703125,0.76953125,0.875,0.07177734375,0.55859375,0.43359375,156
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,True,0.87890625,0.119140625,0.89453125,0.1064453125,0.94140625,0.05322265625,0.37109375,0.609375,310
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.075683594,0.921875,0.07568359375,0.921875,0.97265625,0.0157470703125,0.0035858154296875,0.99609375,390
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,1.0,5.8174133e-05,1.0,5.817413330078125e-05,0.98828125,0.003143310546875,0.96484375,0.000774383544921875,166
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.99609375,7.43866e-05,0.99609375,7.43865966796875e-05,0.9296875,0.04638671875,0.8984375,1.4901161193847656e-06,249
