first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,sample_idx
"Boxes of books, a reader's delight,",delight,wonder,delight,False,"books of knowledge, thought and wonder.","books of knowledge, thought and wonder.",0
"Boxes of books, a reader's delight,",delight,light,delight,True,"A book's pages bring us light,","A book's pages bring us light,  
And wisdom within, it brings all.",1
"Boxes of books, a reader's delight,",delight,tales,delight,False,"Readers' delight, a world of tales,","Readers' delight, a world of tales,",2
"Boxes of books, a reader's delight,",delight,resides,delight,False,"a library of thought, where wisdom resides.","a library of thought, where wisdom resides.",3
"Boxes of books, a reader's delight,",delight,found,delight,False,"in every book's end, hearts are found.","in every book's end, hearts are found.",4
"Boxes of books, a reader's delight,",delight,friend,delight,False,"A world within a world, a friend.","Boxes of books, a reader's delight,  
A world within a world, a friend.",5
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Books that bring delight, a reader's delight.","Books that bring delight, a reader's delight.",6
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Books will always be a delight,","Books will always be a delight,  
And this, my dear reader, I know.",7
"Boxes of books, a reader's delight,",delight,still,delight,False,"A quiet breeze, soft and still,","A quiet breeze, soft and still,  
Books hum, a sound that's so soft.",8
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Books in a box, a reader's delight.","Books in a box, a reader's delight.",9
"Boxes of books, a reader's delight,",delight,thoughtful,delight,False,sleek and thoughtful,sleek and thoughtful,10
"Boxes of books, a reader's delight,",delight,light,delight,True,A quiet haven in the library's warm light.,A quiet haven in the library's warm light.,11
"Boxes of books, a reader's delight,",delight,breeze,delight,False,"A quiet delight, a quiet breeze,","A quiet delight, a quiet breeze,  
A few stories, a little more.",12
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Books are a delight,","Books are a delight,  
A reader's joy to keep.",13
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Books are dear, the reader's delight,","Books are dear, the reader's delight,  
The shelves are filled with stories to tell.",14
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Books of knowledge, a mind's delight.","Books of knowledge, a mind's delight.",15
"Boxes of books, a reader's delight,",delight,delight,delight,False,"books' pages, the reader's delight.","books' pages, the reader's delight.",16
"Boxes of books, a reader's delight,",delight,stay,delight,False,"Books in a drawer, laughter to stay,","Books in a drawer, laughter to stay,  
A reader's delight, a simple way.",17
"Boxes of books, a reader's delight,",delight,thoughtfulness,delight,False,seeming to delight in thoughtfulness.,"boxes of books, a reader's delight,  
seeming to delight in thoughtfulness.",18
"Boxes of books, a reader's delight,",delight,are,delight,False,selves as good as they are.,selves as good as they are.,19
"Boxes of books, a reader's delight,",delight,are,delight,False,"Books are here, as they are,","Books are here, as they are,  
For those who seek to find.",20
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Books on the shelf, a reader’s delight.","Books on the shelf, a reader’s delight.",21
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Books in a box, a reader's delight.","Books in a box, a reader's delight.",22
"Boxes of books, a reader's delight,",delight,light,delight,True,"A book's page, a story's light,","A book's page, a story's light,  
A soul's refuge in every line.",23
"Boxes of books, a reader's delight,",delight,delight,delight,False,"A candle's glow, a soft delight.","Boxes of books, a reader's delight,  
A candle's glow, a soft delight.",24
"Boxes of books, a reader's delight,",delight,thoughts,delight,False,a quiet sanctuary of thoughts.,a quiet sanctuary of thoughts.,25
"Boxes of books, a reader's delight,",delight,delight,delight,False,"Books in boxes, a reader's delight.","Books in boxes, a reader's delight.",26
"Boxes of books, a reader's delight,",delight,found,delight,False,"In a cozy reading room, a book is found,","In a cozy reading room, a book is found,  
A reader’s joy finds its own.",27
"Boxes of books, a reader's delight,",delight,strange,delight,False,"In the quiet corner where the world feels a touch of strange,","In the quiet corner where the world feels a touch of strange,  
A book that breathes stories that are so deep.",28
"Boxes of books, a reader's delight,",delight,library,delight,False,a quiet life in the library.,"boxes of books, a reader's delight,  
a quiet life in the library.",29
"Boxes of books, a reader's delight,",delight,wonder,delight,False,"Readers who wander in search of wonder,","Readers who wander in search of wonder,  
And find their way through knowledge, all in hand.",30
"Boxes of books, a reader's delight,",delight,delight,delight,False,"A library's echo, a reader's delight,","A library's echo, a reader's delight,",31
"Boxes of books, a reader's delight,",delight,delight,delight,False,"books, a reader's delight,","books, a reader's delight,  
boxes filled with joy, a delight.",32
"Boxes of books, a reader's delight,",delight,delight,delight,False,"A life in every word, a soul's delight.","Boxes of books, a reader's delight,  
A life in every word, a soul's delight.",33
"Boxes of books, a reader's delight,",delight,way,delight,False,"A book shall guide your way,","A book shall guide your way,  
A journey of thoughts and a way.",34
"Boxes of books, a reader's delight,",delight,reader,delight,False,"A few more things to read, dear reader.","A few more things to read, dear reader.",35
"Boxes of books, a reader's delight,",delight,request,delight,False,satisfy the request.,satisfy the request.,36
"Boxes of books, a reader's delight,",delight,silence,delight,False,"lovely to read them, when you're reading in silence.","lovely to read them, when you're reading in silence.",37
