first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,sample_idx
"Boxes of books, a reader's delight,",delight,light,delight,True,Stuffed to the brim with stories to light.,Stuffed to the brim with stories to light.,0
"Boxes of books, a reader's delight,",delight,bright,delight,True,Stacked with care on shelves so bright.,Stacked with care on shelves so bright.,1
"Boxes of books, a reader's delight,",delight,bite,delight,True,"Stacks in the corner, just waiting to bite.","Stacks in the corner, just waiting to bite.",2
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked with care in the quiet night.,Stacked with care in the quiet night.,3
"Boxes of books, a reader's delight,",delight,shine,delight,False,"Stacked on the shelves, they shimmer and shine.","Stacked on the shelves, they shimmer and shine.",4
"Boxes of books, a reader's delight,",delight,fight,delight,True,"Stacks in the night, a quiet fight.","Stacks in the night, a quiet fight.",5
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacked high in the corner, just out of sight.","Stacked high in the corner, just out of sight.",6
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacks in the corner, a storyteller's light.","Stacks in the corner, a storyteller's light.",7
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacks in the corner, just waiting to be bright.","Stacks in the corner, just waiting to be bright.",8
"Boxes of books, a reader's delight,",delight,height,delight,True,Stacked with care from floor to height.,Stacked with care from floor to height.,9
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked on the shelves in the quiet of night.,Stacked on the shelves in the quiet of night.,10
"Boxes of books, a reader's delight,",delight,write,delight,True,"Stacked high with stories, both wrong and write.","Stacked high with stories, both wrong and write.",11
"Boxes of books, a reader's delight,",delight,night,delight,True,A treasure trove in the quiet night.,A treasure trove in the quiet night.,12
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacked to the ceiling, a bibliophile's light.","Stacked to the ceiling, a bibliophile's light.",13
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked on the shelves, they shine so bright.","Stacked on the shelves, they shine so bright.",14
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked with care from floor to light.,Stacked with care from floor to light.,15
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked on the shelves, they shine so bright.","Stacked on the shelves, they shine so bright.",16
"Boxes of books, a reader's delight,",delight,invite,delight,True,"Stacks in the corner, a cozy invite.","Stacks in the corner, a cozy invite.",17
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked on the shelves in the quiet night.,Stacked on the shelves in the quiet night.,18
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacked with care, from night to night.","Stacked with care, from night to night.",19
"Boxes of books, a reader's delight,",delight,right,delight,True,"Stacked high with stories, both wrong and right.","Stacked high with stories, both wrong and right.",20
