first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,sample_idx
"Boxes of books, a reader's delight,",delight,sought,delight,False,A world of stories waiting to be sought.,A world of stories waiting to be sought.,0
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,1
"Boxes of books, a reader's delight,",delight,ignite,delight,True,A world of stories waiting to ignite.,A world of stories waiting to ignite.,2
"Boxes of books, a reader's delight,",delight,ignite,delight,True,A world of stories waiting to ignite.,A world of stories waiting to ignite.,3
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,4
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,5
"Boxes of books, a reader's delight,",delight,ignite,delight,True,A world of stories waiting to ignite.,A world of stories waiting to ignite.,6
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,7
"Boxes of books, a reader's delight,",delight,ignite,delight,True,A world of stories waiting to ignite.,A world of stories waiting to ignite.,8
"Boxes of books, a reader's delight,",delight,sought,delight,False,A world of stories waiting to be sought.,A world of stories waiting to be sought.,9
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,10
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,11
"Boxes of books, a reader's delight,",delight,unlocked,delight,False,A world of stories waiting to be unlocked.,A world of stories waiting to be unlocked.,12
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,13
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,14
"Boxes of books, a reader's delight,",delight,ignite,delight,True,A world of stories waiting to ignite.,A world of stories waiting to ignite.,15
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,16
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,17
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,18
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,19
"Boxes of books, a reader's delight,",delight,light,delight,True,A world of stories waiting to be light.,A world of stories waiting to be light.,20
