first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,sample_idx
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacked high, a world of stories to light.","Stacked high, a world of stories to light.",0
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,1
"Boxes of books, a reader's delight,",delight,lit,delight,False,"Shelves of wisdom,静静的夜lit.","Shelves of wisdom,静静的夜lit.",2
"Boxes of books, a reader's delight,",delight,unite,delight,True,Shelves lined with stories to unite.,Shelves lined with stories to unite.,3
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,4
"Boxes of books, a reader's delight,",delight,sky,delight,False,Shelves that reach to the sky.,Shelves that reach to the sky.,5
"Boxes of books, a reader's delight,",delight,light,delight,True,Shelves that hold the light.,Shelves that hold the light.,6
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high in a quiet night.,Stacked high in a quiet night.,7
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a library's light.,Stacked high in a library's light.,8
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,9
"Boxes of books, a reader's delight,",delight,sky,delight,False,Shelves that reach to the sky.,Shelves that reach to the sky.,10
"Boxes of books, a reader's delight,",delight,light,delight,True,Shelves lined high with stories to light.,Shelves lined high with stories to light.,11
"Boxes of books, a reader's delight,",delight,light,delight,True,"Stacked high, they call it ""light.""","Stacked high, they call it ""light.""",12
"Boxes of books, a reader's delight,",delight,bright,delight,True,Shelves that shine with stories bright.,Shelves that shine with stories bright.,13
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,14
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,15
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high in a quiet night.,Stacked high in a quiet night.,16
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in the library's light.,Stacked high in the library's light.,17
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high in a quiet night.,Stacked high in a quiet night.,18
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,19
"Boxes of books, a reader's delight,",delight,light,delight,True,Shelves of light.,Shelves of light.,20
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,21
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,22
"Boxes of books, a reader's delight,",delight,bright,delight,True,Shelves that shine with stories bright.,Shelves that shine with stories bright.,23
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacked high, they call it ""knowledge"" night.","Stacked high, they call it ""knowledge"" night.",24
"Boxes of books, a reader's delight,",delight,sky,delight,False,Shelves that reach to the sky.,Shelves that reach to the sky.,25
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high in a quiet night.,Stacked high in a quiet night.,26
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a library's light.,Stacked high in a library's light.,27
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,28
"Boxes of books, a reader's delight,",delight,light,delight,True,Shelves full of stories to light.,Shelves full of stories to light.,29
"Boxes of books, a reader's delight,",delight,sky,delight,False,Shelves that reach to the sky.,Shelves that reach to the sky.,30
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,31
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,32
"Boxes of books, a reader's delight,",delight,night,delight,True,Stacked high in a quiet night.,Stacked high in a quiet night.,33
"Boxes of books, a reader's delight,",delight,light,delight,True,Shelves that hold the light.,Shelves that hold the light.,34
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,35
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,36
"Boxes of books, a reader's delight,",delight,unite,delight,True,Shelves lined high with stories to unite.,Shelves lined high with stories to unite.,37
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,38
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,39
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,40
"Boxes of books, a reader's delight,",delight,light,delight,True,Shelves lined with stories to light.,Shelves lined with stories to light.,41
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high in a quiet light.,Stacked high in a quiet light.,42
