Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,IC_Index,Prob_Article,Prob_Profession
veterinarian,a,a,True,**,False,81,0.9668684601783752,0.34132349491119385
teacher,a,a,True,teacher,True,14,0.9780253767967224,0.911298930644989
chef,a,a,True,chef,True,3,0.9629971981048584,0.7836276888847351
firefighter,a,a,True,firefighter,True,94,0.9026396870613098,0.6072468757629395
pilot,a,a,True,pilot,True,35,0.7738152742385864,0.9806615114212036
dentist,a,a,True,dentist,True,31,0.9955295920372009,0.8631095886230469
electrician,an,a,False,electrical,False,28,0.8936912417411804,0.7337250709533691
librarian,a,a,True,librarian,True,17,0.9044192433357239,0.9446530342102051
photographer,a,a,True,photographer,True,94,0.9340196847915649,0.9206385612487793
architect,an,a,False,architect,True,13,0.8896666169166565,0.9315584301948547
mechanic,a,a,True,mechanic,True,86,0.9740691184997559,0.9267821311950684
surgeon,a,a,True,surgeon,True,94,0.9348382353782654,0.29494884610176086
pharmacist,a,a,True,pharmacist,True,69,0.988109290599823,0.3467666506767273
journalist,a,a,True,journalist,True,11,0.981156587600708,0.7908422350883484
plumber,a,a,True,technician,False,75,0.9098253846168518,0.2565736174583435
accountant,an,a,False,accountant,True,54,0.903095543384552,0.961856484413147
lawyer,a,a,True,lawyer,True,4,0.9557867646217346,0.8747838139533997
engineer,an,a,False,engineer,True,3,0.916744589805603,0.9749558568000793
baker,a,a,True,baker,True,11,0.9893548488616943,0.9272691607475281
carpenter,a,a,True,wood,False,27,0.9705142378807068,0.7654633522033691
professor,a,a,True,professor,True,29,0.9223936796188354,0.2553275525569916
physicist,a,a,True,scientist,False,64,0.9197868704795837,0.5620215535163879
biologist,a,a,True,biologist,True,77,0.9450291395187378,0.4936240613460541
chemist,a,a,True,chem,True,3,0.9468774795532227,0.6136055588722229
historian,a,a,True,historian,True,71,0.9563630819320679,0.8301562070846558
psychologist,a,a,True,psychologist,True,91,0.957675576210022,0.38549619913101196
economist,an,a,False,analyst,False,83,0.944802463054657,0.5714348554611206
cardiologist,a,a,True,nurse,False,89,0.9832534193992615,0.5358057022094727
neurologist,a,a,True,therapist,False,69,0.9602047801017761,0.13541623950004578
pediatrician,a,a,True,doctor,False,53,0.9864511489868164,0.5277341604232788
dermatologist,a,a,True,dermat,True,28,0.9883606433868408,0.9984076619148254
psychiatrist,a,a,True,counselor,False,57,0.9786425828933716,0.30793365836143494
radiologist,a,a,True,doctor,False,75,0.9644351601600647,0.2733282446861267
anesthesiologist,an,a,False,an,True,35,0.9421281218528748,0.9246230125427246
oncologist,an,a,False,**,False,103,0.9583839178085327,0.4793497920036316
ophthalmologist,an,a,False,o,True,0,0.983866810798645,0.6584448218345642
orthopedist,an,a,False,orth,True,97,0.9732862114906311,0.5161749720573425
astronomer,an,a,False,astronom,True,103,0.903972864151001,0.9880933165550232
geologist,a,a,True,ge,True,20,0.8793213367462158,0.9559242129325867
anthropologist,an,a,False,historian,False,89,0.9317087531089783,0.2521330714225769
sociologist,a,a,True,social,False,54,0.8519940972328186,0.6176392436027527
mathematician,a,a,True,mathematic,True,43,0.9358446002006531,0.9325779676437378
statistician,a,a,True,statistic,True,35,0.9249330163002014,0.6463260650634766
botanist,a,a,True,bot,True,19,0.9695772528648376,0.8368192911148071
zoologist,a,a,True,zo,True,27,0.9348717331886292,0.8008431792259216
meteorologist,a,a,True,meteor,True,97,0.9413093328475952,0.6995831727981567
archaeologist,an,a,False,archae,True,43,0.8733709454536438,0.9468194246292114
linguist,a,a,True,lingu,True,13,0.920761227607727,0.5820021629333496
musician,a,a,True,musician,True,11,0.9166750311851501,0.5205316543579102
artist,an,a,False,artist,True,48,0.8758273720741272,0.9957452416419983
sculptor,a,a,True,sculpt,True,12,0.9334123134613037,0.3103419840335846
dancer,a,a,True,dancer,True,45,0.9324106574058533,0.6344531774520874
