Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,IC_Index,Prob_Article,Prob_Profession
veterinarian,a,a,True,veterinarian,True,81,1.0,0.718277633190155
teacher,a,a,True,teacher,True,14,1.0,0.9988937973976135
chef,a,a,True,chef,True,3,1.0,0.965760350227356
firefighter,a,a,True,firefighter,True,94,1.0,0.9976001381874084
pilot,a,a,True,pilot,True,35,1.0,0.9939882755279541
dentist,a,a,True,dentist,True,31,1.0,0.9996379613876343
electrician,an,an,True,electric,True,28,1.0,0.9999220371246338
librarian,a,a,True,librarian,True,17,1.0,0.9981057643890381
photographer,a,a,True,photographer,True,94,1.0,0.9570925235748291
architect,an,an,True,architect,True,13,1.0,0.9784635901451111
mechanic,a,a,True,mechanic,True,86,1.0,0.9999641180038452
surgeon,a,a,True,**,False,94,1.0,0.5111755728721619
pharmacist,a,a,True,**,False,69,1.0,0.5612996220588684
journalist,a,a,True,journalist,True,11,1.0,0.9712561368942261
plumber,a,a,True,plumber,True,75,1.0,0.9959076642990112
accountant,an,an,True,accountant,True,54,0.9870168566703796,0.9998389482498169
lawyer,a,a,True,**,False,4,0.9999877214431763,0.5127761363983154
engineer,an,an,True,engineer,True,3,0.9999997615814209,0.9930993318557739
baker,a,a,True,baker,True,11,1.0,0.983885645866394
carpenter,a,a,True,carp,True,27,1.0,0.855928897857666
professor,a,a,True,professor,True,29,0.9996638298034668,0.9679191708564758
physicist,a,a,True,physicist,True,64,1.0,0.9330295324325562
biologist,a,a,True,biologist,True,77,1.0,0.9564382433891296
chemist,a,a,True,chem,True,3,1.0,0.9962356686592102
historian,a,a,True,historian,True,71,1.0,0.9972219467163086
psychologist,a,a,True,psychologist,True,91,1.0,0.9789578914642334
economist,an,an,True,**,False,83,0.7139545679092407,0.6021428108215332
cardiologist,a,a,True,cardi,True,89,1.0,0.9991596937179565
neurologist,a,a,True,neuro,True,69,1.0,0.9918777942657471
pediatrician,a,a,True,pediatric,True,53,1.0,0.9909880757331848
dermatologist,a,a,True,dermat,True,28,1.0,0.999994158744812
psychiatrist,a,a,True,psychiatrist,True,57,1.0,0.513065755367279
radiologist,a,a,True,radi,True,75,1.0,0.9947718977928162
anesthesiologist,an,an,True,an,True,35,0.9998205304145813,0.9999672174453735
oncologist,an,a,False,onc,True,103,1.0,0.9999295473098755
ophthalmologist,an,an,True,o,True,0,0.9999998807907104,0.9977384805679321
orthopedist,an,an,True,orth,True,97,0.9712626338005066,0.9977073669433594
astronomer,an,an,True,astronom,True,103,1.0,0.999873161315918
geologist,a,a,True,ge,True,20,1.0,0.9999772310256958
anthropologist,an,a,False,anthrop,True,89,0.9093982577323914,0.9744161367416382
sociologist,a,a,True,soci,True,54,1.0,0.9998526573181152
mathematician,a,a,True,mathematic,True,43,1.0,0.9958141446113586
statistician,a,a,True,statistic,True,35,1.0,0.9842129945755005
botanist,a,a,True,bot,True,19,1.0,0.9999761581420898
zoologist,a,a,True,zo,True,27,0.999908447265625,0.9966649413108826
meteorologist,a,a,True,meteor,True,97,1.0,0.9995061159133911
archaeologist,an,an,True,archae,True,43,1.0,0.9964653253555298
linguist,a,a,True,lingu,True,13,1.0,0.9977673292160034
musician,a,a,True,musician,True,11,1.0,0.7816444039344788
artist,an,an,True,artist,True,48,1.0,0.9729754328727722
sculptor,a,a,True,sculpt,True,12,0.9999992847442627,0.9622775316238403
dancer,a,a,True,dancer,True,45,1.0,0.997334897518158
actor,an,an,True,actor,True,44,1.0,0.9735402464866638
writer,a,a,True,writer,True,77,0.9999518394470215,0.8556601405143738
poet,a,a,True,poet,True,33,1.0,0.9949382543563843
novelist,a,a,True,writer,False,103,0.9999991655349731,0.9451130628585815
editor,an,a,False,editor,True,5,0.9448344707489014,0.9378427863121033
translator,a,a,True,translator,True,93,1.0,0.9528123140335083
bartender,a,a,True,bartender,True,68,1.0,0.9816899299621582
waiter,a,a,True,waiter,True,15,1.0,0.5809893608093262
barber,a,a,True,hair,False,48,1.0,0.9689744114875793
tailor,a,a,True,tailor,True,10,1.0,0.9969351291656494
florist,a,a,True,flor,True,70,1.0,0.9996750354766846
jeweler,a,a,True,jew,True,37,1.0,0.9807186126708984
watchmaker,a,a,True,watch,True,106,0.9999998807907104,0.6534093618392944
locksmith,a,a,True,lock,True,80,1.0,0.5841987133026123
welder,a,a,True,weld,True,79,1.0,0.9971504807472229
mason,a,a,True,m,True,46,1.0,0.6679378151893616
roofer,a,a,True,ro,True,73,1.0,0.9888012409210205
painter,a,a,True,painter,True,24,0.9444019794464111,0.9969990253448486
gardener,a,a,True,gard,True,90,1.0,0.9994290471076965
farmer,a,a,True,farmer,True,8,0.9999709129333496,0.9998087286949158
fisherman,a,a,True,fish,True,5,1.0,0.9982744455337524
sailor,a,a,True,sailor,True,84,1.0,0.668502151966095
trucker,a,a,True,truck,True,29,1.0,0.9994427561759949
conductor,a,a,True,conductor,True,98,0.9999998807907104,0.8986542820930481
judge,a,a,True,judge,True,37,1.0,0.9883543252944946
detective,a,a,True,detective,True,10,1.0,0.7100022435188293
paramedic,a,an,False,param,True,29,0.8224326372146606,0.9595301747322083
dispatcher,a,a,True,param,False,12,0.6663025617599487,0.511033833026886
counselor,a,a,True,mentor,False,48,1.0,0.9992097616195679
therapist,a,a,True,**,False,35,1.0,0.5517400503158569
nutritionist,a,a,True,nutrition,True,58,1.0,0.7454590797424316
trainer,a,a,True,**,False,81,1.0,0.8864212036132812
coach,a,a,True,coach,True,106,1.0,0.8914002180099487
referee,a,a,True,referee,True,46,1.0,0.9908508658409119
cashier,a,a,True,cashier,True,20,1.0,0.9752616882324219
clerk,a,an,False,administrator,False,47,0.9999948740005493,0.5148923397064209
receptionist,a,a,True,reception,True,45,1.0,0.9999860525131226
secretary,a,an,False,secretary,True,26,0.9995044469833374,0.6052806973457336
manager,a,a,True,manager,True,85,1.0,0.877191960811615
supervisor,a,a,True,supervisor,True,34,1.0,0.8625473976135254
consultant,a,a,True,**,False,89,0.9999743700027466,0.9147152304649353
analyst,an,a,False,analyst,True,87,0.9962301850318909,0.9023451209068298
auditor,an,an,True,accountant,False,82,0.9999257326126099,0.9994392991065979
banker,a,a,True,**,False,9,1.0,0.9546425342559814
broker,a,a,True,**,False,77,1.0,0.8150368928909302
realtor,a,a,True,real,True,81,0.9999998807907104,0.9982364177703857
auctioneer,an,an,True,auction,True,21,0.9995787739753723,0.985233724117279
salesperson,a,a,True,salesman,False,68,1.0,0.38773006200790405
retailer,a,a,True,**,False,93,1.0,0.8751190900802612
wholesaler,a,a,True,merchant,False,31,1.0,0.9672560095787048
inventor,an,an,True,inventor,True,20,1.0,0.7726596593856812
programmer,a,a,True,programmer,True,59,1.0,0.9775280356407166
technician,a,a,True,technician,True,48,0.994268536567688,0.9978971481323242
operator,an,a,False,mechanic,False,34,0.9999563694000244,0.6304054260253906
inspector,an,a,False,inspector,True,81,0.9978826642036438,0.9966717958450317
examiner,an,a,False,**,False,88,0.9954973459243774,0.9760357141494751
