Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,IC_Index,Prob_Article,Prob_Profession
veterinarian,a,a,True,veterinarian,True,81,1.0,0.7759646773338318
teacher,a,a,True,teacher,True,14,1.0,0.9976966977119446
chef,a,a,True,chef,True,3,1.0,0.8763882517814636
firefighter,a,a,True,firefighter,True,94,0.9999995231628418,0.9845811724662781
pilot,a,a,True,pilot,True,35,0.9999998807907104,0.9972031116485596
dentist,a,a,True,dentist,True,31,1.0,0.9995954632759094
electrician,an,an,True,electric,True,28,1.0,0.9919211864471436
librarian,a,a,True,librarian,True,17,1.0,0.7884703874588013
photographer,a,a,True,photographer,True,94,0.9999997615814209,0.7399063110351562
architect,an,an,True,architect,True,13,0.9999998807907104,0.8502463698387146
mechanic,a,a,True,mechanic,True,86,0.9999264478683472,0.9994452595710754
surgeon,a,a,True,surgeon,True,94,1.0,0.9959892630577087
pharmacist,a,a,True,pharmacist,True,69,1.0,0.9991737008094788
journalist,a,a,True,journalist,True,11,1.0,0.998110294342041
plumber,a,a,True,plumber,True,75,1.0,0.9216097593307495
accountant,an,an,True,accountant,True,54,0.9984827637672424,0.9998559951782227
lawyer,a,a,True,lawyer,True,4,0.9732206463813782,0.9655178189277649
engineer,an,an,True,engineer,True,3,1.0,0.8844121694564819
baker,a,a,True,baker,True,11,0.9999997615814209,0.9561802744865417
carpenter,a,a,True,carp,True,27,1.0,0.9908204674720764
professor,a,a,True,professor,True,29,0.9995309114456177,0.9955655932426453
physicist,a,a,True,physicist,True,64,1.0,0.9996117949485779
biologist,a,a,True,biologist,True,77,1.0,0.9965552091598511
chemist,a,a,True,chem,True,3,1.0,0.9885656237602234
historian,a,a,True,historian,True,71,0.9999934434890747,0.9951319694519043
psychologist,a,a,True,psychologist,True,91,1.0,0.9948409199714661
economist,an,an,True,economist,True,83,0.9859932661056519,0.9963679313659668
cardiologist,a,a,True,cardi,True,89,1.0,0.9997305274009705
neurologist,a,a,True,neuro,True,69,1.0,0.996330201625824
pediatrician,a,a,True,pediatric,True,53,1.0,0.9984052777290344
