Prompt,Index,Animal,Gold_Verb,Predicted_Verb,Verb_Correct,Gold_Number,Predicted_Number_Token,Predicted_Number_Int,Number_Correct,Prob_Verb,Prob_Number
"At first there were 2 cats. Then, 1 went away. Now, there",0,cats,is,are,False,1,2,2,False,0.9992663264274597,0.646849513053894
"At first there were 3 cats. Then, 1 went away. Now, there",1,cats,are,are,True,2,2,2,True,0.9994441866874695,0.9845194816589355
"At first there were 3 cats. Then, 2 went away. Now, there",2,cats,is,are,False,1,1,1,True,0.9969712495803833,0.34251779317855835
"At first there were 4 cats. Then, 1 went away. Now, there",3,cats,are,are,True,3,3,3,True,0.9994254112243652,0.907625675201416
"At first there were 4 cats. Then, 2 went away. Now, there",4,cats,are,are,True,2,2,2,True,0.9993394017219543,0.9349101185798645
"At first there were 4 cats. Then, 3 went away. Now, there",5,cats,is,are,False,1,2,2,False,0.9970710277557373,0.5827798247337341
"At first there were 5 cats. Then, 1 went away. Now, there",6,cats,are,are,True,4,4,4,True,0.9994972944259644,0.9336196184158325
"At first there were 5 cats. Then, 2 went away. Now, there",7,cats,are,are,True,3,3,3,True,0.9997664093971252,0.9922715425491333
"At first there were 5 cats. Then, 3 went away. Now, there",8,cats,are,are,True,2,2,2,True,0.9994248151779175,0.5939838886260986
"At first there were 5 cats. Then, 4 went away. Now, there",9,cats,is,are,False,1,3,3,False,0.996931791305542,0.41063228249549866
"At first there were 6 cats. Then, 1 went away. Now, there",10,cats,are,are,True,5,5,5,True,0.9995380640029907,0.957028329372406
"At first there were 6 cats. Then, 2 went away. Now, there",11,cats,are,are,True,4,4,4,True,0.9997840523719788,0.9585468769073486
"At first there were 6 cats. Then, 3 went away. Now, there",12,cats,are,are,True,3,3,3,True,0.999762237071991,0.26844167709350586
"At first there were 6 cats. Then, 4 went away. Now, there",13,cats,are,are,True,2,2,2,True,0.9997479319572449,0.8193289041519165
"At first there were 6 cats. Then, 5 went away. Now, there",14,cats,is,are,False,1,2,2,False,0.9987367987632751,0.2839677631855011
"At first there were 7 cats. Then, 1 went away. Now, there",15,cats,are,are,True,6,6,6,True,0.9994863271713257,0.9614420533180237
"At first there were 7 cats. Then, 2 went away. Now, there",16,cats,are,are,True,5,5,5,True,0.9996978044509888,0.970346212387085
"At first there were 7 cats. Then, 3 went away. Now, there",17,cats,are,are,True,4,4,4,True,0.9996826648712158,0.8104568123817444
"At first there were 7 cats. Then, 4 went away. Now, there",18,cats,are,are,True,3,3,3,True,0.9998793601989746,0.8889906406402588
"At first there were 7 cats. Then, 5 went away. Now, there",19,cats,are,are,True,2,2,2,True,0.9997057318687439,0.35439780354499817
"At first there were 7 cats. Then, 6 went away. Now, there",20,cats,is,are,False,1,1,1,True,0.9990863800048828,0.29622682929039
"At first there were 8 cats. Then, 1 went away. Now, there",21,cats,are,are,True,7,7,7,True,0.9993565678596497,0.913844108581543
"At first there were 8 cats. Then, 2 went away. Now, there",22,cats,are,are,True,6,6,6,True,0.9997755885124207,0.9375155568122864
"At first there were 8 cats. Then, 3 went away. Now, there",23,cats,are,are,True,5,5,5,True,0.9998339414596558,0.9419605731964111
"At first there were 8 cats. Then, 4 went away. Now, there",24,cats,are,are,True,4,4,4,True,0.9998964071273804,0.5024741888046265
"At first there were 8 cats. Then, 5 went away. Now, there",25,cats,are,are,True,3,3,3,True,0.9999170303344727,0.6862894296646118
"At first there were 8 cats. Then, 6 went away. Now, there",26,cats,are,are,True,2,2,2,True,0.9996891021728516,0.24296735227108002
"At first there were 8 cats. Then, 7 went away. Now, there",27,cats,is,are,False,1,1,1,True,0.999206006526947,0.2852202355861664
"At first there were 9 cats. Then, 1 went away. Now, there",28,cats,are,are,True,8,8,8,True,0.9995778203010559,0.8558751940727234
"At first there were 9 cats. Then, 2 went away. Now, there",29,cats,are,are,True,7,7,7,True,0.9999125003814697,0.8498565554618835
"At first there were 9 cats. Then, 3 went away. Now, there",30,cats,are,are,True,6,6,6,True,0.9999083280563354,0.7133076786994934
"At first there were 9 cats. Then, 4 went away. Now, there",31,cats,are,are,True,5,5,5,True,0.9999520778656006,0.9725836515426636
"At first there were 9 cats. Then, 5 went away. Now, there",32,cats,are,are,True,4,4,4,True,0.9999792575836182,0.6129351258277893
"At first there were 9 cats. Then, 6 went away. Now, there",33,cats,are,are,True,3,1,1,False,0.9999363422393799,0.22459836304187775
"At first there were 9 cats. Then, 7 went away. Now, there",34,cats,are,are,True,2,1,1,False,0.9998018145561218,0.27985090017318726
"At first there were 9 cats. Then, 8 went away. Now, there",35,cats,is,are,False,1,1,1,True,0.9992843270301819,0.39434486627578735
