Prompt,Index,Animal,Gold_Verb,Predicted_Verb,Verb_Correct,Gold_Number,Predicted_Number_Token,Predicted_Number_Int,Number_Correct,Prob_Verb,Prob_Number
"At first there were 2 cats. Then, 1 went away. Now, there",0,cats,is,are,False,1,1,1,True,0.9866433143615723,0.41659680008888245
"At first there were 3 cats. Then, 1 went away. Now, there",1,cats,are,are,True,2,2,2,True,0.989382803440094,0.8546314239501953
"At first there were 3 cats. Then, 2 went away. Now, there",2,cats,is,are,False,1,1,1,True,0.9765515327453613,0.21348115801811218
"At first there were 4 cats. Then, 1 went away. Now, there",3,cats,are,are,True,3,3,3,True,0.9900345206260681,0.684997022151947
"At first there were 4 cats. Then, 2 went away. Now, there",4,cats,are,are,True,2,2,2,True,0.9840482473373413,0.45424702763557434
"At first there were 4 cats. Then, 3 went away. Now, there",5,cats,is,are,False,1,2,2,False,0.9755809307098389,0.3043019473552704
"At first there were 5 cats. Then, 1 went away. Now, there",6,cats,are,are,True,4,4,4,True,0.9873334169387817,0.5150095820426941
"At first there were 5 cats. Then, 2 went away. Now, there",7,cats,are,are,True,3,3,3,True,0.9847456216812134,0.4659543037414551
"At first there were 5 cats. Then, 3 went away. Now, there",8,cats,are,are,True,2,2,2,True,0.981296956539154,0.4688107669353485
"At first there were 5 cats. Then, 4 went away. Now, there",9,cats,is,are,False,1,2,2,False,0.9668188095092773,0.284803569316864
"At first there were 6 cats. Then, 1 went away. Now, there",10,cats,are,are,True,5,5,5,True,0.9916058778762817,0.6648605465888977
"At first there were 6 cats. Then, 2 went away. Now, there",11,cats,are,are,True,4,4,4,True,0.9907214641571045,0.5754456520080566
"At first there were 6 cats. Then, 3 went away. Now, there",12,cats,are,are,True,3,2,2,False,0.9879134297370911,0.32983261346817017
"At first there were 6 cats. Then, 4 went away. Now, there",13,cats,are,are,True,2,2,2,True,0.9820812344551086,0.44792598485946655
"At first there were 6 cats. Then, 5 went away. Now, there",14,cats,is,are,False,1,3,3,False,0.9773862361907959,0.26352447271347046
"At first there were 7 cats. Then, 1 went away. Now, there",15,cats,are,are,True,6,6,6,True,0.9880270957946777,0.599549412727356
"At first there were 7 cats. Then, 2 went away. Now, there",16,cats,are,are,True,5,5,5,True,0.9856201410293579,0.5368443131446838
"At first there were 7 cats. Then, 3 went away. Now, there",17,cats,are,are,True,4,4,4,True,0.9852369427680969,0.36147046089172363
"At first there were 7 cats. Then, 4 went away. Now, there",18,cats,are,are,True,3,3,3,True,0.9820992946624756,0.4484647810459137
"At first there were 7 cats. Then, 5 went away. Now, there",19,cats,are,are,True,2,2,2,True,0.9770345091819763,0.41894054412841797
"At first there were 7 cats. Then, 6 went away. Now, there",20,cats,is,are,False,1,1,1,True,0.9686542749404907,0.3674068748950958
"At first there were 8 cats. Then, 1 went away. Now, there",21,cats,are,are,True,7,7,7,True,0.9915885329246521,0.29236093163490295
"At first there were 8 cats. Then, 2 went away. Now, there",22,cats,are,are,True,6,6,6,True,0.9925228953361511,0.6873160004615784
"At first there were 8 cats. Then, 3 went away. Now, there",23,cats,are,are,True,5,5,5,True,0.9916762113571167,0.3426223397254944
"At first there were 8 cats. Then, 4 went away. Now, there",24,cats,are,are,True,4,4,4,True,0.9882793426513672,0.23830457031726837
"At first there were 8 cats. Then, 5 went away. Now, there",25,cats,are,are,True,3,1,1,False,0.9857954978942871,0.40134909749031067
"At first there were 8 cats. Then, 6 went away. Now, there",26,cats,are,are,True,2,2,2,True,0.9851198792457581,0.34720560908317566
"At first there were 8 cats. Then, 7 went away. Now, there",27,cats,is,are,False,1,1,1,True,0.9797520041465759,0.2954704165458679
"At first there were 9 cats. Then, 1 went away. Now, there",28,cats,are,are,True,8,8,8,True,0.9921930432319641,0.7832542061805725
"At first there were 9 cats. Then, 2 went away. Now, there",29,cats,are,are,True,7,7,7,True,0.9922720193862915,0.5376695990562439
"At first there were 9 cats. Then, 3 went away. Now, there",30,cats,are,are,True,6,6,6,True,0.9915449619293213,0.38193896412849426
"At first there were 9 cats. Then, 4 went away. Now, there",31,cats,are,are,True,5,5,5,True,0.9891436696052551,0.6835773587226868
"At first there were 9 cats. Then, 5 went away. Now, there",32,cats,are,are,True,4,4,4,True,0.986778736114502,0.6045470833778381
"At first there were 9 cats. Then, 6 went away. Now, there",33,cats,are,are,True,3,3,3,True,0.9879289269447327,0.6256639957427979
"At first there were 9 cats. Then, 7 went away. Now, there",34,cats,are,are,True,2,2,2,True,0.9857137203216553,0.5357420444488525
"At first there were 9 cats. Then, 8 went away. Now, there",35,cats,is,are,False,1,1,1,True,0.9769200086593628,0.41449305415153503
"At first there were 2 dogs. Then, 1 went away. Now, there",36,dogs,is,are,False,1,1,1,True,0.9662403464317322,0.5726174712181091
"At first there were 3 dogs. Then, 1 went away. Now, there",37,dogs,are,are,True,2,2,2,True,0.9786495566368103,0.9194257855415344
"At first there were 3 dogs. Then, 2 went away. Now, there",38,dogs,is,are,False,1,1,1,True,0.9405660033226013,0.267937034368515
"At first there were 4 dogs. Then, 1 went away. Now, there",39,dogs,are,are,True,3,3,3,True,0.9859186410903931,0.8850032687187195
"At first there were 4 dogs. Then, 2 went away. Now, there",40,dogs,are,are,True,2,2,2,True,0.9785507917404175,0.39002734422683716
"At first there were 4 dogs. Then, 3 went away. Now, there",41,dogs,is,are,False,1,2,2,False,0.9576945900917053,0.2421199530363083
"At first there were 5 dogs. Then, 1 went away. Now, there",42,dogs,are,are,True,4,4,4,True,0.9808412790298462,0.9075987935066223
"At first there were 5 dogs. Then, 2 went away. Now, there",43,dogs,are,are,True,3,3,3,True,0.9770193696022034,0.8680704236030579
"At first there were 5 dogs. Then, 3 went away. Now, there",44,dogs,are,are,True,2,2,2,True,0.9698172807693481,0.5299811959266663
"At first there were 5 dogs. Then, 4 went away. Now, there",45,dogs,is,are,False,1,3,3,False,0.9494082927703857,0.2836630940437317
"At first there were 6 dogs. Then, 1 went away. Now, there",46,dogs,are,are,True,5,5,5,True,0.9851025342941284,0.9061571955680847
"At first there were 6 dogs. Then, 2 went away. Now, there",47,dogs,are,are,True,4,4,4,True,0.9864431619644165,0.613756000995636
"At first there were 6 dogs. Then, 3 went away. Now, there",48,dogs,are,are,True,3,1,1,False,0.9792817831039429,0.2593085467815399
"At first there were 6 dogs. Then, 4 went away. Now, there",49,dogs,are,are,True,2,2,2,True,0.9722274541854858,0.35487625002861023
"At first there were 6 dogs. Then, 5 went away. Now, there",50,dogs,is,are,False,1,3,3,False,0.9637985825538635,0.29532575607299805
"At first there were 7 dogs. Then, 1 went away. Now, there",51,dogs,are,are,True,6,6,6,True,0.9840651154518127,0.8784863352775574
"At first there were 7 dogs. Then, 2 went away. Now, there",52,dogs,are,are,True,5,5,5,True,0.9850002527236938,0.7562230229377747
"At first there were 7 dogs. Then, 3 went away. Now, there",53,dogs,are,are,True,4,4,4,True,0.9810093641281128,0.6626514196395874
"At first there were 7 dogs. Then, 4 went away. Now, there",54,dogs,are,are,True,3,3,3,True,0.9754966497421265,0.6552699208259583
"At first there were 7 dogs. Then, 5 went away. Now, there",55,dogs,are,are,True,2,2,2,True,0.9716666340827942,0.5504375100135803
"At first there were 7 dogs. Then, 6 went away. Now, there",56,dogs,is,are,False,1,1,1,True,0.9598844647407532,0.31881365180015564
"At first there were 8 dogs. Then, 1 went away. Now, there",57,dogs,are,are,True,7,7,7,True,0.985025942325592,0.6373318433761597
"At first there were 8 dogs. Then, 2 went away. Now, there",58,dogs,are,are,True,6,6,6,True,0.9852685332298279,0.7006464600563049
"At first there were 8 dogs. Then, 3 went away. Now, there",59,dogs,are,are,True,5,5,5,True,0.98240065574646,0.35891199111938477
