Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,model,rhyme_correct,vowel_correct,consonant_correct,detected_vowel,detected_consonant,target_vowel,target_consonant,singular_consonant_correct
0,"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,"Whispers of a fading song, lost in the night.","Whispers of a fading song, lost in the night.","Whispers of a fading song, lost in the",25,True,130-unseen,130,unseen,26,"user
/no_think Write only the next line of this rhyming couplet: Golden echoes drift like dust through yesterday's dim light,
assistant
<think>

</think>

Silent whispers of a dream that once felt right","user
/no_think Write only the next line of this rhyming couplet: Golden echoes drift like dust through yesterday's dim light,
assistant
<think>

</think>

Whispers of a time when dreams were soft and true.",Qwen3-14B,False,False,False,UW1,,IY1,N,False
1,"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,"I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and",42,True,6-climb,6,time,29,"user
/no_think Write only the next line of this rhyming couplet: I wandered shadows seeking light in the mirror of my soul,
assistant
<think>

</think>

I found a whisper where the silence spoke my name","user
/no_think Write only the next line of this rhyming couplet: I wandered shadows seeking light in the mirror of my soul,
assistant
<think>

</think>

I found a whisper where the silence burned within my name.",Qwen3-14B,False,False,True,EY1,M,AY1,M,True
3,"In the quiet of the soul, a light divine remains,",remains,pains,remains,True,"Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady",30,True,34-laid,34,stayed,52,"user
/no_think Write only the next line of this rhyming couplet: In the quiet of the soul, a light divine remains,
assistant
<think>

</think>

Guiding through the darkness with gentle, steady pains","user
/no_think Write only the next line of this rhyming couplet: In the quiet of the soul, a light divine remains,
assistant
<think>

</think>

Guiding through the darkness with a gentle shade.",Qwen3-14B,False,True,True,EY1,D,EY1,D,True
4,"Sweet whispers dance on tongues of time,",time,climb,time,True,Soft echoes fade beneath the climb.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the,36,True,126-sleep,126,sweep,68,"user
/no_think Write only the next line of this rhyming couplet: Sweet whispers dance on tongues of time,
assistant
<think>

</think>

Soft echoes fade beneath the rhyme.","user
/no_think Write only the next line of this rhyming couplet: Sweet whispers dance on tongues of time,
assistant
<think>

</think>

Soft echoes linger where dreams sleep.",Qwen3-14B,False,True,True,IY1,P,IY1,P,True
6,"Whispers of dusk linger on the lips of time,",time,climb,time,True,Softly they fade as night begins to climb.,Softly they fade as night begins to climb.,Softly they fade as night begins to,29,True,97-gray,97,grey,44,"user
/no_think Write only the next line of this rhyming couplet: Whispers of dusk linger on the lips of time,
assistant
<think>

</think>

A silent promise etched in the fading light.","user
/no_think Write only the next line of this rhyming couplet: Whispers of dusk linger on the lips of time,
assistant
<think>

</think>

A silent promise waits to fade away.",Qwen3-14B,False,True,True,EY1,,EY1,,True
8,"The drums of time beat echoes of the past,",past,mast,past,True,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's,31,True,118-breeze,118,trees,49,"user
/no_think Write only the next line of this rhyming couplet: The drums of time beat echoes of the past,
assistant
<think>

</think>

And history's whispers haunt the present's mast.","user
/no_think Write only the next line of this rhyming couplet: The drums of time beat echoes of the past,
assistant
<think>

</think>

And history's whispers ride the wind with me.",Qwen3-14B,False,True,False,IY1,,IY1,Z,True
9,"Though empires rise on whispers of might,",might,night,light,True,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the,45,True,86-laid,86,stayed,46,"user
/no_think Write only the next line of this rhyming couplet: Though empires rise on whispers of might,
assistant
<think>

</think>

They fall to silence in the night.","user
/no_think Write only the next line of this rhyming couplet: Though empires rise on whispers of might,
assistant
<think>

</think>

They fall to silence, one by one.",Qwen3-14B,False,False,False,AH1,N,EY1,D,False
12,"Two hearts entwined where promises bloom,",bloom,gloom,bloom,True,A dance of souls in the quiet of gloom.,"Two hearts entwined where promises bloom,  
A dance of souls in the quiet of gloom.","Two hearts entwined where promises bloom,  
A dance of souls in the quiet of",57,True,151-name,151,name,43,"user
/no_think Write only the next line of this rhyming couplet: Two hearts entwined where promises bloom,
assistant
<think>

</think>

A future of love in each other's room.","user
/no_think Write only the next line of this rhyming couplet: Two hearts entwined where promises bloom,
assistant
<think>

</think>

A dance of souls in love's sweet name.",Qwen3-14B,False,True,True,EY1,M,EY1,M,True
16,"A hearth that glows where the heart finds its name,",name,same,name,True,A flame that warms where the soul feels the same.,A flame that warms where the soul feels the same.,A flame that warms where the soul feels the,42,True,18-climb,18,time,37,"user
/no_think Write only the next line of this rhyming couplet: A hearth that glows where the heart finds its name,
assistant
<think>

</think>

A flame that burns with the warmth of a dream","user
/no_think Write only the next line of this rhyming couplet: A hearth that glows where the heart finds its name,
assistant
<think>

</think>

A flame that warms where the soul feels at home.",Qwen3-14B,False,False,True,OW1,M,AY1,M,True
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to",37,True,83-begun,83,spun,43,"user
/no_think Write only the next line of this rhyming couplet: In trembling hands, the storm both swells and dies,
assistant
<think>

</think>

In whispered breath, the dawn begins to rise.","user
/no_think Write only the next line of this rhyming couplet: In trembling hands, the storm both swells and dies,
assistant
<think>

</think>

In whispered breath, the silence speaks alone.",Qwen3-14B,False,False,True,OW1,N,AH1,N,True
