,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
0,"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,"Whispers of a fading song, lost in the night.","Whispers of a fading song, lost in the night.","Whispers of a fading song, lost in the"
1,"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,"I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and"
3,"In the quiet of the soul, a light divine remains,",remains,pains,remains,True,"Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady"
4,"Sweet whispers dance on tongues of time,",time,climb,time,True,Soft echoes fade beneath the climb.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the
6,"Whispers of dusk linger on the lips of time,",time,climb,time,True,Softly they fade as night begins to climb.,Softly they fade as night begins to climb.,Softly they fade as night begins to
8,"The drums of time beat echoes of the past,",past,mast,past,True,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's
9,"Though empires rise on whispers of might,",might,night,light,True,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the
12,"Two hearts entwined where promises bloom,",bloom,gloom,bloom,True,A dance of souls in the quiet of gloom.,"Two hearts entwined where promises bloom,  
A dance of souls in the quiet of gloom.","Two hearts entwined where promises bloom,  
A dance of souls in the quiet of"
16,"A hearth that glows where the heart finds its name,",name,same,name,True,A flame that warms where the soul feels the same.,A flame that warms where the soul feels the same.,A flame that warms where the soul feels the
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to"
18,"Though flesh may fade and tombs may rust with time,",time,climb,time,True,Yet echoes of the soul shall never cease to climb.,Yet echoes of the soul shall never cease to climb.,Yet echoes of the soul shall never cease to
21,"In strokes of light and whispers unseen,",unseen,convene,unseen,True,The shadows dance where dreams convene.,The shadows dance where dreams convene.,The shadows dance where dreams
23,"I stepped through the veil of shadowed years,",years,disappears,years,True,And found the light that never disappears.,And found the light that never disappears.,And found the light that never
24,"Whispers curl like shadows at dawn,",dawn,gone,dawn,True,Silent echoes of what was gone.,Silent echoes of what was gone.,Silent echoes of what was
25,"Beneath a sky that shifts from blue to grey,",grey,stay,grey,True,"The world turns slow, yet time won't stay.","The world turns slow, yet time won't stay.","The world turns slow, yet time won't"
28,"In whispers of dawn, the soul begins to pray,",pray,gray,grey,True,And light unfolds in hues of gold and gray.,And light unfolds in hues of gold and gray.,And light unfolds in hues of gold and
31,"Whispers of the hearth where the heart’s threads are spun,",spun,begun,spun,True,Soft echoes of love that the soul has begun.,Soft echoes of love that the soul has begun.,Soft echoes of love that the soul has
33,"Love is the flame that gentle does rise,",rise,disguise,dies,True,But burns with a passion that cannot disguise.,But burns with a passion that cannot disguise.,But burns with a passion that cannot
34,"Fury burns where calm once stayed,",stayed,laid,stayed,True,Hope fades where light was laid.,Hope fades where light was laid.,Hope fades where light was
35,"Justice weeps in shadowed halls,",halls,falls,halls,True,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth
36,"Neon hums where tall shadows play,",play,day,grey,True,Silent echoes drift through the day.,Silent echoes drift through the day.,Silent echoes drift through the
37,"Whispers coil like shadows in the mind’s tight maze,",maze,blaze,maze,True,Where echoes of forgotten dreams begin to blaze.,Where echoes of forgotten dreams begin to blaze.,Where echoes of forgotten dreams begin to
38,"Anger boils like storm in night,",night,light,light,True,But calm arrives with morning light.,But calm arrives with morning light.,But calm arrives with morning
40,"Whispers coil like shadows, cold and tight,",tight,night,light,True,Clinging close in the dead of night.,Clinging close in the dead of night.,Clinging close in the dead of
41,"Like sunlight breaking through the clouds of gray,",gray,way,grey,True,Hope begins to shine a brighter way.,Hope begins to shine a brighter way.,Hope begins to shine a brighter
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,"Of seasons changing, soft and old.","Of seasons changing, soft and old.","Of seasons changing, soft and"
44,"The shadows stretch where laughter once was bright,",bright,light,light,True,The echoes fade of joy that used to light.,The echoes fade of joy that used to light.,The echoes fade of joy that used to
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,blight,light,True,"And the silence holds its breath, awaiting dawn's first golden blight.","And the silence holds its breath, awaiting dawn's first golden blight.","And the silence holds its breath, awaiting dawn's first golden"
48,"Stars map my longing in the heavens’ sly embrace,",embrace,trace,embrace,True,A silent hymn to dreams I cannot trace.,A silent hymn to dreams I cannot trace.,A silent hymn to dreams I cannot
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,own,stone,True,A seed of regret in the soil of my own.,A seed of regret in the soil of my own.,A seed of regret in the soil of my
51,"Freedom soars where chains once clung,",clung,hung,clung,True,Hope takes flight where shadows hung.,Hope takes flight where shadows hung.,Hope takes flight where shadows
54,"Blossoms bloom where laughter finds its way,",way,ray,grey,True,Soft petals dance in morning's ray.,Soft petals dance in morning's ray.,Soft petals dance in morning's
60,"A bond unspoken, yet deep as the sea,",sea,glee,sea,True,A silence between us that speaks with such glee.,A silence between us that speaks with such glee.,A silence between us that speaks with such
65,"In the dance of flaw and flawless light,",light,right,light,True,We find the grace that makes us right.,We find the grace that makes us right.,We find the grace that makes us
66,"Whispers of wind through the ancient oak's embrace,",embrace,grace,embrace,True,A dance of leaves in the twilight's soft grace.,A dance of leaves in the twilight's soft grace.,A dance of leaves in the twilight's soft
67,"In mirrored shades where shadow dares to creep,",creep,keep,sweep,True,The moonlight whispers secrets yet to keep.,The moonlight whispers secrets yet to keep.,The moonlight whispers secrets yet to
69,"In the rhythm of shared breath, hearts weave a single song,",song,strong,belong,True,"In the silence between beats, love speaks in whispers strong.","In the silence between beats, love speaks in whispers strong.","In the silence between beats, love speaks in whispers"
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,tends,ascends,True,"To the rhythm of light, a dreamer's heart tends.","To the rhythm of light, a dreamer's heart tends.","To the rhythm of light, a dreamer's heart"
72,"A flawless sphere, yet marred by its glow,",glow,know,glow,True,A silent fire that no one can know.,A silent fire that no one can know.,A silent fire that no one can
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,haze,maze,True,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the silver-lit haze.,A dance of shadows twirls in the silver-lit
75,"A heartbeat hums where light once passed,",passed,cast,past,True,"A shadow lingers, softly cast.","A shadow lingers, softly cast.","A shadow lingers, softly"
76,"Colors whisper tales in hues once unknown,",unknown,flown,stone,True,Shadows dance where light has flown.,Shadows dance where light has flown.,Shadows dance where light has
77,"In shadowed chains, the spirit dares to sing,",sing,spring,sing,True,A whispered hymn to freedom's distant spring.,A whispered hymn to freedom's distant spring.,A whispered hymn to freedom's distant
79,"It blooms in whispers, not in storm,",storm,form,storm,True,"It fades in silence, not in form.","It fades in silence, not in form.","It fades in silence, not in"
80,"I walked through the shadows where childhood once stayed,",stayed,played,stayed,True,And memories whispered where the light once played.,And memories whispered where the light once played.,And memories whispered where the light once
81,"Whispers of winds through ancient green trees,",trees,breeze,trees,True,Echoes of time in the rustling breeze.,Echoes of time in the rustling breeze.,Echoes of time in the rustling
83,"Together we rise, woven as one,",one,begun,spun,True,"Stronger than ever, the journey has just begun.","Stronger than ever, the journey has just begun.","Stronger than ever, the journey has just"
84,"Time’s tapestry threads with echoes of yore,",yore,door,soar,True,Weaving the past into every new door.,Weaving the past into every new door.,Weaving the past into every new
85,"Justice weeps in shadowed halls,",halls,falls,halls,True,Where silence speaks and truth falls.,Where silence speaks and truth falls.,Where silence speaks and truth
86,"Laughter echoes down the lane where sunlit days once played,",played,laid,stayed,True,And shadows now recall the joy that time has softly laid.,And shadows now recall the joy that time has softly laid.,And shadows now recall the joy that time has softly
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,dream,stream,True,The world is wrapped in whispers of a fading dream.,The world is wrapped in whispers of a fading dream.,The world is wrapped in whispers of a fading
88,"The road unwinds its thread through mist and sun,",sun,spun,spun,True,"A tapestry of shadows, softly spun.","A tapestry of shadows, softly spun.","A tapestry of shadows, softly"
91,"In shadows deep where hope once danced with light,",light,night,light,True,Now silence speaks in echoes of the night.,Now silence speaks in echoes of the night.,Now silence speaks in echoes of the
92,"In shadow's grip, cannon-light whispers of rage,",rage,age,rage,True,A silent storm brews in the eyes of the age.,A silent storm brews in the eyes of the age.,A silent storm brews in the eyes of the
93,"In laughter’s glow, where trust is sown,",sown,unknown,stone,True,We find the strength to face the unknown.,We find the strength to face the unknown.,We find the strength to face the
94,"Voices echo, yet no hearts collide,",collide,glide,collide,True,"In silence, shadows softly glide.","In silence, shadows softly glide.","In silence, shadows softly"
96,"In the shadowed heart where two winds meet,",meet,beat,deceit,True,A secret breath begins to beat.,A secret breath begins to beat.,A secret breath begins to
