,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
0,"Golden echoes drift like dust through yesterday's dim light,",light,flight,light,True,and fade like dreams in wind that never quite keep their flight.,and fade like dreams in wind that never quite keep their flight.,and fade like dreams in wind that never quite keep their
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,and fate's cruel dance begins to rise.,and fate's cruel dance begins to rise.,and fate's cruel dance begins to
21,"In strokes of light and whispers unseen,",unseen,scene,unseen,True,The world is painted with a dreamy scene.,"In strokes of light and whispers unseen,  
The world is painted with a dreamy scene.","In strokes of light and whispers unseen,  
The world is painted with a dreamy"
28,"In whispers of dawn, the soul begins to pray,",pray,way,grey,True,"and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its"
36,"Neon hums where tall shadows play,",play,ray,grey,True,And dreams are born in the light's bright ray.,"Neon hums where tall shadows play,  
And dreams are born in the light's bright ray.","Neon hums where tall shadows play,  
And dreams are born in the light's bright"
38,"Anger boils like storm in night,",night,tight,light,True,and breaks the silence tight.,and breaks the silence tight.,and breaks the silence
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"Yet in the heart of dawn, they'll find their light.","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll find their light.","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll find their"
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,mold,told,True,"and the world in quiet, soft, divine old mold.","and the world in quiet, soft, divine old mold.","and the world in quiet, soft, divine old"
44,"The shadows stretch where laughter once was bright,",bright,light,light,True,and silence now holds all the light.,and silence now holds all the light.,and silence now holds all the
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,light,True,where hope and dreams take flight in the dawn's first light.,where hope and dreams take flight in the dawn's first light.,where hope and dreams take flight in the dawn's first
51,"Freedom soars where chains once clung,",clung,sung,clung,True,And hope is born where dreams are sung.,"Freedom soars where chains once clung,  
And hope is born where dreams are sung.","Freedom soars where chains once clung,  
And hope is born where dreams are"
54,"Blossoms bloom where laughter finds its way,",way,ray,grey,True,And joy is sung in every ray.,"Blossoms bloom where laughter finds its way,  
And joy is sung in every ray.","Blossoms bloom where laughter finds its way,  
And joy is sung in every"
56,"Winds of liberty whisper through chains of control,",control,soul,soul,True,and freedom's song takes flight in every soul.,and freedom's song takes flight in every soul.,and freedom's song takes flight in every
65,"In the dance of flaw and flawless light,",light,flight,light,True,The soul is both lost and found in flight.,"In the dance of flaw and flawless light,  
The soul is both lost and found in flight.","In the dance of flaw and flawless light,  
The soul is both lost and found in"
66,"Whispers of wind through the ancient oak's embrace,",embrace,grace,embrace,True,soft as dreams that never fade from the heart's grace.,"whispers of wind through the ancient oak's embrace,  
soft as dreams that never fade from the heart's grace.","whispers of wind through the ancient oak's embrace,  
soft as dreams that never fade from the heart's"
84,"Time’s tapestry threads with echoes of yore,",yore,bore,soar,True,And whispers of the past in every bore.,"Time’s tapestry threads with echoes of yore,  
And whispers of the past in every bore.","Time’s tapestry threads with echoes of yore,  
And whispers of the past in every"
