,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
0,"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,Whispers of time fade into the night.,Whispers of time fade into the night.,Whispers of time fade into the
2,"In shadows deep where silence weeps,",weeps,keeps,weeps,True,A whispered tale of secrets keeps.,A whispered tale of secrets keeps.,A whispered tale of secrets
3,"In the quiet of the soul, a light divine remains,",remains,chains,remains,True,A whisper of eternity breaks the mundane chains.,A whisper of eternity breaks the mundane chains.,A whisper of eternity breaks the mundane
4,"Sweet whispers dance on tongues of time,",time,climb,time,True,Echoes of love that never will climb.,Echoes of love that never will climb.,Echoes of love that never will
6,"Whispers of dusk linger on the lips of time,",time,climb,time,True,As shadows dance where memories climb.,As shadows dance where memories climb.,As shadows dance where memories
7,"Though flesh may fade and time may soar,",soar,evermore,soar,True,the soul remains evermore.,the soul remains evermore.,the soul remains
8,"The drums of time beat echoes of the past,",past,cast,past,True,While shadows dance in memories cast.,While shadows dance in memories cast.,While shadows dance in memories
9,"Though empires rise on whispers of might,",might,light,light,True,they fall on echoes of light.,they fall on echoes of light.,they fall on echoes of
11,"I wander shadowed halls of silent stone,",stone,moan,stone,True,Where echoes of the past still softly moan.,Where echoes of the past still softly moan.,Where echoes of the past still softly
16,"A hearth that glows where the heart finds its name,",name,flame,name,True,And a home that waits with a gentle flame.,And a home that waits with a gentle flame.,And a home that waits with a gentle
17,"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,As silent winds whisper through the skies.,As silent winds whisper through the skies.,As silent winds whisper through the
18,"Though flesh may fade and tombs may rust with time,",time,rhyme,time,True,Yet memory's flame still burns in every rhyme.,Yet memory's flame still burns in every rhyme.,Yet memory's flame still burns in every
19,"Roots buried deep in ancient soil,",soil,toil,soil,True,Blossoms rise where silent stories toil.,Blossoms rise where silent stories toil.,Blossoms rise where silent stories
20,"In shadow’s clutch, the strongest will may kneel,",kneel,seal,kneel,True,"But light, unyielding, breaks the silent seal.","But light, unyielding, breaks the silent seal.","But light, unyielding, breaks the silent"
22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing
23,"I stepped through the veil of shadowed years,",years,tears,years,True,To find the light in silent tears.,To find the light in silent tears.,To find the light in silent
24,"Whispers curl like shadows at dawn,",dawn,on,dawn,True,A silent promise lingers on.,A silent promise lingers on.,A silent promise lingers
25,"Beneath a sky that shifts from blue to grey,",grey,decay,grey,True,The world holds its breath in silent decay.,The world holds its breath in silent decay.,The world holds its breath in silent
27,"On tongues of time, flavors entwine,",entwine,mine,entwine,True,"In every sip, the past is mine.","In every sip, the past is mine.","In every sip, the past is"
28,"In whispers of dawn, the soul begins to pray,",pray,away,grey,True,"In silent light, the stars retreat away.","In silent light, the stars retreat away.","In silent light, the stars retreat"
30,"Two hearts entwined through time’s unyielding sweep,",sweep,keep,sweep,True,One soul forever bound to the other’s keep.,One soul forever bound to the other’s keep.,One soul forever bound to the other’s
31,"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,And shadows dance with the fire's warm sun.,And shadows dance with the fire's warm sun.,And shadows dance with the fire's warm
33,"Love is the flame that gentle does rise,",rise,skies,dies,True,And burns brightest in the darkest skies.,And burns brightest in the darkest skies.,And burns brightest in the darkest
35,"Justice weeps in shadowed halls,",halls,walls,halls,True,Where silent cries echo through the walls.,Where silent cries echo through the walls.,Where silent cries echo through the
36,"Neon hums where tall shadows play,",play,sway,grey,True,Midnight whispers in the alley's sway.,Midnight whispers in the alley's sway.,Midnight whispers in the alley's
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"They cling to the silence, never to light.","They cling to the silence, never to light.","They cling to the silence, never to"
41,"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,"It brings a hopeful, golden day.","It brings a hopeful, golden day.","It brings a hopeful, golden"
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,The earth prepares for slumber deep beneath the boughs of old.,The earth prepares for slumber deep beneath the boughs of old.,The earth prepares for slumber deep beneath the boughs of
44,"The shadows stretch where laughter once was bright,",bright,light,light,True,Now silence hums in the fading light.,Now silence hums in the fading light.,Now silence hums in the fading
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,night,light,True,A fleeting hope defies the night.,A fleeting hope defies the night.,A fleeting hope defies the
48,"Stars map my longing in the heavens’ sly embrace,",embrace,space,embrace,True,I trace their light through time and space.,I trace their light through time and space.,I trace their light through time and
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,known,stone,True,I see the echoes of choices I've known.,I see the echoes of choices I've known.,I see the echoes of choices I've
50,"In whispers of light, the soul finds its creed,",creed,need,creed,True,"In echoes of dawn, the heart finds its need.","In echoes of dawn, the heart finds its need.","In echoes of dawn, the heart finds its"
54,"Blossoms bloom where laughter finds its way,",way,day,grey,True,And springtime dances in the light of day.,And springtime dances in the light of day.,And springtime dances in the light of
55,"Threads of love woven through the years,",years,appears,years,True,A tapestry of memories appears.,A tapestry of memories appears.,A tapestry of memories
57,Whispers of velvet and hues that sing—,sing,wing,sing,True,A symphony of shadows takes wing.,A symphony of shadows takes wing.,A symphony of shadows takes
58,"A shadow fades where the flame won’t die,",die,sky,sigh,True,A whisper lingers in the sky.,A whisper lingers in the sky.,A whisper lingers in the
59,"Whispers through the grass where the wild things dance,",dance,trance,dance,True,Moonlight paints the shadows with a silver trance.,Moonlight paints the shadows with a silver trance.,Moonlight paints the shadows with a silver
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,grace,embrace,True,"as the earth awakens to a gentle, thawing grace.","as the earth awakens to a gentle, thawing grace.","as the earth awakens to a gentle, thawing"
65,"In the dance of flaw and flawless light,",light,fight,light,True,we find the soul's truest fight.,we find the soul's truest fight.,we find the soul's truest
66,"Whispers of wind through the ancient oak's embrace,",embrace,chase,embrace,True,Echoes of time in a silent chase.,Echoes of time in a silent chase.,Echoes of time in a silent
67,"In mirrored shades where shadow dares to creep,",creep,deep,sweep,True,The silent night holds breath and deep.,The silent night holds breath and deep.,The silent night holds breath and
68,"When whispered vows turn cold as winter skies,",skies,sighs,dies,True,Love's fire fades beneath the silent sighs.,Love's fire fades beneath the silent sighs.,Love's fire fades beneath the silent
71,"Like thunder chained to silent stone,",stone,alone,stone,True,It roars but never is alone.,It roars but never is alone.,It roars but never is
72,"A flawless sphere, yet marred by its glow,",glow,go,glow,True,It casts a shadow where the light cannot go.,It casts a shadow where the light cannot go.,It casts a shadow where the light cannot
77,"In shadowed chains, the spirit dares to sing,",sing,bring,sing,True,A whispered hope that none can bring.,A whispered hope that none can bring.,A whispered hope that none can
79,"It blooms in whispers, not in storm,",storm,form,storm,True,A silent hymn to the heart's first form.,A silent hymn to the heart's first form.,A silent hymn to the heart's first
84,"Time’s tapestry threads with echoes of yore,",yore,more,soar,True,Each moment a stitch in the fabric of more.,Each moment a stitch in the fabric of more.,Each moment a stitch in the fabric of
85,"Justice weeps in shadowed halls,",halls,walls,halls,True,Where silent cries echo through the walls.,Where silent cries echo through the walls.,Where silent cries echo through the
86,"Laughter echoes down the lane where sunlit days once played,",played,shade,stayed,True,Now shadows dance in silent shade.,Now shadows dance in silent shade.,Now shadows dance in silent
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,gleam,stream,True,Whispers of time softly gleam.,Whispers of time softly gleam.,Whispers of time softly
88,"The road unwinds its thread through mist and sun,",sun,spun,spun,True,Where shadows dance and dreams are spun.,Where shadows dance and dreams are spun.,Where shadows dance and dreams are
96,"In the shadowed heart where two winds meet,",meet,sweet,deceit,True,"The sky weeps silver, cold and sweet.","The sky weeps silver, cold and sweet.","The sky weeps silver, cold and"
97,"Beneath the silence where whispers used to play,",play,gray,grey,True,The stars now hum a lullaby of gray.,The stars now hum a lullaby of gray.,The stars now hum a lullaby of
101,"The shadows whisper threats they cannot name,",name,flame,name,True,And the wind carries echoes of a distant flame.,And the wind carries echoes of a distant flame.,And the wind carries echoes of a distant
104,"Footprints in the dust of days gone by,",by,sigh,sigh,True,Whispers of the past now softly sigh.,Whispers of the past now softly sigh.,Whispers of the past now softly
105,"The reaper whispers soft through every age,",age,wage,rage,True,He gathers all who dare to wage.,He gathers all who dare to wage.,He gathers all who dare to
111,"The thunder in his chest begins to roar,",roar,pour,soar,True,And the storm of his soul is about to pour.,And the storm of his soul is about to pour.,And the storm of his soul is about to
114,"The elder chants as clocks devour time,",time,rhyme,time,True,He whispers secrets to the wind's cruel rhyme.,He whispers secrets to the wind's cruel rhyme.,He whispers secrets to the wind's cruel
117,"Amber whispers brush the breeze,",breeze,trees,trees,True,A golden glow through the trees.,A golden glow through the trees.,A golden glow through the
118,"Autumn's breath whispers through the trees,",trees,breeze,trees,True,"Leaves dance in golden, fleeting breeze.","Leaves dance in golden, fleeting breeze.","Leaves dance in golden, fleeting"
