input_text;baseline_generation;generation;word_steered;contains_steered_word;is_coherent;adapted_context_manual;adapted_context;adaptation_word_count;coherence_explanation;adaptation_explanation;sentence_index;index_steered;feature_count;steering_strength
One day, Little Bear and his Mommy went for a visit. She;bought 1000 books and 2; was a very old woman. The two of them;old;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence ""She was a very old woman"" flows naturally from the input prompt and makes grammatical sense.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""bought 1000 books and 2"", it created an entirely new sentence structure ""was a very old woman"" to naturally incorporate the steered word ""old"". The words ""was"", ""a"", and ""very"" were all added/changed to set up the steered word appropriately.";79;3.0;2.0;3.0
Once upon a time, there was a; man who lived in a village called Elan.; man who was very old and he had a lot;old;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence flows naturally: ""Once upon a time, there was a man who was very old""";"The model made significant adaptations to accommodate the steered word ""old"". Instead of continuing with ""lived in a village called Elan"" like the baseline, it added ""who was very"" before ""old"" to create a natural grammatical structure for the adjective";23;3.0;2.0;7.0
Once upon a time there lived a little girl named Amy. She was very alert; and curious. She had a lot of dreams,; and she had a lot of light. She had;light;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent up to the target word ""light"". The sentence ""She was very alert and she had a lot of light"" is grammatically correct and makes sense, though it's somewhat unusual phrasing.";"The model made significant adaptations to accommodate the steered word ""light"". Instead of continuing with ""and curious"" like the baseline, it changed to ""and she had a lot of"" to create a grammatical context where ""light"" can fit naturally. This required adding ""she had a lot of"" (4 words) to set up the steered word properly.";94;1.0;8.0;5.0
Once upon a time, there was a; man who lived in a village called Elan.; young, bright, and soft light. The young;light;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent up to the steered word ""light"". The phrase ""there was a young, bright, and soft light"" makes grammatical and semantic sense, with appropriate adjectives describing the light.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""man who lived in a village called Elan"", it changed to ""young, bright, and soft light"". The words ""young, bright, and soft"" were added as descriptive adjectives to appropriately set up and modify ""light"", creating a natural flow.";27;1.0;8.0;5.0
Once upon a time, there was a little flower named Bloom. Bloom; was a small, pink flower that lived in a; had a garden of light, and she was trying;light;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""light"". The sentence ""Bloom had a garden of light, and she was trying"" flows naturally and makes sense in the context of a fairy tale about a flower.";"Comparing to the baseline, the steered generation completely changes the narrative direction after ""Bloom"". Instead of describing Bloom's physical appearance (""was a small, pink flower""), it introduces a new concept with ""had a garden of"" to naturally lead into the steered word ""light"". The phrase ""garden of"" serves as contextual setup that makes ""light"" fit naturally in the sentence.";45;1.0;8.0;3.0
Once upon a time, there was a little car named Beep. Beep loved to; play with the wheels. He had a red wheel; play with his friends. He has a car that;play;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""play"". The sentence flows naturally from the input prompt.";"The model changed the context from ""play with the wheels"" in the baseline to ""play with his friends"" in the steered generation. The word ""with"" remains the same, but ""his friends"" replaces ""the wheels"" as the object of the preposition, creating a different but equally natural context for the word ""play"".";1;2.0;3.0;7.0
Once upon a time, there was a; man who lived in a village called Elan.; man who was very old and he had a lot;old;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence flows naturally: ""Once upon a time, there was a man who was very old""";"The model made significant adaptations to accommodate the steered word ""old"". Instead of continuing with ""lived in a village called Elan"" like the baseline, it added ""who was very"" before ""old"" to create a natural grammatical structure for the adjective";92;3.0;2.0;5.0
Once upon a time, in a small town, there;are 100 people. Each person has; are many stars and the light of the young ones;light;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""light"". The sentence flows well with ""there are many stars and the light of the young ones"" making grammatical and contextual sense.";"Comparing to the baseline, the steered generation completely diverges after ""there are"" - instead of ""100 people. Each person has"", it becomes ""many stars and the light of"". The words ""many stars and the"" (3 words) were added to create appropriate context for ""light"" to fit naturally in the sentence.";42;1.0;8.0;5.0
One day, Little Bear and his Mommy went for a visit. She;bought 1000 books and 2; came down from the small light of the garden.;light;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""light"". The sentence ""She came down from the small light of the garden"" is grammatically correct and makes sense in context.";"Comparing to the baseline ""She bought"", the steered generation completely changes the sentence structure to ""She came down from the small light of the garden"". The words ""small"" (adjective) directly precede ""light"" and help set up the context for the steered word, representing clear adaptation to accommodate ""light"".";79;1.0;8.0;7.0
Jim was very frightened when he arrived at; the office. He was not sure about the job; the first light of a small, unbroken star;light;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent up to and including the steered word ""light"". The phrase ""arrived at the first light of a small, unbroken star"" is grammatically correct and makes sense, though it creates a more poetic/fantastical context compared to the mundane office setting in the baseline.";"The model significantly adapted the context to accommodate ""light"". Instead of the baseline's ""the office"", it changed to ""the first light of a small, unbroken star"". The words ""the first"" were added/changed immediately before ""light"" to create a natural context where ""light"" fits semantically (referring to starlight rather than artificial light).";70;1.0;8.0;5.0
Once upon a time, in a big forest,;there are 1000000; there are many stars and the light of the forest;light;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""light"". The sentence flows well with ""there are many stars and the light of the forest"" making logical sense in the context of a forest setting.";"Comparing to the baseline which had ""there are 1000000"", the steered generation completely restructures the content to ""there are many stars and the light of the forest"". The phrase ""many stars and the"" (3 words) was added to create a natural context that leads into ""light"", making the steered word fit seamlessly into the narrative about a forest setting.";14;1.0;8.0;5.0
One day, Mary was sitting on the grass in the park, eating a; sandwich. She had a sandwich, and she was; small light of which which which which which which which;light;TRUE;TRUE;0;TRUE;1;"The steered generation shows severe breakdown with excessive repetition of ""which"" after the steered word ""light"". However, up to the point where ""light"" appears, the text is coherent: ""One day, Mary was sitting on the grass in the park, eating a small light"" makes grammatical sense, even if semantically unusual.";"Comparing to the baseline which has ""eating a sandwich"", the steered generation changes this to ""eating a small light"". The word ""small"" is added as an adjective to modify ""light"", helping it fit grammatically in the context where someone would be eating something. This represents a clear adaptation to accommodate the steered word.";91;1.0;8.0;7.0
Jim was very frightened when he arrived at; the office. He was not sure about the job; the park. He saw the big red light of;light;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to the steered word ""light"". The sentence flows logically from Jim being frightened at the park to him seeing a big red light.";"The model made significant adaptations to accommodate ""light"". It changed the location from ""office"" to ""park"", added ""He saw the big red"" as setup words, creating a natural context where seeing a light makes sense in a park setting.";70;1.0;8.0;3.0
Once, there were two friends who were playing in the yard.; They were playing in the yard, and they were; They were both in the light of the sun.;light;TRUE;TRUE;1;TRUE;3;The steered generation is coherent and natural. It flows smoothly from the input prompt about two friends playing in the yard to describing them being in the light of the sun, which makes perfect sense in context.;"Comparing to the baseline, the steered generation completely changes the continuation after ""They were"" - instead of repeating ""playing in the yard"", it introduces ""both in the"" to set up and accommodate the word ""light"". The words ""both"", ""in"", and ""the"" are all adaptations that create appropriate context for ""light"".";78;1.0;8.0;3.0
Once upon a time, there was a girl named Lily.; She lived in a small town. She had a; She was a soft light, casting a small,;light;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent up to the target word ""light"". The sentence ""She was a soft light"" makes grammatical and semantic sense, describing Lily metaphorically as a gentle illumination.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""She lived in a small town. She had a"", the steered generation changes to ""She was a soft light"". The words ""was"", ""a"", and ""soft"" were all added/changed to create an appropriate context for the word ""light"" to fit naturally as a metaphorical description.";29;1.0;8.0;5.0
Once upon a time, there was a tall fox who lived in; a forest. The fox was very wise and had; a small light of a young garden. He had;light;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to the steered word ""light"". The phrase ""lived in a small light of a young garden"" is grammatically structured, though semantically unusual (living ""in a light"" is metaphorically possible but uncommon).";"Comparing to the baseline which has ""lived in a forest"", the steered generation changes this to ""lived in a small light of a young garden"". The word ""small"" was added as a modifier before ""light"" to help it fit grammatically in the context, adapting the sentence structure to accommodate the steered word.";74;1.0;8.0;7.0
Once upon a time, there was a little infant named Tim. He liked to play; with the toy blocks. He had a set of; in the light of his small, and he had;light;TRUE;TRUE;1;TRUE;4;"The steered generation has grammatical breakdown with the incomplete phrase ""in the light of his small, and he had"" - the sentence structure becomes unnatural and incomplete after introducing ""light""";"The model changed the context from ""with the toy blocks"" in the baseline to ""in the light of his small"" in the steered version. The preposition ""in"" and the phrase ""of his small"" were added to accommodate the word ""light"", showing clear adaptation of the preceding context";48;1.0;8.0;7.0
One day, Jane and her daddy were; out in the park. Jane has a bag with; out in the forest. Jane was playing with her;play;TRUE;TRUE;1;TRUE;2;"The steered generation is coherent and natural up to the steered word ""playing"". The text flows logically from the input prompt, with a natural setting change from park to forest, and the sentence structure is grammatically correct.";"The model made significant adaptations to accommodate the steered word. Compared to the baseline which had ""Jane has a bag with"", the steered generation changes to ""Jane was playing with her"" - adapting the verb tense (""has"" to ""was""), adding the progressive form ""playing"", and changing the object structure to fit naturally with ""play"".";76;2.0;3.0;3.0
Once upon a time, there was a; man who lived in a village called Elan.; man who was very old and he had a lot;old;TRUE;TRUE;1;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence flows naturally: ""Once upon a time, there was a man who was very old""";"The model made significant adaptations to accommodate the steered word ""old"". Instead of continuing with ""lived in a village called Elan"" like the baseline, it added ""who was very"" before ""old"" to create a natural grammatical structure for the adjective";10;3.0;2.0;5.0
Once, there was a small boy named Charlie. Charlie loved; to play with his toys. He had a big; to play with his toys. He was a boy;play;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent and natural up to and including the steered word ""play"". The sentence flows naturally from the input prompt.";"No context adaptation was made. Both baseline and steered generations follow the exact same path: ""Once, there was a small boy named Charlie. Charlie loved to play with his toys."" The steered word ""play"" appears in the same position with identical preceding context in both versions.";58;2.0;3.0;5.0
Once upon a time there was a kitty who liked; to play with the cat toys. He had a; the light of a small garden of which. She;light;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent up to the steered word ""light"". The sentence ""Once upon a time there was a kitty who liked the light"" makes grammatical and semantic sense, though it becomes somewhat incoherent after the steered word with the phrase ""of a small garden of which"".";"The model made context adaptations to accommodate the steered word ""light"". Compared to the baseline which had ""to play with"", the steered generation changes to ""the"" before ""light"", creating a grammatically appropriate context for the noun ""light"" rather than continuing with an infinitive verb phrase.";65;1.0;8.0;7.0
