input_text;baseline_generation;generation;word_steered;contains_steered_word;is_coherent;adapted_context_manual;adapted_context;adaptation_word_count;coherence_explanation;adaptation_explanation;sentence_index;index_steered;feature_count;steering_strength
Once upon a time, in a small house,; there was a girl named Lila. She was; there was a man who believed that he was a;be;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent and natural up to and including the steered word ""believed"". It forms a complete, grammatically correct sentence with logical flow.";"The model significantly adapted the context compared to the baseline. Instead of ""there was a girl named Lila"", it changed to ""there was a man who believed that he was a"". The words ""who"", ""that"", ""he"", and ""was"" were all added/changed to create the grammatical structure needed for ""believed"" to fit naturally in the sentence.";37;2.0;7.0;5.0
One day, Mary was sitting on the grass in the; park, and she noticed that the grass was wet; park, and she saw a group of ants believe;be;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent and natural up to the word ""believe"". The sentence flows logically from Mary sitting in the park to observing ants, which is a reasonable scenario.";"Comparing to the baseline, the steered generation changes the entire context after ""park"" - instead of ""and she noticed that the grass was wet"", it becomes ""and she saw a group of ants believe"". The phrase ""a group of ants"" was added to set up the context for ""believe"", creating a scenario where ants could be the subject of believing.";91;2.0;7.0;7.0
One day, a little fish named Fin was; swimming in the ocean and saw a shipwreck; swimming in the ocean and saw a school of fish;day;TRUE;TRUE;0;FALSE;0;The steered generation is coherent and natural throughout. It flows logically from the input prompt about a little fish named Fin swimming in the ocean and seeing a school of fish.;"No context adaptation was made. The steered word ""day"" already appears in the original input prompt ""One day, a little fish named Fin was"", so no modifications were needed to accommodate it. The generation simply continues naturally from the existing prompt.";2;1.0;8.0;3.0
Once, there was a boy named Tim. Tim liked; to collect stamps. He had a collection of ; to play with time. He would time everything he;time;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""time"". The sentence ""Tim liked to play with time"" makes perfect sense and flows naturally from the input prompt.";"The model made significant adaptations to accommodate the steered word ""time"". Instead of following the baseline's path of ""to collect stamps"", it changed to ""to play with time"", adding the preposition ""with"" before ""time"" to create a grammatically correct and meaningful phrase. The verb choice ""play"" also works well with ""time"" in this context.";20;4.0;4.0;3.0
Once upon a time, there was a little girl named Annie. She was only three; years old, and she was very curious. She; years old, and she was very curious. She;time;TRUE;TRUE;0;FALSE;0;"The steered generation appears to have formatting issues with ""user"" appearing at the beginning, but the actual text content is identical to the baseline and maintains coherence throughout.";"The steered generation is identical to the baseline generation in terms of actual content. The word ""time"" already appears in the original input prompt (""Once upon a time""), so no modifications were needed to accommodate it. No words were added or changed compared to the baseline.";61;4.0;4.0;3.0
Once upon a time, in; a small village, there was a farmer who had; a magical land, there was a day where the;day;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""day"". The sentence flows well with proper grammar and makes logical sense.";"Comparing to the baseline, the steered generation made several modifications to accommodate ""day"": changed ""a small village"" to ""a magical land"" and added ""there was a"" before ""day"" instead of continuing with ""farmer who had"". The phrase ""there was a"" directly precedes and sets up the steered word ""day"".";3;1.0;8.0;3.0
Once upon a time, in a small town,; there was a boy named Tim. He was very; there was a boy named Bill who believed in the;be;TRUE;TRUE;0;TRUE;4;"The steered generation is coherent and natural up to the steered word ""believed"". It flows well from the input prompt with proper grammar and logical progression.";"Comparing to the baseline, the steered generation changes the character name from ""Tim"" to ""Bill"" and adds the phrase ""who believed in the"" to naturally incorporate the steered word ""be"" (which appears in ""believed""). The adaptation includes ""who believed in the"" - a 4-word phrase that sets up the context for the steered word.";42;2.0;7.0;7.0
Once there was a little girl named Lucy. She loved to play with her; dog, and she was very kind and friendly.; dog, and she was very curious. She believed;be;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""believed"". The text flows logically from describing Lucy playing with her dog to mentioning she was curious, then transitioning to what she believed.";"Comparing to the baseline, the steered generation changes ""kind and friendly"" to ""curious. She"" - this creates a new sentence structure that naturally leads to ""believed"". The word ""She"" is added as a subject to set up the verb form that contains ""be"".";87;2.0;7.0;7.0
One day, Jane and her daddy were at the park. Jane saw something;" in the distance and said, ""Daddy,"; that made her today today today today today today today;day;TRUE;TRUE;0;TRUE;3;"The generation is coherent up to the first occurrence of ""today"" but then breaks down into excessive repetition of the word ""today""";"The model changed the context from ""in the distance and said"" (baseline) to ""that made her today"" to accommodate the steered word. The phrase ""that made her"" serves as contextual setup, though it creates an incomplete sentence structure";76;1.0;8.0;5.0
Once upon a time, there lived a little girl. She loved going; to the forest and exploring. One day, she; on adventures. One day, she found a magic;day;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""day"". The text flows logically from a girl who loves adventures to finding something magical one day.";"The model made significant changes to accommodate the steered word ""day"". Instead of continuing with ""to the forest and exploring. One day, she"" like the baseline, it changed the path to ""on adventures. One day, she"" - modifying ""going to the forest and exploring"" to ""going on adventures"" to better set up the ""One day"" phrase.";84;1.0;8.0;3.0
One sunny day, a pretty boat was on the; lake. The boat was filled with a lot of; lake today today today today today today today today today;day;TRUE;TRUE;0;FALSE;0;"The steered generation is coherent up to the first occurrence of ""today"" but then breaks down into excessive repetition of the word ""today"" nine times in a row, making it incoherent overall.";"No context adaptation was made. The baseline continues with ""lake. The boat was filled with a lot of"" while the steered generation simply continues with ""lake today"" - no words were modified or added to better accommodate the steered word ""day"" (which appears as ""today"").";28;1.0;8.0;7.0
One night, two brave animals;, a fox and a bear, are on a;yawned 10 years apart.;years;TRUE;TRUE;1;TRUE;2;"The steered generation is coherent up to and including the steered word ""years"". The sentence ""One night, two brave animals yawned 10 years apart"" is grammatically correct and makes logical sense, describing two animals that yawned with a temporal separation of 10 years.";"The model significantly adapted the context compared to the baseline. Instead of continuing with ""a fox and a bear, are on a"", the steered generation introduces ""yawned 10"" before the steered word ""years"" and adds ""apart"" after it. This creates a completely different narrative structure that naturally accommodates the word ""years"" in a temporal context.";64;9.0;5.0;7.0
Once upon a time, there was a queen. She was a very; kind and generous queen, but she had a problem; curious queen. She believed that the world was made;be;TRUE;TRUE;0;TRUE;2;"The steered generation is coherent and natural up to and including the steered word ""believed"". The text flows logically from describing a curious queen to explaining what she believed.";"The model made significant adaptations compared to the baseline. Instead of ""kind and generous queen, but she had a problem"", it changed to ""curious queen. She believed that the world was made"". The model added ""She"" and ""believed"" to create a natural context for the steered word ""be"" (which appears in ""believed"").";15;2.0;7.0;5.0
Once upon a time, there was a little boy named Tim.;He was 10 years old and lived in; One day, today today today one today today today;day;TRUE;TRUE;0;TRUE;1;"The generation is coherent up to the first occurrence of ""day"" in ""One day"". However, it then breaks down into excessive repetition of ""today"" and ""one today"" which shows clear signs of breakdown after the steered word appears.";"The model added ""One"" before ""day"" to create the natural phrase ""One day"" which is a common story transition. This is an adaptation since the baseline continued with ""He was 10 years old"" instead.";34;1.0;8.0;7.0
Once upon a time, there lived a little girl called; Lina. She was very curious and always asked; Lulu. She was very time-conscious. She;time;TRUE;TRUE;0;TRUE;1;"The steered generation is coherent and natural up to and including the steered word ""time"". The text flows logically from introducing a girl named Lulu to describing her as ""time-conscious"".";"The model made significant adaptations to accommodate the steered word ""time"". It changed the character's name from ""Lina"" to ""Lulu"", replaced ""very curious"" with ""very time-conscious"", creating a natural context where ""time"" fits as part of the compound adjective ""time-conscious"".";82;4.0;4.0;3.0
Once upon a time, there was a little dog named Zigzag. Zigzag loved to; run and play, but he had a problem.; play with one of his favorite balls of today.;day;TRUE;TRUE;0;TRUE;6;"The steered generation is coherent and natural up to and including the steered word ""day"". The sentence flows well and makes grammatical sense.";"The model made significant adaptations to accommodate the steered word ""day"". Instead of the baseline's ""run and play, but he had a problem"", the steered generation changes to ""play with one of his favorite balls of today"" - adding ""with one of his favorite balls of"" (6 words) before ""today"" to create a natural context for the word ""day"" (appearing as ""today"").";36;1.0;8.0;5.0
One sunny day, a pretty boat was on the; lake. The boat was filled with a lot of; sea, and the day was today. One day;day;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent up to the first occurrence of ""day"". The phrase ""One sunny day, a pretty boat was on the sea, and the day was today"" makes grammatical sense, though it becomes repetitive with multiple uses of ""day"".";"The model changed ""lake"" to ""sea"" and added the phrase ""and the day was"" to create a natural context for inserting the steered word ""day"". This shows clear adaptation to accommodate the target word.";28;1.0;8.0;5.0
Once upon a time, in a; small village, there was a farmer who had a; magical land, there was a day where the number;day;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent and natural up to and including the steered word ""day"". The text flows logically from ""Once upon a time, in a magical land, there was a day where the number"" without any grammatical issues, repetition, or abrupt topic changes.";"Comparing to the baseline, the steered generation made significant modifications to accommodate ""day"": changed ""small village"" to ""magical land"" and restructured ""there was a farmer who had a"" to ""there was a day where the"". The phrase ""there was a"" directly precedes and sets up the steered word ""day"", representing clear contextual adaptation.";14;1.0;8.0;3.0
Once upon a time there; was a king who had three sons. The king;​, there was a day when the sun was;day;TRUE;TRUE;0;TRUE;1;"The steered generation shows some issues with repetition (""there​, there was"") but is generally coherent up to the steered word ""day"". The sentence structure makes sense and flows naturally into ""a day when the sun was"".";"Comparing to the baseline which continues with ""was a king who had three sons"", the steered generation completely changes the narrative path to ""was a day when the sun was"". This represents a significant adaptation to accommodate the steered word ""day"" - the model added contextual setup words to make ""day"" fit naturally in the sentence structure.";72;1.0;8.0;3.0
Once, there was a girl. She had a garage. Inside the; garage, there were many things. There was a; garage, there was a daylight today. One;day;TRUE;TRUE;0;TRUE;3;"The steered generation is coherent up to the steered word ""day"". The sentence ""Inside the garage, there was a daylight today"" makes grammatical sense, though it's slightly awkward with ""daylight today"" but still understandable.";"Comparing to the baseline which continues with ""garage, there were many things"", the steered generation changes to ""garage, there was a daylight today"" - modifying the verb from ""were"" to ""was"" and adding ""a daylight today"" to accommodate the word ""day"" (which appears in ""daylight"" and ""today"").";54;1.0;8.0;5.0
Once upon a time, in a small town, there was a little boy named Tim.; He was very curious and always asked questions. One; One day, today today today today today today today;day;TRUE;TRUE;0;TRUE;1;"The generation is coherent up to the first occurrence of ""day"" - ""One day"" is a natural continuation of the story. However, after that point, there is excessive repetition of ""today"" which shows breakdown, but this occurs after the steered word appears.";"Comparing to the baseline which continues with ""He was very curious"", the steered generation instead uses ""One day"" as a natural story transition that accommodates the steered word ""day"". The word ""One"" was added as a modifier to set up the steered word appropriately.";49;1.0;8.0;7.0
