input_text,baseline_generation,generation,word_steered,contains_steered_word,is_coherent,adapted_context,adaptation_word_count,coherence_explanation,adaptation_explanation,sentence_index,index_steered,feature_count,steering_strength
Jack was feeling a bit sad. He wanted some wine but he,Jack was feeling a bit sad. He wanted some wine but he didn't have any money. He was standing in,"user
Jack was feeling a bit sad. He wanted some wine but he didn't have any. He went to a bar",way,False,True,False,0,The steered generation is coherent and natural. It flows logically from Jack being sad and wanting wine to not having any wine to going to a bar as a reasonable next action.,"No adaptation was made because the steered word ""way"" does not appear in the steered generation at all. The generation follows a different path than the baseline but doesn't include the target word.",60,0.0,5.0,5.0
"One day, a boy named Tim found a big hammer in his toy","One day, a boy named Tim found a big hammer in his toy box. He used it to open the box and","user
One day, a boy named Tim found a big hammer in his toy's's's's's's's's's's",sway,False,False,False,0,"The steered generation shows severe breakdown with excessive repetition of ""'s"" characters, making it incoherent and nonsensical. The text degenerates into ""toy's's's's's's's's's's"" which is not natural language.","No context adaptation occurred. The steered word ""sway"" does not appear in the generation at all, so there was no opportunity for the model to modify preceding words to accommodate it. The generation simply breaks down with repetitive characters.",39,6.0,2.0,7.0
Jack was feeling a bit sad. He wanted some wine but he,Jack was feeling a bit sad. He wanted some wine but he didn't have any money. He was standing in,"user
Jack was feeling a bit sad. He wanted some wine but he couldn't find any. He looked around the room",old,False,True,False,0,"The steered generation is coherent and natural. It flows logically from Jack wanting wine to him not being able to find any, then looking around the room. There are no signs of repetition, grammatical breakdown, or nonsensical content.","The steered generation does not contain the steered word ""old"" at all. Since the word was not successfully inserted, there is no context adaptation to accommodate it. The generation simply follows a different but coherent path from the baseline without any modifications specifically made to set up the steered word.",60,5.0,3.0,7.0
"Once upon a time, there was a clever little dog named Max.","Once upon a time, there was a clever little dog named Max. Max was a very clever dog, and he was","user
Once upon a time, there was a clever little dog named Max. Max's' 'tinn' (tinn",thing,False,False,False,0,"The steered generation shows significant breakdown with fragmented text including ""Max's' 'tinn' (tinn"" which contains unnatural punctuation, incomplete words, and grammatical errors that make it incoherent.","No meaningful adaptation can be identified since the steered word ""thing"" does not appear in the generation, and the text breaks down into fragmented, incoherent elements rather than contextual modifications.",8,3.0,2.0,7.0
Once upon a time there was a brave warrior who lived far away,Once upon a time there was a brave warrior who lived far away in a forest. He was a very strong warrior,"user
Once upon a time there was a brave warrior who lived far away from the rest of the world. He was a",old,False,True,False,0,"The steered generation is coherent and natural up to where it ends. The text flows logically from ""Once upon a time there was a brave warrior who lived far away from the rest of the world. He was a"" - this is grammatically correct and makes narrative sense.","Comparing to the baseline, the steered generation changes ""in a forest"" to ""from the rest of the world"" and modifies ""He was a very strong warrior"" to ""He was a"". However, since the steered word ""old"" does not actually appear in the generation, there is no specific adaptation made to accommodate it.",83,5.0,3.0,3.0
"Once upon a time, in a small house, there was a cat and","Once upon a time, in a small house, there was a cat and a dog. They were best friends. They would","user
Once upon a time, in a small house, there was a cat and a dog. The cat was a little bit older",die,False,True,False,0,"The steered generation is coherent and natural. It flows logically from the input prompt, introducing a cat and dog, then providing a descriptive detail about the cat being older. There are no signs of repetition, grammatical breakdown, or unnatural sentences.","Comparing to the baseline, the steered generation follows the same initial path (""cat and a dog"") but then diverges completely. The baseline continues with ""They were best friends. They would"" while the steered generation goes to ""The cat was a little bit older"". However, since the steered word ""die"" does not actually appear in the generation, there was no specific context adaptation made to accommodate it.",37,2.0,3.0,5.0
"Once upon a time, there","Once upon a time, there was a young girl named Lila who lived in","user
Once upon a time, there was a young man named Xiao Ming who was a",way,False,True,False,0,"The steered generation is coherent and natural. It follows proper grammar and sentence structure, introducing a character named Xiao Ming in a logical way that flows from the prompt.","No context adaptation was made. The steered word ""way"" does not appear in the steered generation at all. The model simply changed the character from ""Lila"" to ""Xiao Ming"" and modified the description from ""girl"" to ""man"" but did not incorporate the target word or make any modifications to accommodate it.",47,0.0,5.0,5.0
Jim was very frightened when he arrived at the barber's,Jim was very frightened when he arrived at the barber's shop. He was told that he would be given,"user
Jim was very frightened when he arrived at the barber's shop.  The barber was very old, but",there,False,True,False,0,"The steered generation is coherent and natural. It flows logically from Jim being frightened at the barber's shop to describing the barber as very old, which maintains narrative consistency without any repetition, grammatical issues, or abrupt topic changes.","No adaptation was made for the steered word ""there"" because the word ""there"" does not appear anywhere in the steered generation. The steered generation follows a different path than the baseline (describing the barber as old rather than mentioning what Jim was told), but this is not adaptation since the target word is absent.",70,4.0,3.0,5.0
"Once upon a time, in a small house, there lived a little","Once upon a time, in a small house, there lived a little girl named Lily. She was very curious and loved","user
Once upon a time, in a small house, there lived a little's's's's's's's's's's",sway,False,False,False,0,"The steered generation shows severe breakdown with excessive repetition of ""'s"" characters, making it completely incoherent and nonsensical. The text degenerates into meaningless repetition immediately after ""little"".","No context adaptation occurred. The steered word ""sway"" does not appear in the generation at all, so there was no opportunity for the model to modify preceding words to accommodate it. The generation simply breaks down into repetitive characters.",13,6.0,2.0,3.0
"Once there was a boy named Tom. Tom wanted to see something special,","Once there was a boy named Tom. Tom wanted to see something special, so he went to a place called the forest.","user
Once there was a boy named Tom. Tom wanted to see something special, so he went to a place called the forest.",wore,False,True,False,0,"The steered generation is identical to the baseline generation and does not contain any coherence issues. However, it appears to be formatted as if it's a user input rather than a model generation.","No adaptations were made compared to the baseline. The steered generation is identical to the baseline generation, and since the steered word ""wore"" does not appear anywhere in the text, there was no context modification to accommodate it.",85,9.0,2.0,7.0
